,QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
0,1,11:41.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by J. Smith),0,3
1,1,11:24.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by D. Favors),,3,3
2,1,11:05.0,,K. Love misses 2-pt hook shot from 3 ft,3,3
3,1,11:04.0,,Offensive rebound by T. Mozgov,3,3
4,1,10:50.0,,J. Smith misses 3-pt jump shot from 26 ft,3,3
5,1,10:50.0,Defensive rebound by D. Favors,,3,3
6,1,10:38.0,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Hood),,5,3
7,1,10:19.0,,K. Love makes 2-pt jump shot from 17 ft (assist by M. Williams),5,5
8,1,10:13.0,Personal foul by J. Smith (drawn by G. Hayward),,5,5
9,1,10:03.0,R. Gobert misses 2-pt layup at rim,,5,5
10,1,10:02.0,,Defensive rebound by Team,5,5
11,1,9:49.0,,Turnover by L. James (bad pass; steal by R. Hood),5,5
12,1,9:38.0,R. Hood misses 3-pt jump shot from 26 ft,,5,5
13,1,9:38.0,,Defensive rebound by K. Love,5,5
14,1,9:26.0,,L. James misses 2-pt jump shot from 20 ft,5,5
15,1,9:25.0,Defensive rebound by R. Hood,,5,5
16,1,9:15.0,Turnover by G. Hayward (bad pass; steal by K. Love),,5,5
17,1,9:10.0,,J. Smith makes 2-pt dunk at rim (assist by L. James),5,7
18,1,8:53.0,R. Neto misses 3-pt jump shot from 24 ft,,5,7
19,1,8:52.0,Offensive rebound by Team,,5,7
20,1,8:44.0,R. Hood misses 3-pt jump shot from 24 ft,,5,7
21,1,8:43.0,,Defensive rebound by M. Williams,5,7
22,1,8:39.0,,Turnover by L. James (step out of bounds),5,7
23,1,8:22.0,D. Favors misses 2-pt jump shot from 17 ft,,5,7
24,1,8:21.0,,Defensive rebound by M. Williams,5,7
25,1,8:13.0,,M. Williams makes 2-pt jump shot from 17 ft,5,9
26,1,7:51.0,D. Favors makes 2-pt layup at rim (assist by R. Neto),,7,9
27,1,7:35.0,,M. Williams makes 2-pt jump shot from 18 ft (assist by J. Smith),7,11
28,1,7:17.0,Shooting block foul by T. Mozgov (drawn by R. Gobert),,7,11
29,1,7:17.0,R. Gobert makes free throw 1 of 2,,8,11
30,1,7:17.0,R. Gobert makes free throw 2 of 2,,9,11
31,1,7:04.0,,L. James makes 2-pt dunk at rim (assist by K. Love),9,13
32,1,6:43.0,D. Favors misses 2-pt jump shot from 5 ft,,9,13
