,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:39.0,K. Thompson misses 2-pt jump shot from 18 ft,,0,0
1,1,11:37.0,Offensive rebound by Team,,0,0
2,1,11:34.0,D. Green makes 2-pt jump shot from 19 ft (assist by S. Curry),,2,0
3,1,11:14.0,,C. Lee misses 2-pt jump shot from 19 ft,2,0
4,1,11:14.0,Defensive rebound by K. Thompson,,2,0
5,1,11:04.0,H. Barnes makes 2-pt jump shot from 7 ft,,4,0
6,1,10:55.0,,T. Allen makes 2-pt layup from 1 ft (assist by M. Conley),4,2
7,1,10:37.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),,6,2
8,1,10:15.0,,Shooting foul by F. Ezeli (drawn by T. Allen),6,2
9,1,10:15.0,,T. Allen makes free throw 1 of 2,6,3
10,1,10:15.0,,T. Allen makes free throw 2 of 2,6,4
11,1,10:00.0,K. Thompson misses 2-pt jump shot from 17 ft,,6,4
12,1,10:00.0,Offensive rebound by K. Thompson,,6,4
13,1,9:54.0,D. Green misses 3-pt jump shot from 25 ft,,6,4
14,1,9:53.0,,Defensive rebound by C. Lee,6,4
15,1,9:37.0,,Turnover by M. Gasol (bad pass; steal by H. Barnes),6,4
16,1,9:31.0,S. Curry misses 3-pt jump shot from 25 ft,,6,4
17,1,9:28.0,,Defensive rebound by M. Gasol,6,4
18,1,9:17.0,,T. Allen makes 3-pt jump shot from 23 ft (assist by M. Conley),6,7
19,1,9:06.0,H. Barnes misses 2-pt jump shot from 20 ft,,6,7
20,1,9:06.0,,Defensive rebound by T. Allen,6,7
21,1,9:01.0,Violation by K. Thompson (kicked ball),,6,7
22,1,8:48.0,,T. Allen misses 3-pt jump shot from 23 ft,6,7
23,1,8:48.0,Defensive rebound by F. Ezeli,,6,7
24,1,8:34.0,S. Curry makes 3-pt jump shot from 23 ft (assist by H. Barnes),,9,7
25,1,8:16.0,,M. Gasol makes 2-pt hook shot from 7 ft (assist by Z. Randolph),9,9
26,1,8:00.0,H. Barnes makes 2-pt layup from 1 ft,,11,9
27,1,8:00.0,Shooting foul by M. Gasol (drawn by H. Barnes),,11,9
28,1,8:00.0,,M. Barnes enters the game for T. Allen,11,9
29,1,8:00.0,H. Barnes makes free throw 1 of 1,,12,9
30,1,7:37.0,,C. Lee misses 3-pt jump shot from 22 ft,12,9
31,1,7:37.0,Defensive rebound by Team,,12,9
32,1,7:30.0,Shooting foul by Z. Randolph (drawn by F. Ezeli),,12,9
33,1,7:30.0,F. Ezeli makes free throw 1 of 2,,13,9
34,1,7:30.0,F. Ezeli misses free throw 2 of 2,,13,9
35,1,7:29.0,,Defensive rebound by Z. Randolph,13,9
36,1,7:16.0,,Turnover by Z. Randolph (bad pass; steal by S. Curry),13,9
37,1,7:09.0,H. Barnes makes 2-pt dunk at rim (assist by S. Curry),,15,9
38,1,7:06.0,,Memphis full timeout,15,9
39,1,6:58.0,,Turnover by Z. Randolph (lost ball; steal by K. Thompson),15,9
40,1,6:50.0,Turnover by D. Green (bad pass; steal by M. Barnes),,15,9
41,1,6:41.0,,Z. Randolph misses 2-pt jump shot from 4 ft,15,9
42,1,6:40.0,Defensive rebound by F. Ezeli,,15,9
43,1,6:21.0,F. Ezeli misses 2-pt layup from 1 ft,,15,9
44,1,6:18.0,,Defensive rebound by Z. Randolph,15,9
45,1,6:08.0,,Z. Randolph makes 2-pt jump shot from 18 ft (assist by M. Conley),15,11
