,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
0,1,11:41.0,D. Russell misses 2-pt jump shot from 18 ft,,0,0
1,1,11:40.0,,Defensive rebound by W. Matthews,0,0
2,1,11:24.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,0,0
3,1,11:24.0,,Offensive rebound by Team,0,0
4,1,11:22.0,,W. Matthews misses 2-pt jump shot from 2 ft,0,0
5,1,11:21.0,Defensive rebound by D. Russell,,0,0
6,1,11:07.0,J. Randle misses 2-pt jump shot from 18 ft,,0,0
7,1,11:06.0,,Defensive rebound by C. Parsons,0,0
8,1,10:58.0,,Turnover by C. Parsons (bad pass),0,0
9,1,10:38.0,K. Bryant makes 2-pt jump shot from 17 ft (assist by D. Russell),,2,0
10,1,10:25.0,,C. Parsons misses 2-pt jump shot from 10 ft,2,0
11,1,10:24.0,Defensive rebound by R. Hibbert,,2,0
12,1,10:14.0,K. Bryant makes 2-pt jump shot from 17 ft,,4,0
13,1,10:06.0,,D. Williams misses 2-pt layup from 1 ft (block by R. Hibbert),4,0
14,1,10:06.0,,Offensive rebound by Team,4,0
15,1,10:06.0,,Dallas full timeout,4,0
16,1,9:59.0,,D. Williams makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),4,2
17,1,9:45.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Russell),,7,2
18,1,9:35.0,,Turnover by D. Williams (bad pass; steal by J. Clarkson),7,2
19,1,9:31.0,J. Clarkson makes 2-pt dunk at rim,,9,2
20,1,9:20.0,,Z. Pachulia makes 2-pt jump shot at rim (assist by D. Williams),9,4
21,1,9:06.0,Turnover by J. Randle (lost ball; steal by D. Williams),,9,4
22,1,9:01.0,,Turnover by D. Williams (bad pass; steal by J. Randle),9,4
23,1,8:55.0,K. Bryant makes 3-pt jump shot from 23 ft (assist by D. Russell),,12,4
24,1,8:39.0,,D. Williams misses 2-pt jump shot from 15 ft,12,4
25,1,8:38.0,Defensive rebound by K. Bryant,,12,4
26,1,8:29.0,Turnover by K. Bryant (bad pass; steal by D. Williams),,12,4
27,1,8:09.0,,W. Matthews misses 3-pt jump shot from 23 ft,12,4
28,1,8:08.0,,Offensive rebound by Z. Pachulia,12,4
29,1,8:05.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,12,4
30,1,8:05.0,Defensive rebound by K. Bryant,,12,4
31,1,8:00.0,Turnover by K. Bryant (bad pass; steal by W. Matthews),,12,4
32,1,7:45.0,,Shooting foul by D. Russell (drawn by W. Matthews),12,4
33,1,7:45.0,,W. Matthews makes free throw 1 of 2,12,5
34,1,7:45.0,,W. Matthews makes free throw 2 of 2,12,6
35,1,7:33.0,Shooting foul by W. Matthews (drawn by R. Hibbert),,12,6
36,1,7:33.0,R. Hibbert makes free throw 1 of 2,,13,6
37,1,7:33.0,R. Hibbert makes free throw 2 of 2,,14,6
38,1,7:16.0,,W. Matthews misses 3-pt jump shot from 24 ft,14,6
39,1,7:15.0,Defensive rebound by J. Randle,,14,6
40,1,7:09.0,J. Clarkson misses 2-pt jump shot from 20 ft,,14,6
41,1,7:08.0,,Defensive rebound by Z. Pachulia,14,6
42,1,6:56.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by W. Matthews),14,9
43,1,6:33.0,D. Russell makes 3-pt jump shot from 24 ft (assist by K. Bryant),,17,9
44,1,6:14.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,17,9
45,1,6:14.0,Defensive rebound by Team,,17,9
46,1,6:00.0,J. Randle makes 2-pt jump shot from 16 ft (assist by R. Hibbert),,19,9
47,1,5:57.0,,Dallas full timeout,19,9
48,1,5:57.0,,D. Powell enters the game for C. Parsons,19,9
49,1,5:57.0,,D. Harris enters the game for D. Nowitzki,19,9
50,1,5:57.0,L. Williams enters the game for J. Clarkson,,19,9
51,1,5:46.0,,D. Powell makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),19,11
52,1,5:30.0,L. Williams misses 2-pt layup from 1 ft (block by D. Harris),,19,11
53,1,5:29.0,,Defensive rebound by Z. Pachulia,19,11
54,1,5:19.0,,D. Williams makes 2-pt jump shot from 6 ft,19,13
55,1,5:01.0,D. Russell misses 3-pt jump shot from 25 ft,,19,13
56,1,5:00.0,,Defensive rebound by D. Powell,19,13
57,1,4:51.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Powell),19,16
58,1,4:34.0,Turnover by K. Bryant (lost ball; steal by W. Matthews),,19,16
59,1,4:28.0,,W. Matthews misses 2-pt layup at rim (block by J. Randle),19,16
60,1,4:28.0,,Offensive rebound by Team,19,16
61,1,4:28.0,M. World Peace enters the game for K. Bryant,,19,16
62,1,4:24.0,,D. Williams makes 2-pt jump shot from 18 ft (assist by D. Harris),19,18
63,1,3:58.0,J. Randle misses 2-pt jump shot from 21 ft,,19,18
64,1,3:57.0,,Defensive rebound by Z. Pachulia,19,18
65,1,3:52.0,,Personal foul by J. Randle (drawn by D. Harris),19,18
66,1,3:43.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,19,18
67,1,3:42.0,Defensive rebound by J. Randle,,19,18
68,1,3:20.0,L. Williams makes 3-pt jump shot from 25 ft (assist by J. Randle),,22,18
69,1,3:12.0,,Shooting foul by D. Russell (drawn by D. Williams),22,18
70,1,3:12.0,,D. Williams makes free throw 1 of 2,22,19
71,1,3:12.0,N. Young enters the game for D. Russell,,22,19
72,1,3:12.0,,C. Villanueva enters the game for Z. Pachulia,22,19
73,1,3:12.0,,D. Williams makes free throw 2 of 2,22,20
74,1,2:59.0,J. Randle misses 2-pt layup from 1 ft,,22,20
