,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW YORK_ACTION,CLEVELAND_SCORE,NEW YORK_SCORE
0,1,11:35.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,0,0
1,1,11:33.0,Defensive rebound by L. James,,0,0
2,1,11:16.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,3,0
3,1,11:00.0,,Turnover by J. Calderón (bad pass),3,0
4,1,10:44.0,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Love),,6,0
5,1,10:32.0,,R. Lopez misses 2-pt jump shot from 6 ft,6,0
6,1,10:31.0,,Offensive rebound by Team,6,0
7,1,10:29.0,,J. Calderón misses 2-pt jump shot from 14 ft,6,0
8,1,10:27.0,,Offensive rebound by K. Porziņģis,6,0
9,1,10:26.0,,K. Porziņģis makes 2-pt layup from 1 ft,6,2
10,1,10:08.0,L. James misses 3-pt jump shot from 24 ft,,6,2
11,1,10:06.0,,Defensive rebound by K. Porziņģis,6,2
12,1,10:01.0,,Turnover by J. Calderón (bad pass; steal by L. James),6,2
13,1,9:54.0,L. James makes 2-pt layup from 1 ft (assist by M. Williams),,8,2
14,1,9:32.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),8,5
15,1,9:17.0,Shooting foul by C. Anthony (drawn by L. James),,8,5
16,1,9:17.0,L. James makes free throw 1 of 2,,9,5
17,1,9:17.0,L. James makes free throw 2 of 2,,10,5
18,1,8:57.0,,Turnover by J. Calderón (bad pass; steal by T. Mozgov),10,5
19,1,8:49.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,13,5
20,1,8:41.0,,New York full timeout,13,5
21,1,8:27.0,,Shooting foul by T. Mozgov (drawn by C. Anthony),13,5
22,1,8:27.0,,C. Anthony makes free throw 1 of 2,13,6
23,1,8:27.0,,C. Anthony makes free throw 2 of 2,13,7
24,1,8:08.0,L. James makes 2-pt jump shot from 10 ft,,15,7
25,1,7:54.0,,C. Anthony makes 2-pt jump shot from 6 ft,15,9
26,1,7:36.0,Turnover by M. Williams (lost ball),,15,9
27,1,7:24.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Lopez),15,12
28,1,7:07.0,Turnover by M. Williams (bad pass; steal by J. Calderón),,15,12
