,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,L. James misses 2-pt jump shot from 17 ft,,0,0
1,1,11:33.0,,Defensive rebound by G. Monroe,0,0
2,1,11:09.0,,G. Antetokounmpo misses 2-pt jump shot from 13 ft,0,0
3,1,11:08.0,Defensive rebound by K. Love,,0,0
4,1,11:03.0,M. Williams misses 2-pt jump shot from 14 ft,,0,0
5,1,11:00.0,,Defensive rebound by K. Middleton,0,0
6,1,10:49.0,,G. Monroe misses 2-pt layup from 1 ft,0,0
7,1,10:47.0,,Offensive rebound by G. Monroe,0,0
8,1,10:47.0,,G. Monroe makes 2-pt layup from 1 ft,0,2
9,1,10:23.0,T. Mozgov misses 2-pt jump shot from 8 ft,,0,2
10,1,10:23.0,Offensive rebound by Team,,0,2
11,1,10:23.0,,Loose ball foul by J. Parker (drawn by K. Love),0,2
12,1,10:07.0,Personal foul by J. Parker (drawn by K. Love),,0,2
13,1,10:07.0,,J. O'Bryant enters the game for J. Parker,0,2
14,1,9:57.0,Turnover by J. Smith (lost ball),,0,2
15,1,9:44.0,,J. O'Bryant misses 2-pt jump shot from 14 ft,0,2
16,1,9:43.0,Defensive rebound by M. Williams,,0,2
17,1,9:40.0,Turnover by M. Williams (bad pass),,0,2
18,1,9:20.0,,K. Middleton makes 2-pt jump shot from 14 ft,0,4
19,1,8:58.0,Shooting foul by J. O'Bryant (drawn by K. Love),,0,4
20,1,8:58.0,K. Love makes free throw 1 of 2,,1,4
21,1,8:58.0,K. Love makes free throw 2 of 2,,2,4
22,1,8:41.0,,K. Middleton misses 2-pt jump shot from 13 ft,2,4
23,1,8:40.0,Defensive rebound by M. Williams,,2,4
24,1,8:32.0,Turnover by M. Williams (bad pass),,2,4
25,1,8:20.0,,G. Monroe misses 2-pt layup at rim,2,4
26,1,8:18.0,Defensive rebound by T. Mozgov,,2,4
27,1,8:15.0,Shooting foul by G. Antetokounmpo (drawn by L. James),,2,4
28,1,8:15.0,L. James misses free throw 1 of 2,,2,4
29,1,8:15.0,Offensive rebound by Team,,2,4
30,1,8:15.0,L. James makes free throw 2 of 2,,3,4
31,1,8:04.0,,M. Carter-Williams misses 2-pt jump shot from 5 ft,3,4
32,1,8:02.0,,Offensive rebound by G. Antetokounmpo,3,4
33,1,8:02.0,,G. Antetokounmpo makes 2-pt dunk at rim,3,6
34,1,7:42.0,K. Love misses 3-pt jump shot from 22 ft,,3,6
35,1,7:41.0,Offensive rebound by T. Mozgov,,3,6
36,1,7:37.0,K. Love misses 2-pt layup from 1 ft,,3,6
37,1,7:36.0,,Defensive rebound by Team,3,6
38,1,7:23.0,,Personal foul by M. Williams (drawn by M. Carter-Williams),3,6
39,1,7:12.0,,J. O'Bryant misses 2-pt jump shot from 17 ft,3,6
40,1,7:10.0,Defensive rebound by K. Love,,3,6
41,1,7:03.0,T. Mozgov makes 2-pt jump shot from 2 ft (assist by L. James),,5,6
42,1,6:53.0,,K. Middleton misses 2-pt layup from 2 ft,5,6
43,1,6:50.0,,Offensive rebound by G. Antetokounmpo,5,6
44,1,6:50.0,,G. Antetokounmpo makes 2-pt layup at rim,5,8
45,1,6:44.0,K. Love makes 2-pt layup at rim (assist by L. James),,7,8
46,1,6:31.0,,M. Carter-Williams makes 2-pt jump shot from 3 ft,7,10
47,1,6:18.0,Shooting foul by K. Middleton (drawn by T. Mozgov),,7,10
48,1,6:18.0,T. Mozgov makes free throw 1 of 2,,8,10
49,1,6:18.0,T. Mozgov makes free throw 2 of 2,,9,10
50,1,6:10.0,Violation by K. Love (kicked ball),,9,10
51,1,6:04.0,,G. Antetokounmpo misses 2-pt jump shot from 21 ft,9,10
52,1,6:02.0,Defensive rebound by M. Williams,,9,10
53,1,5:50.0,Turnover by K. Love (lost ball; steal by K. Middleton),,9,10
54,1,5:35.0,,M. Carter-Williams makes 2-pt jump shot from 19 ft,9,12
55,1,5:26.0,Cleveland full timeout,,9,12
56,1,5:26.0,,J. Henson enters the game for J. O'Bryant,9,12
57,1,5:26.0,R. Jefferson enters the game for L. James,,9,12
58,1,5:26.0,M. Dellavedova enters the game for M. Williams,,9,12
59,1,5:21.0,Shooting foul by J. Henson (drawn by K. Love),,9,12
60,1,5:21.0,K. Love misses free throw 1 of 2,,9,12
61,1,5:21.0,Offensive rebound by Team,,9,12
62,1,5:21.0,K. Love makes free throw 2 of 2,,10,12
63,1,5:09.0,,K. Middleton misses 2-pt jump shot from 3 ft,10,12
64,1,5:07.0,,Offensive rebound by G. Monroe,10,12
65,1,5:05.0,,G. Monroe misses 2-pt layup from 2 ft,10,12
66,1,5:03.0,,Offensive rebound by J. Henson,10,12
67,1,4:58.0,,J. Henson makes 2-pt hook shot from 6 ft,10,14
68,1,4:47.0,,Violation by J. Henson (def goaltending),10,14
69,1,4:47.0,K. Love makes 2-pt hook shot from 3 ft,,12,14
70,1,4:36.0,,Shooting foul by T. Mozgov (drawn by J. Henson),12,14
71,1,4:36.0,,J. Henson misses free throw 1 of 2,12,14
72,1,4:36.0,,Offensive rebound by Team,12,14
73,1,4:36.0,,J. Bayless enters the game for G. Antetokounmpo,12,14
74,1,4:36.0,T. Thompson enters the game for T. Mozgov,,12,14
75,1,4:36.0,,J. Henson misses free throw 2 of 2,12,14
76,1,4:35.0,Defensive rebound by J. Smith,,12,14
77,1,4:19.0,K. Love makes 2-pt jump shot from 12 ft,,14,14
78,1,4:04.0,,K. Middleton misses 2-pt jump shot from 4 ft,14,14
79,1,4:02.0,Defensive rebound by K. Love,,14,14
80,1,3:57.0,R. Jefferson makes 3-pt jump shot from 22 ft (assist by M. Dellavedova),,17,14
81,1,3:39.0,,G. Monroe misses 2-pt jump shot from 16 ft,17,14
82,1,3:37.0,Defensive rebound by R. Jefferson,,17,14
83,1,3:28.0,K. Love misses 2-pt jump shot from 17 ft,,17,14
84,1,3:26.0,,Defensive rebound by K. Middleton,17,14
85,1,3:21.0,Violation by J. Smith (kicked ball),,17,14
86,1,3:13.0,,M. Carter-Williams misses 2-pt jump shot from 7 ft,17,14
87,1,3:11.0,,Offensive rebound by G. Monroe,17,14
88,1,3:11.0,,G. Monroe misses 2-pt layup from 1 ft,17,14
89,1,3:08.0,,Offensive rebound by J. Henson,17,14
90,1,3:07.0,,J. Henson misses 2-pt layup at rim,17,14
91,1,3:05.0,,Offensive rebound by J. Henson,17,14
92,1,3:00.0,,G. Monroe makes 2-pt jump shot from 7 ft,17,16
93,1,2:37.0,K. Love misses 3-pt hook shot from 26 ft,,17,16
94,1,2:35.0,,Defensive rebound by G. Monroe,17,16
95,1,2:28.0,,J. Bayless makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),17,19
96,1,2:09.0,K. Love makes 3-pt jump shot from 27 ft (assist by J. Smith),,20,19
97,1,1:49.0,,G. Monroe makes 2-pt layup from 1 ft,20,21
98,1,1:34.0,,Milwaukee full timeout,20,21
99,1,1:34.0,L. James enters the game for K. Love,,20,21
100,1,1:34.0,A. Varejão enters the game for J. Smith,,20,21
101,1,1:34.0,,M. Plumlee enters the game for G. Monroe,20,21
102,1,1:34.0,,G. Antetokounmpo enters the game for K. Middleton,20,21
103,1,1:34.0,,G. Vásquez enters the game for M. Carter-Williams,20,21
104,1,1:22.0,Personal foul by G. Vásquez (drawn by R. Jefferson),,20,21
105,1,1:22.0,R. Jefferson makes free throw 1 of 2,,21,21
106,1,1:22.0,R. Jefferson misses free throw 2 of 2,,21,21
107,1,1:20.0,,Defensive rebound by G. Antetokounmpo,21,21
108,1,1:09.0,,G. Vásquez misses 3-pt jump shot from 25 ft,21,21
109,1,1:06.0,Defensive rebound by L. James,,21,21
110,1,0:58.0,R. Jefferson misses 3-pt jump shot from 22 ft,,21,21
111,1,0:57.0,,Defensive rebound by G. Vásquez,21,21
112,1,0:45.0,,M. Plumlee misses 2-pt hook shot from 4 ft,21,21
113,1,0:44.0,Defensive rebound by M. Dellavedova,,21,21
114,1,0:35.0,A. Varejão misses 2-pt jump shot from 17 ft,,21,21
115,1,0:34.0,,Defensive rebound by Team,21,21
116,1,0:13.0,,G. Vásquez makes 2-pt layup from 1 ft (assist by J. Henson),21,23
117,1,0:13.0,,Shooting foul by R. Jefferson (drawn by G. Vásquez),21,23
118,1,0:13.0,,G. Vásquez misses free throw 1 of 1,21,23
119,1,0:10.0,Defensive rebound by L. James,,21,23
120,1,0:03.0,L. James misses 2-pt jump shot from 7 ft (block by J. Henson),,21,23
121,1,0:02.0,Offensive rebound by L. James,,21,23
122,1,0:02.0,T. Thompson makes 2-pt layup at rim,,23,23
123,1,0:02.0,,Turnover by J. Henson (bad pass; steal by M. Dellavedova),23,23
124,1,0:01.0,M. Dellavedova misses 2-pt jump shot from 20 ft,,23,23
125,1,0:00.0,Offensive rebound by Team,,23,23
126,2,11:41.0,,J. Parker misses 2-pt layup from 1 ft,23,23
127,2,11:39.0,Defensive rebound by L. James,,23,23
128,2,11:30.0,A. Varejão makes 2-pt jump shot from 5 ft (assist by M. Dellavedova),,25,23
129,2,11:14.0,,G. Vásquez misses 2-pt layup from 2 ft,25,23
130,2,11:11.0,,Offensive rebound by G. Antetokounmpo,25,23
131,2,11:11.0,,G. Antetokounmpo misses 2-pt layup at rim,25,23
132,2,11:10.0,Defensive rebound by L. James,,25,23
133,2,11:08.0,Shooting foul by J. Bayless (drawn by L. James),,25,23
134,2,11:08.0,L. James makes free throw 1 of 2,,26,23
135,2,11:08.0,L. James misses free throw 2 of 2,,26,23
136,2,11:06.0,Offensive rebound by A. Varejão,,26,23
137,2,11:01.0,L. James misses 3-pt jump shot from 27 ft,,26,23
138,2,11:00.0,,Defensive rebound by G. Antetokounmpo,26,23
139,2,10:55.0,,Turnover by J. Parker (lost ball),26,23
140,2,10:32.0,T. Thompson makes 2-pt layup from 1 ft (assist by A. Varejão),,28,23
141,2,10:10.0,,Turnover by G. Antetokounmpo (lost ball),28,23
142,2,9:53.0,L. James makes 2-pt layup from 1 ft (assist by M. Dellavedova),,30,23
143,2,9:42.0,,J. Parker makes 2-pt dunk at rim (assist by J. Bayless),30,25
144,2,9:26.0,T. Thompson makes 2-pt jump shot from 5 ft (assist by L. James),,32,25
145,2,9:09.0,,J. Bayless makes 2-pt layup from 1 ft,32,27
146,2,8:44.0,L. James makes 2-pt layup at rim,,34,27
147,2,8:32.0,,J. Bayless makes 2-pt jump shot from 17 ft,34,29
148,2,8:25.0,Cleveland full timeout,,34,29
149,2,8:25.0,K. Love enters the game for A. Varejão,,34,29
150,2,8:25.0,,G. Monroe enters the game for J. Henson,34,29
151,2,8:25.0,Violation by Team (jump ball),,34,29
152,2,8:04.0,L. James makes 3-pt jump shot from 26 ft,,37,29
153,2,7:49.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft,37,31
154,2,7:24.0,T. Thompson misses 2-pt jump shot from 9 ft,,37,31
155,2,7:22.0,Offensive rebound by K. Love,,37,31
156,2,7:14.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,37,31
157,2,7:11.0,,Defensive rebound by G. Antetokounmpo,37,31
158,2,6:52.0,,G. Monroe misses 2-pt jump shot from 5 ft,37,31
159,2,6:51.0,,Offensive rebound by G. Antetokounmpo,37,31
160,2,6:50.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,37,33
161,2,6:50.0,,Shooting foul by T. Thompson (drawn by G. Antetokounmpo),37,33
162,2,6:50.0,R. Jefferson enters the game for L. James,,37,33
163,2,6:50.0,,G. Antetokounmpo misses free throw 1 of 1,37,33
164,2,6:48.0,Defensive rebound by K. Love,,37,33
165,2,6:31.0,Turnover by M. Dellavedova (bad pass),,37,33
166,2,6:31.0,M. Williams enters the game for M. Dellavedova,,37,33
167,2,6:16.0,,J. Parker makes 2-pt layup from 1 ft (assist by J. Bayless),37,35
168,2,5:54.0,J. Smith misses 3-pt jump shot from 23 ft,,37,35
169,2,5:53.0,,Defensive rebound by G. Vásquez,37,35
170,2,5:47.0,,J. Bayless makes 3-pt jump shot from 24 ft (assist by G. Vásquez),37,38
171,2,5:18.0,J. Smith makes 2-pt jump shot from 15 ft,,39,38
172,2,4:55.0,,G. Vásquez makes 2-pt jump shot from 11 ft (assist by G. Antetokounmpo),39,40
173,2,4:42.0,R. Jefferson misses 3-pt jump shot from 25 ft,,39,40
174,2,4:41.0,,Defensive rebound by G. Monroe,39,40
175,2,4:29.0,,G. Monroe makes 2-pt layup at rim (assist by G. Vásquez),39,42
176,2,4:13.0,K. Love makes 3-pt jump shot from 26 ft (assist by M. Williams),,42,42
177,2,4:08.0,,Milwaukee full timeout,42,42
178,2,4:08.0,T. Mozgov enters the game for T. Thompson,,42,42
179,2,4:08.0,,K. Middleton enters the game for J. Parker,42,42
180,2,4:08.0,,Violation by Team (jump ball),42,42
181,2,3:57.0,,G. Antetokounmpo misses 2-pt dunk at rim (block by J. Smith),42,42
182,2,3:57.0,,Offensive rebound by Team,42,42
183,2,3:41.0,,G. Antetokounmpo misses 2-pt hook shot from 6 ft,42,42
184,2,3:40.0,,Offensive rebound by G. Monroe,42,42
185,2,3:37.0,,G. Monroe misses 2-pt hook shot from 6 ft,42,42
186,2,3:35.0,Defensive rebound by J. Smith,,42,42
187,2,3:31.0,Turnover by M. Williams (bad pass),,42,42
188,2,3:13.0,,J. Bayless misses 3-pt jump shot from 26 ft,42,42
189,2,3:12.0,,Offensive rebound by G. Monroe,42,42
190,2,3:03.0,,Shooting foul by M. Williams (drawn by G. Vásquez),42,42
191,2,3:03.0,,G. Vásquez makes free throw 1 of 2,42,43
192,2,3:03.0,M. Dellavedova enters the game for M. Williams,,42,43
193,2,3:03.0,,G. Vásquez makes free throw 2 of 2,42,44
