,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:46.0,Turnover by S. Adams (lost ball; steal by T. Allen),,0,0
1,1,11:40.0,,J. Green makes 2-pt dunk at rim (assist by T. Allen),0,2
2,1,11:27.0,Turnover by A. Morrow (lost ball; steal by M. Conley),,0,2
3,1,11:11.0,,Turnover by M. Gasol (bad pass; steal by R. Westbrook),0,2
4,1,10:56.0,S. Ibaka misses 2-pt jump shot from 6 ft,,0,2
5,1,10:56.0,Offensive rebound by Team,,0,2
6,1,10:40.0,Shooting foul by M. Gasol (drawn by S. Adams),,0,2
7,1,10:40.0,S. Adams makes free throw 1 of 2,,1,2
8,1,10:40.0,S. Adams makes free throw 2 of 2,,2,2
9,1,10:28.0,,Personal foul by K. Singler (drawn by J. Green),2,2
10,1,10:15.0,,M. Conley makes 2-pt layup from 1 ft,2,4
11,1,10:03.0,R. Westbrook makes 2-pt jump shot from 15 ft,,4,4
12,1,9:49.0,,Turnover by M. Gasol (bad pass),4,4
13,1,9:39.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,6,4
14,1,9:22.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by T. Allen),6,6
15,1,8:59.0,S. Ibaka makes 2-pt jump shot from 2 ft (assist by R. Westbrook),,8,6
16,1,8:46.0,,Z. Randolph misses 2-pt jump shot from 19 ft,8,6
17,1,8:43.0,,Offensive rebound by M. Gasol,8,6
18,1,8:43.0,,M. Gasol makes 2-pt jump shot at rim,8,8
19,1,8:25.0,S. Ibaka misses 2-pt jump shot from 19 ft,,8,8
20,1,8:25.0,,Defensive rebound by Z. Randolph,8,8
21,1,8:12.0,,M. Gasol misses 2-pt jump shot from 15 ft,8,8
22,1,8:11.0,,Offensive rebound by M. Conley,8,8
23,1,8:08.0,,M. Conley misses 3-pt jump shot from 23 ft,8,8
24,1,8:07.0,Defensive rebound by A. Morrow,,8,8
25,1,7:57.0,A. Morrow misses 3-pt jump shot from 25 ft,,8,8
26,1,7:57.0,,Defensive rebound by Team,8,8
27,1,7:57.0,Loose ball foul by K. Singler (drawn by M. Gasol),,8,8
28,1,7:57.0,D. Waiters enters the game for K. Singler,,8,8
29,1,7:50.0,,Turnover by J. Green (traveling),8,8
30,1,7:27.0,S. Adams misses 2-pt layup at rim,,8,8
31,1,7:26.0,Offensive rebound by S. Adams,,8,8
