,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:31.0,,M. Ellis misses 3-pt jump shot from 27 ft,0,0
1,1,11:31.0,Defensive rebound by N. Mirotić,,0,0
2,1,11:16.0,T. Snell misses 3-pt jump shot from 25 ft,,0,0
3,1,11:15.0,Offensive rebound by N. Mirotić,,0,0
4,1,11:02.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,0,0
5,1,11:02.0,P. Gasol makes free throw 1 of 2,,1,0
6,1,11:02.0,P. Gasol misses free throw 2 of 2,,1,0
7,1,11:02.0,,Defensive rebound by C. Miles,1,0
8,1,10:48.0,,P. George misses 3-pt jump shot from 24 ft,1,0
9,1,10:47.0,Defensive rebound by T. Snell,,1,0
10,1,10:36.0,T. Snell misses 2-pt jump shot from 19 ft,,1,0
11,1,10:35.0,Offensive rebound by Team,,1,0
12,1,10:29.0,P. Gasol makes 2-pt layup at rim,,3,0
13,1,10:11.0,,M. Ellis misses 2-pt layup from 1 ft,3,0
14,1,10:11.0,,Offensive rebound by I. Mahinmi,3,0
15,1,10:06.0,,I. Mahinmi makes 2-pt layup from 1 ft,3,2
16,1,9:55.0,P. Gasol misses 2-pt jump shot from 19 ft,,3,2
17,1,9:54.0,Offensive rebound by Team,,3,2
18,1,9:54.0,,Loose ball foul by C. Miles (drawn by N. Mirotić),3,2
19,1,9:48.0,J. Butler makes 2-pt layup from 1 ft (assist by P. Gasol),,5,2
20,1,9:36.0,,P. George misses 2-pt jump shot from 7 ft,5,2
21,1,9:35.0,Defensive rebound by P. Gasol,,5,2
22,1,9:26.0,P. Gasol makes 2-pt layup from 2 ft (assist by J. Butler),,7,2
23,1,9:10.0,,C. Miles makes 2-pt jump shot from 11 ft (assist by I. Mahinmi),7,4
24,1,8:57.0,D. Rose misses 3-pt jump shot from 26 ft,,7,4
25,1,8:56.0,,Defensive rebound by G. Hill,7,4
26,1,8:46.0,,P. George misses 3-pt jump shot from 25 ft,7,4
27,1,8:46.0,,Offensive rebound by I. Mahinmi,7,4
28,1,8:41.0,,I. Mahinmi makes 2-pt layup from 2 ft,7,6
29,1,8:36.0,Turnover by T. Snell (step out of bounds),,7,6
30,1,8:23.0,,C. Miles makes 2-pt jump shot from 21 ft,7,8
31,1,8:15.0,Turnover by D. Rose (bad pass),,7,8
32,1,8:09.0,,P. George makes 2-pt layup from 2 ft,7,10
33,1,7:53.0,Turnover by D. Rose (bad pass; steal by I. Mahinmi),,7,10
34,1,7:45.0,,G. Hill misses 2-pt jump shot from 3 ft,7,10
35,1,7:45.0,,Offensive rebound by M. Ellis,7,10
36,1,7:44.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by M. Ellis),7,13
37,1,7:44.0,Chicago full timeout,,7,13
38,1,7:29.0,N. Mirotić makes 2-pt layup from 1 ft (assist by P. Gasol),,9,13
39,1,7:16.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by M. Ellis),9,15
40,1,7:03.0,T. Snell misses 2-pt jump shot from 21 ft,,9,15
41,1,7:02.0,,Defensive rebound by P. George,9,15
42,1,7:00.0,,Turnover by P. George (bad pass; steal by J. Butler),9,15
43,1,6:49.0,Turnover by N. Mirotić (bad pass; steal by M. Ellis),,9,15
44,1,6:44.0,,G. Hill makes 2-pt dunk at rim (assist by C. Miles),9,17
45,1,6:26.0,P. Gasol misses 2-pt jump shot from 11 ft,,9,17
46,1,6:25.0,,Defensive rebound by G. Hill,9,17
47,1,6:12.0,,P. George makes 2-pt layup from 2 ft,9,19
48,1,5:58.0,T. Snell misses 2-pt jump shot from 21 ft,,9,19
49,1,5:58.0,,Defensive rebound by P. George,9,19
50,1,5:53.0,,P. George misses 2-pt jump shot from 23 ft,9,19
51,1,5:52.0,Defensive rebound by T. Snell,,9,19
52,1,5:43.0,N. Mirotić misses 3-pt jump shot from 25 ft,,9,19
53,1,5:43.0,,Defensive rebound by G. Hill,9,19
54,1,5:32.0,,P. George misses 3-pt jump shot from 22 ft,9,19
55,1,5:31.0,Defensive rebound by P. Gasol,,9,19
56,1,5:19.0,T. Snell makes 3-pt jump shot from 24 ft (assist by D. Rose),,12,19
57,1,5:03.0,,P. George makes 2-pt layup from 1 ft (assist by I. Mahinmi),12,21
58,1,4:49.0,Turnover by N. Mirotić (bad pass; steal by M. Ellis),,12,21
59,1,4:48.0,,Personal take foul by N. Mirotić (drawn by M. Ellis),12,21
60,1,4:48.0,,L. Allen enters the game for I. Mahinmi,12,21
61,1,4:48.0,,R. Stuckey enters the game for G. Hill,12,21
62,1,4:48.0,K. Hinrich enters the game for T. Snell,,12,21
63,1,4:48.0,E. Moore enters the game for P. Gasol,,12,21
64,1,4:48.0,J. Noah enters the game for D. Rose,,12,21
65,1,4:40.0,,Personal foul by E. Moore (drawn by R. Stuckey),12,21
66,1,4:34.0,,P. George makes 3-pt jump shot from 25 ft,12,24
67,1,4:22.0,Turnover by J. Butler (bad pass),,12,24
68,1,4:08.0,,C. Miles misses 3-pt jump shot from 24 ft,12,24
69,1,4:07.0,Defensive rebound by E. Moore,,12,24
70,1,3:54.0,E. Moore makes 2-pt jump shot from 15 ft,,14,24
71,1,3:34.0,,P. George misses 3-pt jump shot from 23 ft,14,24
72,1,3:33.0,Defensive rebound by J. Butler,,14,24
73,1,3:23.0,J. Butler misses 2-pt jump shot from 7 ft,,14,24
74,1,3:22.0,,Defensive rebound by M. Ellis,14,24
75,1,3:17.0,,C. Miles makes 2-pt layup from 1 ft (assist by M. Ellis),14,26
76,1,2:57.0,J. Noah misses 2-pt jump shot from 21 ft,,14,26
77,1,2:57.0,,Defensive rebound by P. George,14,26
78,1,2:49.0,,M. Ellis misses 2-pt jump shot from 3 ft,14,26
79,1,2:48.0,Defensive rebound by J. Noah,,14,26
80,1,2:41.0,Shooting block foul by L. Allen (drawn by N. Mirotić),,14,26
81,1,2:41.0,,Indiana full timeout,14,26
82,1,2:41.0,N. Mirotić makes free throw 1 of 2,,15,26
83,1,2:41.0,N. Mirotić makes free throw 2 of 2,,16,26
84,1,2:25.0,,R. Stuckey misses 2-pt jump shot from 13 ft,16,26
85,1,2:24.0,,Offensive rebound by Team,16,26
86,1,2:24.0,T. Gibson enters the game for N. Mirotić,,16,26
87,1,2:24.0,,I. Mahinmi enters the game for C. Miles,16,26
88,1,2:11.0,,P. George misses 2-pt jump shot from 14 ft,16,26
89,1,2:10.0,Defensive rebound by K. Hinrich,,16,26
90,1,1:52.0,T. Gibson makes 2-pt jump shot from 11 ft (assist by K. Hinrich),,18,26
91,1,1:37.0,,M. Ellis misses 3-pt jump shot from 23 ft,18,26
92,1,1:37.0,Defensive rebound by J. Noah,,18,26
93,1,1:11.0,Turnover by J. Butler (lost ball; steal by R. Stuckey),,18,26
94,1,1:04.0,,L. Allen makes 2-pt jump shot from 21 ft (assist by P. George),18,28
95,1,0:55.0,J. Butler misses 3-pt jump shot from 24 ft,,18,28
96,1,0:54.0,,Defensive rebound by I. Mahinmi,18,28
97,1,0:49.0,,Shooting foul by K. Hinrich (drawn by R. Stuckey),18,28
98,1,0:49.0,,R. Stuckey makes free throw 1 of 2,18,29
99,1,0:49.0,,R. Stuckey makes free throw 2 of 2,18,30
