,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:38.0,Turnover by A. Aminu (bad pass),,0,0
1,1,11:28.0,,K. Martin misses 2-pt jump shot from 11 ft,0,0
2,1,11:26.0,Defensive rebound by M. Plumlee,,0,0
3,1,11:13.0,A. Aminu makes 2-pt jump shot from 9 ft (assist by C. McCollum),,2,0
4,1,10:58.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Martin),2,2
5,1,10:48.0,Offensive foul by A. Aminu (drawn by R. Rubio),,2,2
6,1,10:48.0,Turnover by A. Aminu (offensive foul),,2,2
7,1,10:38.0,,A. Wiggins makes 2-pt jump shot from 17 ft (assist by R. Rubio),2,4
8,1,10:18.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,5,4
9,1,10:06.0,,Personal foul by M. Plumlee (drawn by K. Towns),5,4
10,1,9:59.0,,Shooting foul by D. Lillard (drawn by R. Rubio),5,4
11,1,9:59.0,,R. Rubio makes free throw 1 of 2,5,5
12,1,9:59.0,,R. Rubio makes free throw 2 of 2,5,6
13,1,9:49.0,,Violation by K. Towns (def goaltending),5,6
14,1,9:49.0,A. Aminu makes 2-pt jump shot from 7 ft,,7,6
15,1,9:49.0,Shooting foul by A. Wiggins (drawn by A. Aminu),,7,6
16,1,9:49.0,A. Aminu makes free throw 1 of 1,,8,6
17,1,9:35.0,,K. Garnett makes 2-pt jump shot from 17 ft (assist by R. Rubio),8,8
18,1,9:26.0,D. Lillard misses 2-pt layup from 1 ft,,8,8
19,1,9:25.0,,Defensive rebound by K. Towns,8,8
20,1,9:19.0,,Turnover by R. Rubio (bad pass),8,8
21,1,9:01.0,,Violation by R. Rubio (kicked ball),8,8
22,1,8:51.0,Turnover by N. Vonleh (3 sec),,8,8
23,1,8:36.0,,A. Wiggins makes 2-pt layup from 1 ft,8,10
24,1,8:26.0,M. Plumlee misses 2-pt layup from 2 ft (block by K. Garnett),,8,10
25,1,8:25.0,Offensive rebound by Team,,8,10
26,1,8:10.0,M. Plumlee makes 2-pt hook shot from 8 ft,,10,10
27,1,7:51.0,,K. Martin makes 3-pt jump shot from 25 ft (assist by K. Garnett),10,13
28,1,7:36.0,C. McCollum makes 3-pt jump shot from 22 ft (assist by D. Lillard),,13,13
29,1,7:24.0,,Shooting foul by M. Plumlee (drawn by A. Wiggins),13,13
30,1,7:24.0,,A. Wiggins makes free throw 1 of 2,13,14
31,1,7:24.0,E. Davis enters the game for M. Plumlee,,13,14
32,1,7:24.0,,A. Wiggins makes free throw 2 of 2,13,15
33,1,7:07.0,E. Davis misses 2-pt jump shot from 5 ft (block by K. Towns),,13,15
34,1,7:03.0,,Defensive rebound by K. Martin,13,15
35,1,7:01.0,,Personal foul by C. McCollum (drawn by A. Wiggins),13,15
36,1,6:55.0,,K. Garnett misses 2-pt jump shot from 17 ft,13,15
37,1,6:54.0,,Offensive rebound by A. Wiggins,13,15
38,1,6:41.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by K. Garnett),13,17
39,1,6:24.0,N. Vonleh misses 2-pt layup from 1 ft,,13,17
40,1,6:23.0,Offensive rebound by E. Davis,,13,17
41,1,6:22.0,E. Davis makes 2-pt layup from 1 ft,,15,17
42,1,6:15.0,,Minnesota full timeout,15,17
43,1,6:15.0,M. Leonard enters the game for N. Vonleh,,15,17
44,1,6:15.0,,A. Payne enters the game for K. Garnett,15,17
45,1,6:09.0,,K. Towns misses 2-pt jump shot from 20 ft,15,17
46,1,6:08.0,Defensive rebound by A. Aminu,,15,17
47,1,5:58.0,D. Lillard misses 2-pt layup from 2 ft,,15,17
48,1,5:57.0,Offensive rebound by E. Davis,,15,17
49,1,5:57.0,E. Davis makes 2-pt layup from 1 ft,,17,17
50,1,5:36.0,,K. Martin misses 2-pt jump shot from 9 ft,17,17
51,1,5:34.0,,Offensive rebound by K. Towns,17,17
52,1,5:24.0,,K. Towns makes 2-pt hook shot from 7 ft,17,19
53,1,5:10.0,Offensive foul by A. Aminu (drawn by R. Rubio),,17,19
54,1,5:10.0,Turnover by A. Aminu (offensive foul),,17,19
55,1,5:10.0,A. Crabbe enters the game for C. McCollum,,17,19
56,1,5:10.0,M. Harkless enters the game for A. Aminu,,17,19
57,1,4:53.0,,A. Payne misses 3-pt jump shot from 22 ft,17,19
58,1,4:52.0,,Offensive rebound by K. Towns,17,19
59,1,4:48.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Towns),17,21
60,1,4:30.0,A. Crabbe misses 2-pt jump shot from 23 ft,,17,21
61,1,4:29.0,,Defensive rebound by A. Payne,17,21
62,1,4:22.0,,Shooting foul by M. Leonard (drawn by K. Martin),17,21
63,1,4:22.0,,K. Martin makes free throw 1 of 2,17,22
64,1,4:22.0,,K. Martin makes free throw 2 of 2,17,23
65,1,4:07.0,Shooting foul by A. Payne (drawn by M. Harkless),,17,23
66,1,4:07.0,M. Harkless misses free throw 1 of 2,,17,23
67,1,4:07.0,Offensive rebound by Team,,17,23
68,1,4:07.0,M. Harkless misses free throw 2 of 2,,17,23
69,1,4:05.0,,Defensive rebound by R. Rubio,17,23
70,1,3:46.0,,R. Rubio makes 3-pt jump shot from 25 ft,17,26
71,1,3:25.0,D. Lillard makes 2-pt layup from 1 ft,,19,26
72,1,3:19.0,,R. Rubio misses 3-pt jump shot from 24 ft,19,26
73,1,3:18.0,Defensive rebound by E. Davis,,19,26
74,1,3:08.0,D. Lillard misses 3-pt jump shot from 24 ft,,19,26
75,1,3:07.0,,Defensive rebound by A. Payne,19,26
76,1,2:57.0,,K. Martin misses 2-pt jump shot from 15 ft,19,26
77,1,2:55.0,Defensive rebound by M. Harkless,,19,26
78,1,2:49.0,A. Crabbe makes 2-pt layup at rim (assist by D. Lillard),,21,26
79,1,2:35.0,,A. Payne makes 2-pt layup at rim (assist by R. Rubio),21,28
80,1,2:34.0,Portland full timeout,,21,28
