,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:43.0,,J. Sullinger misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by L. James,,0,0
2,1,11:25.0,L. James misses 2-pt layup from 2 ft,,0,0
3,1,11:24.0,,Defensive rebound by J. Sullinger,0,0
4,1,11:18.0,,J. Crowder misses 3-pt jump shot from 25 ft,0,0
5,1,11:17.0,,Offensive rebound by Team,0,0
6,1,11:03.0,,I. Thomas makes 2-pt jump shot from 20 ft,0,2
7,1,10:44.0,K. Love makes 2-pt hook shot from 4 ft,,2,2
8,1,10:22.0,,J. Crowder makes 2-pt jump shot from 19 ft,2,4
9,1,10:03.0,K. Love misses 2-pt jump shot from 12 ft,,2,4
10,1,10:03.0,,Defensive rebound by J. Sullinger,2,4
11,1,9:49.0,,J. Sullinger makes 2-pt hook shot from 2 ft,2,6
12,1,9:37.0,M. Dellavedova makes 2-pt jump shot from 6 ft,,4,6
13,1,9:20.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by I. Thomas),4,9
14,1,9:04.0,L. James makes 2-pt layup from 2 ft (assist by K. Love),,6,9
15,1,8:57.0,,Personal foul by T. Mozgov (drawn by A. Johnson),6,9
16,1,8:48.0,,A. Johnson makes 2-pt dunk at rim (assist by J. Sullinger),6,11
17,1,8:35.0,Turnover by M. Dellavedova (bad pass),,6,11
18,1,8:29.0,,Personal foul by M. Dellavedova (drawn by I. Thomas),6,11
19,1,8:22.0,,J. Sullinger misses 2-pt jump shot from 17 ft,6,11
20,1,8:21.0,,Offensive rebound by A. Johnson,6,11
21,1,8:17.0,,I. Thomas misses 3-pt jump shot from 24 ft,6,11
22,1,8:16.0,Defensive rebound by L. James,,6,11
23,1,8:08.0,Turnover by L. James (bad pass; steal by A. Bradley),,6,11
24,1,7:56.0,,A. Bradley misses 3-pt jump shot from 24 ft,6,11
25,1,7:55.0,Defensive rebound by T. Mozgov,,6,11
26,1,7:49.0,J. Smith misses 3-pt jump shot from 24 ft,,6,11
27,1,7:48.0,Offensive rebound by K. Love,,6,11
28,1,7:42.0,Shooting foul by A. Johnson (drawn by K. Love),,6,11
29,1,7:42.0,K. Love makes free throw 1 of 2,,7,11
30,1,7:42.0,K. Love makes free throw 2 of 2,,8,11
31,1,7:26.0,,J. Crowder misses 3-pt jump shot from 24 ft,8,11
32,1,7:25.0,Defensive rebound by T. Mozgov,,8,11
33,1,7:10.0,K. Love makes 2-pt layup from 2 ft,,10,11
34,1,6:53.0,,J. Crowder misses 2-pt jump shot from 4 ft,10,11
35,1,6:53.0,,Offensive rebound by J. Sullinger,10,11
36,1,6:50.0,,J. Sullinger misses 2-pt layup from 1 ft (block by T. Mozgov),10,11
37,1,6:49.0,Defensive rebound by K. Love,,10,11
38,1,6:37.0,L. James misses 2-pt layup from 2 ft (block by A. Bradley),,10,11
39,1,6:35.0,Offensive rebound by L. James,,10,11
40,1,6:30.0,K. Love misses 3-pt jump shot from 23 ft,,10,11
41,1,6:29.0,,Defensive rebound by J. Crowder,10,11
42,1,6:26.0,,I. Thomas misses 2-pt layup from 2 ft,10,11
43,1,6:25.0,,Offensive rebound by A. Johnson,10,11
44,1,6:25.0,,A. Johnson makes 2-pt layup from 3 ft,10,13
45,1,6:18.0,Offensive foul by L. James (drawn by J. Crowder),,10,13
46,1,6:18.0,Turnover by L. James (offensive foul),,10,13
47,1,6:05.0,,Turnover by J. Crowder (traveling),10,13
48,1,5:58.0,,Boston full timeout,10,13
49,1,5:48.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,13,13
50,1,5:33.0,,Turnover by J. Sullinger (bad pass; steal by K. Love),13,13
51,1,5:32.0,Personal foul by J. Crowder (drawn by L. James),,13,13
52,1,5:24.0,Turnover by L. James (traveling),,13,13
53,1,5:05.0,,J. Crowder misses 2-pt jump shot from 18 ft,13,13
54,1,5:04.0,,Offensive rebound by A. Johnson,13,13
55,1,5:04.0,,A. Johnson misses 2-pt layup from 1 ft,13,13
56,1,5:02.0,,Offensive rebound by Team,13,13
57,1,5:02.0,,J. Jerebko enters the game for I. Thomas,13,13
58,1,5:02.0,,E. Turner enters the game for J. Crowder,13,13
59,1,5:02.0,I. Shumpert enters the game for J. Smith,,13,13
60,1,4:55.0,,J. Sullinger misses 2-pt jump shot from 16 ft,13,13
61,1,4:55.0,Defensive rebound by M. Dellavedova,,13,13
62,1,4:47.0,M. Dellavedova misses 2-pt jump shot from 8 ft,,13,13
63,1,4:46.0,,Defensive rebound by A. Bradley,13,13
64,1,4:36.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Sullinger),13,16
65,1,4:21.0,L. James makes 2-pt layup from 1 ft,,15,16
66,1,4:06.0,,Turnover by A. Bradley (bad pass; steal by L. James),15,16
67,1,4:02.0,L. James makes 2-pt layup from 2 ft,,17,16
68,1,3:40.0,,J. Jerebko misses 2-pt jump shot from 18 ft,17,16
69,1,3:39.0,Defensive rebound by T. Mozgov,,17,16
70,1,3:23.0,K. Love makes 2-pt layup from 1 ft (assist by I. Shumpert),,19,16
71,1,3:12.0,,A. Johnson misses 2-pt jump shot from 4 ft,19,16
72,1,3:11.0,Defensive rebound by I. Shumpert,,19,16
73,1,3:05.0,I. Shumpert misses 2-pt jump shot from 20 ft,,19,16
74,1,3:04.0,,Defensive rebound by E. Turner,19,16
75,1,2:51.0,,A. Bradley misses 3-pt jump shot from 26 ft,19,16
76,1,2:50.0,Defensive rebound by T. Mozgov,,19,16
77,1,2:44.0,Cleveland full timeout,,19,16
78,1,2:44.0,,K. Olynyk enters the game for A. Johnson,19,16
79,1,2:44.0,,D. Lee enters the game for J. Sullinger,19,16
80,1,2:44.0,T. Thompson enters the game for L. James,,19,16
81,1,2:44.0,R. Jefferson enters the game for K. Love,,19,16
82,1,2:44.0,M. Williams enters the game for M. Dellavedova,,19,16
83,1,2:24.0,R. Jefferson misses 2-pt jump shot from 16 ft,,19,16
84,1,2:23.0,,Defensive rebound by A. Bradley,19,16
85,1,2:10.0,,D. Lee misses 2-pt hook shot from 4 ft,19,16
86,1,2:09.0,Defensive rebound by T. Thompson,,19,16
87,1,1:58.0,M. Williams misses 2-pt jump shot from 7 ft,,19,16
88,1,1:57.0,,Defensive rebound by Team,19,16
89,1,1:46.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by D. Lee),19,19
90,1,1:21.0,I. Shumpert misses 3-pt jump shot from 24 ft,,19,19
91,1,1:20.0,,Defensive rebound by Team,19,19
92,1,1:20.0,A. Varejão enters the game for T. Mozgov,,19,19
93,1,1:08.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by D. Lee),19,21
94,1,0:53.0,A. Varejão makes 2-pt jump shot from 7 ft (assist by M. Williams),,21,21
95,1,0:44.0,,A. Bradley makes 2-pt dunk at rim (assist by D. Lee),21,23
96,1,0:32.0,M. Williams makes 2-pt jump shot from 18 ft,,23,23
97,1,0:20.0,,D. Lee makes 2-pt layup from 3 ft (assist by E. Turner),23,25
98,1,0:02.0,M. Williams misses 2-pt layup from 2 ft,,23,25
99,1,0:01.0,Offensive rebound by Team,,23,25
100,1,0:01.0,,J. Sullinger enters the game for D. Lee,23,25
101,1,0:00.0,T. Thompson misses 2-pt jump shot from 8 ft,,23,25
102,1,0:00.0,Offensive rebound by Team,,23,25
103,2,11:51.0,Personal foul by J. Young (drawn by I. Shumpert),,23,25
104,2,11:45.0,Def 3 sec tech foul by D. Lee,,23,25
105,2,11:45.0,M. Williams makes technical free throw,,24,25
106,2,11:28.0,R. Jefferson makes 2-pt jump shot from 10 ft,,26,25
107,2,11:19.0,,Personal foul by A. Varejão (drawn by D. Lee),26,25
108,2,11:16.0,Violation by I. Shumpert (kicked ball),,26,25
109,2,11:09.0,,Turnover by D. Lee (bad pass),26,25
110,2,10:48.0,M. Williams misses 3-pt jump shot from 24 ft,,26,25
111,2,10:47.0,,Defensive rebound by J. Young,26,25
112,2,10:29.0,,E. Turner misses 3-pt jump shot from 23 ft,26,25
113,2,10:28.0,Defensive rebound by T. Thompson,,26,25
114,2,10:10.0,Turnover by R. Jefferson (lost ball; steal by K. Olynyk),,26,25
115,2,10:04.0,,J. Young misses 3-pt jump shot from 24 ft,26,25
116,2,10:02.0,Defensive rebound by T. Thompson,,26,25
117,2,9:51.0,A. Varejão makes 2-pt layup from 2 ft,,28,25
118,2,9:33.0,,K. Olynyk misses 2-pt jump shot from 17 ft,28,25
119,2,9:31.0,Defensive rebound by T. Thompson,,28,25
120,2,9:21.0,M. Williams misses 2-pt jump shot from 19 ft,,28,25
121,2,9:20.0,,Defensive rebound by J. Young,28,25
122,2,9:07.0,,D. Lee makes 2-pt layup from 1 ft,28,27
