,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:55.0,Personal foul by A. Johnson (drawn by K. Bazemore),,0,0
1,1,11:43.0,K. Korver misses 2-pt jump shot from 13 ft,,0,0
2,1,11:41.0,Offensive rebound by Team,,0,0
3,1,11:35.0,P. Millsap misses 2-pt jump shot from 5 ft,,0,0
4,1,11:34.0,,Defensive rebound by J. Crowder,0,0
5,1,11:18.0,,A. Johnson misses 2-pt hook shot from 3 ft,0,0
6,1,11:17.0,Defensive rebound by A. Horford,,0,0
7,1,11:03.0,P. Millsap misses 3-pt jump shot from 23 ft,,0,0
8,1,11:02.0,,Defensive rebound by J. Sullinger,0,0
9,1,10:57.0,,Turnover by A. Bradley (bad pass),0,0
10,1,10:40.0,K. Bazemore misses 3-pt jump shot from 23 ft,,0,0
11,1,10:39.0,,Defensive rebound by J. Sullinger,0,0
12,1,10:26.0,,A. Bradley misses 2-pt jump shot from 21 ft,0,0
13,1,10:24.0,Defensive rebound by P. Millsap,,0,0
14,1,10:18.0,Turnover by P. Millsap (lost ball; steal by A. Bradley),,0,0
15,1,10:01.0,,Turnover by I. Thomas (bad pass; steal by A. Horford),0,0
16,1,9:56.0,Turnover by K. Bazemore (lost ball; steal by I. Thomas),,0,0
17,1,9:28.0,,J. Sullinger misses 2-pt jump shot from 18 ft,0,0
18,1,9:28.0,Defensive rebound by K. Bazemore,,0,0
19,1,9:21.0,A. Horford makes 2-pt layup from 1 ft,,2,0
20,1,9:08.0,,A. Bradley misses 2-pt jump shot from 1 ft,2,0
21,1,9:07.0,,Offensive rebound by A. Bradley,2,0
22,1,9:07.0,,A. Bradley makes 2-pt layup from 1 ft,2,2
23,1,8:52.0,K. Korver makes 2-pt layup from 1 ft (assist by J. Teague),,4,2
24,1,8:42.0,,A. Johnson makes 2-pt layup from 1 ft (assist by J. Sullinger),4,4
25,1,8:29.0,K. Bazemore misses 2-pt layup from 1 ft,,4,4
26,1,8:28.0,,Defensive rebound by J. Sullinger,4,4
27,1,8:22.0,,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),4,6
28,1,8:08.0,A. Horford misses 2-pt jump shot from 4 ft,,4,6
29,1,8:07.0,,Defensive rebound by J. Sullinger,4,6
30,1,7:57.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by J. Sullinger),4,9
31,1,7:41.0,K. Korver makes 2-pt layup from 1 ft (assist by J. Teague),,6,9
32,1,7:17.0,,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Johnson),6,12
33,1,7:17.0,Atlanta full timeout,,6,12
34,1,7:00.0,P. Millsap makes 2-pt layup at rim (assist by A. Horford),,8,12
35,1,6:40.0,,Turnover by A. Johnson (lost ball; steal by P. Millsap),8,12
36,1,6:35.0,Turnover by J. Teague (bad pass; steal by I. Thomas),,8,12
37,1,6:19.0,,J. Crowder makes 2-pt jump shot from 19 ft (assist by I. Thomas),8,14
38,1,6:06.0,J. Teague misses 3-pt jump shot from 25 ft,,8,14
39,1,6:05.0,Offensive rebound by A. Horford,,8,14
40,1,6:02.0,K. Korver misses 3-pt jump shot from 24 ft,,8,14
41,1,6:01.0,,Defensive rebound by J. Crowder,8,14
42,1,5:55.0,,I. Thomas misses 2-pt jump shot from 4 ft,8,14
43,1,5:55.0,,Offensive rebound by Team,8,14
44,1,5:55.0,Loose ball foul by A. Horford (drawn by A. Johnson),,8,14
45,1,5:55.0,T. Splitter enters the game for K. Korver,,8,14
46,1,5:55.0,T. Sefolosha enters the game for A. Horford,,8,14
47,1,5:55.0,,K. Olynyk enters the game for J. Sullinger,8,14
48,1,5:44.0,,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),8,16
49,1,5:28.0,K. Bazemore makes 2-pt layup from 2 ft (assist by P. Millsap),,10,16
50,1,5:13.0,,A. Bradley makes 2-pt jump shot from 16 ft,10,18
51,1,5:01.0,P. Millsap misses 2-pt jump shot from 5 ft,,10,18
52,1,5:00.0,,Defensive rebound by A. Johnson,10,18
53,1,4:44.0,,A. Bradley misses 3-pt jump shot from 25 ft,10,18
54,1,4:43.0,Defensive rebound by T. Sefolosha,,10,18
55,1,4:39.0,Shooting foul by K. Olynyk (drawn by J. Teague),,10,18
56,1,4:39.0,J. Teague makes free throw 1 of 2,,11,18
57,1,4:39.0,,E. Turner enters the game for J. Crowder,11,18
58,1,4:39.0,D. Schröder enters the game for K. Bazemore,,11,18
59,1,4:39.0,J. Teague makes free throw 2 of 2,,12,18
60,1,4:25.0,,Personal foul by T. Splitter (drawn by K. Olynyk),12,18
61,1,4:25.0,K. Bazemore enters the game for J. Teague,,12,18
62,1,4:18.0,,Turnover by I. Thomas (bad pass; steal by T. Splitter),12,18
63,1,4:01.0,D. Schröder misses 2-pt layup from 2 ft,,12,18
64,1,4:01.0,,Defensive rebound by A. Johnson,12,18
65,1,3:58.0,,Personal foul by K. Bazemore (drawn by I. Thomas),12,18
66,1,3:45.0,,Personal block foul by P. Millsap (drawn by A. Bradley),12,18
67,1,3:45.0,,D. Lee enters the game for A. Johnson,12,18
68,1,3:35.0,,D. Lee misses 2-pt layup from 1 ft,12,18
69,1,3:34.0,,Offensive rebound by Team,12,18
70,1,3:31.0,,Turnover by Team (shot clock),12,18
71,1,3:17.0,D. Schröder misses 3-pt jump shot from 24 ft,,12,18
72,1,3:17.0,Offensive rebound by T. Splitter,,12,18
73,1,3:17.0,Personal foul by I. Thomas (drawn by T. Splitter),,12,18
74,1,3:17.0,,R. Hunter enters the game for I. Thomas,12,18
75,1,3:09.0,Turnover by K. Bazemore (traveling),,12,18
76,1,2:56.0,,Turnover by K. Olynyk (bad pass; steal by P. Millsap),12,18
77,1,2:50.0,K. Bazemore makes 2-pt layup at rim (assist by P. Millsap),,14,18
78,1,2:34.0,,Turnover by D. Lee (bad pass; steal by D. Schröder),14,18
79,1,2:29.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by D. Schröder),,16,18
80,1,2:16.0,,Turnover by E. Turner (bad pass; steal by K. Bazemore),16,18
81,1,2:16.0,Personal foul by K. Olynyk (drawn by K. Bazemore),,16,18
82,1,2:16.0,,Boston full timeout,16,18
83,1,2:05.0,Shooting foul by R. Hunter (drawn by T. Splitter),,16,18
84,1,2:05.0,T. Splitter makes free throw 1 of 2,,17,18
85,1,2:05.0,A. Horford enters the game for P. Millsap,,17,18
86,1,2:05.0,T. Splitter misses free throw 2 of 2,,17,18
87,1,2:05.0,,Defensive rebound by D. Lee,17,18
88,1,1:51.0,,D. Lee misses 2-pt jump shot from 7 ft,17,18
89,1,1:50.0,Defensive rebound by A. Horford,,17,18
90,1,1:34.0,,Violation by K. Olynyk (kicked ball),17,18
91,1,1:34.0,K. Korver enters the game for K. Bazemore,,17,18
92,1,1:23.0,A. Horford misses 2-pt jump shot from 18 ft,,17,18
93,1,1:22.0,,Defensive rebound by D. Lee,17,18
94,1,1:10.0,,D. Lee makes 2-pt jump shot from 20 ft,17,20
95,1,0:52.0,D. Schröder misses 3-pt jump shot from 24 ft,,17,20
96,1,0:51.0,Offensive rebound by T. Sefolosha,,17,20
97,1,0:47.0,K. Korver misses 3-pt jump shot from 24 ft,,17,20
98,1,0:45.0,,Defensive rebound by R. Hunter,17,20
99,1,0:38.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by E. Turner),17,23
100,1,0:32.0,D. Schröder makes 2-pt layup from 2 ft,,19,23
101,1,0:15.0,,D. Lee makes 2-pt jump shot from 4 ft,19,25
102,2,11:40.0,,K. Olynyk misses 2-pt layup from 2 ft (block by A. Horford),19,25
103,2,11:40.0,Defensive rebound by M. Scott,,19,25
104,2,11:32.0,D. Schröder makes 2-pt layup from 1 ft,,21,25
105,2,11:12.0,,R. Hunter misses 2-pt jump shot from 21 ft,21,25
106,2,11:11.0,Defensive rebound by L. Patterson,,21,25
107,2,10:55.0,A. Horford makes 2-pt layup from 1 ft,,23,25
108,2,10:30.0,,J. Crowder misses 3-pt jump shot from 24 ft,23,25
109,2,10:28.0,Defensive rebound by M. Scott,,23,25
110,2,10:05.0,A. Horford misses 2-pt layup from 2 ft,,23,25
111,2,10:04.0,,Defensive rebound by D. Lee,23,25
112,2,9:55.0,,D. Lee makes 2-pt hook shot from 4 ft,23,27
113,2,9:40.0,K. Korver misses 2-pt jump shot from 3 ft,,23,27
114,2,9:39.0,,Defensive rebound by K. Olynyk,23,27
115,2,9:33.0,,R. Hunter misses 3-pt jump shot from 25 ft,23,27
116,2,9:32.0,Defensive rebound by K. Korver,,23,27
117,2,9:25.0,,Violation by D. Lee (kicked ball),23,27
118,2,9:25.0,,J. Jerebko enters the game for K. Olynyk,23,27
119,2,9:19.0,D. Schröder misses 2-pt jump shot from 9 ft,,23,27
120,2,9:18.0,,Defensive rebound by J. Jerebko,23,27
121,2,9:13.0,,Personal foul by M. Scott (drawn by D. Lee),23,27
122,2,8:58.0,,E. Turner makes 3-pt jump shot from 24 ft (assist by D. Lee),23,30
123,2,8:49.0,Personal foul by J. Crowder (drawn by K. Korver),,23,30
124,2,8:49.0,Official timeout,,23,30
125,2,8:41.0,Shooting foul by J. Jerebko (drawn by A. Horford),,23,30
126,2,8:41.0,A. Horford makes free throw 1 of 2,,24,30
127,2,8:41.0,J. Teague enters the game for D. Schröder,,24,30
128,2,8:41.0,A. Horford misses free throw 2 of 2,,24,30
129,2,8:41.0,,Defensive rebound by J. Jerebko,24,30
130,2,8:16.0,,J. Jerebko misses 2-pt jump shot from 18 ft,24,30
131,2,8:15.0,Defensive rebound by A. Horford,,24,30
132,2,8:09.0,J. Teague misses 2-pt layup at rim,,24,30
133,2,8:08.0,,Defensive rebound by D. Lee,24,30
134,2,8:00.0,,Turnover by E. Turner (bad pass; steal by K. Korver),24,30
135,2,7:57.0,Turnover by A. Horford (bad pass; steal by E. Turner),,24,30
136,2,7:55.0,,E. Turner makes 2-pt layup from 2 ft,24,32
137,2,7:37.0,Shooting foul by J. Jerebko (drawn by J. Teague),,24,32
138,2,7:37.0,J. Teague makes free throw 1 of 2,,25,32
139,2,7:37.0,T. Splitter enters the game for A. Horford,,25,32
140,2,7:37.0,T. Sefolosha enters the game for K. Korver,,25,32
141,2,7:37.0,J. Teague makes free throw 2 of 2,,26,32
142,2,7:30.0,,E. Turner misses 2-pt layup from 2 ft (block by T. Splitter),26,32
143,2,7:29.0,Defensive rebound by Team,,26,32
144,2,7:11.0,Turnover by L. Patterson (bad pass),,26,32
145,2,6:59.0,,J. Jerebko misses 3-pt jump shot from 24 ft,26,32
146,2,6:58.0,Defensive rebound by T. Sefolosha,,26,32
147,2,6:48.0,Turnover by L. Patterson (traveling),,26,32
148,2,6:48.0,K. Bazemore enters the game for L. Patterson,,26,32
149,2,6:37.0,,D. Lee misses 2-pt hook shot from 8 ft,26,32
150,2,6:36.0,Defensive rebound by K. Bazemore,,26,32
151,2,6:24.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by J. Teague),,29,32
152,2,6:21.0,,Boston full timeout,29,32
153,2,6:21.0,P. Millsap enters the game for T. Splitter,,29,32
154,2,6:21.0,,I. Thomas enters the game for E. Turner,29,32
155,2,6:21.0,,J. Sullinger enters the game for D. Lee,29,32
156,2,6:03.0,,Personal foul by J. Teague (drawn by J. Jerebko),29,32
157,2,5:51.0,,R. Hunter makes 2-pt layup from 1 ft,29,34
158,2,5:29.0,K. Bazemore misses 3-pt jump shot from 22 ft,,29,34
159,2,5:28.0,,Defensive rebound by J. Crowder,29,34
