,QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
0,1,11:36.0,,Turnover by G. Dragić (bad pass; steal by J. Johnson),0,0
1,1,11:33.0,L. Scola makes 2-pt layup from 1 ft (assist by J. Johnson),,2,0
2,1,11:33.0,Shooting foul by G. Dragić (drawn by L. Scola),,2,0
3,1,11:33.0,L. Scola makes free throw 1 of 1,,3,0
4,1,11:09.0,,H. Whiteside misses 2-pt hook shot from 9 ft,3,0
5,1,11:08.0,Defensive rebound by D. DeRozan,,3,0
6,1,10:51.0,L. Scola makes 2-pt layup from 2 ft,,5,0
7,1,10:36.0,,C. Bosh makes 3-pt jump shot from 23 ft (assist by D. Wade),5,3
8,1,10:18.0,L. Scola misses 2-pt jump shot from 19 ft,,5,3
9,1,10:17.0,,Defensive rebound by H. Whiteside,5,3
10,1,10:06.0,,G. Dragić makes 2-pt jump shot from 3 ft,5,5
11,1,9:48.0,L. Scola makes 2-pt layup from 1 ft,,7,5
12,1,9:27.0,,Turnover by D. Wade (lost ball; steal by D. DeRozan),7,5
13,1,9:21.0,L. Scola makes 2-pt hook shot from 3 ft (assist by D. DeRozan),,9,5
14,1,9:02.0,,Shooting foul by B. Biyombo (drawn by G. Dragić),9,5
15,1,9:02.0,,G. Dragić makes 2-pt layup from 1 ft,9,7
16,1,9:02.0,,G. Dragić makes free throw 1 of 1,9,8
17,1,8:46.0,D. DeRozan misses 2-pt jump shot from 20 ft,,9,8
18,1,8:45.0,,Defensive rebound by H. Whiteside,9,8
19,1,8:36.0,,Turnover by D. Wade (lost ball; steal by K. Lowry),9,8
20,1,8:19.0,D. DeRozan makes 2-pt jump shot from 6 ft,,11,8
21,1,8:00.0,,L. Deng misses 2-pt layup from 2 ft,11,8
22,1,7:59.0,Defensive rebound by B. Biyombo,,11,8
23,1,7:43.0,B. Biyombo misses 2-pt jump shot from 5 ft (block by H. Whiteside),,11,8
24,1,7:42.0,,Defensive rebound by D. Wade,11,8
25,1,7:36.0,,G. Dragić makes 2-pt jump shot from 15 ft,11,10
26,1,7:21.0,Turnover by D. DeRozan (traveling),,11,10
27,1,7:21.0,,J. Winslow enters the game for C. Bosh,11,10
28,1,7:07.0,,H. Whiteside makes 2-pt jump shot from 5 ft (assist by D. Wade),11,12
29,1,6:56.0,K. Lowry misses 2-pt jump shot from 19 ft,,11,12
30,1,6:55.0,,Defensive rebound by H. Whiteside,11,12
31,1,6:44.0,,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),11,14
32,1,6:21.0,L. Scola makes 3-pt jump shot from 24 ft (assist by J. Johnson),,14,14
33,1,6:04.0,,Shooting foul by K. Lowry (drawn by L. Deng),14,14
34,1,6:04.0,,L. Deng misses free throw 1 of 2,14,14
35,1,6:04.0,,Offensive rebound by Team,14,14
36,1,6:04.0,T. Ross enters the game for B. Biyombo,,14,14
37,1,6:04.0,,L. Deng makes free throw 2 of 2,14,15
38,1,5:56.0,Def 3 sec tech foul by L. Deng,,14,15
39,1,5:56.0,,Miami full timeout,14,15
40,1,5:56.0,D. DeRozan misses technical free throw,,14,15
41,1,5:56.0,Offensive rebound by Team,,14,15
42,1,5:41.0,K. Lowry misses 2-pt layup from 1 ft (block by H. Whiteside),,14,15
43,1,5:40.0,,Defensive rebound by D. Wade,14,15
44,1,5:36.0,,Turnover by D. Wade (lost ball; steal by K. Lowry),14,15
45,1,5:30.0,K. Lowry misses 3-pt jump shot from 23 ft,,14,15
46,1,5:29.0,,Defensive rebound by D. Wade,14,15
