,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:41.0,,G. Hill makes 2-pt jump shot from 14 ft,0,2
1,1,11:22.0,A. Horford misses 2-pt jump shot from 16 ft,,0,2
2,1,11:21.0,,Defensive rebound by P. George,0,2
3,1,11:10.0,,Personal foul by K. Bazemore (drawn by P. George),0,2
4,1,11:03.0,,P. George misses 2-pt jump shot from 19 ft,0,2
5,1,11:03.0,Defensive rebound by A. Horford,,0,2
6,1,10:49.0,Shooting block foul by I. Mahinmi (drawn by J. Teague),,0,2
7,1,10:49.0,J. Teague makes free throw 1 of 2,,1,2
8,1,10:49.0,J. Teague makes free throw 2 of 2,,2,2
9,1,10:32.0,,P. George misses 2-pt jump shot from 16 ft,2,2
10,1,10:31.0,Defensive rebound by A. Horford,,2,2
11,1,10:13.0,Turnover by J. Teague (step out of bounds),,2,2
12,1,9:55.0,,L. Allen misses 2-pt jump shot from 17 ft,2,2
13,1,9:55.0,Defensive rebound by J. Teague,,2,2
14,1,9:45.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by J. Teague),,5,2
15,1,9:27.0,,M. Ellis misses 2-pt jump shot from 15 ft,5,2
16,1,9:26.0,Defensive rebound by J. Teague,,5,2
17,1,9:20.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by J. Teague),,8,2
18,1,9:20.0,,Indiana full timeout,8,2
19,1,9:05.0,,M. Ellis makes 3-pt jump shot from 25 ft (assist by P. George),8,5
20,1,8:49.0,J. Teague makes 2-pt jump shot from 14 ft,,10,5
21,1,8:25.0,,L. Allen misses 2-pt jump shot from 19 ft,10,5
22,1,8:24.0,Defensive rebound by A. Horford,,10,5
23,1,8:09.0,A. Horford misses 2-pt jump shot from 16 ft,,10,5
24,1,8:09.0,,Defensive rebound by M. Ellis,10,5
25,1,8:04.0,,Turnover by M. Ellis (discontinued dribble),10,5
26,1,7:49.0,P. Millsap misses 2-pt jump shot from 7 ft,,10,5
27,1,7:48.0,,Defensive rebound by L. Allen,10,5
