,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
0,1,11:43.0,,Turnover by P. Beverley (bad pass),0,0
1,1,11:22.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by J. Teague),,3,0
2,1,11:07.0,,D. Howard misses 2-pt layup at rim (block by P. Millsap),3,0
3,1,11:06.0,Defensive rebound by A. Horford,,3,0
4,1,11:03.0,K. Bazemore misses 2-pt layup from 1 ft,,3,0
5,1,11:02.0,,Defensive rebound by C. Capela,3,0
6,1,10:53.0,,C. Capela makes 2-pt layup from 1 ft,3,2
7,1,10:53.0,,Shooting foul by J. Teague (drawn by C. Capela),3,2
8,1,10:53.0,,C. Capela misses free throw 1 of 1,3,2
9,1,10:53.0,Defensive rebound by K. Bazemore,,3,2
10,1,10:39.0,K. Korver misses 3-pt jump shot from 23 ft,,3,2
11,1,10:38.0,,Defensive rebound by D. Howard,3,2
12,1,10:30.0,,Turnover by J. Harden (bad pass; steal by K. Bazemore),3,2
13,1,10:25.0,A. Horford makes 2-pt layup from 2 ft (assist by K. Bazemore),,5,2
14,1,10:07.0,,D. Howard makes 2-pt dunk at rim (assist by C. Capela),5,4
15,1,9:56.0,K. Korver misses 3-pt jump shot from 23 ft,,5,4
16,1,9:55.0,,Defensive rebound by D. Howard,5,4
17,1,9:44.0,,T. Ariza misses 2-pt layup at rim (block by P. Millsap),5,4
18,1,9:42.0,,Offensive rebound by C. Capela,5,4
19,1,9:42.0,,C. Capela makes 2-pt layup from 1 ft,5,6
20,1,9:26.0,P. Millsap misses 2-pt jump shot from 13 ft,,5,6
21,1,9:25.0,,Defensive rebound by D. Howard,5,6
22,1,9:17.0,,Turnover by J. Harden (bad pass; steal by K. Bazemore),5,6
23,1,9:08.0,K. Bazemore misses 3-pt jump shot from 24 ft,,5,6
24,1,9:07.0,,Defensive rebound by D. Howard,5,6
25,1,9:00.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),5,8
26,1,8:40.0,A. Horford misses 3-pt jump shot from 22 ft,,5,8
27,1,8:39.0,,Defensive rebound by J. Harden,5,8
28,1,8:35.0,,Shooting foul by K. Korver (drawn by J. Harden),5,8
29,1,8:35.0,,J. Harden makes free throw 1 of 2,5,9
30,1,8:35.0,,J. Harden makes free throw 2 of 2,5,10
31,1,8:24.0,P. Millsap misses 3-pt jump shot from 23 ft,,5,10
32,1,8:23.0,,Defensive rebound by J. Harden,5,10
33,1,8:13.0,,C. Capela misses 2-pt layup from 3 ft,5,10
34,1,8:12.0,,Offensive rebound by C. Capela,5,10
35,1,8:11.0,,C. Capela makes 2-pt layup at rim,5,12
36,1,8:03.0,Shooting foul by C. Capela (drawn by P. Millsap),,5,12
37,1,8:03.0,P. Millsap makes free throw 1 of 2,,6,12
38,1,8:03.0,P. Millsap makes free throw 2 of 2,,7,12
39,1,7:52.0,,P. Beverley makes 2-pt layup at rim,7,14
40,1,7:44.0,Shooting foul by P. Beverley (drawn by J. Teague),,7,14
41,1,7:44.0,J. Teague makes free throw 1 of 2,,8,14
42,1,7:44.0,J. Teague misses free throw 2 of 2,,8,14
