,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:42.0,T. Young makes 2-pt layup from 1 ft (assist by J. Johnson),,2,0
1,1,11:32.0,,Turnover by J. Sullinger (bad pass; steal by B. Lopez),2,0
2,1,11:14.0,T. Young misses 2-pt jump shot from 21 ft,,2,0
3,1,11:13.0,,Defensive rebound by A. Bradley,2,0
4,1,11:05.0,,Personal foul by T. Young (drawn by J. Sullinger),2,0
5,1,11:01.0,Offensive charge foul by J. Sullinger (drawn by T. Young),,2,0
6,1,11:01.0,,Turnover by J. Sullinger (offensive foul),2,0
7,1,10:44.0,B. Lopez makes 2-pt jump shot from 8 ft (assist by J. Jack),,4,0
8,1,10:29.0,,I. Thomas misses 3-pt jump shot from 24 ft,4,0
9,1,10:28.0,Defensive rebound by B. Lopez,,4,0
10,1,10:21.0,B. Bogdanović misses 2-pt jump shot from 4 ft (block by J. Sullinger),,4,0
11,1,10:20.0,,Defensive rebound by J. Crowder,4,0
12,1,10:04.0,,J. Crowder misses 2-pt jump shot from 18 ft,4,0
13,1,10:03.0,Defensive rebound by B. Lopez,,4,0
14,1,9:58.0,B. Bogdanović makes 2-pt layup at rim (assist by J. Jack),,6,0
15,1,9:58.0,,Boston full timeout,6,0
16,1,9:43.0,,I. Thomas misses 2-pt jump shot from 17 ft,6,0
17,1,9:42.0,Defensive rebound by J. Jack,,6,0
18,1,9:34.0,Personal foul by A. Johnson (drawn by B. Lopez),,6,0
19,1,9:19.0,B. Lopez makes 2-pt jump shot from 7 ft,,8,0
20,1,9:07.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Crowder),8,2
21,1,9:00.0,Personal foul by A. Bradley (drawn by B. Bogdanović),,8,2
22,1,8:55.0,B. Lopez makes 2-pt jump shot from 11 ft (assist by J. Jack),,10,2
23,1,8:55.0,Shooting foul by J. Crowder (drawn by B. Lopez),,10,2
24,1,8:55.0,B. Lopez makes free throw 1 of 1,,11,2
25,1,8:46.0,,A. Bradley misses 2-pt jump shot from 20 ft,11,2
26,1,8:45.0,,Offensive rebound by A. Johnson,11,2
27,1,8:45.0,,A. Johnson makes 2-pt dunk at rim,11,4
28,1,8:28.0,T. Young misses 2-pt layup from 2 ft,,11,4
29,1,8:27.0,,Defensive rebound by J. Crowder,11,4
30,1,8:25.0,,Shooting foul by J. Johnson (drawn by J. Crowder),11,4
31,1,8:25.0,,J. Crowder makes free throw 1 of 2,11,5
32,1,8:25.0,,J. Crowder makes free throw 2 of 2,11,6
33,1,8:22.0,Brooklyn full timeout,,11,6
34,1,8:05.0,T. Young misses 2-pt jump shot at rim (block by A. Johnson),,11,6
35,1,8:04.0,Offensive rebound by T. Young,,11,6
36,1,8:04.0,T. Young misses 2-pt layup at rim (block by A. Johnson),,11,6
37,1,8:03.0,,Defensive rebound by J. Crowder,11,6
38,1,7:51.0,,J. Crowder makes 2-pt layup from 2 ft (assist by I. Thomas),11,8
39,1,7:33.0,B. Lopez misses 2-pt jump shot from 17 ft,,11,8
40,1,7:32.0,,Defensive rebound by I. Thomas,11,8
41,1,7:18.0,,J. Sullinger makes 2-pt jump shot from 21 ft (assist by J. Crowder),11,10
42,1,7:09.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Jack),,13,10
