,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
0,1,11:45.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,3,0
1,1,11:22.0,,L. Nance misses 2-pt jump shot from 11 ft,3,0
2,1,11:19.0,Defensive rebound by B. Rush,,3,0
3,1,11:11.0,B. Rush makes 3-pt jump shot from 24 ft (assist by D. Green),,6,0
4,1,10:55.0,,R. Hibbert misses 2-pt hook shot from 4 ft,6,0
5,1,10:54.0,Defensive rebound by D. Green,,6,0
6,1,10:50.0,K. Thompson misses 3-pt jump shot from 24 ft,,6,0
7,1,10:50.0,,Defensive rebound by Team,6,0
8,1,10:41.0,,Turnover by J. Clarkson (bad pass; steal by S. Curry),6,0
9,1,10:36.0,S. Curry misses 3-pt jump shot from 24 ft,,6,0
10,1,10:34.0,,Defensive rebound by J. Clarkson,6,0
11,1,10:26.0,,J. Clarkson misses 2-pt layup from 2 ft (block by K. Thompson),6,0
12,1,10:24.0,,Offensive rebound by J. Clarkson,6,0
13,1,10:22.0,,J. Clarkson makes 2-pt jump shot from 2 ft,6,2
14,1,10:13.0,Personal foul by R. Hibbert (drawn by S. Curry),,6,2
15,1,10:06.0,D. Green misses 3-pt jump shot from 23 ft,,6,2
16,1,10:05.0,Offensive rebound by A. Bogut,,6,2
17,1,9:58.0,B. Rush makes 2-pt layup from 1 ft (assist by K. Thompson),,8,2
18,1,9:42.0,,R. Hibbert misses 2-pt jump shot from 16 ft,8,2
19,1,9:42.0,Defensive rebound by A. Bogut,,8,2
20,1,9:38.0,Turnover by D. Green (dbl dribble),,8,2
21,1,9:26.0,,Shooting foul by S. Curry (drawn by L. Williams),8,2
22,1,9:26.0,,L. Williams makes free throw 1 of 3,8,3
23,1,9:26.0,,L. Williams makes free throw 2 of 3,8,4
24,1,9:26.0,,L. Williams makes free throw 3 of 3,8,5
25,1,9:11.0,K. Thompson makes 2-pt layup from 1 ft,,10,5
26,1,9:06.0,,Shooting foul by K. Thompson (drawn by L. Williams),10,5
27,1,9:06.0,,L. Williams makes free throw 1 of 2,10,6
28,1,9:06.0,,L. Williams makes free throw 2 of 2,10,7
29,1,8:51.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by B. Rush),,12,7
30,1,8:34.0,,L. Nance makes 2-pt layup from 2 ft,12,9
31,1,8:34.0,,Shooting foul by A. Bogut (drawn by L. Nance),12,9
32,1,8:34.0,,L. Nance makes free throw 1 of 1,12,10
33,1,8:25.0,D. Green misses 2-pt layup from 2 ft (block by A. Brown),,12,10
34,1,8:23.0,,Defensive rebound by A. Brown,12,10
35,1,8:19.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),12,12
36,1,8:07.0,S. Curry misses 2-pt layup from 2 ft,,12,12
37,1,8:04.0,,Defensive rebound by R. Hibbert,12,12
38,1,8:00.0,,A. Brown misses 3-pt jump shot from 25 ft,12,12
39,1,7:57.0,Defensive rebound by B. Rush,,12,12
40,1,7:51.0,,Violation by J. Clarkson (kicked ball),12,12
41,1,7:43.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),,14,12
42,1,7:35.0,,Shooting foul by A. Bogut (drawn by L. Williams),14,12
43,1,7:35.0,,L. Williams makes free throw 1 of 2,14,13
44,1,7:35.0,,L. Williams makes free throw 2 of 2,14,14
45,1,7:14.0,B. Rush makes 3-pt jump shot from 25 ft (assist by A. Bogut),,17,14
46,1,6:53.0,,R. Hibbert misses 2-pt jump shot from 9 ft,17,14
47,1,6:53.0,Defensive rebound by D. Green,,17,14
48,1,6:41.0,K. Thompson misses 3-pt jump shot from 27 ft,,17,14
49,1,6:41.0,,Defensive rebound by J. Clarkson,17,14
50,1,6:33.0,,Shooting foul by S. Curry (drawn by J. Clarkson),17,14
51,1,6:33.0,,J. Clarkson makes free throw 1 of 2,17,15
52,1,6:33.0,Golden State full timeout,,17,15
53,1,6:33.0,M. Speights enters the game for A. Bogut,,17,15
54,1,6:33.0,Violation by Team (delay of game),,17,15
55,1,6:33.0,,Violation by Team (delay of game),17,15
56,1,6:33.0,,J. Clarkson makes free throw 2 of 2,17,16
57,1,6:15.0,M. Speights misses 2-pt jump shot from 21 ft,,17,16
58,1,6:15.0,,Defensive rebound by L. Nance,17,16
59,1,6:02.0,,L. Williams misses 3-pt jump shot from 25 ft,17,16
60,1,6:02.0,Defensive rebound by B. Rush,,17,16
61,1,5:56.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,20,16
62,1,5:35.0,,L. Williams misses 2-pt jump shot from 18 ft,20,16
63,1,5:35.0,Defensive rebound by D. Green,,20,16
64,1,5:29.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,23,16
65,1,5:11.0,,J. Clarkson makes 2-pt jump shot from 3 ft,23,18
66,1,4:57.0,K. Thompson makes 2-pt jump shot from 19 ft,,25,18
67,1,4:45.0,,J. Clarkson misses 2-pt jump shot from 10 ft,25,18
68,1,4:45.0,Defensive rebound by D. Green,,25,18
69,1,4:36.0,K. Thompson misses 2-pt jump shot from 21 ft,,25,18
70,1,4:35.0,Offensive rebound by B. Rush,,25,18
71,1,4:34.0,B. Rush misses 2-pt layup at rim,,25,18
72,1,4:31.0,,Defensive rebound by L. Nance,25,18
73,1,4:09.0,,L. Nance misses 2-pt jump shot from 21 ft,25,18
74,1,4:09.0,Defensive rebound by M. Speights,,25,18
75,1,3:59.0,S. Curry makes 3-pt jump shot from 26 ft (assist by B. Rush),,28,18
76,1,3:50.0,,LA Lakers full timeout,28,18
77,1,3:50.0,,B. Bass enters the game for L. Nance,28,18
78,1,3:50.0,,J. Randle enters the game for R. Hibbert,28,18
79,1,3:50.0,,N. Young enters the game for L. Williams,28,18
80,1,3:50.0,A. Iguodala enters the game for B. Rush,,28,18
81,1,3:50.0,I. Clark enters the game for S. Curry,,28,18
82,1,3:41.0,,A. Brown misses 3-pt jump shot from 28 ft,28,18
83,1,3:40.0,Defensive rebound by I. Clark,,28,18
84,1,3:19.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by I. Clark),,31,18
85,1,2:58.0,,N. Young misses 3-pt jump shot from 26 ft,31,18
86,1,2:58.0,,Offensive rebound by A. Brown,31,18
87,1,2:53.0,,A. Brown makes 2-pt jump shot from 14 ft,31,20
88,1,2:43.0,M. Speights makes 2-pt jump shot from 19 ft (assist by I. Clark),,33,20
89,1,2:20.0,,J. Randle misses 2-pt layup from 1 ft,33,20
90,1,2:19.0,,Offensive rebound by J. Randle,33,20
91,1,2:18.0,,J. Randle misses 2-pt layup from 2 ft,33,20
92,1,2:17.0,Defensive rebound by Team,,33,20
93,1,2:17.0,H. Barnes enters the game for D. Green,,33,20
94,1,2:09.0,Personal foul by A. Brown (drawn by K. Thompson),,33,20
95,1,1:59.0,K. Thompson misses 2-pt jump shot from 17 ft,,33,20
96,1,1:58.0,Offensive rebound by H. Barnes,,33,20
97,1,1:48.0,M. Speights misses 2-pt jump shot from 14 ft,,33,20
98,1,1:47.0,,Defensive rebound by J. Randle,33,20
99,1,1:40.0,,Turnover by J. Clarkson (bad pass; steal by H. Barnes),33,20
100,1,1:34.0,K. Thompson misses 3-pt jump shot from 23 ft,,33,20
101,1,1:31.0,,Defensive rebound by N. Young,33,20
102,1,1:20.0,,J. Clarkson makes 2-pt layup at rim (assist by N. Young),33,22
103,1,1:06.0,K. Thompson makes 2-pt layup from 1 ft (assist by M. Speights),,35,22
104,1,0:57.0,,Shooting foul by M. Speights (drawn by J. Clarkson),35,22
105,1,0:57.0,,J. Clarkson makes free throw 1 of 2,35,23
106,1,0:57.0,,J. Clarkson makes free throw 2 of 2,35,24
107,1,0:41.0,I. Clark misses 2-pt jump shot from 12 ft,,35,24
108,1,0:40.0,,Defensive rebound by B. Bass,35,24
109,1,0:33.0,,Def 3 sec tech foul by M. Speights,35,24
110,1,0:33.0,,N. Young makes technical free throw,35,25
111,1,0:23.0,,Turnover by N. Young (lost ball; steal by A. Iguodala),35,25
112,1,0:21.0,A. Iguodala makes 2-pt dunk at rim,,37,25
113,1,0:02.0,,J. Randle misses 2-pt jump shot from 6 ft (block by M. Speights),37,25
114,1,0:01.0,,Offensive rebound by B. Bass,37,25
115,2,11:42.0,,Turnover by J. Randle (bad pass; steal by B. Rush),37,25
116,2,11:27.0,M. Speights misses 2-pt jump shot from 16 ft,,37,25
117,2,11:26.0,,Defensive rebound by M. World Peace,37,25
118,2,11:09.0,,M. Huertas makes 2-pt jump shot from 6 ft,37,27
119,2,10:50.0,M. Speights makes 2-pt layup from 1 ft (assist by H. Barnes),,39,27
120,2,10:47.0,Violation by Team (delay of game),,39,27
121,2,10:47.0,Technical foul by Team,,39,27
122,2,10:47.0,,N. Young misses technical free throw,39,27
123,2,10:47.0,,Offensive rebound by Team,39,27
124,2,10:32.0,,N. Young misses 3-pt jump shot from 25 ft,39,27
125,2,10:31.0,Defensive rebound by I. Clark,,39,27
126,2,10:23.0,I. Clark misses 2-pt layup from 2 ft,,39,27
127,2,10:21.0,Offensive rebound by I. Clark,,39,27
128,2,10:15.0,Personal foul by M. World Peace (drawn by H. Barnes),,39,27
129,2,10:15.0,Technical foul by I. Clark,,39,27
130,2,10:15.0,,N. Young misses technical free throw,39,27
131,2,10:15.0,Offensive rebound by Team,,39,27
132,2,10:08.0,A. Iguodala misses 2-pt jump shot from 9 ft,,39,27
133,2,10:08.0,,Defensive rebound by Team,39,27
134,2,9:56.0,,Turnover by N. Young (bad pass),39,27
135,2,9:36.0,H. Barnes makes 2-pt jump shot from 19 ft (assist by M. Speights),,41,27
136,2,9:21.0,,M. Huertas misses 2-pt jump shot from 8 ft (block by I. Clark),41,27
137,2,9:19.0,Defensive rebound by H. Barnes,,41,27
138,2,9:15.0,I. Clark misses 2-pt layup at rim,,41,27
139,2,9:12.0,,Defensive rebound by J. Randle,41,27
140,2,9:07.0,,B. Bass makes 2-pt dunk at rim (assist by J. Randle),41,29
141,2,8:52.0,H. Barnes misses 2-pt jump shot from 20 ft,,41,29
142,2,8:52.0,,Defensive rebound by N. Young,41,29
143,2,8:44.0,,N. Young misses 2-pt jump shot from 20 ft,41,29
144,2,8:44.0,Defensive rebound by Team,,41,29
145,2,8:44.0,Official timeout,,41,29
146,2,8:44.0,,L. Williams enters the game for N. Young,41,29
147,2,8:44.0,D. Green enters the game for M. Speights,,41,29
148,2,8:44.0,S. Curry enters the game for I. Clark,,41,29
149,2,8:44.0,J. Thompson enters the game for H. Barnes,,41,29
150,2,8:20.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),,43,29
151,2,8:13.0,,B. Bass misses 2-pt jump shot from 13 ft,43,29
152,2,8:12.0,,Offensive rebound by M. World Peace,43,29
153,2,8:12.0,,Shooting foul by J. Thompson (drawn by L. Williams),43,29
