,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
0,1,11:50.0,,J. Okafor makes 2-pt jump shot from 6 ft (assist by J. Sampson),0,2
1,1,11:34.0,C. McCollum misses 2-pt jump shot from 17 ft,,0,2
2,1,11:32.0,,Defensive rebound by N. Noel,0,2
3,1,11:15.0,,J. Okafor makes 2-pt jump shot from 17 ft,0,4
4,1,10:56.0,Turnover by D. Lillard (lost ball),,0,4
5,1,10:38.0,,J. Sampson misses 2-pt jump shot from 8 ft,0,4
6,1,10:37.0,Defensive rebound by D. Lillard,,0,4
7,1,10:30.0,D. Lillard misses 2-pt jump shot from 18 ft,,0,4
8,1,10:29.0,,Defensive rebound by N. Noel,0,4
9,1,10:16.0,,I. Canaan makes 3-pt jump shot from 26 ft (assist by I. Smith),0,7
10,1,9:54.0,N. Vonleh makes 2-pt jump shot from 18 ft (assist by M. Plumlee),,2,7
11,1,9:24.0,,J. Okafor makes 2-pt jump shot from 9 ft (assist by I. Smith),2,9
12,1,9:01.0,A. Aminu misses 2-pt jump shot from 15 ft,,2,9
13,1,8:57.0,,Defensive rebound by Team,2,9
14,1,8:42.0,,J. Okafor makes 2-pt jump shot from 14 ft (assist by J. Sampson),2,11
15,1,8:30.0,Shooting foul by I. Smith (drawn by D. Lillard),,2,11
16,1,8:30.0,D. Lillard makes free throw 1 of 2,,3,11
17,1,8:30.0,D. Lillard makes free throw 2 of 2,,4,11
18,1,8:14.0,,J. Okafor makes 2-pt jump shot from 5 ft,4,13
19,1,8:00.0,D. Lillard misses 3-pt jump shot from 27 ft,,4,13
20,1,7:59.0,,Defensive rebound by J. Sampson,4,13
21,1,7:46.0,,Shooting block foul by N. Vonleh (drawn by I. Smith),4,13
22,1,7:46.0,,I. Smith makes free throw 1 of 2,4,14
23,1,7:46.0,,I. Smith makes free throw 2 of 2,4,15
24,1,7:30.0,C. McCollum misses 2-pt jump shot from 13 ft,,4,15
25,1,7:29.0,,Defensive rebound by J. Sampson,4,15
26,1,7:16.0,,Shooting foul by A. Aminu (drawn by J. Sampson),4,15
27,1,7:16.0,Portland full timeout,,4,15
28,1,7:16.0,,J. Sampson misses free throw 1 of 2,4,15
29,1,7:16.0,,Offensive rebound by Team,4,15
30,1,7:16.0,,J. Sampson makes free throw 2 of 2,4,16
31,1,7:01.0,N. Vonleh makes 2-pt jump shot from 17 ft (assist by C. McCollum),,6,16
32,1,6:49.0,,Personal foul by N. Vonleh (drawn by N. Noel),6,16
33,1,6:35.0,,I. Smith misses 2-pt jump shot from 15 ft,6,16
34,1,6:33.0,Defensive rebound by N. Vonleh,,6,16
35,1,6:31.0,Personal foul by J. Sampson (drawn by M. Plumlee),,6,16
36,1,6:21.0,C. McCollum misses 2-pt jump shot from 13 ft,,6,16
37,1,6:20.0,,Defensive rebound by N. Noel,6,16
38,1,6:08.0,,I. Canaan misses 3-pt jump shot from 25 ft,6,16
39,1,6:07.0,Defensive rebound by A. Aminu,,6,16
40,1,6:01.0,C. McCollum makes 2-pt jump shot from 9 ft,,8,16
41,1,5:43.0,,N. Noel misses 2-pt hook shot from 3 ft,8,16
42,1,5:41.0,Defensive rebound by M. Plumlee,,8,16
43,1,5:32.0,N. Vonleh misses 3-pt jump shot from 25 ft,,8,16
44,1,5:30.0,,Defensive rebound by I. Canaan,8,16
45,1,5:12.0,,Turnover by N. Noel (lost ball),8,16
46,1,5:12.0,,R. Holmes enters the game for J. Sampson,8,16
47,1,5:12.0,,R. Covington enters the game for N. Noel,8,16
48,1,5:12.0,,H. Thompson enters the game for I. Canaan,8,16
49,1,5:12.0,M. Leonard enters the game for N. Vonleh,,8,16
50,1,5:12.0,E. Davis enters the game for M. Plumlee,,8,16
51,1,5:12.0,A. Crabbe enters the game for C. McCollum,,8,16
52,1,4:50.0,D. Lillard makes 3-pt jump shot from 24 ft,,11,16
53,1,4:36.0,,J. Okafor makes 2-pt jump shot from 7 ft,11,18
54,1,4:36.0,,Shooting foul by E. Davis (drawn by J. Okafor),11,18
55,1,4:36.0,,J. Okafor misses free throw 1 of 1,11,18
56,1,4:35.0,Defensive rebound by A. Aminu,,11,18
57,1,4:26.0,D. Lillard misses 2-pt jump shot from 11 ft,,11,18
58,1,4:25.0,,Defensive rebound by R. Covington,11,18
59,1,4:06.0,,J. Okafor makes 2-pt jump shot from 18 ft (assist by R. Covington),11,20
60,1,3:43.0,D. Lillard misses 2-pt layup from 2 ft,,11,20
61,1,3:40.0,Offensive rebound by E. Davis,,11,20
62,1,3:32.0,Personal foul by I. Smith (drawn by A. Aminu),,11,20
63,1,3:26.0,M. Leonard misses 3-pt jump shot from 26 ft,,11,20
64,1,3:24.0,,Defensive rebound by J. Okafor,11,20
65,1,3:14.0,,I. Smith makes 2-pt jump shot from 7 ft,11,22
66,1,2:54.0,D. Lillard makes 2-pt jump shot from 7 ft,,13,22
67,1,2:54.0,,Philadelphia full timeout,13,22
68,1,2:54.0,M. Harkless enters the game for A. Aminu,,13,22
69,1,2:54.0,,T. McConnell enters the game for I. Smith,13,22
70,1,2:37.0,,R. Covington misses 3-pt jump shot from 25 ft,13,22
71,1,2:36.0,Defensive rebound by Team,,13,22
72,1,2:22.0,D. Lillard makes 2-pt jump shot from 18 ft (assist by A. Crabbe),,15,22
73,1,2:05.0,,J. Okafor misses 2-pt jump shot from 9 ft (block by E. Davis),15,22
74,1,2:02.0,Defensive rebound by M. Leonard,,15,22
75,1,1:51.0,M. Harkless misses 2-pt layup from 2 ft,,15,22
76,1,1:49.0,,Defensive rebound by H. Thompson,15,22
77,1,1:38.0,,J. Okafor makes 2-pt jump shot from 10 ft (assist by T. McConnell),15,24
78,1,1:24.0,D. Lillard misses 2-pt layup from 1 ft,,15,24
79,1,1:22.0,,Defensive rebound by R. Covington,15,24
80,1,1:16.0,,T. McConnell makes 3-pt jump shot from 24 ft,15,27
81,1,0:54.0,A. Crabbe misses 3-pt jump shot from 22 ft,,15,27
82,1,0:52.0,,Defensive rebound by J. Okafor,15,27
83,1,0:36.0,,Shooting foul by M. Leonard (drawn by J. Okafor),15,27
84,1,0:36.0,,J. Okafor misses free throw 1 of 2,15,27
85,1,0:36.0,,Offensive rebound by Team,15,27
86,1,0:36.0,C. McCollum enters the game for D. Lillard,,15,27
87,1,0:36.0,,J. Okafor makes free throw 2 of 2,15,28
88,1,0:23.0,Turnover by C. McCollum (lost ball),,15,28
89,1,0:11.0,,Personal foul by C. McCollum (drawn by T. McConnell),15,28
90,1,0:11.0,,T. McConnell misses free throw 1 of 2,15,28
91,1,0:11.0,,Offensive rebound by Team,15,28
92,1,0:11.0,,N. Noel enters the game for J. Okafor,15,28
93,1,0:11.0,,J. Sampson enters the game for H. Thompson,15,28
94,1,0:11.0,,T. McConnell makes free throw 2 of 2,15,29
95,1,0:00.0,C. McCollum makes 2-pt jump shot from 20 ft,,17,29
96,1,0:00.0,Shooting foul by T. McConnell (drawn by C. McCollum),,17,29
97,1,0:00.0,C. McCollum misses free throw 1 of 1,,17,29
98,1,0:00.0,,Defensive rebound by R. Covington,17,29
99,2,11:51.0,C. McCollum misses 2-pt jump shot from 18 ft,,17,29
100,2,11:50.0,,Defensive rebound by R. Holmes,17,29
101,2,11:42.0,,R. Holmes makes 2-pt layup from 1 ft (assist by R. Covington),17,31
102,2,11:20.0,Turnover by A. Crabbe (bad pass; steal by R. Covington),,17,31
103,2,11:15.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),17,34
104,2,10:58.0,E. Davis makes 2-pt dunk at rim (assist by A. Crabbe),,19,34
105,2,10:58.0,Shooting foul by T. McConnell (drawn by E. Davis),,19,34
106,2,10:58.0,E. Davis makes free throw 1 of 1,,20,34
107,2,10:51.0,,T. McConnell makes 2-pt layup from 1 ft (assist by H. Thompson),20,36
108,2,10:35.0,M. Leonard misses 3-pt jump shot from 26 ft,,20,36
109,2,10:32.0,Offensive rebound by E. Davis,,20,36
110,2,10:27.0,C. McCollum misses 3-pt jump shot from 23 ft,,20,36
111,2,10:25.0,,Defensive rebound by T. McConnell,20,36
112,2,10:22.0,,Personal foul by C. McCollum (drawn by T. McConnell),20,36
113,2,10:12.0,,N. Noel misses 2-pt jump shot from 16 ft,20,36
114,2,10:11.0,Defensive rebound by A. Crabbe,,20,36
115,2,10:01.0,Turnover by M. Leonard (lost ball; steal by N. Noel),,20,36
116,2,9:57.0,,R. Covington makes 2-pt layup at rim (assist by T. McConnell),20,38
117,2,9:57.0,Portland full timeout,,20,38
118,2,9:51.0,C. McCollum makes 2-pt layup from 2 ft (assist by M. Harkless),,22,38
119,2,9:51.0,Shooting foul by R. Covington (drawn by C. McCollum),,22,38
120,2,9:51.0,C. McCollum misses free throw 1 of 1,,22,38
121,2,9:51.0,,Defensive rebound by R. Holmes,22,38
122,2,9:36.0,,T. McConnell misses 2-pt jump shot from 13 ft (block by M. Harkless),22,38
123,2,9:35.0,,Offensive rebound by R. Holmes,22,38
124,2,9:35.0,,Shooting foul by M. Leonard (drawn by R. Holmes),22,38
125,2,9:35.0,,R. Holmes makes free throw 1 of 2,22,39
126,2,9:35.0,,R. Holmes makes free throw 2 of 2,22,40
127,2,9:26.0,C. McCollum makes 3-pt jump shot from 26 ft,,25,40
128,2,9:02.0,,Shooting foul by M. Leonard (drawn by R. Holmes),25,40
129,2,9:02.0,,R. Holmes makes free throw 1 of 2,25,41
130,2,9:02.0,A. Aminu enters the game for M. Leonard,,25,41
131,2,9:02.0,,R. Holmes makes free throw 2 of 2,25,42
132,2,8:46.0,A. Crabbe misses 2-pt jump shot from 8 ft,,25,42
133,2,8:45.0,Offensive rebound by Team,,25,42
134,2,8:45.0,,Loose ball foul by N. Noel (drawn by E. Davis),25,42
135,2,8:45.0,,J. Sampson enters the game for R. Holmes,25,42
136,2,8:40.0,C. McCollum misses 3-pt jump shot from 25 ft,,25,42
137,2,8:39.0,,Defensive rebound by Team,25,42
138,2,8:20.0,,R. Covington misses 2-pt layup from 2 ft,25,42
139,2,8:18.0,,Offensive rebound by N. Noel,25,42
140,2,8:18.0,,N. Noel makes 2-pt layup from 1 ft,25,44
141,2,8:01.0,C. McCollum misses 2-pt jump shot from 6 ft (block by N. Noel),,25,44
142,2,7:59.0,,Defensive rebound by H. Thompson,25,44
143,2,7:53.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. McConnell),25,47
144,2,7:33.0,C. McCollum makes 2-pt jump shot from 14 ft,,27,47
145,2,7:27.0,,N. Noel makes 2-pt dunk at rim (assist by T. McConnell),27,49
146,2,7:09.0,E. Davis makes 2-pt jump shot from 3 ft (assist by C. McCollum),,29,49
147,2,7:02.0,,Philadelphia full timeout,29,49
148,2,7:02.0,M. Plumlee enters the game for E. Davis,,29,49
149,2,7:02.0,D. Lillard enters the game for M. Harkless,,29,49
150,2,7:02.0,,I. Smith enters the game for T. McConnell,29,49
151,2,7:02.0,,I. Canaan enters the game for H. Thompson,29,49
152,2,7:02.0,G. Henderson enters the game for C. McCollum,,29,49
153,2,6:51.0,,Turnover by R. Covington (bad pass; steal by A. Aminu),29,49
154,2,6:40.0,Turnover by A. Aminu (lost ball; steal by I. Smith),,29,49
155,2,6:36.0,,I. Canaan makes 2-pt layup at rim (assist by N. Noel),29,51
156,2,6:23.0,D. Lillard misses 3-pt jump shot from 25 ft,,29,51
157,2,6:20.0,,Defensive rebound by J. Sampson,29,51
158,2,6:07.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by I. Smith),29,54
159,2,5:53.0,Turnover by D. Lillard (bad pass; steal by N. Noel),,29,54
160,2,5:52.0,,Offensive foul by R. Covington (drawn by A. Aminu),29,54
161,2,5:52.0,,Turnover by R. Covington (offensive foul),29,54
162,2,5:35.0,Personal foul by I. Canaan (drawn by D. Lillard),,29,54
163,2,5:35.0,Personal foul by N. Noel (drawn by M. Plumlee),,29,54
164,2,5:35.0,M. Plumlee makes free throw 1 of 2,,30,54
165,2,5:35.0,M. Plumlee makes free throw 2 of 2,,31,54
166,2,5:22.0,,I. Canaan makes 2-pt jump shot from 9 ft,31,56
167,2,5:22.0,,Shooting foul by M. Plumlee (drawn by I. Canaan),31,56
168,2,5:22.0,,I. Canaan makes free throw 1 of 1,31,57
169,2,5:08.0,M. Plumlee misses 2-pt jump shot from 7 ft (block by N. Noel),,31,57
170,2,5:08.0,Offensive rebound by Team,,31,57
171,2,4:56.0,G. Henderson makes 2-pt layup from 2 ft,,33,57
172,2,4:49.0,,Turnover by J. Sampson (offensive foul),33,57
173,2,4:49.0,Offensive charge foul by J. Sampson (drawn by A. Aminu),,33,57
174,2,4:40.0,D. Lillard makes 2-pt jump shot from 5 ft,,35,57
175,2,4:24.0,,Shooting foul by D. Lillard (drawn by I. Smith),35,57
176,2,4:24.0,,I. Smith misses free throw 1 of 2,35,57
177,2,4:24.0,,Offensive rebound by Team,35,57
178,2,4:24.0,,J. Okafor enters the game for N. Noel,35,57
179,2,4:24.0,,I. Smith makes free throw 2 of 2,35,58
180,2,4:13.0,A. Crabbe makes 2-pt jump shot from 18 ft,,37,58
