,QUARTER,TIME_REMAINING,BOSTON_ACTION,DALLAS_ACTION,BOSTON_SCORE,DALLAS_SCORE
0,1,11:40.0,J. Sullinger misses 2-pt jump shot from 18 ft,,0,0
1,1,11:39.0,,Defensive rebound by C. Parsons,0,0
2,1,11:24.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,0,0
3,1,11:23.0,,Offensive rebound by Z. Pachulia,0,0
4,1,11:11.0,,D. Williams makes 2-pt layup from 2 ft,0,2
5,1,10:49.0,I. Thomas misses 3-pt jump shot from 25 ft,,0,2
6,1,10:48.0,,Defensive rebound by Z. Pachulia,0,2
7,1,10:31.0,,W. Matthews misses 2-pt jump shot from 7 ft,0,2
8,1,10:30.0,,Offensive rebound by Z. Pachulia,0,2
9,1,10:14.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by C. Parsons),0,4
10,1,10:02.0,A. Bradley misses 2-pt jump shot from 20 ft,,0,4
11,1,10:01.0,Offensive rebound by J. Sullinger,,0,4
12,1,9:50.0,J. Crowder misses 3-pt jump shot from 24 ft,,0,4
13,1,9:49.0,,Defensive rebound by Z. Pachulia,0,4
14,1,9:37.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,0,4
15,1,9:36.0,Defensive rebound by A. Bradley,,0,4
16,1,9:29.0,Personal foul by Z. Pachulia (drawn by J. Sullinger),,0,4
17,1,9:16.0,A. Bradley makes 2-pt jump shot from 17 ft,,2,4
18,1,9:01.0,,D. Williams misses 3-pt jump shot from 23 ft,2,4
19,1,9:00.0,Defensive rebound by A. Bradley,,2,4
20,1,8:55.0,I. Thomas misses 3-pt jump shot from 25 ft,,2,4
21,1,8:54.0,,Defensive rebound by D. Nowitzki,2,4
22,1,8:30.0,,D. Williams makes 2-pt jump shot from 13 ft,2,6
23,1,8:09.0,Turnover by A. Johnson (lost ball; steal by D. Nowitzki),,2,6
24,1,7:58.0,,Turnover by D. Nowitzki (bad pass),2,6
25,1,7:48.0,Turnover by J. Sullinger (offensive foul),,2,6
26,1,7:48.0,Offensive foul by J. Sullinger (drawn by D. Williams),,2,6
27,1,7:35.0,,D. Williams misses 2-pt hook shot from 6 ft,2,6
28,1,7:34.0,,Offensive rebound by D. Williams,2,6
