,QUARTER,TIME_REMAINING,UTAH_ACTION,BROOKLYN_ACTION,UTAH_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,B. Lopez makes 2-pt hook shot from 5 ft (assist by J. Johnson),0,2
1,1,11:26.0,Turnover by R. Hood (bad pass; steal by B. Lopez),,0,2
2,1,11:14.0,,T. Young makes 2-pt hook shot from 7 ft,0,4
3,1,10:51.0,R. Neto makes 2-pt jump shot from 17 ft (assist by R. Gobert),,2,4
4,1,10:35.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by D. Sloan),2,7
5,1,10:16.0,R. Gobert misses 2-pt dunk at rim,,2,7
6,1,10:15.0,Offensive rebound by T. Lyles,,2,7
7,1,10:05.0,R. Gobert misses 2-pt layup from 1 ft,,2,7
8,1,10:04.0,,Defensive rebound by B. Lopez,2,7
9,1,9:43.0,,W. Ellington makes 2-pt layup at rim (assist by D. Sloan),2,9
10,1,9:43.0,Utah full timeout,,2,9
11,1,9:32.0,G. Hayward misses 2-pt jump shot from 11 ft,,2,9
12,1,9:31.0,,Defensive rebound by T. Young,2,9
13,1,9:14.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Sloan),2,12
14,1,9:00.0,Personal foul by D. Sloan (drawn by R. Neto),,2,12
15,1,8:48.0,G. Hayward makes 2-pt layup from 3 ft,,4,12
16,1,8:39.0,,Shooting foul by R. Gobert (drawn by T. Young),4,12
17,1,8:39.0,,T. Young misses free throw 1 of 2,4,12
18,1,8:39.0,,Offensive rebound by Team,4,12
19,1,8:39.0,,T. Young misses free throw 2 of 2,4,12
20,1,8:38.0,Defensive rebound by R. Gobert,,4,12
21,1,8:21.0,T. Lyles misses 3-pt jump shot from 23 ft,,4,12
22,1,8:19.0,,Defensive rebound by J. Johnson,4,12
23,1,8:13.0,,W. Ellington misses 2-pt jump shot from 18 ft,4,12
24,1,8:13.0,Defensive rebound by R. Neto,,4,12
25,1,7:58.0,R. Neto misses 3-pt jump shot from 23 ft,,4,12
26,1,7:57.0,,Defensive rebound by J. Johnson,4,12
27,1,7:47.0,,D. Sloan misses 2-pt jump shot from 21 ft,4,12
28,1,7:46.0,Defensive rebound by R. Hood,,4,12
29,1,7:35.0,Shooting foul by B. Lopez (drawn by R. Hood),,4,12
30,1,7:35.0,R. Hood makes free throw 1 of 2,,5,12
31,1,7:35.0,R. Hood makes free throw 2 of 2,,6,12
32,1,7:16.0,,B. Lopez misses 2-pt jump shot from 10 ft,6,12
33,1,7:15.0,Defensive rebound by T. Lyles,,6,12
34,1,7:08.0,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),,8,12
35,1,6:50.0,,W. Ellington makes 2-pt layup from 1 ft (assist by J. Johnson),8,14
36,1,6:29.0,Turnover by T. Lyles (lost ball),,8,14
37,1,6:17.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by T. Young),8,17
38,1,5:57.0,Personal foul by J. Johnson (drawn by R. Gobert),,8,17
39,1,5:57.0,T. Booker enters the game for T. Lyles,,8,17
40,1,5:57.0,C. Johnson enters the game for R. Hood,,8,17
41,1,5:47.0,Turnover by R. Neto (bad pass; steal by J. Johnson),,8,17
42,1,5:40.0,,Personal foul by G. Hayward (drawn by J. Johnson),8,17
43,1,5:34.0,,Personal foul by R. Neto (drawn by B. Lopez),8,17
44,1,5:26.0,,B. Lopez misses 2-pt jump shot from 17 ft,8,17
45,1,5:25.0,Defensive rebound by T. Booker,,8,17
46,1,5:11.0,T. Booker misses 2-pt layup from 2 ft,,8,17
47,1,5:10.0,,Defensive rebound by J. Johnson,8,17
48,1,5:02.0,,B. Lopez makes 2-pt hook shot from 4 ft (assist by D. Sloan),8,19
49,1,4:43.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Gobert),,11,19
50,1,4:24.0,,W. Ellington misses 3-pt jump shot from 24 ft,11,19
51,1,4:23.0,Defensive rebound by T. Booker,,11,19
52,1,4:04.0,T. Booker makes 2-pt layup from 2 ft (assist by C. Johnson),,13,19
53,1,4:04.0,,Brooklyn full timeout,13,19
54,1,3:52.0,,T. Young misses 2-pt jump shot from 19 ft,13,19
55,1,3:51.0,Defensive rebound by C. Johnson,,13,19
56,1,3:35.0,Turnover by G. Hayward (lost ball),,13,19
57,1,3:35.0,T. Burke enters the game for R. Neto,,13,19
58,1,3:35.0,,W. Reed enters the game for B. Lopez,13,19
59,1,3:20.0,,W. Reed misses 2-pt jump shot from 8 ft,13,19
60,1,3:19.0,,Offensive rebound by Team,13,19
61,1,3:13.0,,D. Sloan misses 2-pt layup from 1 ft,13,19
62,1,3:12.0,Defensive rebound by T. Booker,,13,19
63,1,2:56.0,G. Hayward makes 3-pt jump shot from 22 ft (assist by C. Johnson),,16,19
64,1,2:42.0,,W. Ellington misses 2-pt layup from 2 ft (block by R. Gobert),16,19
65,1,2:40.0,,Offensive rebound by D. Sloan,16,19
66,1,2:36.0,,W. Ellington misses 3-pt jump shot from 23 ft,16,19
67,1,2:35.0,Defensive rebound by T. Booker,,16,19
68,1,2:27.0,G. Hayward makes 2-pt layup from 1 ft,,18,19
69,1,2:14.0,Violation by T. Booker (kicked ball),,18,19
70,1,2:14.0,J. Withey enters the game for R. Gobert,,18,19
71,1,2:14.0,,B. Bogdanović enters the game for J. Johnson,18,19
72,1,2:06.0,,W. Reed misses 2-pt hook shot from 7 ft,18,19
73,1,2:06.0,Defensive rebound by T. Booker,,18,19
74,1,1:50.0,T. Burke misses 2-pt layup from 1 ft,,18,19
75,1,1:49.0,Offensive rebound by T. Booker,,18,19
76,1,1:48.0,T. Booker misses 2-pt layup from 1 ft,,18,19
77,1,1:46.0,,Defensive rebound by W. Reed,18,19
78,1,1:33.0,,T. Young makes 2-pt hook shot from 7 ft,18,21
79,1,1:17.0,J. Withey makes 2-pt jump shot from 11 ft (assist by C. Johnson),,20,21
80,1,1:02.0,,D. Sloan misses 2-pt jump shot from 5 ft,20,21
81,1,1:01.0,,Offensive rebound by W. Reed,20,21
82,1,1:01.0,,W. Reed misses 2-pt layup from 2 ft,20,21
83,1,0:59.0,Defensive rebound by T. Burke,,20,21
84,1,0:52.0,Turnover by Team (back court),,20,21
85,1,0:52.0,R. Hood enters the game for G. Hayward,,20,21
86,1,0:40.0,,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by W. Reed),20,23
87,1,0:33.0,J. Withey makes 2-pt dunk at rim (assist by T. Booker),,22,23
88,1,0:19.0,,Turnover by W. Ellington (lost ball),22,23
89,1,0:05.0,Personal foul by B. Bogdanović (drawn by R. Hood),,22,23
90,1,0:04.0,R. Hood misses 2-pt jump shot from 17 ft,,22,23
91,1,0:02.0,Offensive rebound by T. Booker,,22,23
92,1,0:00.0,T. Booker misses 2-pt layup at rim,,22,23
93,1,0:00.0,Offensive rebound by Team,,22,23
94,2,11:39.0,Shooting block foul by M. Brown (drawn by C. Johnson),,22,23
95,2,11:39.0,C. Johnson misses free throw 1 of 2,,22,23
96,2,11:39.0,Offensive rebound by Team,,22,23
97,2,11:39.0,C. Johnson makes free throw 2 of 2,,23,23
98,2,11:26.0,,S. Larkin makes 2-pt jump shot from 8 ft,23,25
99,2,11:12.0,Turnover by R. Hood (traveling),,23,25
100,2,11:01.0,,S. Larkin misses 2-pt jump shot from 13 ft,23,25
101,2,11:00.0,Defensive rebound by R. Hood,,23,25
102,2,10:52.0,Shooting foul by B. Bogdanović (drawn by R. Hood),,23,25
103,2,10:52.0,R. Hood makes free throw 1 of 2,,24,25
104,2,10:52.0,J. Ingles enters the game for C. Johnson,,24,25
105,2,10:52.0,R. Hood makes free throw 2 of 2,,25,25
106,2,10:39.0,,W. Reed makes 2-pt hook shot from 5 ft (assist by S. Larkin),25,27
107,2,10:18.0,Turnover by J. Ingles (bad pass; steal by M. Brown),,25,27
108,2,10:10.0,,A. Bargnani misses 3-pt jump shot from 24 ft,25,27
109,2,10:09.0,Defensive rebound by T. Booker,,25,27
110,2,9:55.0,R. Hood misses 2-pt jump shot from 13 ft,,25,27
111,2,9:54.0,Offensive rebound by T. Booker,,25,27
112,2,9:50.0,T. Booker misses 2-pt layup from 1 ft,,25,27
