,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:40.0,Turnover by P. Gasol (bad pass; steal by L. James),,0,0
1,1,11:34.0,,L. James makes 2-pt layup from 1 ft,0,2
2,1,11:20.0,T. Gibson misses 2-pt jump shot from 16 ft,,0,2
3,1,11:18.0,Offensive rebound by J. Butler,,0,2
4,1,11:18.0,J. Butler misses 2-pt layup from 2 ft,,0,2
5,1,11:17.0,,Defensive rebound by K. Love,0,2
6,1,11:13.0,,Turnover by K. Love (lost ball; steal by P. Gasol),0,2
7,1,11:05.0,D. Rose makes 2-pt jump shot from 15 ft,,2,2
8,1,10:45.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),2,5
9,1,10:19.0,P. Gasol misses 3-pt jump shot from 23 ft,,2,5
10,1,10:18.0,,Defensive rebound by K. Love,2,5
11,1,10:07.0,,J. Smith misses 2-pt jump shot from 17 ft,2,5
12,1,10:06.0,Defensive rebound by P. Gasol,,2,5
13,1,9:52.0,D. Rose misses 2-pt jump shot from 5 ft,,2,5
14,1,9:51.0,,Defensive rebound by Team,2,5
15,1,9:34.0,,K. Irving makes 2-pt jump shot from 11 ft,2,7
16,1,9:11.0,T. Snell makes 2-pt jump shot from 4 ft,,4,7
17,1,8:57.0,,J. Smith misses 2-pt jump shot from 14 ft,4,7
18,1,8:55.0,Defensive rebound by D. Rose,,4,7
19,1,8:50.0,D. Rose misses 2-pt layup from 3 ft (block by L. James),,4,7
20,1,8:49.0,Offensive rebound by J. Butler,,4,7
21,1,8:44.0,T. Snell misses 3-pt jump shot from 24 ft,,4,7
22,1,8:43.0,,Defensive rebound by L. James,4,7
23,1,8:34.0,,K. Irving misses 2-pt jump shot from 17 ft (block by D. Rose),4,7
24,1,8:34.0,,Offensive rebound by Team,4,7
25,1,8:27.0,,K. Love misses 3-pt jump shot from 25 ft,4,7
26,1,8:26.0,Defensive rebound by T. Snell,,4,7
27,1,8:19.0,Turnover by P. Gasol (bad pass; steal by K. Irving),,4,7
28,1,8:14.0,,K. Irving makes 2-pt layup at rim,4,9
29,1,8:02.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by T. Snell),,6,9
30,1,7:47.0,,L. James misses 3-pt jump shot from 26 ft,6,9
31,1,7:46.0,,Offensive rebound by K. Irving,6,9
32,1,7:42.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by K. Irving),6,12
33,1,7:31.0,D. Rose misses 2-pt jump shot from 12 ft,,6,12
34,1,7:29.0,Offensive rebound by Team,,6,12
35,1,7:21.0,J. Butler makes 2-pt jump shot from 10 ft (assist by P. Gasol),,8,12
36,1,6:59.0,,T. Mozgov misses 2-pt layup at rim (block by P. Gasol),8,12
37,1,6:58.0,,Offensive rebound by T. Mozgov,8,12
38,1,6:57.0,,T. Mozgov makes 2-pt jump shot from 16 ft,8,14
39,1,6:42.0,Personal foul by K. Love (drawn by T. Gibson),,8,14
40,1,6:42.0,,J. Jones enters the game for K. Love,8,14
41,1,6:34.0,J. Butler makes 2-pt jump shot from 8 ft (assist by P. Gasol),,10,14
42,1,6:12.0,,L. James misses 2-pt jump shot from 17 ft,10,14
43,1,6:12.0,Defensive rebound by T. Snell,,10,14
44,1,6:00.0,T. Gibson misses 2-pt jump shot from 3 ft,,10,14
45,1,6:00.0,Offensive rebound by T. Gibson,,10,14
46,1,5:55.0,T. Gibson misses 2-pt layup from 2 ft (block by J. Jones),,10,14
47,1,5:54.0,,Defensive rebound by J. Smith,10,14
48,1,5:48.0,,J. Smith misses 3-pt jump shot from 24 ft,10,14
49,1,5:48.0,Defensive rebound by D. Rose,,10,14
50,1,5:38.0,D. Rose misses 2-pt layup from 2 ft (block by J. Smith),,10,14
51,1,5:37.0,,Defensive rebound by L. James,10,14
52,1,5:34.0,,L. James misses 2-pt layup from 3 ft (block by T. Snell),10,14
53,1,5:33.0,Defensive rebound by J. Butler,,10,14
54,1,5:29.0,Personal foul by K. Irving (drawn by J. Butler),,10,14
55,1,5:29.0,,M. Dellavedova enters the game for T. Mozgov,10,14
56,1,5:29.0,,T. Thompson enters the game for K. Irving,10,14
57,1,5:18.0,J. Butler makes 2-pt jump shot from 15 ft (assist by P. Gasol),,12,14
58,1,5:07.0,,L. James misses 2-pt layup from 2 ft,12,14
59,1,5:05.0,,Offensive rebound by L. James,12,14
60,1,5:05.0,,L. James misses 2-pt layup from 2 ft,12,14
61,1,5:04.0,,Offensive rebound by T. Thompson,12,14
62,1,5:04.0,,T. Thompson misses 2-pt layup at rim,12,14
63,1,5:03.0,,Offensive rebound by L. James,12,14
64,1,5:03.0,,L. James misses 2-pt layup from 1 ft,12,14
65,1,5:03.0,Defensive rebound by T. Snell,,12,14
66,1,4:55.0,A. Brooks enters the game for D. Rose,,12,14
67,1,4:55.0,N. Mirotić enters the game for T. Gibson,,12,14
68,1,4:55.0,,I. Shumpert enters the game for L. James,12,14
69,1,4:43.0,J. Butler misses 2-pt jump shot from 19 ft,,12,14
70,1,4:42.0,,Defensive rebound by T. Thompson,12,14
71,1,4:32.0,,M. Dellavedova misses 2-pt jump shot from 3 ft,12,14
72,1,4:30.0,Defensive rebound by N. Mirotić,,12,14
73,1,4:09.0,Turnover by Team (shot clock),,12,14
74,1,4:09.0,E. Moore enters the game for J. Butler,,12,14
75,1,3:54.0,,I. Shumpert misses 3-pt jump shot from 24 ft,12,14
76,1,3:53.0,Defensive rebound by E. Moore,,12,14
77,1,3:36.0,A. Brooks misses 2-pt jump shot from 16 ft,,12,14
78,1,3:35.0,Offensive rebound by A. Brooks,,12,14
79,1,3:31.0,E. Moore misses 3-pt jump shot from 24 ft,,12,14
80,1,3:31.0,Offensive rebound by P. Gasol,,12,14
81,1,3:19.0,N. Mirotić makes 2-pt jump shot from 18 ft (assist by A. Brooks),,14,14
82,1,3:06.0,,J. Smith misses 3-pt jump shot from 25 ft,14,14
83,1,3:06.0,Defensive rebound by P. Gasol,,14,14
84,1,2:58.0,Personal foul by J. Jones (drawn by N. Mirotić),,14,14
85,1,2:58.0,Chicago full timeout,,14,14
86,1,2:58.0,,K. Love enters the game for J. Smith,14,14
87,1,2:58.0,,M. Williams enters the game for J. Jones,14,14
88,1,2:44.0,P. Gasol misses 2-pt jump shot from 11 ft,,14,14
89,1,2:43.0,,Defensive rebound by I. Shumpert,14,14
90,1,2:32.0,,M. Williams misses 2-pt jump shot from 14 ft,14,14
91,1,2:32.0,Defensive rebound by Team,,14,14
92,1,2:32.0,,Loose ball foul by T. Thompson (drawn by P. Gasol),14,14
93,1,2:32.0,D. McDermott enters the game for T. Snell,,14,14
94,1,2:16.0,A. Brooks misses 3-pt jump shot from 24 ft,,14,14
95,1,2:15.0,,Defensive rebound by M. Williams,14,14
96,1,2:14.0,,Personal foul by D. McDermott (drawn by M. Williams),14,14
97,1,2:03.0,,K. Love misses 3-pt jump shot from 24 ft,14,14
98,1,2:03.0,Defensive rebound by Team,,14,14
99,1,1:39.0,P. Gasol makes 2-pt jump shot from 7 ft,,16,14
100,1,1:34.0,,Offensive foul by I. Shumpert (drawn by E. Moore),16,14
101,1,1:34.0,,Turnover by I. Shumpert (offensive foul),16,14
102,1,1:15.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by P. Gasol),,19,14
103,1,1:00.0,,M. Dellavedova misses 2-pt jump shot from 9 ft,19,14
104,1,1:00.0,Defensive rebound by N. Mirotić,,19,14
105,1,0:47.0,N. Mirotić misses 3-pt jump shot from 24 ft,,19,14
106,1,0:47.0,,Defensive rebound by I. Shumpert,19,14
107,1,0:34.0,,T. Thompson misses 2-pt jump shot from 7 ft,19,14
108,1,0:33.0,,Offensive rebound by Team,19,14
109,1,0:33.0,Loose ball foul by D. McDermott (drawn by I. Shumpert),,19,14
110,1,0:33.0,,K. Irving enters the game for M. Dellavedova,19,14
