,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:33.0,O. Porter makes 2-pt jump shot from 19 ft (assist by J. Wall),,2,0
1,1,11:09.0,,Turnover by K. Lowry (bad pass; steal by M. Gortat),2,0
2,1,10:59.0,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),,4,0
3,1,10:43.0,,Shooting foul by M. Gortat (drawn by D. DeRozan),4,0
4,1,10:43.0,,D. DeRozan misses free throw 1 of 2,4,0
5,1,10:43.0,,Offensive rebound by Team,4,0
6,1,10:43.0,,D. DeRozan makes free throw 2 of 2,4,1
7,1,10:30.0,Turnover by G. Temple (bad pass; steal by K. Lowry),,4,1
8,1,10:19.0,,Turnover by D. DeRozan (bad pass; steal by O. Porter),4,1
9,1,10:14.0,O. Porter misses 2-pt layup at rim,,4,1
10,1,10:13.0,,Defensive rebound by D. DeRozan,4,1
11,1,10:05.0,,J. Valančiūnas misses 2-pt layup from 1 ft (block by N. Hilário),4,1
12,1,10:04.0,,Offensive rebound by L. Scola,4,1
13,1,9:58.0,,L. Scola misses 2-pt jump shot from 7 ft,4,1
14,1,9:58.0,,Offensive rebound by J. Valančiūnas,4,1
15,1,9:54.0,,J. Valančiūnas makes 2-pt layup from 1 ft,4,3
16,1,9:49.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,6,3
17,1,9:35.0,,L. Scola misses 3-pt jump shot from 23 ft,6,3
18,1,9:34.0,Defensive rebound by O. Porter,,6,3
19,1,9:28.0,J. Wall misses 2-pt jump shot from 16 ft,,6,3
20,1,9:28.0,,Defensive rebound by J. Valančiūnas,6,3
21,1,9:21.0,,Personal foul by O. Porter (drawn by J. Johnson),6,3
22,1,9:10.0,,J. Valančiūnas makes 2-pt jump shot from 4 ft (assist by J. Johnson),6,5
23,1,8:54.0,N. Hilário makes 2-pt layup from 2 ft,,8,5
24,1,8:30.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft,8,5
25,1,8:30.0,Defensive rebound by O. Porter,,8,5
26,1,8:20.0,Turnover by J. Wall (bad pass; steal by L. Scola),,8,5
27,1,8:14.0,,K. Lowry makes 3-pt jump shot from 27 ft,8,8
28,1,7:52.0,N. Hilário misses 2-pt hook shot from 5 ft,,8,8
29,1,7:51.0,,Defensive rebound by J. Valančiūnas,8,8
