,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,HOUSTON_ACTION,WASHINGTON_SCORE,HOUSTON_SCORE
0,1,11:41.0,,D. Howard misses 2-pt hook shot from 8 ft,0,0
1,1,11:41.0,Defensive rebound by J. Wall,,0,0
2,1,11:22.0,G. Temple makes 2-pt jump shot from 8 ft,,2,0
3,1,11:09.0,,T. Ariza misses 2-pt jump shot from 16 ft,2,0
4,1,11:08.0,Defensive rebound by M. Gortat,,2,0
5,1,11:00.0,M. Gortat makes 2-pt layup at rim (assist by J. Dudley),,4,0
6,1,10:40.0,,T. Ariza misses 2-pt layup from 1 ft (block by M. Gortat),4,0
7,1,10:39.0,Defensive rebound by O. Porter,,4,0
8,1,10:32.0,Personal foul by J. Harden (drawn by G. Temple),,4,0
9,1,10:22.0,J. Dudley misses 3-pt jump shot from 22 ft,,4,0
10,1,10:21.0,Offensive rebound by M. Gortat,,4,0
11,1,10:15.0,G. Temple misses 3-pt jump shot from 25 ft,,4,0
12,1,10:14.0,Offensive rebound by O. Porter,,4,0
13,1,10:13.0,O. Porter makes 2-pt jump shot from 17 ft,,6,0
14,1,10:13.0,,Houston full timeout,6,0
15,1,10:05.0,,Personal foul by M. Gortat (drawn by C. Brewer),6,0
16,1,9:58.0,,P. Beverley makes 3-pt jump shot from 24 ft,6,3
17,1,9:49.0,O. Porter makes 3-pt jump shot from 22 ft (assist by J. Wall),,9,3
18,1,9:31.0,,J. Harden makes 2-pt dunk at rim (assist by C. Brewer),9,5
19,1,9:16.0,O. Porter misses 3-pt jump shot from 24 ft,,9,5
20,1,9:16.0,,Defensive rebound by Team,9,5
21,1,8:55.0,,J. Harden misses 2-pt jump shot from 5 ft,9,5
22,1,8:55.0,Defensive rebound by M. Gortat,,9,5
23,1,8:42.0,G. Temple misses 3-pt jump shot from 23 ft,,9,5
24,1,8:41.0,Offensive rebound by M. Gortat,,9,5
25,1,8:35.0,J. Wall misses 3-pt jump shot from 24 ft,,9,5
26,1,8:34.0,,Defensive rebound by P. Beverley,9,5
27,1,8:28.0,,P. Beverley misses 2-pt jump shot from 3 ft,9,5
28,1,8:27.0,Defensive rebound by M. Gortat,,9,5
29,1,8:21.0,G. Temple makes 2-pt dunk at rim (assist by J. Wall),,11,5
30,1,7:54.0,,D. Howard makes 2-pt jump shot from 4 ft (assist by P. Beverley),11,7
31,1,7:43.0,O. Porter misses 3-pt jump shot from 25 ft,,11,7
32,1,7:42.0,Offensive rebound by M. Gortat,,11,7
33,1,7:33.0,G. Temple makes 2-pt jump shot from 18 ft,,13,7
34,1,7:10.0,,P. Beverley makes 2-pt layup from 1 ft,13,9
35,1,6:52.0,O. Porter misses 3-pt jump shot from 22 ft,,13,9
36,1,6:51.0,,Defensive rebound by T. Ariza,13,9
37,1,6:39.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),13,11
38,1,6:22.0,J. Dudley makes 2-pt layup from 1 ft (assist by G. Temple),,15,11
39,1,6:22.0,Violation by Team (jump ball),,15,11
40,1,6:22.0,,Houston full timeout,15,11
41,1,6:22.0,B. Beal enters the game for O. Porter,,15,11
42,1,6:22.0,,J. Terry enters the game for C. Brewer,15,11
43,1,6:22.0,,J. Smith enters the game for P. Beverley,15,11
44,1,5:59.0,,J. Smith misses 2-pt hook shot from 5 ft,15,11
45,1,5:59.0,,Offensive rebound by D. Howard,15,11
46,1,5:52.0,,T. Ariza misses 2-pt layup from 2 ft (block by M. Gortat),15,11
47,1,5:51.0,Defensive rebound by J. Dudley,,15,11
48,1,5:38.0,B. Beal misses 3-pt jump shot from 25 ft,,15,11
49,1,5:37.0,,Defensive rebound by Team,15,11
50,1,5:23.0,,D. Howard makes 2-pt hook shot from 7 ft (assist by J. Smith),15,13
51,1,4:59.0,G. Temple misses 2-pt jump shot from 19 ft,,15,13
52,1,4:58.0,,Defensive rebound by J. Harden,15,13
53,1,4:40.0,,J. Harden makes 2-pt layup from 1 ft,15,15
54,1,4:33.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,17,15
55,1,4:20.0,,Turnover by J. Smith (lost ball; steal by J. Dudley),17,15
56,1,4:15.0,J. Wall makes 2-pt layup at rim (assist by J. Dudley),,19,15
57,1,3:56.0,,D. Howard makes 2-pt hook shot from 6 ft (assist by J. Harden),19,17
58,1,3:44.0,J. Wall makes 2-pt jump shot from 19 ft,,21,17
59,1,3:40.0,,Shooting foul by J. Wall (drawn by D. Howard),21,17
60,1,3:40.0,,D. Howard makes free throw 1 of 2,21,18
61,1,3:40.0,,C. Brewer enters the game for J. Harden,21,18
62,1,3:40.0,,T. Lawson enters the game for T. Ariza,21,18
63,1,3:40.0,,D. Howard makes free throw 2 of 2,21,19
64,1,3:29.0,J. Wall misses 2-pt jump shot from 16 ft,,21,19
65,1,3:27.0,,Defensive rebound by D. Howard,21,19
66,1,3:16.0,,C. Brewer misses 2-pt layup from 1 ft,21,19
67,1,3:14.0,Defensive rebound by J. Wall,,21,19
68,1,3:08.0,J. Dudley misses 3-pt jump shot from 24 ft,,21,19
69,1,3:07.0,,Defensive rebound by C. Brewer,21,19
70,1,2:58.0,,D. Howard makes 2-pt layup from 4 ft (assist by J. Smith),21,21
71,1,2:58.0,,Shooting foul by M. Gortat (drawn by D. Howard),21,21
72,1,2:58.0,Washington full timeout,,21,21
73,1,2:58.0,N. Hilário enters the game for M. Gortat,,21,21
74,1,2:58.0,,D. Howard makes free throw 1 of 1,21,22
75,1,2:37.0,J. Wall misses 3-pt jump shot from 24 ft,,21,22
76,1,2:36.0,Offensive rebound by Team,,21,22
77,1,2:36.0,D. Gooden enters the game for J. Dudley,,21,22
78,1,2:26.0,B. Beal makes 2-pt jump shot from 17 ft (assist by J. Wall),,23,22
79,1,2:13.0,G. Neal enters the game for G. Temple,,23,22
80,1,2:00.0,,T. Lawson makes 2-pt jump shot from 12 ft,23,24
81,1,1:39.0,B. Beal makes 3-pt jump shot from 22 ft (assist by J. Wall),,26,24
82,1,1:29.0,,J. Terry misses 3-pt jump shot from 24 ft,26,24
83,1,1:26.0,Defensive rebound by D. Gooden,,26,24
84,1,1:16.0,J. Wall misses 2-pt jump shot from 12 ft,,26,24
85,1,1:15.0,,Defensive rebound by D. Howard,26,24
86,1,1:10.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Terry),26,27
87,1,0:55.0,D. Gooden misses 2-pt jump shot from 18 ft,,26,27
88,1,0:54.0,,Defensive rebound by C. Brewer,26,27
89,1,0:43.0,,C. Brewer misses 3-pt jump shot from 24 ft,26,27
90,1,0:42.0,,Offensive rebound by J. Smith,26,27
91,1,0:39.0,,J. Terry makes 3-pt jump shot from 24 ft (assist by J. Smith),26,30
92,1,0:29.0,N. Hilário makes 2-pt jump shot from 13 ft,,28,30
93,1,0:08.0,,Shooting foul by J. Wall (drawn by T. Lawson),28,30
94,1,0:08.0,,T. Lawson makes free throw 1 of 2,28,31
95,1,0:08.0,,T. Ariza enters the game for J. Terry,28,31
96,1,0:08.0,,T. Lawson makes free throw 2 of 2,28,32
97,1,0:01.0,J. Wall misses 2-pt layup from 1 ft,,28,32
98,1,0:00.0,Offensive rebound by Team,,28,32
99,2,11:43.0,Shooting foul by T. Lawson (drawn by R. Sessions),,28,32
100,2,11:43.0,R. Sessions makes free throw 1 of 2,,29,32
101,2,11:43.0,R. Sessions misses free throw 2 of 2,,29,32
102,2,11:41.0,Offensive rebound by D. Gooden,,29,32
103,2,11:34.0,D. Gooden makes 2-pt jump shot from 7 ft,,31,32
104,2,11:20.0,,P. Beverley makes 2-pt layup from 2 ft,31,34
105,2,11:07.0,B. Beal misses 3-pt jump shot from 25 ft,,31,34
106,2,11:06.0,,Defensive rebound by T. Lawson,31,34
107,2,11:00.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by T. Lawson),31,37
108,2,10:37.0,G. Neal makes 2-pt jump shot from 4 ft,,33,37
109,2,10:32.0,,Personal foul by R. Sessions (drawn by T. Lawson),33,37
110,2,10:17.0,,J. Smith misses 3-pt jump shot from 25 ft,33,37
111,2,10:16.0,Defensive rebound by R. Sessions,,33,37
112,2,10:04.0,B. Beal makes 2-pt layup from 1 ft,,35,37
113,2,9:48.0,,P. Beverley misses 2-pt layup from 1 ft,35,37
114,2,9:47.0,Defensive rebound by R. Sessions,,35,37
115,2,9:41.0,R. Sessions misses 2-pt layup from 2 ft (block by C. Capela),,35,37
116,2,9:41.0,,Defensive rebound by J. Smith,35,37
117,2,9:29.0,,P. Beverley misses 3-pt jump shot from 23 ft,35,37
118,2,9:28.0,,Offensive rebound by C. Capela,35,37
119,2,9:21.0,,T. Lawson misses 2-pt jump shot from 19 ft,35,37
120,2,9:21.0,Defensive rebound by D. Gooden,,35,37
121,2,9:13.0,Personal foul by C. Brewer (drawn by R. Sessions),,35,37
122,2,9:13.0,,T. Jones enters the game for J. Smith,35,37
123,2,9:05.0,N. Hilário makes 2-pt dunk at rim (assist by B. Beal),,37,37
124,2,8:52.0,,C. Brewer misses 2-pt jump shot from 12 ft,37,37
125,2,8:52.0,,Offensive rebound by Team,37,37
126,2,8:52.0,Official timeout,,37,37
127,2,8:52.0,,T. Ariza enters the game for C. Brewer,37,37
128,2,8:52.0,,J. Harden enters the game for T. Lawson,37,37
129,2,8:34.0,,T. Jones makes 2-pt hook shot from 6 ft (assist by J. Harden),37,39
130,2,8:18.0,Turnover by R. Sessions (lost ball; steal by C. Capela),,37,39
131,2,8:16.0,,Shooting foul by R. Sessions (drawn by C. Capela),37,39
132,2,8:16.0,,C. Capela misses free throw 1 of 2,37,39
133,2,8:16.0,,Offensive rebound by Team,37,39
134,2,8:16.0,,C. Capela misses free throw 2 of 2,37,39
135,2,8:13.0,Defensive rebound by B. Beal,,37,39
136,2,8:08.0,R. Sessions makes 2-pt layup from 1 ft (assist by B. Beal),,39,39
137,2,7:51.0,,T. Jones misses 2-pt jump shot from 5 ft,39,39
138,2,7:50.0,Defensive rebound by D. Gooden,,39,39
139,2,7:48.0,Turnover by D. Gooden (bad pass; steal by J. Harden),,39,39
140,2,7:43.0,,J. Harden makes 3-pt jump shot from 25 ft,39,42
141,2,7:25.0,B. Beal misses 2-pt jump shot from 6 ft,,39,42
142,2,7:25.0,Offensive rebound by Team,,39,42
143,2,7:25.0,J. Dudley enters the game for D. Gooden,,39,42
144,2,7:14.0,G. Neal makes 2-pt jump shot from 17 ft (assist by N. Hilário),,41,42
145,2,6:57.0,,T. Jones misses 2-pt jump shot from 5 ft (block by N. Hilário),41,42
146,2,6:56.0,Defensive rebound by J. Dudley,,41,42
147,2,6:55.0,Personal foul by P. Beverley (drawn by R. Sessions),,41,42
148,2,6:55.0,,D. Howard enters the game for C. Capela,41,42
149,2,6:44.0,G. Neal makes 2-pt jump shot from 10 ft (assist by B. Beal),,43,42
150,2,6:19.0,,D. Howard misses 2-pt hook shot from 5 ft,43,42
151,2,6:18.0,,Offensive rebound by T. Ariza,43,42
152,2,6:16.0,,Flagrant foul type 1 by J. Dudley (drawn by D. Howard),43,42
153,2,6:16.0,,Technical foul by D. Howard,43,42
154,2,6:16.0,B. Beal makes technical free throw,,44,42
155,2,6:16.0,G. Temple enters the game for B. Beal,,44,42
156,2,6:16.0,,D. Howard misses flagrant free throw 1 of 2,44,42
157,2,6:16.0,,Offensive rebound by Team,44,42
158,2,6:16.0,,D. Howard misses flagrant free throw 2 of 2,44,42
159,2,6:16.0,,Offensive rebound by Team,44,42
160,2,6:07.0,,J. Harden makes 2-pt jump shot from 15 ft,44,44
161,2,5:42.0,Turnover by Team (shot clock),,44,44
162,2,5:42.0,,Houston full timeout,44,44
163,2,5:28.0,,Shooting foul by G. Temple (drawn by J. Harden),44,44
164,2,5:28.0,,J. Harden makes free throw 1 of 2,44,45
165,2,5:28.0,J. Wall enters the game for R. Sessions,,44,45
166,2,5:28.0,,J. Harden makes free throw 2 of 2,44,46
167,2,5:11.0,G. Neal makes 3-pt jump shot from 24 ft (assist by J. Wall),,47,46
168,2,5:01.0,,J. Harden misses 3-pt jump shot from 25 ft,47,46
169,2,4:59.0,Defensive rebound by J. Wall,,47,46
170,2,4:55.0,Shooting foul by J. Harden (drawn by N. Hilário),,47,46
171,2,4:55.0,N. Hilário misses free throw 1 of 2,,47,46
172,2,4:55.0,Offensive rebound by Team,,47,46
173,2,4:55.0,N. Hilário makes free throw 2 of 2,,48,46
174,2,4:35.0,,T. Jones misses 3-pt jump shot from 23 ft,48,46
175,2,4:34.0,Defensive rebound by N. Hilário,,48,46
176,2,4:27.0,Turnover by J. Wall (bad pass),,48,46
177,2,4:21.0,,Houston full timeout,48,46
178,2,4:21.0,M. Gortat enters the game for N. Hilário,,48,46
179,2,4:21.0,,C. Capela enters the game for D. Howard,48,46
180,2,4:03.0,,J. Harden misses 2-pt jump shot from 18 ft,48,46
181,2,4:01.0,Defensive rebound by M. Gortat,,48,46
182,2,3:54.0,J. Dudley makes 2-pt jump shot from 20 ft (assist by J. Wall),,50,46
183,2,3:40.0,,T. Ariza makes 2-pt jump shot from 14 ft (assist by P. Beverley),50,48
184,2,3:29.0,Shooting foul by C. Capela (drawn by M. Gortat),,50,48
185,2,3:29.0,M. Gortat misses free throw 1 of 2,,50,48
186,2,3:29.0,Offensive rebound by Team,,50,48
187,2,3:29.0,,C. Brewer enters the game for T. Jones,50,48
188,2,3:29.0,M. Gortat makes free throw 2 of 2,,51,48
189,2,3:13.0,,P. Beverley makes 2-pt jump shot from 4 ft (assist by C. Brewer),51,50
190,2,2:50.0,J. Wall makes 2-pt jump shot from 19 ft,,53,50
191,2,2:36.0,,C. Capela misses 2-pt layup from 2 ft,53,50
192,2,2:36.0,,Offensive rebound by C. Capela,53,50
193,2,2:35.0,,Personal foul by M. Gortat (drawn by C. Capela),53,50
194,2,2:35.0,,C. Capela misses free throw 1 of 2,53,50
195,2,2:35.0,,Offensive rebound by Team,53,50
196,2,2:35.0,N. Hilário enters the game for G. Neal,,53,50
197,2,2:35.0,B. Beal enters the game for M. Gortat,,53,50
198,2,2:35.0,,C. Capela misses free throw 2 of 2,53,50
199,2,2:35.0,Defensive rebound by G. Temple,,53,50
200,2,2:09.0,J. Wall misses 2-pt layup from 2 ft (block by C. Capela),,53,50
201,2,2:08.0,,Defensive rebound by C. Capela,53,50
202,2,2:07.0,,Shooting foul by G. Temple (drawn by T. Ariza),53,50
203,2,2:07.0,,T. Ariza makes free throw 1 of 2,53,51
204,2,2:07.0,,T. Ariza makes free throw 2 of 2,53,52
205,2,1:52.0,G. Temple misses 3-pt jump shot from 22 ft,,53,52
206,2,1:51.0,,Defensive rebound by P. Beverley,53,52
207,2,1:42.0,,C. Brewer makes 3-pt jump shot from 24 ft (assist by J. Harden),53,55
208,2,1:24.0,N. Hilário makes 2-pt hook shot from 4 ft (assist by J. Wall),,55,55
209,2,1:13.0,,Shooting foul by N. Hilário (drawn by J. Harden),55,55
210,2,1:13.0,,J. Harden makes free throw 1 of 2,55,56
211,2,1:13.0,,J. Harden makes free throw 2 of 2,55,57
212,2,1:02.0,Turnover by J. Wall (bad pass),,55,57
213,2,0:54.0,,C. Brewer misses 3-pt jump shot from 25 ft,55,57
214,2,0:53.0,Defensive rebound by J. Dudley,,55,57
215,2,0:47.0,J. Wall makes 2-pt layup at rim (assist by J. Dudley),,57,57
216,2,0:35.0,,Turnover by J. Harden (bad pass; steal by J. Wall),57,57
217,2,0:31.0,Turnover by N. Hilário (bad pass; steal by J. Harden),,57,57
218,2,0:29.0,,C. Brewer makes 2-pt layup from 1 ft (assist by J. Harden),57,59
219,2,0:29.0,,Shooting foul by J. Wall (drawn by C. Brewer),57,59
220,2,0:29.0,,C. Brewer misses free throw 1 of 1,57,59
221,2,0:28.0,Defensive rebound by Team,,57,59
222,2,0:10.0,B. Beal makes 2-pt jump shot from 8 ft,,59,59
223,2,0:02.0,,J. Harden makes 3-pt jump shot from 24 ft,59,62
224,2,0:00.0,G. Temple misses 3-pt jump shot from 39 ft,,59,62
225,2,0:00.0,Offensive rebound by Team,,59,62
226,3,11:39.0,O. Porter misses 3-pt jump shot from 24 ft,,59,62
227,3,11:38.0,,Defensive rebound by P. Beverley,59,62
228,3,11:20.0,,J. Harden misses 3-pt jump shot from 22 ft,59,62
229,3,11:18.0,Defensive rebound by J. Wall,,59,62
230,3,11:06.0,J. Dudley makes 3-pt jump shot from 22 ft (assist by J. Wall),,62,62
231,3,10:47.0,Violation by M. Gortat (kicked ball),,62,62
232,3,10:34.0,,D. Howard misses 2-pt hook shot from 9 ft,62,62
233,3,10:34.0,Defensive rebound by J. Wall,,62,62
234,3,10:17.0,J. Wall misses 3-pt jump shot from 23 ft,,62,62
235,3,10:17.0,,Defensive rebound by T. Ariza,62,62
236,3,10:06.0,,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),62,64
237,3,9:47.0,Turnover by M. Gortat (bad pass),,62,64
238,3,9:36.0,,J. Harden misses 3-pt jump shot from 25 ft,62,64
239,3,9:36.0,Defensive rebound by M. Gortat,,62,64
240,3,9:25.0,O. Porter makes 2-pt jump shot from 19 ft (assist by J. Wall),,64,64
241,3,9:10.0,,D. Howard makes 2-pt hook shot from 4 ft (assist by J. Harden),64,66
242,3,8:52.0,O. Porter misses 2-pt jump shot from 20 ft,,64,66
243,3,8:52.0,Offensive rebound by M. Gortat,,64,66
244,3,8:47.0,O. Porter makes 2-pt dunk at rim (assist by M. Gortat),,66,66
245,3,8:27.0,,Turnover by D. Howard (bad pass),66,66
246,3,8:12.0,G. Temple misses 2-pt jump shot from 8 ft,,66,66
247,3,8:09.0,,Defensive rebound by D. Howard,66,66
248,3,7:48.0,,P. Beverley misses 2-pt jump shot from 4 ft,66,66
249,3,7:46.0,Defensive rebound by M. Gortat,,66,66
250,3,7:42.0,J. Wall misses 2-pt layup from 1 ft (block by C. Brewer),,66,66
251,3,7:42.0,Offensive rebound by Team,,66,66
252,3,7:42.0,,Loose ball foul by D. Howard (drawn by G. Temple),66,66
253,3,7:33.0,Turnover by J. Dudley (bad pass; steal by P. Beverley),,66,66
254,3,7:16.0,,J. Harden makes 3-pt jump shot from 25 ft,66,69
255,3,6:59.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),,69,69
256,3,6:49.0,,Shooting foul by G. Temple (drawn by J. Harden),69,69
