,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:37.0,R. Rubio misses 2-pt jump shot from 19 ft,,0,0
1,1,11:36.0,,Defensive rebound by J. Clarkson,0,0
2,1,11:14.0,,K. Bryant misses 3-pt jump shot from 24 ft,0,0
3,1,11:13.0,Defensive rebound by G. Dieng,,0,0
4,1,11:02.0,K. Towns makes 2-pt layup at rim (assist by G. Dieng),,2,0
5,1,11:02.0,Shooting foul by K. Bryant (drawn by K. Towns),,2,0
6,1,11:02.0,K. Towns misses free throw 1 of 1,,2,0
7,1,11:01.0,,Defensive rebound by K. Bryant,2,0
8,1,10:41.0,,J. Randle misses 2-pt jump shot from 17 ft,2,0
9,1,10:40.0,Defensive rebound by K. Towns,,2,0
10,1,10:31.0,R. Rubio makes 2-pt layup at rim,,4,0
11,1,10:20.0,,L. Williams misses 2-pt layup at rim (block by K. Towns),4,0
12,1,10:20.0,,Offensive rebound by Team,4,0
13,1,10:14.0,,J. Clarkson makes 2-pt jump shot from 13 ft (assist by K. Bryant),4,2
14,1,9:58.0,R. Rubio misses 2-pt jump shot from 15 ft,,4,2
15,1,9:57.0,Offensive rebound by G. Dieng,,4,2
16,1,9:52.0,K. Towns makes 2-pt hook shot from 5 ft (assist by T. Prince),,6,2
17,1,9:40.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by J. Randle),6,4
18,1,9:20.0,A. Wiggins makes 2-pt jump shot from 16 ft (assist by K. Towns),,8,4
19,1,9:01.0,,J. Randle misses 2-pt layup from 1 ft (block by K. Towns),8,4
20,1,8:58.0,,Offensive rebound by K. Bryant,8,4
21,1,8:55.0,,K. Bryant makes 2-pt jump shot from 11 ft,8,6
22,1,8:42.0,G. Dieng makes 2-pt layup from 1 ft (assist by R. Rubio),,10,6
23,1,8:25.0,,Turnover by J. Clarkson (lost ball; steal by R. Rubio),10,6
24,1,8:20.0,Turnover by R. Rubio (bad pass; steal by K. Bryant),,10,6
25,1,8:14.0,,J. Clarkson misses 2-pt jump shot from 4 ft,10,6
26,1,8:08.0,Defensive rebound by T. Prince,,10,6
27,1,8:05.0,R. Rubio makes 2-pt layup at rim,,12,6
