,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:44.0,,M. Morris misses 2-pt jump shot from 15 ft,0,0
1,1,11:43.0,Defensive rebound by K. Porziņģis,,0,0
2,1,11:31.0,C. Anthony misses 2-pt jump shot from 18 ft,,0,0
3,1,11:30.0,,Defensive rebound by Team,0,0
4,1,11:17.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by M. Morris),0,3
5,1,10:56.0,J. Calderón misses 2-pt jump shot from 12 ft,,0,3
6,1,10:55.0,,Defensive rebound by A. Drummond,0,3
7,1,10:49.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by S. Johnson),0,6
8,1,10:24.0,K. Porziņģis misses 3-pt jump shot from 23 ft,,0,6
9,1,10:23.0,,Defensive rebound by A. Drummond,0,6
10,1,10:09.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by M. Morris),0,9
11,1,10:08.0,New York full timeout,,0,9
12,1,9:47.0,A. Afflalo makes 2-pt jump shot from 12 ft (assist by J. Calderón),,2,9
13,1,9:28.0,,R. Jackson makes 3-pt jump shot from 25 ft,2,12
14,1,9:03.0,Turnover by J. Calderón (bad pass; steal by R. Jackson),,2,12
15,1,8:56.0,,R. Jackson misses 2-pt layup from 1 ft,2,12
16,1,8:55.0,Defensive rebound by R. Lopez,,2,12
17,1,8:49.0,Turnover by A. Afflalo (lost ball; steal by S. Johnson),,2,12
18,1,8:34.0,,Turnover by R. Jackson (bad pass; steal by J. Calderón),2,12
19,1,8:27.0,C. Anthony misses 3-pt jump shot from 25 ft,,2,12
20,1,8:26.0,,Defensive rebound by M. Morris,2,12
21,1,8:09.0,,S. Johnson misses 3-pt jump shot from 24 ft,2,12
22,1,8:09.0,Defensive rebound by K. Porziņģis,,2,12
23,1,7:59.0,C. Anthony misses 2-pt layup at rim (block by A. Drummond),,2,12
24,1,7:58.0,,Defensive rebound by M. Morris,2,12
25,1,7:51.0,,Turnover by E. İlyasova (lost ball; steal by A. Afflalo),2,12
26,1,7:42.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,2,12
27,1,7:41.0,,Defensive rebound by S. Johnson,2,12
28,1,7:31.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,12
29,1,7:30.0,Defensive rebound by C. Anthony,,2,12
30,1,7:17.0,K. Porziņģis misses 2-pt layup at rim,,2,12
31,1,7:16.0,,Defensive rebound by A. Drummond,2,12
32,1,7:05.0,,M. Morris misses 2-pt jump shot from 19 ft,2,12
33,1,7:04.0,Defensive rebound by C. Anthony,,2,12
34,1,6:53.0,Turnover by C. Anthony (bad pass; steal by S. Johnson),,2,12
35,1,6:50.0,,Turnover by S. Johnson (bad pass; steal by A. Afflalo),2,12
36,1,6:35.0,A. Afflalo misses 3-pt jump shot from 26 ft,,2,12
37,1,6:34.0,Offensive rebound by R. Lopez,,2,12
38,1,6:33.0,R. Lopez misses 2-pt layup at rim,,2,12
39,1,6:32.0,,Defensive rebound by E. İlyasova,2,12
40,1,6:31.0,,Turnover by E. İlyasova (lost ball),2,12
41,1,6:31.0,L. Thomas enters the game for K. Porziņģis,,2,12
