,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:43.0,,Turnover by K. Love (lost ball; steal by M. Williams),0,0
1,1,11:34.0,C. Lee misses 3-pt jump shot from 23 ft,,0,0
2,1,11:33.0,,Defensive rebound by L. James,0,0
3,1,11:26.0,,L. James makes 2-pt layup at rim,0,2
4,1,11:07.0,C. Zeller misses 2-pt jump shot from 18 ft,,0,2
5,1,11:06.0,,Defensive rebound by K. Love,0,2
6,1,10:59.0,,Turnover by T. Thompson (lost ball; steal by C. Lee),0,2
7,1,10:55.0,M. Williams misses 2-pt jump shot from 8 ft (block by K. Irving),,0,2
8,1,10:55.0,Offensive rebound by Team,,0,2
9,1,10:43.0,N. Batum makes 2-pt layup at rim (assist by K. Walker),,2,2
10,1,10:24.0,,K. Love misses 3-pt jump shot from 25 ft,2,2
11,1,10:22.0,Defensive rebound by C. Zeller,,2,2
12,1,10:06.0,K. Walker misses 3-pt jump shot from 26 ft,,2,2
13,1,10:05.0,,Defensive rebound by J. Smith,2,2
14,1,9:58.0,,L. James misses 2-pt layup from 1 ft,2,2
15,1,9:56.0,Defensive rebound by N. Batum,,2,2
16,1,9:50.0,Turnover by C. Zeller (lost ball; steal by J. Smith),,2,2
17,1,9:45.0,,Turnover by L. James (bad pass),2,2
18,1,9:26.0,M. Williams makes 2-pt layup at rim (assist by N. Batum),,4,2
19,1,9:06.0,,L. James makes 3-pt jump shot from 22 ft (assist by K. Love),4,5
20,1,8:41.0,M. Williams misses 3-pt jump shot from 24 ft,,4,5
21,1,8:41.0,,Defensive rebound by J. Smith,4,5
22,1,8:38.0,,Personal foul by M. Williams (drawn by K. Love),4,5
23,1,8:30.0,,K. Love misses 2-pt jump shot from 5 ft (block by N. Batum),4,5
24,1,8:29.0,,Offensive rebound by L. James,4,5
25,1,8:24.0,,K. Irving makes 2-pt jump shot from 15 ft (assist by L. James),4,7
26,1,8:10.0,Turnover by M. Williams (lost ball),,4,7
27,1,7:59.0,,K. Love makes 2-pt jump shot from 18 ft (assist by L. James),4,9
28,1,7:43.0,M. Williams misses 3-pt jump shot from 24 ft,,4,9
29,1,7:43.0,Offensive rebound by C. Zeller,,4,9
30,1,7:40.0,C. Zeller misses 2-pt layup from 2 ft,,4,9
31,1,7:38.0,,Defensive rebound by T. Thompson,4,9
32,1,7:28.0,,L. James makes 3-pt jump shot from 24 ft (assist by K. Love),4,12
33,1,7:12.0,C. Lee makes 2-pt layup at rim (assist by N. Batum),,6,12
34,1,6:56.0,,L. James misses 3-pt jump shot from 24 ft,6,12
35,1,6:56.0,Defensive rebound by C. Lee,,6,12
36,1,6:47.0,N. Batum makes 3-pt jump shot from 22 ft (assist by M. Williams),,9,12
37,1,6:46.0,,Cleveland full timeout,9,12
38,1,6:35.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),9,15
39,1,6:19.0,N. Batum misses 3-pt jump shot from 25 ft,,9,15
40,1,6:17.0,,Defensive rebound by T. Thompson,9,15
41,1,6:02.0,,K. Love misses 3-pt jump shot from 23 ft,9,15
42,1,6:01.0,Defensive rebound by C. Zeller,,9,15
43,1,5:54.0,Shooting foul by T. Thompson (drawn by C. Zeller),,9,15
44,1,5:54.0,C. Zeller makes free throw 1 of 2,,10,15
45,1,5:54.0,C. Zeller misses free throw 2 of 2,,10,15
46,1,5:52.0,,Defensive rebound by T. Thompson,10,15
47,1,5:32.0,,K. Love misses 2-pt jump shot from 15 ft,10,15
48,1,5:31.0,Defensive rebound by M. Williams,,10,15
49,1,5:23.0,C. Lee makes 2-pt jump shot from 17 ft,,12,15
50,1,5:12.0,,Personal foul by M. Williams (drawn by L. James),12,15
51,1,5:12.0,F. Kaminsky enters the game for M. Williams,,12,15
52,1,5:06.0,,L. James misses 3-pt jump shot from 24 ft,12,15
53,1,5:05.0,Defensive rebound by C. Lee,,12,15
54,1,4:49.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),,15,15
55,1,4:35.0,Violation by C. Zeller (kicked ball),,15,15
56,1,4:35.0,J. Lin enters the game for C. Lee,,15,15
57,1,4:29.0,,K. Irving misses 3-pt jump shot from 25 ft,15,15
58,1,4:29.0,Defensive rebound by N. Batum,,15,15
59,1,4:21.0,K. Walker misses 2-pt jump shot from 15 ft,,15,15
60,1,4:20.0,,Defensive rebound by L. James,15,15
61,1,4:13.0,,Shooting block foul by C. Zeller (drawn by L. James),15,15
62,1,4:13.0,,L. James makes free throw 1 of 2,15,16
63,1,4:13.0,,M. Dellavedova enters the game for K. Irving,15,16
64,1,4:13.0,,R. Jefferson enters the game for K. Love,15,16
65,1,4:13.0,A. Jefferson enters the game for C. Zeller,,15,16
66,1,4:13.0,,L. James makes free throw 2 of 2,15,17
67,1,3:57.0,N. Batum makes 2-pt jump shot from 11 ft,,17,17
68,1,3:45.0,,T. Thompson misses 2-pt layup from 1 ft,17,17
69,1,3:44.0,Defensive rebound by N. Batum,,17,17
70,1,3:38.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by N. Batum),,20,17
71,1,3:17.0,,R. Jefferson misses 2-pt jump shot from 14 ft,20,17
72,1,3:17.0,Defensive rebound by N. Batum,,20,17
73,1,3:03.0,F. Kaminsky makes 2-pt jump shot from 5 ft (assist by N. Batum),,22,17
74,1,2:48.0,,J. Smith misses 2-pt jump shot from 17 ft,22,17
75,1,2:47.0,Defensive rebound by K. Walker,,22,17
76,1,2:28.0,A. Jefferson misses 2-pt jump shot from 11 ft,,22,17
77,1,2:28.0,,Defensive rebound by J. Smith,22,17
78,1,2:24.0,,M. Dellavedova misses 2-pt jump shot from 6 ft,22,17
79,1,2:23.0,,Offensive rebound by T. Thompson,22,17
80,1,2:20.0,,Cleveland full timeout,22,17
81,1,2:20.0,Charlotte full timeout,,22,17
82,1,2:20.0,J. Lamb enters the game for N. Batum,,22,17
83,1,2:20.0,,K. Irving enters the game for L. James,22,17
84,1,2:09.0,,J. Smith misses 2-pt jump shot from 7 ft,22,17
85,1,2:08.0,,Offensive rebound by T. Thompson,22,17
86,1,2:08.0,,T. Thompson makes 2-pt dunk at rim,22,19
87,1,1:45.0,A. Jefferson makes 2-pt jump shot from 11 ft (assist by F. Kaminsky),,24,19
88,1,1:22.0,,K. Irving misses 3-pt jump shot from 24 ft,24,19
89,1,1:21.0,Defensive rebound by A. Jefferson,,24,19
90,1,1:10.0,K. Walker misses 3-pt jump shot from 24 ft,,24,19
91,1,1:09.0,,Defensive rebound by K. Irving,24,19
92,1,1:01.0,,K. Irving makes 2-pt jump shot from 4 ft,24,21
93,1,0:49.0,J. Lin misses 2-pt layup from 1 ft,,24,21
94,1,0:49.0,,Defensive rebound by T. Thompson,24,21
95,1,0:44.0,Offensive charge foul by K. Irving (drawn by K. Walker),,24,21
96,1,0:44.0,,Turnover by K. Irving (offensive foul),24,21
97,1,0:44.0,,T. Mozgov enters the game for T. Thompson,24,21
98,1,0:35.0,Turnover by J. Lin (lost ball; steal by K. Irving),,24,21
99,1,0:31.0,,K. Irving makes 2-pt layup at rim,24,23
100,1,0:13.0,Personal foul by T. Mozgov (drawn by A. Jefferson),,24,23
101,1,0:01.0,J. Lamb misses 3-pt jump shot from 25 ft,,24,23
102,1,0:00.0,Offensive rebound by A. Jefferson,,24,23
103,2,11:40.0,Shooting foul by C. Frye (drawn by F. Kaminsky),,24,23
104,2,11:40.0,F. Kaminsky makes free throw 1 of 2,,25,23
105,2,11:40.0,F. Kaminsky makes free throw 2 of 2,,26,23
106,2,11:27.0,,Personal foul by J. Lamb (drawn by R. Jefferson),26,23
107,2,11:27.0,C. Lee enters the game for K. Walker,,26,23
108,2,11:18.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,26,23
109,2,11:18.0,,Offensive rebound by T. Mozgov,26,23
110,2,11:07.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),26,26
111,2,10:50.0,J. Lin misses 2-pt jump shot from 11 ft,,26,26
112,2,10:50.0,,Defensive rebound by C. Frye,26,26
113,2,10:47.0,,K. Irving makes 2-pt layup from 1 ft,26,28
114,2,10:47.0,,Shooting foul by J. Lin (drawn by K. Irving),26,28
115,2,10:47.0,,K. Irving makes free throw 1 of 1,26,29
116,2,10:25.0,A. Jefferson misses 2-pt jump shot from 15 ft,,26,29
117,2,10:25.0,,Defensive rebound by C. Frye,26,29
118,2,10:08.0,,C. Frye makes 2-pt jump shot from 6 ft (assist by K. Irving),26,31
119,2,10:03.0,Charlotte full timeout,,26,31
120,2,9:56.0,Shooting foul by R. Jefferson (drawn by J. Lamb),,26,31
121,2,9:56.0,J. Lamb misses free throw 1 of 2,,26,31
122,2,9:56.0,Offensive rebound by Team,,26,31
123,2,9:56.0,J. Lamb makes free throw 2 of 2,,27,31
124,2,9:34.0,,C. Frye misses 3-pt jump shot from 24 ft,27,31
125,2,9:34.0,,Offensive rebound by K. Irving,27,31
126,2,9:30.0,,Turnover by T. Mozgov (bad pass; steal by J. Lamb),27,31
127,2,9:25.0,Turnover by J. Lamb (bad pass; steal by T. Mozgov),,27,31
128,2,9:20.0,,R. Jefferson makes 2-pt layup at rim,27,33
129,2,9:07.0,J. Lin makes 3-pt jump shot from 25 ft,,30,33
130,2,8:48.0,,K. Irving makes 2-pt jump shot from 3 ft,30,35
131,2,8:39.0,A. Jefferson makes 2-pt layup at rim (assist by J. Lin),,32,35
132,2,8:39.0,Shooting foul by K. Irving (drawn by A. Jefferson),,32,35
133,2,8:39.0,N. Batum enters the game for C. Lee,,32,35
134,2,8:39.0,,L. James enters the game for R. Jefferson,32,35
135,2,8:39.0,,K. Love enters the game for C. Frye,32,35
136,2,8:39.0,A. Jefferson misses free throw 1 of 1,,32,35
137,2,8:38.0,,Defensive rebound by L. James,32,35
138,2,8:31.0,,T. Mozgov misses 2-pt layup from 1 ft,32,35
139,2,8:30.0,Defensive rebound by F. Kaminsky,,32,35
140,2,8:18.0,A. Jefferson misses 2-pt jump shot from 7 ft,,32,35
141,2,8:16.0,Offensive rebound by J. Lamb,,32,35
142,2,8:14.0,J. Lamb misses 2-pt jump shot from 8 ft,,32,35
143,2,8:13.0,,Defensive rebound by T. Mozgov,32,35
