,QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,Turnover by P. Millsap (bad pass; steal by S. Livingston),,0,0
1,1,11:43.0,,Turnover by D. Green (lost ball; steal by K. Korver),0,0
2,1,11:33.0,K. Korver misses 3-pt jump shot from 28 ft,,0,0
3,1,11:32.0,Offensive rebound by Team,,0,0
4,1,11:25.0,K. Korver makes 2-pt jump shot from 19 ft (assist by J. Teague),,2,0
5,1,11:09.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by H. Barnes),2,3
6,1,10:53.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Teague),,5,3
7,1,10:37.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),5,6
8,1,10:22.0,P. Millsap misses 2-pt layup from 1 ft,,5,6
9,1,10:22.0,Offensive rebound by K. Korver,,5,6
10,1,10:17.0,K. Korver misses 2-pt jump shot from 16 ft,,5,6
11,1,10:17.0,,Defensive rebound by S. Livingston,5,6
12,1,10:06.0,,A. Bogut makes 2-pt hook shot from 3 ft,5,8
13,1,9:54.0,Shooting foul by D. Green (drawn by K. Bazemore),,5,8
14,1,9:54.0,K. Bazemore makes free throw 1 of 2,,6,8
15,1,9:54.0,K. Bazemore makes free throw 2 of 2,,7,8
16,1,9:40.0,,K. Thompson misses 3-pt jump shot from 24 ft,7,8
17,1,9:38.0,Defensive rebound by A. Horford,,7,8
18,1,9:26.0,Shooting foul by S. Livingston (drawn by P. Millsap),,7,8
19,1,9:26.0,P. Millsap misses free throw 1 of 2,,7,8
20,1,9:26.0,Offensive rebound by Team,,7,8
21,1,9:26.0,P. Millsap makes free throw 2 of 2,,8,8
22,1,9:10.0,,S. Livingston makes 2-pt dunk at rim (assist by D. Green),8,10
23,1,8:56.0,A. Horford misses 2-pt jump shot from 21 ft,,8,10
24,1,8:56.0,,Defensive rebound by D. Green,8,10
25,1,8:51.0,,A. Bogut makes 2-pt dunk at rim (assist by D. Green),8,12
26,1,8:25.0,P. Millsap misses 2-pt jump shot from 15 ft,,8,12
27,1,8:25.0,,Defensive rebound by S. Livingston,8,12
28,1,8:16.0,,D. Green makes 3-pt jump shot from 24 ft (assist by S. Livingston),8,15
29,1,8:16.0,Atlanta full timeout,,8,15
30,1,7:53.0,J. Teague misses 3-pt jump shot from 26 ft,,8,15
31,1,7:53.0,,Defensive rebound by A. Bogut,8,15
32,1,7:29.0,,H. Barnes misses 2-pt jump shot from 14 ft,8,15
33,1,7:29.0,,Offensive rebound by Team,8,15
34,1,7:29.0,,Turnover by Team (shot clock),8,15
35,1,7:07.0,P. Millsap misses 3-pt jump shot from 25 ft,,8,15
36,1,7:06.0,,Defensive rebound by K. Thompson,8,15
