,QUARTER,TIME_REMAINING,UTAH_ACTION,TORONTO_ACTION,UTAH_SCORE,TORONTO_SCORE
0,1,11:41.0,,Violation by D. DeRozan (kicked ball),0,0
1,1,11:30.0,G. Hayward makes 2-pt jump shot from 9 ft,,2,0
2,1,11:15.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by K. Lowry),2,2
3,1,11:07.0,G. Hayward makes 2-pt jump shot from 16 ft (assist by S. Mack),,4,2
4,1,10:54.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by L. Scola),4,5
5,1,10:37.0,Turnover by S. Mack (lost ball; steal by L. Scola),,4,5
6,1,10:32.0,,K. Lowry makes 2-pt layup from 1 ft,4,7
7,1,10:13.0,Personal foul by J. Johnson (drawn by G. Hayward),,4,7
8,1,10:01.0,R. Gobert makes 2-pt layup from 3 ft (assist by R. Hood),,6,7
9,1,9:37.0,,J. Valančiūnas misses 2-pt dunk from 2 ft,6,7
10,1,9:36.0,Defensive rebound by S. Mack,,6,7
11,1,9:26.0,Offensive foul by R. Gobert (drawn by L. Scola),,6,7
12,1,9:26.0,Turnover by R. Gobert (offensive foul),,6,7
13,1,9:16.0,,Turnover by J. Johnson (bad pass; steal by R. Gobert),6,7
14,1,9:08.0,S. Mack misses 3-pt jump shot from 26 ft,,6,7
15,1,9:08.0,,Defensive rebound by D. DeRozan,6,7
16,1,8:46.0,,J. Valančiūnas misses 2-pt layup from 1 ft,6,7
17,1,8:46.0,Defensive rebound by R. Gobert,,6,7
18,1,8:34.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,8,7
19,1,8:34.0,Shooting foul by K. Lowry (drawn by R. Gobert),,8,7
20,1,8:34.0,R. Gobert misses free throw 1 of 1,,8,7
21,1,8:33.0,,Defensive rebound by J. Valančiūnas,8,7
22,1,8:18.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by L. Scola),8,10
23,1,7:57.0,D. Favors misses 2-pt jump shot from 15 ft,,8,10
24,1,7:56.0,Offensive rebound by R. Gobert,,8,10
25,1,7:52.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Gobert),,11,10
26,1,7:32.0,,K. Lowry makes 2-pt layup from 1 ft,11,12
27,1,7:20.0,S. Mack misses 2-pt layup from 3 ft,,11,12
28,1,7:20.0,,Defensive rebound by J. Valančiūnas,11,12
29,1,7:04.0,,Turnover by K. Lowry (bad pass; steal by R. Hood),11,12
30,1,6:57.0,G. Hayward makes 2-pt layup from 1 ft,,13,12
31,1,6:37.0,,D. DeRozan makes 2-pt jump shot from 13 ft,13,14
32,1,6:37.0,,Shooting foul by G. Hayward (drawn by D. DeRozan),13,14
33,1,6:37.0,,D. DeRozan misses free throw 1 of 1,13,14
34,1,6:36.0,Defensive rebound by D. Favors,,13,14
35,1,6:19.0,R. Hood misses 2-pt jump shot from 18 ft,,13,14
36,1,6:18.0,Offensive rebound by R. Gobert,,13,14
37,1,6:14.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Gobert),,15,14
38,1,6:03.0,,L. Scola misses 3-pt jump shot from 25 ft,15,14
39,1,6:03.0,Defensive rebound by G. Hayward,,15,14
40,1,5:55.0,G. Hayward misses 3-pt jump shot from 26 ft,,15,14
41,1,5:55.0,,Defensive rebound by D. DeRozan,15,14
42,1,5:46.0,,Shooting foul by R. Gobert (drawn by D. DeRozan),15,14
43,1,5:46.0,,Toronto full timeout,15,14
44,1,5:46.0,T. Lyles enters the game for R. Gobert,,15,14
45,1,5:46.0,,D. DeRozan makes free throw 1 of 2,15,15
46,1,5:46.0,,D. DeRozan makes free throw 2 of 2,15,16
47,1,5:24.0,S. Mack misses 3-pt jump shot from 24 ft,,15,16
48,1,5:24.0,,Defensive rebound by D. DeRozan,15,16
49,1,5:15.0,,D. DeRozan misses 2-pt jump shot from 15 ft,15,16
50,1,5:14.0,Defensive rebound by S. Mack,,15,16
51,1,5:13.0,Personal foul by D. DeRozan (drawn by S. Mack),,15,16
52,1,4:58.0,D. Favors misses 2-pt jump shot from 18 ft,,15,16
53,1,4:58.0,,Defensive rebound by J. Valančiūnas,15,16
54,1,4:43.0,,J. Johnson makes 2-pt jump shot from 3 ft,15,18
55,1,4:26.0,G. Hayward misses 3-pt jump shot from 23 ft,,15,18
56,1,4:26.0,,Defensive rebound by L. Scola,15,18
57,1,4:14.0,,Turnover by K. Lowry (bad pass),15,18
58,1,3:54.0,R. Hood makes 3-pt jump shot from 26 ft (assist by G. Hayward),,18,18
59,1,3:31.0,,J. Valančiūnas makes 2-pt dunk at rim,18,20
60,1,3:10.0,D. Favors misses 2-pt jump shot from 15 ft,,18,20
61,1,3:10.0,,Defensive rebound by L. Scola,18,20
62,1,2:46.0,,L. Scola misses 2-pt layup from 2 ft (block by D. Favors),18,20
63,1,2:45.0,,Offensive rebound by L. Scola,18,20
64,1,2:45.0,,Turnover by Team (shot clock),18,20
65,1,2:45.0,Utah full timeout,,18,20
66,1,2:45.0,,T. Ross enters the game for J. Johnson,18,20
67,1,2:45.0,,C. Joseph enters the game for L. Scola,18,20
68,1,2:45.0,,P. Patterson enters the game for K. Lowry,18,20
69,1,2:45.0,C. Johnson enters the game for R. Hood,,18,20
70,1,2:31.0,C. Johnson misses 3-pt jump shot from 23 ft,,18,20
71,1,2:30.0,Offensive rebound by D. Favors,,18,20
72,1,2:27.0,D. Favors makes 2-pt dunk at rim,,20,20
73,1,2:09.0,,D. DeRozan misses 2-pt jump shot from 5 ft (block by T. Lyles),20,20
74,1,2:09.0,,Offensive rebound by Team,20,20
75,1,2:02.0,,C. Joseph misses 2-pt jump shot from 21 ft,20,20
76,1,2:02.0,Defensive rebound by D. Favors,,20,20
77,1,1:44.0,G. Hayward misses 2-pt jump shot from 13 ft,,20,20
78,1,1:44.0,,Defensive rebound by J. Valančiūnas,20,20
79,1,1:33.0,,Personal foul by D. Favors (drawn by J. Valančiūnas),20,20
80,1,1:33.0,R. Neto enters the game for S. Mack,,20,20
81,1,1:27.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by C. Joseph),20,22
82,1,1:01.0,D. Favors makes 2-pt hook shot from 4 ft,,22,22
83,1,0:38.0,,Turnover by C. Joseph (lost ball; steal by R. Neto),22,22
84,1,0:32.0,G. Hayward makes 2-pt jump shot from 3 ft (assist by R. Neto),,24,22
85,1,0:08.0,,D. DeRozan makes 2-pt jump shot from 4 ft,24,24
86,1,0:00.0,G. Hayward makes 2-pt jump shot from 20 ft,,26,24
87,2,11:40.0,,C. Joseph misses 2-pt layup at rim (block by C. Johnson),26,24
88,2,11:37.0,,Offensive rebound by Team,26,24
89,2,11:37.0,,P. Patterson misses 2-pt jump shot from 17 ft,26,24
90,2,11:36.0,Defensive rebound by R. Neto,,26,24
91,2,11:29.0,R. Neto makes 2-pt jump shot from 16 ft,,28,24
92,2,11:04.0,,T. Ross misses 2-pt jump shot from 19 ft,28,24
93,2,11:04.0,,Offensive rebound by P. Patterson,28,24
94,2,11:01.0,,P. Patterson makes 2-pt dunk at rim,28,26
95,2,10:39.0,T. Lyles makes 3-pt jump shot from 24 ft (assist by R. Hood),,31,26
96,2,10:10.0,,P. Patterson misses 3-pt jump shot from 24 ft,31,26
97,2,10:09.0,Defensive rebound by C. Johnson,,31,26
98,2,9:57.0,C. Johnson makes 2-pt layup from 1 ft (assist by R. Hood),,33,26
99,2,9:57.0,,Toronto full timeout,33,26
100,2,9:48.0,,K. Lowry misses 3-pt jump shot from 24 ft,33,26
101,2,9:47.0,Defensive rebound by Team,,33,26
102,2,9:31.0,J. Withey makes 2-pt dunk at rim (assist by C. Johnson),,35,26
103,2,9:09.0,,Turnover by C. Joseph (bad pass; steal by R. Neto),35,26
104,2,9:03.0,R. Neto makes 3-pt jump shot from 25 ft (assist by R. Hood),,38,26
105,2,8:37.0,,Def 3 sec tech foul by T. Lyles,38,26
106,2,8:37.0,,K. Lowry makes technical free throw,38,27
107,2,8:25.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by K. Lowry),38,30
108,2,8:24.0,Utah full timeout,,38,30
109,2,8:24.0,J. Ingles enters the game for R. Hood,,38,30
110,2,8:11.0,T. Lyles misses 3-pt jump shot from 22 ft,,38,30
111,2,8:10.0,,Defensive rebound by B. Biyombo,38,30
112,2,7:59.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by C. Joseph),38,33
113,2,7:35.0,T. Booker enters the game for T. Lyles,,38,33
114,2,7:32.0,J. Ingles misses 2-pt layup from 4 ft,,38,33
115,2,7:32.0,,Defensive rebound by T. Ross,38,33
116,2,7:27.0,Violation by J. Ingles (kicked ball),,38,33
117,2,7:27.0,D. Favors enters the game for J. Withey,,38,33
118,2,7:17.0,,T. Ross misses 3-pt jump shot from 26 ft,38,33
119,2,7:17.0,,Offensive rebound by Team,38,33
120,2,7:17.0,Loose ball foul by T. Booker (drawn by P. Patterson),,38,33
121,2,7:09.0,,Personal foul by C. Johnson (drawn by K. Lowry),38,33
122,2,6:53.0,,P. Patterson misses 2-pt layup from 2 ft,38,33
123,2,6:52.0,,Offensive rebound by B. Biyombo,38,33
124,2,6:52.0,,Shooting foul by C. Johnson (drawn by B. Biyombo),38,33
125,2,6:52.0,,B. Biyombo misses free throw 1 of 2,38,33
126,2,6:52.0,,Offensive rebound by Team,38,33
127,2,6:52.0,S. Mack enters the game for R. Neto,,38,33
128,2,6:52.0,G. Hayward enters the game for C. Johnson,,38,33
129,2,6:52.0,,B. Biyombo makes free throw 2 of 2,38,34
130,2,6:32.0,Shooting foul by C. Joseph (drawn by S. Mack),,38,34
131,2,6:32.0,S. Mack makes free throw 1 of 2,,39,34
132,2,6:32.0,,D. DeRozan enters the game for C. Joseph,39,34
133,2,6:32.0,S. Mack makes free throw 2 of 2,,40,34
134,2,6:10.0,,T. Ross misses 2-pt jump shot from 22 ft,40,34
135,2,6:09.0,,Offensive rebound by B. Biyombo,40,34
136,2,6:04.0,,K. Lowry misses 3-pt jump shot from 23 ft,40,34
137,2,6:03.0,Defensive rebound by T. Booker,,40,34
138,2,5:56.0,,Violation by D. DeRozan (kicked ball),40,34
139,2,5:56.0,Official timeout,,40,34
140,2,5:49.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by S. Mack),,43,34
141,2,5:49.0,Shooting foul by B. Biyombo (drawn by G. Hayward),,43,34
142,2,5:49.0,G. Hayward makes free throw 1 of 1,,44,34
143,2,5:37.0,,T. Ross makes 2-pt jump shot from 5 ft,44,36
144,2,5:22.0,S. Mack misses 2-pt hook shot from 5 ft,,44,36
145,2,5:22.0,,Defensive rebound by P. Patterson,44,36
146,2,5:12.0,,B. Biyombo misses 2-pt hook shot from 5 ft,44,36
147,2,5:11.0,Defensive rebound by D. Favors,,44,36
148,2,4:46.0,G. Hayward misses 3-pt jump shot from 30 ft,,44,36
149,2,4:46.0,,Defensive rebound by P. Patterson,44,36
150,2,4:35.0,,P. Patterson misses 3-pt jump shot from 26 ft,44,36
151,2,4:34.0,Defensive rebound by J. Ingles,,44,36
152,2,4:30.0,Offensive foul by T. Booker (drawn by P. Patterson),,44,36
153,2,4:30.0,Turnover by T. Booker (offensive foul),,44,36
154,2,4:30.0,R. Gobert enters the game for J. Ingles,,44,36
155,2,4:30.0,C. Johnson enters the game for T. Booker,,44,36
156,2,4:30.0,,L. Nogueira enters the game for B. Biyombo,44,36
157,2,4:12.0,,D. DeRozan makes 2-pt jump shot from 4 ft,44,38
158,2,4:02.0,Def 3 sec tech foul by L. Nogueira,,44,38
159,2,4:02.0,G. Hayward misses technical free throw,,44,38
160,2,4:02.0,Offensive rebound by Team,,44,38
161,2,3:57.0,C. Johnson misses 3-pt jump shot from 23 ft,,44,38
162,2,3:57.0,,Defensive rebound by L. Nogueira,44,38
163,2,3:55.0,,Turnover by L. Nogueira (step out of bounds),44,38
164,2,3:46.0,G. Hayward misses 2-pt jump shot from 4 ft,,44,38
165,2,3:46.0,Offensive rebound by D. Favors,,44,38
166,2,3:42.0,S. Mack misses 3-pt jump shot from 27 ft,,44,38
167,2,3:41.0,Offensive rebound by R. Gobert,,44,38
168,2,3:40.0,Shooting foul by D. DeRozan (drawn by R. Gobert),,44,38
169,2,3:40.0,R. Gobert makes free throw 1 of 2,,45,38
170,2,3:40.0,R. Gobert misses free throw 2 of 2,,45,38
171,2,3:39.0,,Defensive rebound by L. Nogueira,45,38
