,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MIAMI_ACTION,PHOENIX_SCORE,MIAMI_SCORE
0,1,11:37.0,D. Booker misses 3-pt jump shot from 24 ft,,0,0
1,1,11:36.0,,Defensive rebound by G. Dragić,0,0
2,1,11:29.0,,J. Johnson makes 2-pt jump shot from 9 ft,0,2
3,1,11:11.0,R. Price misses 2-pt layup from 2 ft,,0,2
4,1,11:10.0,,Defensive rebound by J. Johnson,0,2
5,1,10:59.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),0,5
6,1,10:41.0,A. Len misses 2-pt layup from 2 ft (block by A. Stoudemire),,0,5
7,1,10:40.0,,Defensive rebound by A. Stoudemire,0,5
8,1,10:38.0,,Turnover by A. Stoudemire (bad pass; steal by R. Price),0,5
9,1,10:36.0,T. Chandler makes 2-pt dunk at rim (assist by R. Price),,2,5
10,1,10:36.0,Shooting foul by G. Dragić (drawn by T. Chandler),,2,5
11,1,10:36.0,T. Chandler misses free throw 1 of 1,,2,5
12,1,10:35.0,Offensive rebound by A. Len,,2,5
13,1,10:35.0,Shooting foul by A. Stoudemire (drawn by A. Len),,2,5
14,1,10:35.0,A. Len makes free throw 1 of 2,,3,5
15,1,10:35.0,A. Len misses free throw 2 of 2,,3,5
16,1,10:34.0,,Defensive rebound by L. Deng,3,5
17,1,10:17.0,,G. Dragić misses 2-pt jump shot from 13 ft,3,5
18,1,10:12.0,,Offensive rebound by Team,3,5
19,1,10:08.0,,D. Wade misses 2-pt jump shot from 19 ft,3,5
20,1,10:07.0,Defensive rebound by T. Chandler,,3,5
21,1,9:57.0,A. Len misses 2-pt hook shot from 8 ft,,3,5
22,1,9:56.0,,Defensive rebound by L. Deng,3,5
23,1,9:52.0,,Shooting block foul by R. Price (drawn by G. Dragić),3,5
24,1,9:52.0,,G. Dragić makes free throw 1 of 2,3,6
25,1,9:52.0,,G. Dragić makes free throw 2 of 2,3,7
26,1,9:27.0,D. Booker misses 2-pt jump shot from 20 ft,,3,7
27,1,9:26.0,,Defensive rebound by A. Stoudemire,3,7
28,1,9:10.0,,A. Stoudemire makes 2-pt hook shot from 4 ft,3,9
29,1,9:05.0,Phoenix full timeout,,3,9
30,1,8:48.0,A. Len misses 2-pt jump shot from 4 ft (block by A. Stoudemire),,3,9
31,1,8:47.0,,Defensive rebound by J. Johnson,3,9
32,1,8:44.0,,Personal foul by R. Price (drawn by D. Wade),3,9
33,1,8:44.0,A. Goodwin enters the game for R. Price,,3,9
34,1,8:26.0,,D. Wade makes 2-pt dunk at rim (assist by L. Deng),3,11
35,1,7:59.0,Turnover by Team (shot clock),,3,11
36,1,7:43.0,,L. Deng misses 2-pt jump shot from 18 ft,3,11
37,1,7:42.0,Defensive rebound by D. Booker,,3,11
38,1,7:36.0,M. Teletović enters the game for T. Chandler,,3,11
39,1,7:32.0,D. Booker makes 3-pt jump shot from 26 ft (assist by P. Tucker),,6,11
40,1,7:11.0,,G. Dragić misses 3-pt jump shot from 24 ft,6,11
41,1,7:10.0,Defensive rebound by D. Booker,,6,11
42,1,7:07.0,A. Len makes 2-pt dunk at rim (assist by D. Booker),,8,11
43,1,6:56.0,,Personal foul by M. Teletović (drawn by L. Deng),8,11
