,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:37.0,D. Favors makes 2-pt jump shot from 9 ft (assist by S. Mack),,2,0
1,1,11:19.0,,M. Barnes makes 2-pt jump shot from 8 ft,2,2
2,1,11:05.0,S. Mack makes 3-pt jump shot from 24 ft (assist by R. Hood),,5,2
3,1,10:47.0,,Z. Randolph misses 2-pt layup from 2 ft (block by R. Gobert),5,2
4,1,10:44.0,Defensive rebound by G. Hayward,,5,2
5,1,10:21.0,D. Favors makes 2-pt jump shot from 6 ft (assist by S. Mack),,7,2
6,1,10:05.0,,Z. Randolph makes 2-pt jump shot from 5 ft,7,4
7,1,9:47.0,Shooting foul by M. Conley (drawn by S. Mack),,7,4
8,1,9:47.0,S. Mack misses free throw 1 of 2,,7,4
9,1,9:47.0,Offensive rebound by Team,,7,4
10,1,9:47.0,S. Mack misses free throw 2 of 2,,7,4
11,1,9:46.0,,Defensive rebound by C. Andersen,7,4
12,1,9:32.0,,Turnover by P. Hairston (bad pass; steal by G. Hayward),7,4
13,1,9:26.0,G. Hayward makes 2-pt jump shot from 5 ft,,9,4
14,1,9:26.0,Shooting foul by M. Barnes (drawn by G. Hayward),,9,4
15,1,9:26.0,G. Hayward makes free throw 1 of 1,,10,4
16,1,9:17.0,,M. Barnes misses 3-pt jump shot from 25 ft,10,4
17,1,9:14.0,Defensive rebound by R. Hood,,10,4
18,1,9:02.0,D. Favors makes 2-pt jump shot from 10 ft (assist by G. Hayward),,12,4
19,1,9:02.0,,Memphis full timeout,12,4
20,1,8:44.0,,P. Hairston misses 3-pt jump shot from 27 ft,12,4
21,1,8:44.0,,Offensive rebound by C. Andersen,12,4
22,1,8:33.0,,M. Barnes misses 3-pt jump shot from 25 ft,12,4
23,1,8:32.0,Defensive rebound by R. Gobert,,12,4
24,1,8:17.0,S. Mack misses 2-pt jump shot from 8 ft,,12,4
25,1,8:15.0,,Defensive rebound by Z. Randolph,12,4
26,1,8:05.0,,P. Hairston misses 2-pt jump shot from 5 ft,12,4
27,1,8:04.0,,Offensive rebound by P. Hairston,12,4
28,1,8:03.0,,P. Hairston makes 2-pt layup from 1 ft,12,6
29,1,7:42.0,D. Favors misses 2-pt jump shot from 17 ft,,12,6
30,1,7:42.0,Offensive rebound by R. Gobert,,12,6
31,1,7:37.0,R. Gobert makes 2-pt layup from 1 ft,,14,6
32,1,7:27.0,,Shooting foul by R. Hood (drawn by C. Andersen),14,6
33,1,7:27.0,,C. Andersen makes free throw 1 of 2,14,7
34,1,7:27.0,,C. Andersen makes free throw 2 of 2,14,8
35,1,7:05.0,G. Hayward makes 2-pt jump shot from 10 ft,,16,8
36,1,6:52.0,,M. Conley misses 2-pt jump shot from 8 ft,16,8
37,1,6:50.0,Defensive rebound by R. Gobert,,16,8
38,1,6:44.0,G. Hayward misses 2-pt jump shot from 4 ft,,16,8
39,1,6:41.0,,Defensive rebound by C. Andersen,16,8
40,1,6:37.0,,P. Hairston misses 2-pt layup from 1 ft,16,8
41,1,6:37.0,,Offensive rebound by Team,16,8
42,1,6:37.0,T. Lyles enters the game for D. Favors,,16,8
43,1,6:24.0,,M. Conley misses 2-pt jump shot from 7 ft,16,8
44,1,6:22.0,Defensive rebound by R. Hood,,16,8
45,1,6:17.0,Shooting foul by M. Barnes (drawn by R. Hood),,16,8
46,1,6:17.0,R. Hood makes free throw 1 of 2,,17,8
47,1,6:17.0,R. Hood misses free throw 2 of 2,,17,8
48,1,6:16.0,,Defensive rebound by C. Andersen,17,8
49,1,5:56.0,,Z. Randolph makes 2-pt jump shot from 6 ft,17,10
50,1,5:43.0,T. Lyles makes 2-pt jump shot from 21 ft (assist by R. Hood),,19,10
51,1,5:29.0,,Z. Randolph misses 2-pt jump shot from 18 ft,19,10
52,1,5:28.0,Defensive rebound by R. Hood,,19,10
53,1,5:11.0,T. Lyles makes 2-pt jump shot from 7 ft (assist by S. Mack),,21,10
54,1,4:54.0,,Z. Randolph misses 2-pt jump shot from 5 ft (block by R. Gobert),21,10
55,1,4:52.0,Defensive rebound by R. Hood,,21,10
56,1,4:41.0,T. Lyles makes 3-pt jump shot from 22 ft (assist by R. Hood),,24,10
57,1,4:34.0,,Personal foul by S. Mack (drawn by M. Conley),24,10
58,1,4:34.0,,J. Green enters the game for C. Andersen,24,10
