,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:37.0,,T. Mozgov makes 2-pt jump shot from 14 ft (assist by K. Irving),0,2
1,1,11:24.0,A. Bradley makes 3-pt jump shot from 24 ft (assist by I. Thomas),,3,2
2,1,10:58.0,,J. Smith misses 3-pt jump shot from 23 ft,3,2
3,1,10:57.0,Defensive rebound by A. Bradley,,3,2
4,1,10:50.0,A. Johnson makes 2-pt dunk at rim (assist by A. Bradley),,5,2
5,1,10:35.0,,T. Mozgov makes 2-pt dunk at rim (assist by L. James),5,4
6,1,10:12.0,J. Sullinger misses 2-pt hook shot from 4 ft,,5,4
7,1,10:10.0,Offensive rebound by J. Sullinger,,5,4
8,1,10:05.0,J. Sullinger makes 2-pt jump shot from 12 ft,,7,4
9,1,9:40.0,,L. James misses 3-pt jump shot from 24 ft,7,4
10,1,9:40.0,,Offensive rebound by K. Love,7,4
11,1,9:28.0,,T. Mozgov makes 2-pt jump shot from 6 ft (assist by L. James),7,6
12,1,9:13.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Johnson),,10,6
13,1,8:59.0,,J. Smith misses 3-pt jump shot from 24 ft,10,6
14,1,8:58.0,Defensive rebound by A. Bradley,,10,6
15,1,8:46.0,A. Johnson makes 2-pt layup from 1 ft (assist by A. Bradley),,12,6
16,1,8:46.0,Shooting foul by T. Mozgov (drawn by A. Johnson),,12,6
17,1,8:46.0,A. Johnson misses free throw 1 of 1,,12,6
18,1,8:46.0,,Defensive rebound by Team,12,6
19,1,8:46.0,Loose ball foul by J. Sullinger (drawn by K. Love),,12,6
20,1,8:36.0,,K. Irving makes 3-pt jump shot from 24 ft,12,9
21,1,8:29.0,I. Thomas makes 3-pt jump shot from 24 ft,,15,9
22,1,8:14.0,,K. Irving makes 2-pt jump shot from 8 ft,15,11
23,1,8:02.0,J. Sullinger misses 3-pt jump shot from 24 ft,,15,11
24,1,8:01.0,,Defensive rebound by L. James,15,11
25,1,7:49.0,,K. Love misses 2-pt jump shot from 9 ft,15,11
26,1,7:47.0,Defensive rebound by I. Thomas,,15,11
27,1,7:44.0,J. Crowder misses 2-pt layup from 3 ft (block by K. Irving),,15,11
28,1,7:43.0,Offensive rebound by Team,,15,11
29,1,7:41.0,A. Bradley misses 2-pt jump shot from 15 ft,,15,11
30,1,7:40.0,,Defensive rebound by T. Mozgov,15,11
31,1,7:32.0,,Turnover by L. James (bad pass; steal by J. Crowder),15,11
32,1,7:25.0,J. Crowder misses 2-pt layup from 1 ft (block by L. James),,15,11
33,1,7:24.0,Offensive rebound by I. Thomas,,15,11
34,1,7:16.0,J. Crowder misses 2-pt jump shot from 13 ft,,15,11
35,1,7:15.0,,Defensive rebound by K. Love,15,11
36,1,7:10.0,,L. James makes 2-pt dunk at rim,15,13
37,1,6:55.0,I. Thomas makes 2-pt layup at rim,,17,13
38,1,6:43.0,,Turnover by K. Irving (lost ball; steal by J. Crowder),17,13
39,1,6:40.0,Personal foul by J. Smith (drawn by I. Thomas),,17,13
40,1,6:35.0,,Violation by T. Mozgov (def goaltending),17,13
41,1,6:35.0,I. Thomas makes 2-pt layup at rim,,19,13
42,1,6:22.0,,Turnover by K. Love (bad pass; steal by J. Sullinger),19,13
43,1,6:13.0,J. Sullinger misses 2-pt jump shot from 5 ft,,19,13
44,1,6:13.0,Offensive rebound by J. Sullinger,,19,13
45,1,6:13.0,J. Sullinger makes 2-pt layup from 5 ft,,21,13
46,1,6:13.0,,Cleveland full timeout,21,13
47,1,6:13.0,,T. Thompson enters the game for T. Mozgov,21,13
48,1,6:01.0,,J. Smith misses 3-pt jump shot from 26 ft,21,13
49,1,6:00.0,Defensive rebound by A. Johnson,,21,13
50,1,5:45.0,J. Sullinger misses 2-pt hook shot from 6 ft,,21,13
51,1,5:43.0,,Defensive rebound by T. Thompson,21,13
