,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
0,1,11:41.0,,J. Sullinger misses 2-pt jump shot from 12 ft,0,0
1,1,11:40.0,Defensive rebound by Team,,0,0
2,1,11:21.0,M. Barnes misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,Offensive rebound by T. Allen,,0,0
4,1,11:16.0,T. Allen makes 2-pt jump shot from 14 ft,,2,0
5,1,11:01.0,,I. Thomas misses 2-pt jump shot from 10 ft,2,0
6,1,11:00.0,Defensive rebound by J. Green,,2,0
7,1,10:47.0,R. Hollins makes 2-pt dunk at rim (assist by T. Allen),,4,0
8,1,10:26.0,,Turnover by J. Sullinger (bad pass; steal by M. Chalmers),4,0
9,1,10:21.0,T. Allen makes 2-pt dunk at rim (assist by M. Chalmers),,6,0
10,1,10:06.0,,I. Thomas makes 2-pt layup at rim,6,2
11,1,10:06.0,,Shooting foul by M. Barnes (drawn by I. Thomas),6,2
12,1,10:06.0,,I. Thomas misses free throw 1 of 1,6,2
13,1,10:06.0,Defensive rebound by R. Hollins,,6,2
14,1,9:47.0,R. Hollins misses 2-pt jump shot from 5 ft (block by A. Johnson),,6,2
15,1,9:46.0,,Defensive rebound by J. Crowder,6,2
16,1,9:42.0,,A. Bradley misses 3-pt jump shot from 24 ft,6,2
17,1,9:41.0,Defensive rebound by M. Chalmers,,6,2
18,1,9:23.0,M. Chalmers misses 3-pt jump shot from 25 ft,,6,2
19,1,9:22.0,,Defensive rebound by I. Thomas,6,2
20,1,9:16.0,,J. Crowder misses 3-pt jump shot from 25 ft,6,2
21,1,9:15.0,Defensive rebound by J. Green,,6,2
22,1,9:11.0,Shooting foul by J. Sullinger (drawn by M. Barnes),,6,2
23,1,9:11.0,M. Barnes makes free throw 1 of 2,,7,2
24,1,9:11.0,M. Barnes makes free throw 2 of 2,,8,2
25,1,9:02.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Johnson),8,5
26,1,8:38.0,Turnover by T. Allen (bad pass; steal by J. Sullinger),,8,5
27,1,8:33.0,,J. Sullinger makes 2-pt layup at rim,8,7
28,1,8:17.0,M. Barnes misses 3-pt jump shot from 25 ft,,8,7
29,1,8:16.0,,Defensive rebound by A. Johnson,8,7
30,1,8:15.0,,Turnover by A. Johnson (lost ball; steal by T. Allen),8,7
31,1,8:14.0,Personal foul by A. Johnson,,8,7
32,1,7:57.0,Turnover by J. Green (lost ball; steal by J. Crowder),,8,7
33,1,7:39.0,,J. Crowder makes 2-pt jump shot from 15 ft (assist by A. Johnson),8,9
34,1,7:20.0,T. Allen misses 2-pt jump shot from 8 ft (block by J. Crowder),,8,9
35,1,7:19.0,Offensive rebound by Team,,8,9
36,1,7:16.0,M. Barnes misses 2-pt jump shot from 19 ft,,8,9
