,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
0,1,11:43.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),0,2
1,1,11:19.0,J. Smith misses 3-pt jump shot from 24 ft,,0,2
2,1,11:18.0,,Defensive rebound by Team,0,2
3,1,11:06.0,,J. Redick makes 2-pt jump shot from 5 ft (assist by C. Paul),0,4
4,1,10:52.0,K. Irving misses 2-pt jump shot from 12 ft,,0,4
5,1,10:49.0,,Defensive rebound by J. Green,0,4
6,1,10:46.0,,J. Green misses 2-pt layup from 1 ft,0,4
7,1,10:43.0,,Offensive rebound by J. Green,0,4
8,1,10:43.0,,J. Green misses 2-pt layup from 1 ft,0,4
9,1,10:42.0,Defensive rebound by T. Mozgov,,0,4
10,1,10:35.0,K. Love makes 2-pt jump shot from 18 ft (assist by T. Mozgov),,2,4
11,1,10:12.0,,D. Jordan makes 2-pt hook shot from 4 ft,2,6
12,1,9:59.0,J. Smith misses 3-pt jump shot from 25 ft,,2,6
13,1,9:58.0,,Defensive rebound by J. Green,2,6
14,1,9:52.0,,C. Paul makes 3-pt jump shot from 25 ft,2,9
15,1,9:32.0,K. Love makes 2-pt hook shot from 5 ft (assist by K. Irving),,4,9
16,1,9:11.0,,L. Mbah a Moute misses 2-pt layup from 2 ft,4,9
17,1,9:09.0,Defensive rebound by T. Mozgov,,4,9
18,1,8:55.0,K. Love misses 3-pt jump shot from 24 ft,,4,9
19,1,8:53.0,,Defensive rebound by D. Jordan,4,9
20,1,8:45.0,,Turnover by C. Paul (bad pass),4,9
21,1,8:34.0,K. Love misses 3-pt jump shot from 26 ft,,4,9
22,1,8:33.0,,Defensive rebound by D. Jordan,4,9
23,1,8:24.0,,J. Green misses 3-pt jump shot from 28 ft,4,9
24,1,8:23.0,Defensive rebound by K. Love,,4,9
25,1,8:08.0,T. Mozgov misses 2-pt hook shot from 4 ft,,4,9
26,1,8:06.0,,Defensive rebound by L. Mbah a Moute,4,9
27,1,8:06.0,,Personal foul by K. Irving,4,9
28,1,7:55.0,,L. Mbah a Moute misses 2-pt jump shot from 18 ft,4,9
29,1,7:53.0,Defensive rebound by K. Love,,4,9
30,1,7:44.0,K. Irving misses 3-pt jump shot from 26 ft,,4,9
31,1,7:44.0,,Defensive rebound by Team,4,9
32,1,7:44.0,Loose ball foul by L. James,,4,9
33,1,7:29.0,,J. Redick makes 2-pt jump shot from 13 ft (assist by C. Paul),4,11
34,1,7:12.0,L. James misses 2-pt layup from 3 ft,,4,11
35,1,7:09.0,,Defensive rebound by D. Jordan,4,11
36,1,7:05.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Green),4,14
37,1,7:04.0,Cleveland full timeout,,4,14
38,1,6:39.0,T. Mozgov makes 2-pt dunk at rim,,6,14
39,1,6:21.0,,C. Paul misses 2-pt jump shot from 19 ft,6,14
40,1,6:19.0,Defensive rebound by K. Love,,6,14
41,1,6:14.0,Turnover by L. James (bad pass; steal by J. Redick),,6,14
42,1,6:09.0,,Shooting foul by J. Smith (drawn by J. Green),6,14
43,1,6:09.0,,J. Green misses free throw 1 of 2,6,14
44,1,6:09.0,,Offensive rebound by Team,6,14
45,1,6:09.0,,J. Green makes free throw 2 of 2,6,15
46,1,5:57.0,Shooting foul by L. Mbah a Moute (drawn by L. James),,6,15
47,1,5:57.0,L. James makes free throw 1 of 2,,7,15
48,1,5:57.0,L. James misses free throw 2 of 2,,7,15
49,1,5:55.0,,Defensive rebound by D. Jordan,7,15
50,1,5:41.0,,J. Redick misses 3-pt jump shot from 25 ft,7,15
51,1,5:39.0,Defensive rebound by K. Love,,7,15
52,1,5:30.0,Turnover by T. Mozgov (lost ball; steal by L. Mbah a Moute),,7,15
53,1,5:25.0,,J. Green makes 2-pt layup from 1 ft (assist by C. Paul),7,17
54,1,5:18.0,T. Thompson enters the game for T. Mozgov,,7,17
55,1,5:13.0,K. Love makes 2-pt jump shot from 4 ft (assist by L. James),,9,17
56,1,4:57.0,,J. Green misses 3-pt jump shot from 26 ft,9,17
57,1,4:56.0,,Offensive rebound by D. Jordan,9,17
58,1,4:51.0,,J. Redick misses 3-pt jump shot from 26 ft,9,17
59,1,4:49.0,Defensive rebound by J. Smith,,9,17
60,1,4:46.0,Shooting foul by J. Redick (drawn by T. Thompson),,9,17
61,1,4:46.0,,LA Clippers full timeout,9,17
62,1,4:46.0,I. Shumpert enters the game for J. Smith,,9,17
63,1,4:46.0,T. Thompson makes free throw 1 of 2,,10,17
64,1,4:46.0,T. Thompson misses free throw 2 of 2,,10,17
65,1,4:44.0,,Defensive rebound by J. Redick,10,17
66,1,4:30.0,,J. Redick misses 2-pt jump shot from 20 ft,10,17
67,1,4:28.0,Defensive rebound by Team,,10,17
68,1,4:09.0,Personal foul by J. Green,,10,17
69,1,4:09.0,,J. Crawford enters the game for J. Redick,10,17
70,1,4:03.0,K. Irving misses 2-pt jump shot from 14 ft,,10,17
71,1,4:00.0,Offensive rebound by T. Thompson,,10,17
72,1,3:54.0,K. Irving misses 2-pt layup from 2 ft (block by D. Jordan),,10,17
73,1,3:54.0,Offensive rebound by Team,,10,17
74,1,3:54.0,Turnover by Team (shot clock),,10,17
75,1,3:34.0,,J. Green misses 3-pt jump shot from 23 ft,10,17
76,1,3:33.0,Defensive rebound by L. James,,10,17
77,1,3:23.0,K. Love misses 2-pt jump shot from 20 ft,,10,17
78,1,3:21.0,,Defensive rebound by C. Paul,10,17
79,1,3:18.0,,Turnover by C. Paul (bad pass),10,17
80,1,3:18.0,,W. Johnson enters the game for J. Green,10,17
81,1,3:18.0,M. Dellavedova enters the game for K. Irving,,10,17
82,1,3:18.0,C. Frye enters the game for K. Love,,10,17
83,1,3:02.0,C. Frye makes 3-pt jump shot from 26 ft (assist by L. James),,13,17
84,1,2:41.0,,L. Mbah a Moute misses 2-pt layup from 2 ft (block by T. Thompson),13,17
85,1,2:37.0,Defensive rebound by C. Frye,,13,17
86,1,2:35.0,Turnover by C. Frye (lost ball; steal by C. Paul),,13,17
87,1,2:31.0,,C. Paul misses 3-pt jump shot from 27 ft,13,17
88,1,2:31.0,Defensive rebound by Team,,13,17
89,1,2:31.0,,A. Rivers enters the game for C. Paul,13,17
90,1,2:24.0,L. James misses 2-pt jump shot from 3 ft (block by L. Mbah a Moute),,13,17
91,1,2:22.0,Offensive rebound by L. James,,13,17
92,1,2:21.0,L. James makes 2-pt layup from 2 ft,,15,17
93,1,2:21.0,Shooting foul by D. Jordan (drawn by L. James),,15,17
94,1,2:21.0,L. James makes free throw 1 of 1,,16,17
95,1,2:03.0,,J. Crawford makes 2-pt jump shot from 20 ft,16,19
96,1,1:53.0,L. James misses 2-pt layup from 1 ft,,16,19
97,1,1:52.0,,Defensive rebound by D. Jordan,16,19
98,1,1:42.0,,J. Crawford misses 2-pt jump shot from 12 ft,16,19
99,1,1:41.0,Defensive rebound by L. James,,16,19
100,1,1:34.0,L. James makes 3-pt jump shot from 26 ft,,19,19
101,1,1:11.0,,W. Johnson misses 3-pt jump shot from 26 ft,19,19
102,1,1:08.0,Defensive rebound by I. Shumpert,,19,19
103,1,1:00.0,I. Shumpert misses 3-pt jump shot from 24 ft,,19,19
104,1,0:59.0,,Defensive rebound by D. Jordan,19,19
105,1,0:50.0,,J. Crawford misses 2-pt jump shot from 4 ft,19,19
106,1,0:48.0,Defensive rebound by I. Shumpert,,19,19
107,1,0:36.0,M. Dellavedova misses 2-pt jump shot from 13 ft,,19,19
108,1,0:36.0,Offensive rebound by Team,,19,19
109,1,0:18.0,C. Frye misses 2-pt jump shot from 19 ft,,19,19
110,1,0:17.0,Offensive rebound by T. Thompson,,19,19
111,1,0:15.0,T. Thompson makes 2-pt hook shot from 5 ft,,21,19
112,1,0:02.0,,Personal foul by I. Shumpert,21,19
113,1,0:01.0,,Turnover by J. Crawford (traveling),21,19
114,2,11:41.0,C. Frye makes 3-pt jump shot from 27 ft (assist by K. Irving),,24,19
115,2,11:19.0,,W. Johnson makes 2-pt jump shot from 22 ft (assist by A. Rivers),24,21
116,2,11:07.0,K. Irving makes 2-pt layup from 2 ft,,26,21
117,2,10:58.0,,Personal foul by R. Jefferson,26,21
118,2,10:49.0,,W. Johnson misses 3-pt jump shot from 26 ft,26,21
119,2,10:47.0,Defensive rebound by K. Irving,,26,21
120,2,10:29.0,I. Shumpert makes 2-pt jump shot from 21 ft (assist by T. Thompson),,28,21
121,2,10:07.0,,W. Johnson misses 2-pt jump shot from 19 ft,28,21
122,2,10:04.0,Defensive rebound by C. Frye,,28,21
123,2,9:59.0,R. Jefferson misses 3-pt jump shot from 25 ft,,28,21
124,2,9:57.0,Offensive rebound by I. Shumpert,,28,21
125,2,9:53.0,C. Frye makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,31,21
126,2,9:39.0,,C. Aldrich makes 2-pt hook shot from 5 ft (assist by P. Prigioni),31,23
127,2,9:28.0,K. Irving misses 2-pt layup from 1 ft (block by C. Aldrich),,31,23
128,2,9:24.0,Offensive rebound by T. Thompson,,31,23
129,2,9:24.0,T. Thompson makes 2-pt dunk at rim,,33,23
130,2,9:07.0,,P. Prigioni misses 3-pt jump shot from 25 ft,33,23
131,2,9:06.0,,Offensive rebound by C. Aldrich,33,23
132,2,9:00.0,Offensive charge foul by J. Crawford (drawn by K. Irving),,33,23
133,2,9:00.0,,Turnover by J. Crawford (offensive foul),33,23
134,2,8:49.0,Shooting foul by C. Aldrich (drawn by T. Thompson),,33,23
135,2,8:49.0,Official timeout,,33,23
136,2,8:49.0,T. Thompson makes free throw 1 of 2,,34,23
137,2,8:49.0,T. Thompson misses free throw 2 of 2,,34,23
138,2,8:47.0,,Defensive rebound by C. Aldrich,34,23
139,2,8:37.0,,Offensive foul by C. Aldrich (drawn by R. Jefferson),34,23
140,2,8:37.0,,Turnover by C. Aldrich (offensive foul),34,23
141,2,8:19.0,,D. Jordan enters the game for C. Aldrich,34,23
142,2,8:19.0,,C. Paul enters the game for P. Prigioni,34,23
143,2,8:11.0,K. Irving misses 3-pt jump shot from 24 ft,,34,23
144,2,8:10.0,,Defensive rebound by W. Johnson,34,23
145,2,8:10.0,,Personal foul by K. Irving,34,23
146,2,7:50.0,,J. Crawford misses 3-pt jump shot from 25 ft,34,23
147,2,7:49.0,Defensive rebound by I. Shumpert,,34,23
148,2,7:37.0,R. Jefferson misses 3-pt jump shot from 25 ft,,34,23
149,2,7:35.0,Offensive rebound by T. Thompson,,34,23
150,2,7:31.0,K. Irving makes 3-pt jump shot from 23 ft (assist by C. Frye),,37,23
151,2,7:12.0,,J. Crawford makes 3-pt jump shot from 23 ft (assist by D. Jordan),37,26
152,2,6:52.0,T. Thompson misses 2-pt layup from 3 ft,,37,26
153,2,6:49.0,,Defensive rebound by D. Jordan,37,26
154,2,6:44.0,,C. Paul makes 2-pt jump shot from 12 ft,37,28
155,2,6:43.0,Cleveland full timeout,,37,28
156,2,6:43.0,,J. Redick enters the game for A. Rivers,37,28
157,2,6:43.0,,J. Green enters the game for W. Johnson,37,28
158,2,6:43.0,M. Dellavedova enters the game for K. Irving,,37,28
159,2,6:43.0,L. James enters the game for C. Frye,,37,28
160,2,6:43.0,K. Love enters the game for R. Jefferson,,37,28
161,2,6:28.0,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),,39,28
162,2,6:07.0,,D. Jordan makes 2-pt layup from 3 ft (assist by C. Paul),39,30
163,2,5:48.0,K. Love makes 2-pt hook shot from 4 ft,,41,30
164,2,5:35.0,,C. Paul makes 3-pt jump shot from 24 ft,41,33
165,2,5:23.0,Personal foul by J. Green,,41,33
166,2,5:23.0,,L. Mbah a Moute enters the game for J. Crawford,41,33
167,2,5:10.0,K. Love makes 2-pt jump shot from 10 ft,,43,33
168,2,4:49.0,,C. Paul makes 3-pt jump shot from 27 ft,43,36
169,2,4:32.0,L. James misses 2-pt jump shot from 15 ft,,43,36
170,2,4:28.0,,Defensive rebound by D. Jordan,43,36
171,2,4:17.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by J. Green),43,38
172,2,4:05.0,Personal foul by J. Green,,43,38
173,2,4:05.0,K. Irving enters the game for I. Shumpert,,43,38
174,2,4:05.0,J. Smith enters the game for T. Thompson,,43,38
175,2,4:05.0,,W. Johnson enters the game for J. Green,43,38
