,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,N. Vonleh misses 2-pt jump shot from 20 ft,,0,0
1,1,11:36.0,,Defensive rebound by D. Green,0,0
2,1,11:26.0,,T. Duncan misses 2-pt jump shot from 8 ft,0,0
3,1,11:25.0,Defensive rebound by M. Plumlee,,0,0
4,1,11:17.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,0
5,1,11:16.0,,Defensive rebound by T. Duncan,0,0
6,1,11:04.0,,Shooting foul by M. Plumlee (drawn by L. Aldridge),0,0
7,1,11:04.0,,L. Aldridge makes free throw 1 of 2,0,1
8,1,11:04.0,,L. Aldridge misses free throw 2 of 2,0,1
9,1,11:03.0,Defensive rebound by A. Aminu,,0,1
10,1,10:46.0,C. McCollum misses 2-pt jump shot from 17 ft,,0,1
11,1,10:45.0,Offensive rebound by A. Aminu,,0,1
12,1,10:41.0,A. Aminu makes 3-pt jump shot from 23 ft,,3,1
13,1,10:25.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),3,3
14,1,10:10.0,N. Vonleh makes 2-pt jump shot from 11 ft (assist by A. Aminu),,5,3
15,1,9:56.0,,L. Aldridge misses 2-pt jump shot from 20 ft,5,3
16,1,9:55.0,Defensive rebound by N. Vonleh,,5,3
17,1,9:44.0,M. Plumlee misses 2-pt layup from 2 ft (block by T. Duncan),,5,3
18,1,9:42.0,,Defensive rebound by T. Duncan,5,3
19,1,9:26.0,,T. Parker makes 2-pt layup from 1 ft,5,5
20,1,9:08.0,M. Plumlee misses 2-pt jump shot from 8 ft (block by D. Green),,5,5
21,1,9:07.0,Offensive rebound by M. Plumlee,,5,5
22,1,9:01.0,D. Lillard makes 2-pt jump shot from 7 ft (assist by M. Plumlee),,7,5
23,1,8:43.0,,T. Parker makes 2-pt layup from 2 ft (assist by L. Aldridge),7,7
24,1,8:27.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard),,10,7
25,1,8:09.0,,T. Parker misses 2-pt jump shot from 15 ft,10,7
26,1,8:08.0,Defensive rebound by N. Vonleh,,10,7
27,1,7:56.0,N. Vonleh misses 2-pt jump shot from 18 ft,,10,7
28,1,7:55.0,,Defensive rebound by L. Aldridge,10,7
29,1,7:43.0,,T. Duncan makes 2-pt jump shot from 9 ft,10,9
30,1,7:21.0,C. McCollum misses 2-pt jump shot from 13 ft,,10,9
31,1,7:20.0,,Defensive rebound by L. Aldridge,10,9
32,1,6:59.0,,K. Leonard makes 2-pt hook shot from 2 ft (assist by T. Parker),10,11
33,1,6:40.0,C. McCollum makes 2-pt layup at rim (assist by M. Plumlee),,12,11
34,1,6:14.0,,L. Aldridge makes 2-pt dunk at rim (assist by T. Parker),12,13
35,1,5:49.0,D. Lillard misses 2-pt layup from 1 ft,,12,13
36,1,5:48.0,,Defensive rebound by L. Aldridge,12,13
37,1,5:40.0,,T. Duncan makes 2-pt layup at rim (assist by T. Parker),12,15
38,1,5:40.0,Portland full timeout,,12,15
39,1,5:40.0,A. Crabbe enters the game for C. McCollum,,12,15
40,1,5:15.0,A. Aminu misses 2-pt jump shot from 18 ft,,12,15
41,1,5:14.0,Offensive rebound by N. Vonleh,,12,15
42,1,5:14.0,N. Vonleh makes 2-pt dunk at rim,,14,15
