,QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,Turnover by J. Smith (bad pass; steal by N. Jokić),0,0
1,1,11:24.0,J. Sampson makes 2-pt jump shot from 20 ft (assist by N. Jokić),,2,0
2,1,11:03.0,,K. Irving misses 2-pt jump shot from 10 ft,2,0
3,1,11:00.0,,Offensive rebound by K. Irving,2,0
4,1,10:57.0,,C. Frye misses 3-pt jump shot from 27 ft,2,0
5,1,10:57.0,Defensive rebound by D. Arthur,,2,0
6,1,10:48.0,E. Mudiay misses 2-pt layup at rim,,2,0
7,1,10:47.0,,Defensive rebound by C. Frye,2,0
8,1,10:39.0,,K. Irving misses 2-pt jump shot from 18 ft,2,0
9,1,10:37.0,,Offensive rebound by T. Mozgov,2,0
10,1,10:34.0,,Turnover by T. Mozgov (bad pass; steal by N. Jokić),2,0
11,1,10:28.0,G. Harris misses 2-pt layup at rim (block by C. Frye),,2,0
12,1,10:27.0,,Defensive rebound by T. Mozgov,2,0
13,1,10:05.0,,L. James misses 2-pt layup from 1 ft,2,0
14,1,10:04.0,,Offensive rebound by T. Mozgov,2,0
15,1,9:57.0,,J. Smith makes 2-pt jump shot from 7 ft,2,2
16,1,9:41.0,D. Arthur misses 2-pt jump shot from 17 ft,,2,2
17,1,9:38.0,,Defensive rebound by L. James,2,2
18,1,9:33.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),2,5
19,1,9:09.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by G. Harris),,4,5
20,1,8:53.0,,C. Frye makes 3-pt jump shot from 23 ft (assist by L. James),4,8
21,1,8:40.0,G. Harris makes 2-pt jump shot from 9 ft (assist by N. Jokić),,6,8
22,1,8:26.0,,J. Smith misses 3-pt jump shot from 26 ft,6,8
23,1,8:26.0,,Offensive rebound by Team,6,8
24,1,8:26.0,Loose ball foul by G. Harris,,6,8
25,1,8:16.0,,Turnover by T. Mozgov (lost ball),6,8
26,1,8:05.0,N. Jokić misses 2-pt jump shot from 14 ft,,6,8
27,1,8:05.0,,Defensive rebound by L. James,6,8
28,1,7:57.0,,T. Mozgov misses 2-pt layup at rim,6,8
29,1,7:54.0,,Offensive rebound by L. James,6,8
30,1,7:54.0,,L. James makes 2-pt layup at rim,6,10
31,1,7:45.0,G. Harris makes 3-pt jump shot from 24 ft (assist by D. Arthur),,9,10
32,1,7:24.0,,K. Irving makes 2-pt jump shot from 22 ft,9,12
33,1,7:08.0,N. Jokić misses 3-pt jump shot from 25 ft,,9,12
34,1,7:08.0,Offensive rebound by J. Sampson,,9,12
35,1,7:05.0,Personal foul by J. Smith,,9,12
36,1,6:55.0,Shooting foul by T. Mozgov (drawn by D. Arthur),,9,12
37,1,6:55.0,D. Arthur misses free throw 1 of 2,,9,12
38,1,6:55.0,Offensive rebound by Team,,9,12
39,1,6:55.0,D. Arthur misses free throw 2 of 2,,9,12
40,1,6:54.0,Offensive rebound by Team,,9,12
41,1,6:41.0,E. Mudiay misses 2-pt jump shot from 21 ft,,9,12
42,1,6:41.0,,Defensive rebound by Team,9,12
43,1,6:16.0,,L. James makes 2-pt hook shot from 5 ft,9,14
44,1,5:57.0,N. Jokić misses 2-pt hook shot from 4 ft,,9,14
45,1,5:55.0,,Defensive rebound by C. Frye,9,14
46,1,5:50.0,,Turnover by K. Irving (bad pass; steal by N. Jokić),9,14
47,1,5:44.0,G. Harris makes 2-pt layup from 1 ft (assist by D. Arthur),,11,14
48,1,5:27.0,,C. Frye makes 2-pt dunk at rim (assist by K. Irving),11,16
49,1,5:08.0,Turnover by E. Mudiay (bad pass),,11,16
50,1,5:08.0,,Cleveland full timeout,11,16
51,1,4:54.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by J. Smith),11,19
52,1,4:44.0,Turnover by E. Mudiay (bad pass; steal by J. Smith),,11,19
53,1,4:44.0,,Personal foul by E. Mudiay,11,19
54,1,4:44.0,,T. Thompson enters the game for T. Mozgov,11,19
55,1,4:44.0,J. Nurkić enters the game for N. Jokić,,11,19
56,1,4:44.0,,M. Dellavedova enters the game for K. Irving,11,19
57,1,4:34.0,,Personal foul by J. Sampson,11,19
58,1,4:24.0,,Def 3 sec tech foul by J. Nurkić,11,19
59,1,4:24.0,,M. Dellavedova makes technical free throw,11,20
60,1,4:11.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),11,22
61,1,4:10.0,Denver full timeout,,11,22
