,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,J. Holiday misses 2-pt jump shot from 12 ft,0,0
1,1,11:40.0,Defensive rebound by D. Wade,,0,0
2,1,11:38.0,D. Wade misses 2-pt jump shot from 9 ft,,0,0
3,1,11:37.0,Offensive rebound by A. Stoudemire,,0,0
4,1,11:33.0,A. Stoudemire makes 2-pt jump shot from 18 ft (assist by L. Deng),,2,0
5,1,11:12.0,,L. Babbitt misses 2-pt layup from 2 ft,2,0
6,1,11:11.0,,Offensive rebound by L. Babbitt,2,0
7,1,11:11.0,,L. Babbitt misses 2-pt layup from 2 ft,2,0
8,1,11:11.0,,Offensive rebound by Team,2,0
9,1,11:07.0,,L. Babbitt makes 2-pt jump shot from 18 ft (assist by D. Cunningham),2,2
10,1,10:48.0,A. Stoudemire misses 2-pt jump shot from 20 ft,,2,2
11,1,10:47.0,,Defensive rebound by T. Douglas,2,2
12,1,10:26.0,,J. Holiday misses 2-pt jump shot from 20 ft,2,2
13,1,10:26.0,Defensive rebound by Team,,2,2
14,1,10:14.0,L. Deng makes 2-pt jump shot from 21 ft (assist by G. Dragić),,4,2
15,1,10:02.0,,J. Holiday makes 2-pt layup from 3 ft,4,4
16,1,9:45.0,G. Dragić misses 2-pt jump shot from 12 ft,,4,4
17,1,9:41.0,,Defensive rebound by T. Douglas,4,4
18,1,9:35.0,,D. Cunningham misses 2-pt layup from 4 ft (block by A. Stoudemire),4,4
19,1,9:35.0,,Offensive rebound by Ö. Aşık,4,4
20,1,9:35.0,,Personal foul by A. Stoudemire,4,4
21,1,9:35.0,,Ö. Aşık misses free throw 1 of 2,4,4
22,1,9:35.0,,Offensive rebound by Team,4,4
23,1,9:35.0,,Ö. Aşık misses free throw 2 of 2,4,4
24,1,9:32.0,,Offensive rebound by D. Cunningham,4,4
25,1,9:24.0,,T. Douglas makes 2-pt jump shot from 18 ft (assist by D. Cunningham),4,6
26,1,9:16.0,Shooting foul by D. Cunningham (drawn by A. Stoudemire),,4,6
27,1,9:16.0,A. Stoudemire makes free throw 1 of 2,,5,6
28,1,9:16.0,A. Stoudemire makes free throw 2 of 2,,6,6
29,1,9:05.0,,T. Douglas misses 2-pt jump shot from 16 ft,6,6
30,1,9:03.0,Defensive rebound by G. Dragić,,6,6
31,1,8:58.0,A. Stoudemire makes 2-pt layup at rim (assist by G. Dragić),,8,6
32,1,8:48.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by J. Holiday),8,8
33,1,8:48.0,,Shooting foul by A. Stoudemire (drawn by Ö. Aşık),8,8
34,1,8:48.0,,Ö. Aşık makes free throw 1 of 1,8,9
35,1,8:35.0,L. Deng misses 2-pt jump shot from 6 ft,,8,9
36,1,8:32.0,,Defensive rebound by Ö. Aşık,8,9
37,1,8:23.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,9
38,1,8:22.0,Defensive rebound by G. Dragić,,8,9
39,1,8:14.0,A. Stoudemire misses 2-pt layup from 1 ft,,8,9
40,1,8:12.0,Offensive rebound by A. Stoudemire,,8,9
41,1,8:07.0,A. Stoudemire makes 2-pt layup from 1 ft,,10,9
42,1,8:03.0,,Def 3 sec tech foul by A. Stoudemire,10,9
43,1,8:03.0,,L. Babbitt makes technical free throw,10,10
44,1,7:53.0,,Ö. Aşık makes 2-pt dunk from 1 ft (assist by J. Holiday),10,12
45,1,7:40.0,Turnover by G. Dragić (bad pass; steal by Ö. Aşık),,10,12
46,1,7:25.0,,T. Douglas misses 2-pt layup from 2 ft,10,12
47,1,7:20.0,Defensive rebound by A. Stoudemire,,10,12
48,1,7:12.0,D. Wade makes 2-pt jump shot from 10 ft,,12,12
49,1,6:46.0,,J. Holiday misses 2-pt jump shot from 13 ft,12,12
50,1,6:44.0,Defensive rebound by A. Stoudemire,,12,12
51,1,6:44.0,Shooting foul by L. Babbitt (drawn by D. Wade),,12,12
52,1,6:44.0,D. Wade makes free throw 1 of 2,,13,12
53,1,6:44.0,D. Wade makes free throw 2 of 2,,14,12
54,1,6:31.0,,L. Babbitt misses 2-pt layup from 2 ft,14,12
55,1,6:21.0,,Offensive rebound by L. Babbitt,14,12
56,1,6:20.0,,L. Babbitt makes 2-pt layup at rim (assist by J. Holiday),14,14
57,1,6:17.0,G. Dragić misses 3-pt jump shot from 26 ft,,14,14
58,1,6:16.0,,Defensive rebound by T. Douglas,14,14
59,1,5:59.0,,Ö. Aşık makes 2-pt layup from 3 ft (assist by L. Babbitt),14,16
60,1,5:58.0,Miami full timeout,,14,16
61,1,5:47.0,J. Johnson misses 2-pt jump shot from 22 ft,,14,16
62,1,5:44.0,Offensive rebound by A. Stoudemire,,14,16
63,1,5:38.0,A. Stoudemire makes 2-pt layup from 1 ft,,16,16
64,1,5:29.0,,J. Holiday makes 2-pt jump shot from 13 ft,16,18
65,1,5:12.0,Personal foul by T. Douglas,,16,18
66,1,5:12.0,J. Winslow enters the game for L. Deng,,16,18
67,1,5:12.0,J. Richardson enters the game for G. Dragić,,16,18
68,1,4:57.0,J. Winslow makes 2-pt jump shot from 18 ft (assist by J. Johnson),,18,18
69,1,4:37.0,,L. Babbitt misses 2-pt jump shot from 5 ft,18,18
70,1,4:35.0,,Offensive rebound by T. Douglas,18,18
71,1,4:30.0,,T. Douglas misses 2-pt jump shot from 14 ft,18,18
72,1,4:29.0,Defensive rebound by D. Wade,,18,18
73,1,4:29.0,D. Wade makes 2-pt layup from 2 ft,,20,18
74,1,4:29.0,Shooting foul by L. Babbitt (drawn by D. Wade),,20,18
