,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:42.0,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),,3,0
1,1,11:15.0,,J. Teague misses 2-pt jump shot from 14 ft,3,0
2,1,11:12.0,Defensive rebound by K. Love,,3,0
3,1,11:01.0,T. Mozgov makes 2-pt hook shot from 8 ft (assist by K. Love),,5,0
4,1,10:43.0,,K. Korver makes 2-pt jump shot from 20 ft (assist by A. Horford),5,2
5,1,10:32.0,K. Love misses 3-pt jump shot from 24 ft,,5,2
6,1,10:30.0,,Defensive rebound by J. Teague,5,2
7,1,10:18.0,,P. Millsap makes 2-pt jump shot from 7 ft,5,4
8,1,10:18.0,,Shooting foul by K. Love (drawn by P. Millsap),5,4
9,1,10:18.0,,P. Millsap makes free throw 1 of 1,5,5
10,1,10:01.0,K. Love makes 2-pt jump shot from 16 ft (assist by J. Smith),,7,5
11,1,9:45.0,,A. Horford misses 2-pt jump shot from 17 ft,7,5
12,1,9:44.0,Defensive rebound by K. Irving,,7,5
13,1,9:33.0,K. Irving misses 2-pt jump shot from 5 ft (block by J. Teague),,7,5
14,1,9:32.0,,Defensive rebound by Team,7,5
15,1,9:18.0,,A. Horford makes 2-pt dunk at rim (assist by J. Teague),7,7
16,1,8:59.0,Turnover by T. Mozgov (lost ball; steal by P. Millsap),,7,7
17,1,8:49.0,,P. Millsap makes 2-pt layup from 1 ft (assist by A. Horford),7,9
18,1,8:34.0,Turnover by K. Love (lost ball; steal by J. Teague),,7,9
19,1,8:29.0,,J. Teague makes 2-pt layup from 1 ft,7,11
20,1,8:29.0,Cleveland full timeout,,7,11
21,1,8:06.0,L. James misses 2-pt jump shot from 19 ft,,7,11
22,1,8:03.0,Offensive rebound by J. Smith,,7,11
23,1,7:59.0,K. Love misses 3-pt jump shot from 23 ft,,7,11
24,1,7:58.0,,Defensive rebound by A. Horford,7,11
25,1,7:51.0,,A. Horford misses 2-pt jump shot from 6 ft,7,11
26,1,7:49.0,Defensive rebound by T. Mozgov,,7,11
27,1,7:41.0,L. James makes 3-pt jump shot from 25 ft,,10,11
28,1,7:29.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Teague),10,14
29,1,7:15.0,K. Irving misses 3-pt jump shot from 25 ft,,10,14
30,1,7:13.0,,Defensive rebound by K. Bazemore,10,14
31,1,7:09.0,,J. Teague misses 2-pt layup at rim (block by K. Irving),10,14
32,1,7:09.0,,Offensive rebound by Team,10,14
33,1,7:05.0,,K. Bazemore misses 3-pt jump shot from 23 ft,10,14
34,1,7:04.0,Defensive rebound by T. Mozgov,,10,14
35,1,6:48.0,J. Smith misses 2-pt jump shot from 11 ft,,10,14
36,1,6:47.0,,Defensive rebound by P. Millsap,10,14
37,1,6:37.0,,J. Teague makes 3-pt jump shot from 24 ft,10,17
38,1,6:17.0,L. James makes 2-pt layup at rim (assist by K. Irving),,12,17
39,1,6:08.0,,A. Horford misses 3-pt jump shot from 24 ft,12,17
40,1,6:07.0,Defensive rebound by L. James,,12,17
41,1,5:54.0,K. Irving makes 2-pt jump shot from 11 ft (assist by L. James),,14,17
42,1,5:37.0,,Shooting foul by L. James (drawn by K. Bazemore),14,17
43,1,5:37.0,,K. Bazemore makes free throw 1 of 2,14,18
44,1,5:37.0,T. Thompson enters the game for T. Mozgov,,14,18
45,1,5:37.0,,K. Humphries enters the game for A. Horford,14,18
46,1,5:37.0,,T. Sefolosha enters the game for K. Korver,14,18
47,1,5:37.0,,K. Bazemore makes free throw 2 of 2,14,19
48,1,5:23.0,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Love),,17,19
49,1,5:13.0,,J. Teague makes 2-pt layup from 1 ft,17,21
50,1,4:59.0,K. Irving makes 3-pt jump shot from 24 ft (assist by K. Love),,20,21
51,1,4:49.0,,Turnover by P. Millsap (bad pass; steal by K. Irving),20,21
52,1,4:45.0,K. Irving makes 2-pt layup from 2 ft,,22,21
53,1,4:45.0,,Atlanta full timeout,22,21
54,1,4:45.0,,T. Hardaway enters the game for K. Bazemore,22,21
55,1,4:21.0,,P. Millsap misses 2-pt jump shot from 18 ft,22,21
56,1,4:19.0,Defensive rebound by T. Thompson,,22,21
57,1,3:57.0,J. Smith makes 3-pt jump shot from 27 ft (assist by K. Irving),,25,21
58,1,3:46.0,,J. Teague misses 2-pt jump shot from 7 ft (block by K. Irving),25,21
59,1,3:46.0,,Offensive rebound by Team,25,21
60,1,3:46.0,,D. Schröder enters the game for J. Teague,25,21
61,1,3:46.0,M. Dellavedova enters the game for K. Irving,,25,21
62,1,3:38.0,,P. Millsap misses 3-pt jump shot from 24 ft,25,21
63,1,3:37.0,Defensive rebound by K. Love,,25,21
64,1,3:14.0,L. James misses 2-pt layup from 2 ft (block by K. Humphries),,25,21
65,1,3:12.0,,Defensive rebound by K. Humphries,25,21
66,1,3:01.0,,P. Millsap misses 2-pt layup from 1 ft (block by T. Thompson),25,21
67,1,3:00.0,,Offensive rebound by P. Millsap,25,21
68,1,2:57.0,,T. Hardaway misses 3-pt jump shot from 24 ft,25,21
69,1,2:56.0,Defensive rebound by M. Dellavedova,,25,21
70,1,2:52.0,L. James makes 2-pt layup from 1 ft (assist by M. Dellavedova),,27,21
71,1,2:38.0,,P. Millsap misses 2-pt jump shot from 3 ft,27,21
72,1,2:36.0,Defensive rebound by T. Thompson,,27,21
73,1,2:25.0,Shooting foul by K. Humphries (drawn by K. Love),,27,21
74,1,2:25.0,K. Love misses free throw 1 of 2,,27,21
75,1,2:25.0,Offensive rebound by Team,,27,21
76,1,2:25.0,K. Irving enters the game for J. Smith,,27,21
77,1,2:25.0,I. Shumpert enters the game for L. James,,27,21
78,1,2:25.0,,A. Horford enters the game for P. Millsap,27,21
79,1,2:25.0,K. Love makes free throw 2 of 2,,28,21
80,1,2:11.0,,T. Hardaway misses 3-pt jump shot from 24 ft,28,21
81,1,2:07.0,Defensive rebound by K. Love,,28,21
