,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,A. Bogut misses 2-pt hook shot from 6 ft,0,0
1,1,11:43.0,Defensive rebound by Z. LaVine,,0,0
2,1,11:30.0,A. Wiggins misses 2-pt layup from 1 ft (block by A. Bogut),,0,0
3,1,11:29.0,,Defensive rebound by H. Barnes,0,0
4,1,11:17.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by K. Thompson),0,3
5,1,10:59.0,K. Towns makes 2-pt jump shot from 20 ft (assist by R. Rubio),,2,3
6,1,10:54.0,,Personal foul by R. Rubio,2,3
7,1,10:47.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),2,5
8,1,10:29.0,G. Dieng makes 2-pt layup from 1 ft (assist by Z. LaVine),,4,5
9,1,10:10.0,,S. Curry misses 3-pt jump shot from 26 ft,4,5
10,1,10:09.0,Defensive rebound by Z. LaVine,,4,5
11,1,9:56.0,Z. LaVine misses 3-pt jump shot from 25 ft,,4,5
12,1,9:55.0,,Defensive rebound by A. Bogut,4,5
13,1,9:45.0,,Turnover by D. Green (bad pass),4,5
14,1,9:28.0,G. Dieng makes 2-pt jump shot from 14 ft (assist by R. Rubio),,6,5
15,1,9:14.0,,H. Barnes makes 2-pt dunk at rim (assist by A. Bogut),6,7
16,1,8:58.0,K. Towns misses 2-pt jump shot from 20 ft,,6,7
17,1,8:57.0,,Defensive rebound by A. Bogut,6,7
18,1,8:47.0,,K. Thompson misses 3-pt jump shot from 25 ft,6,7
19,1,8:47.0,Defensive rebound by K. Towns,,6,7
20,1,8:36.0,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),,8,7
21,1,8:26.0,,K. Thompson misses 2-pt layup from 1 ft,8,7
22,1,8:24.0,Defensive rebound by G. Dieng,,8,7
23,1,8:09.0,K. Towns misses 2-pt jump shot from 13 ft,,8,7
24,1,8:09.0,,Defensive rebound by A. Bogut,8,7
25,1,8:02.0,,Shooting foul by G. Dieng (drawn by D. Green),8,7
26,1,8:02.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),8,9
27,1,8:02.0,,D. Green makes free throw 1 of 1,8,10
28,1,7:47.0,G. Dieng misses 2-pt jump shot from 17 ft,,8,10
29,1,7:47.0,,Defensive rebound by D. Green,8,10
30,1,7:41.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Green),8,13
31,1,7:24.0,Turnover by G. Dieng (lost ball; steal by D. Green),,8,13
32,1,7:12.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Green),8,16
33,1,7:03.0,Minnesota full timeout,,8,16
34,1,6:56.0,A. Wiggins misses 2-pt jump shot from 17 ft,,8,16
35,1,6:56.0,,Defensive rebound by K. Thompson,8,16
36,1,6:44.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),8,18
37,1,6:13.0,G. Dieng makes 2-pt jump shot from 13 ft,,10,18
38,1,5:58.0,,A. Bogut makes 2-pt layup from 2 ft (assist by D. Green),10,20
39,1,5:44.0,Z. LaVine misses 2-pt jump shot from 18 ft,,10,20
40,1,5:44.0,,Defensive rebound by Team,10,20
41,1,5:44.0,Loose ball foul by K. Towns,,10,20
42,1,5:36.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),10,23
43,1,5:18.0,Personal foul by A. Bogut,,10,23
44,1,5:18.0,,A. Iguodala enters the game for H. Barnes,10,23
45,1,5:18.0,N. Bjelica enters the game for K. Towns,,10,23
46,1,5:18.0,,L. Barbosa enters the game for K. Thompson,10,23
47,1,5:12.0,Turnover by R. Rubio (bad pass; steal by S. Curry),,10,23
48,1,5:08.0,,D. Green makes 2-pt dunk from 1 ft (assist by S. Curry),10,25
49,1,4:44.0,A. Wiggins misses 3-pt jump shot from 27 ft,,10,25
50,1,4:43.0,,Defensive rebound by S. Curry,10,25
51,1,4:34.0,,Offensive foul by A. Bogut (drawn by R. Rubio),10,25
