,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by S. Curry),0,3
1,1,11:18.0,D. Lillard makes 3-pt jump shot from 24 ft,,3,3
2,1,11:09.0,,Turnover by R. Rondo (bad pass),3,3
3,1,11:01.0,M. Plumlee misses 2-pt jump shot from 11 ft,,3,3
4,1,11:01.0,,Defensive rebound by W. Cauley-Stein,3,3
5,1,10:42.0,,J. Anderson misses 3-pt jump shot from 25 ft,3,3
6,1,10:42.0,Defensive rebound by M. Plumlee,,3,3
7,1,10:33.0,D. Lillard misses 3-pt jump shot from 25 ft,,3,3
8,1,10:32.0,,Defensive rebound by R. Rondo,3,3
9,1,10:21.0,,D. Cousins makes 2-pt dunk at rim,3,5
10,1,10:00.0,D. Lillard misses 3-pt jump shot from 26 ft,,3,5
11,1,10:00.0,,Defensive rebound by W. Cauley-Stein,3,5
12,1,9:52.0,,R. Rondo makes 2-pt layup from 3 ft,3,7
13,1,9:33.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),,6,7
14,1,9:24.0,,D. Cousins makes 2-pt layup from 3 ft (assist by R. Rondo),6,9
15,1,9:02.0,C. McCollum makes 2-pt jump shot from 19 ft,,8,9
16,1,8:38.0,,D. Cousins makes 2-pt layup from 2 ft,8,11
17,1,8:15.0,M. Harkless misses 2-pt jump shot from 16 ft,,8,11
18,1,8:15.0,,Defensive rebound by R. Rondo,8,11
19,1,8:05.0,,D. Cousins makes 2-pt dunk at rim,8,13
20,1,7:39.0,Shooting foul by W. Cauley-Stein (drawn by A. Aminu),,8,13
21,1,7:39.0,A. Aminu makes free throw 1 of 2,,9,13
22,1,7:39.0,A. Aminu misses free throw 2 of 2,,9,13
23,1,7:39.0,Offensive rebound by M. Harkless,,9,13
24,1,7:36.0,M. Harkless misses 2-pt layup from 2 ft (block by D. Cousins),,9,13
25,1,7:34.0,,Defensive rebound by W. Cauley-Stein,9,13
26,1,7:27.0,,Turnover by J. Anderson (bad pass; steal by A. Aminu),9,13
27,1,7:21.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,12,13
28,1,7:13.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by R. Rondo),12,16
29,1,6:55.0,Shooting foul by R. Rondo (drawn by M. Plumlee),,12,16
30,1,6:55.0,M. Plumlee makes free throw 1 of 2,,13,16
31,1,6:55.0,M. Plumlee makes free throw 2 of 2,,14,16
32,1,6:47.0,,Personal foul by M. Plumlee,14,16
33,1,6:44.0,,R. Rondo makes 2-pt jump shot from 11 ft,14,18
34,1,6:44.0,,Shooting foul by D. Lillard (drawn by R. Rondo),14,18
35,1,6:44.0,,R. Rondo makes free throw 1 of 1,14,19
36,1,6:30.0,C. McCollum misses 2-pt jump shot from 14 ft,,14,19
37,1,6:30.0,,Defensive rebound by S. Curry,14,19
38,1,6:22.0,Offensive charge foul by D. Cousins (drawn by M. Plumlee),,14,19
39,1,6:22.0,,Turnover by D. Cousins (offensive foul),14,19
40,1,6:09.0,M. Plumlee misses 2-pt jump shot from 13 ft,,14,19
41,1,6:08.0,Offensive rebound by M. Plumlee,,14,19
42,1,6:03.0,C. McCollum misses 3-pt jump shot from 25 ft,,14,19
43,1,6:01.0,Offensive rebound by A. Aminu,,14,19
44,1,6:00.0,A. Aminu misses 2-pt layup from 2 ft,,14,19
45,1,5:59.0,Offensive rebound by M. Plumlee,,14,19
46,1,5:59.0,M. Plumlee makes 2-pt layup from 1 ft,,16,19
47,1,5:47.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Rondo),16,22
48,1,5:34.0,Turnover by D. Lillard (lost ball; steal by W. Cauley-Stein),,16,22
49,1,5:26.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by R. Rondo),16,24
50,1,5:26.0,Portland full timeout,,16,24
51,1,5:26.0,G. Henderson enters the game for M. Harkless,,16,24
52,1,5:26.0,A. Crabbe enters the game for C. McCollum,,16,24
53,1,5:07.0,G. Henderson misses 3-pt jump shot from 24 ft,,16,24
54,1,5:06.0,,Defensive rebound by D. Cousins,16,24
55,1,4:59.0,,D. Cousins misses 2-pt layup from 4 ft (block by M. Plumlee),16,24
56,1,4:57.0,Defensive rebound by G. Henderson,,16,24
57,1,4:47.0,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),,18,24
58,1,4:33.0,,S. Curry misses 3-pt jump shot from 25 ft,18,24
59,1,4:33.0,Defensive rebound by M. Plumlee,,18,24
60,1,4:25.0,D. Lillard misses 2-pt jump shot from 4 ft,,18,24
61,1,4:24.0,,Defensive rebound by R. Rondo,18,24
62,1,4:18.0,,R. Rondo misses 2-pt jump shot from 3 ft (block by A. Aminu),18,24
63,1,4:18.0,,Offensive rebound by Team,18,24
64,1,4:18.0,,B. McLemore enters the game for S. Curry,18,24
65,1,4:18.0,E. Davis enters the game for M. Plumlee,,18,24
66,1,4:18.0,C. Kaman enters the game for A. Aminu,,18,24
67,1,4:15.0,,D. Cousins makes 2-pt jump shot from 6 ft (assist by R. Rondo),18,26
68,1,3:56.0,G. Henderson makes 2-pt jump shot from 18 ft (assist by E. Davis),,20,26
69,1,3:42.0,,Turnover by R. Rondo (bad pass; steal by D. Lillard),20,26
70,1,3:42.0,Clear path foul by R. Rondo,,20,26
71,1,3:42.0,D. Lillard makes clear path free throw 1 of 2,,21,26
72,1,3:42.0,,Q. Acy enters the game for W. Cauley-Stein,21,26
73,1,3:42.0,D. Lillard makes clear path free throw 2 of 2,,22,26
74,1,3:22.0,A. Crabbe makes 2-pt jump shot from 15 ft (assist by C. Kaman),,24,26
75,1,3:09.0,,Personal foul by C. Kaman,24,26
76,1,2:53.0,,R. Rondo misses 3-pt jump shot from 27 ft,24,26
77,1,2:52.0,Defensive rebound by Team,,24,26
78,1,2:52.0,,Sacramento full timeout,24,26
79,1,2:27.0,D. Lillard misses 3-pt jump shot from 25 ft,,24,26
80,1,2:27.0,Offensive rebound by C. Kaman,,24,26
81,1,2:22.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by D. Lillard),,27,26
82,1,2:07.0,,Shooting foul by C. Kaman (drawn by D. Cousins),27,26
83,1,2:07.0,,D. Cousins misses free throw 1 of 2,27,26
84,1,2:07.0,,Offensive rebound by Team,27,26
85,1,2:07.0,,C. Butler enters the game for J. Anderson,27,26
86,1,2:07.0,N. Vonleh enters the game for C. Kaman,,27,26
87,1,2:07.0,,D. Cousins makes free throw 2 of 2,27,27
88,1,1:49.0,Turnover by N. Vonleh (step out of bounds),,27,27
89,1,1:38.0,,B. McLemore misses 2-pt jump shot from 18 ft,27,27
90,1,1:38.0,Defensive rebound by N. Vonleh,,27,27
91,1,1:23.0,Turnover by N. Vonleh (bad pass; steal by R. Rondo),,27,27
92,1,1:19.0,,R. Rondo makes 2-pt layup from 2 ft,27,29
93,1,1:05.0,Shooting foul by B. McLemore (drawn by D. Lillard),,27,29
94,1,1:05.0,D. Lillard misses free throw 1 of 2,,27,29
95,1,1:05.0,Offensive rebound by Team,,27,29
96,1,1:05.0,D. Lillard makes free throw 2 of 2,,28,29
97,1,0:50.0,,Q. Acy makes 2-pt layup from 2 ft (assist by B. McLemore),28,31
98,1,0:34.0,N. Vonleh makes 2-pt jump shot from 20 ft (assist by D. Lillard),,30,31
99,1,0:26.0,,D. Cousins makes 2-pt hook shot from 8 ft,30,33
100,1,0:04.0,D. Lillard misses 2-pt layup from 2 ft,,30,33
101,1,0:02.0,,Defensive rebound by R. Rondo,30,33
102,1,0:00.0,,B. McLemore misses 3-pt jump shot from 30 ft,30,33
103,1,0:00.0,,Offensive rebound by Team,30,33
104,2,11:52.0,Turnover by A. Crabbe (step out of bounds),,30,33
105,2,11:38.0,,B. McLemore misses 2-pt layup from 3 ft (block by E. Davis),30,33
106,2,11:37.0,Defensive rebound by A. Crabbe,,30,33
107,2,11:23.0,E. Davis makes 2-pt hook shot from 5 ft,,32,33
108,2,11:04.0,,S. Curry makes 2-pt jump shot from 21 ft,32,35
109,2,10:45.0,Turnover by E. Davis (lost ball; steal by D. Cousins),,32,35
110,2,10:41.0,,Turnover by D. Cousins (lost ball; steal by N. Vonleh),32,35
111,2,10:33.0,C. McCollum makes 2-pt jump shot from 20 ft,,34,35
112,2,10:22.0,,Turnover by C. Butler (lost ball; steal by G. Henderson),34,35
113,2,10:21.0,Personal foul by S. Curry,,34,35
114,2,10:21.0,,W. Cauley-Stein enters the game for D. Cousins,34,35
115,2,9:57.0,G. Henderson misses 2-pt jump shot from 19 ft,,34,35
116,2,9:56.0,Offensive rebound by A. Crabbe,,34,35
117,2,9:52.0,C. McCollum misses 2-pt jump shot from 8 ft,,34,35
118,2,9:50.0,,Defensive rebound by Team,34,35
119,2,9:33.0,,S. Curry misses 2-pt jump shot from 18 ft,34,35
120,2,9:33.0,Defensive rebound by E. Davis,,34,35
121,2,9:23.0,A. Crabbe misses 3-pt jump shot from 22 ft,,34,35
122,2,9:22.0,Offensive rebound by N. Vonleh,,34,35
123,2,9:15.0,G. Henderson misses 2-pt jump shot from 8 ft,,34,35
124,2,9:14.0,Offensive rebound by G. Henderson,,34,35
125,2,9:12.0,G. Henderson makes 2-pt layup from 2 ft,,36,35
126,2,9:03.0,,C. Butler makes 2-pt jump shot from 5 ft,36,37
127,2,8:39.0,C. McCollum makes 3-pt jump shot from 24 ft,,39,37
128,2,8:21.0,,Personal foul by A. Crabbe,39,37
129,2,8:21.0,Official timeout,,39,37
130,2,8:09.0,,Turnover by B. McLemore (lost ball; steal by A. Crabbe),39,37
131,2,7:58.0,Turnover by C. McCollum (traveling),,39,37
132,2,7:44.0,,W. Cauley-Stein misses 2-pt dunk at rim (block by N. Vonleh),39,37
133,2,7:43.0,Defensive rebound by E. Davis,,39,37
134,2,7:38.0,G. Henderson makes 2-pt dunk at rim (assist by C. McCollum),,41,37
135,2,7:22.0,,Q. Acy makes 3-pt jump shot from 25 ft,41,40
136,2,7:03.0,C. McCollum makes 3-pt jump shot from 24 ft,,44,40
137,2,6:52.0,,S. Curry makes 2-pt jump shot from 20 ft,44,42
138,2,6:32.0,Shooting foul by Q. Acy (drawn by C. McCollum),,44,42
139,2,6:32.0,C. McCollum misses free throw 1 of 2,,44,42
140,2,6:32.0,Offensive rebound by Team,,44,42
141,2,6:32.0,,J. Anderson enters the game for B. McLemore,44,42
142,2,6:32.0,C. McCollum makes free throw 2 of 2,,45,42
143,2,6:17.0,,Turnover by S. Curry (bad pass),45,42
144,2,6:17.0,Portland full timeout,,45,42
145,2,6:17.0,M. Harkless enters the game for N. Vonleh,,45,42
146,2,6:17.0,,R. Rondo enters the game for C. Butler,45,42
147,2,5:54.0,C. McCollum makes 2-pt layup from 4 ft,,47,42
148,2,5:36.0,,J. Anderson makes 2-pt jump shot from 19 ft,47,44
149,2,5:20.0,A. Crabbe misses 2-pt jump shot from 3 ft,,47,44
150,2,5:19.0,,Defensive rebound by J. Anderson,47,44
151,2,5:09.0,,Shooting foul by E. Davis (drawn by W. Cauley-Stein),47,44
152,2,5:09.0,,W. Cauley-Stein misses free throw 1 of 2,47,44
153,2,5:09.0,,Offensive rebound by Team,47,44
154,2,5:09.0,M. Plumlee enters the game for A. Crabbe,,47,44
155,2,5:09.0,D. Lillard enters the game for E. Davis,,47,44
156,2,5:09.0,,D. Cousins enters the game for Q. Acy,47,44
157,2,5:09.0,,W. Cauley-Stein makes free throw 2 of 2,47,45
158,2,4:46.0,M. Harkless misses 3-pt jump shot from 22 ft,,47,45
159,2,4:45.0,,Defensive rebound by D. Cousins,47,45
160,2,4:35.0,,S. Curry makes 2-pt jump shot from 7 ft,47,47
161,2,4:15.0,G. Henderson misses 2-pt jump shot from 16 ft,,47,47
162,2,4:14.0,Offensive rebound by M. Plumlee,,47,47
163,2,4:13.0,M. Plumlee misses 2-pt layup from 2 ft,,47,47
164,2,4:11.0,Offensive rebound by M. Harkless,,47,47
165,2,4:07.0,M. Plumlee makes 2-pt layup from 3 ft (assist by M. Harkless),,49,47
166,2,3:52.0,,D. Cousins misses 2-pt layup from 2 ft (block by M. Plumlee),49,47
167,2,3:52.0,,Offensive rebound by Team,49,47
168,2,3:52.0,A. Aminu enters the game for G. Henderson,,49,47
169,2,3:41.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,49,47
170,2,3:41.0,Defensive rebound by A. Aminu,,49,47
171,2,3:33.0,Personal foul by S. Curry,,49,47
172,2,3:24.0,A. Aminu misses 2-pt jump shot from 7 ft (block by W. Cauley-Stein),,49,47
173,2,3:22.0,,Defensive rebound by S. Curry,49,47
174,2,3:16.0,,Turnover by J. Anderson (bad pass),49,47
175,2,2:59.0,Turnover by M. Harkless (step out of bounds),,49,47
176,2,2:59.0,,Sacramento full timeout,49,47
177,2,2:59.0,,B. McLemore enters the game for S. Curry,49,47
178,2,2:49.0,,D. Cousins misses 2-pt layup from 3 ft (block by M. Plumlee),49,47
179,2,2:48.0,,Offensive rebound by Team,49,47
180,2,2:45.0,,Turnover by B. McLemore (lost ball; steal by C. McCollum),49,47
181,2,2:37.0,A. Aminu misses 2-pt jump shot from 22 ft,,49,47
182,2,2:36.0,,Defensive rebound by D. Cousins,49,47
183,2,2:29.0,,R. Rondo makes 2-pt jump shot from 19 ft,49,49
184,2,2:11.0,D. Lillard misses 3-pt jump shot from 25 ft,,49,49
185,2,2:10.0,,Defensive rebound by B. McLemore,49,49
186,2,2:08.0,,D. Cousins makes 2-pt dunk at rim (assist by R. Rondo),49,51
187,2,1:51.0,D. Lillard makes 2-pt jump shot from 9 ft,,51,51
188,2,1:33.0,,Shooting foul by M. Harkless (drawn by R. Rondo),51,51
189,2,1:33.0,,R. Rondo makes free throw 1 of 2,51,52
190,2,1:33.0,,R. Rondo misses free throw 2 of 2,51,52
191,2,1:32.0,Defensive rebound by A. Aminu,,51,52
192,2,1:22.0,Turnover by C. McCollum (traveling),,51,52
193,2,1:09.0,,J. Anderson misses 2-pt layup from 2 ft,51,52
194,2,1:08.0,Defensive rebound by A. Aminu,,51,52
195,2,0:59.0,D. Lillard misses 2-pt dunk from 4 ft (block by W. Cauley-Stein),,51,52
196,2,0:57.0,,Defensive rebound by R. Rondo,51,52
197,2,0:52.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by J. Anderson),51,54
198,2,0:52.0,,Shooting foul by A. Aminu (drawn by W. Cauley-Stein),51,54
199,2,0:52.0,,W. Cauley-Stein makes free throw 1 of 1,51,55
200,2,0:30.0,Turnover by A. Aminu (bad pass; steal by R. Rondo),,51,55
201,2,0:25.0,,R. Rondo makes 2-pt layup from 2 ft,51,57
202,2,0:25.0,,Violation by Team (jump ball),51,57
203,2,0:25.0,Portland full timeout,,51,57
204,2,0:25.0,,Q. Acy enters the game for R. Rondo,51,57
205,2,0:25.0,A. Crabbe enters the game for A. Aminu,,51,57
206,2,0:25.0,G. Henderson enters the game for M. Harkless,,51,57
207,2,0:25.0,B. Roberts enters the game for M. Plumlee,,51,57
208,2,0:05.0,Turnover by D. Lillard (lost ball; steal by D. Cousins),,51,57
209,2,0:03.0,,Turnover by D. Cousins (bad pass),51,57
210,3,11:47.0,Personal foul by S. Curry,,51,57
211,3,11:34.0,D. Lillard makes 2-pt jump shot from 15 ft,,53,57
212,3,11:32.0,Violation by Team (jump ball),,53,57
213,3,11:18.0,,S. Curry misses 2-pt jump shot from 9 ft,53,57
214,3,11:16.0,Defensive rebound by A. Aminu,,53,57
215,3,11:15.0,Turnover by A. Aminu (bad pass),,53,57
216,3,11:09.0,,Personal foul by M. Plumlee,53,57
217,3,10:54.0,,Turnover by D. Cousins (lost ball; steal by C. McCollum),53,57
218,3,10:50.0,M. Plumlee misses 2-pt layup from 3 ft,,53,57
219,3,10:48.0,Offensive rebound by M. Harkless,,53,57
220,3,10:48.0,M. Harkless makes 2-pt dunk at rim,,55,57
221,3,10:30.0,,Shooting foul by A. Aminu (drawn by D. Cousins),55,57
222,3,10:30.0,,D. Cousins misses free throw 1 of 2,55,57
223,3,10:30.0,,Offensive rebound by Team,55,57
224,3,10:30.0,,D. Cousins makes free throw 2 of 2,55,58
225,3,10:20.0,D. Lillard misses 2-pt jump shot from 20 ft,,55,58
226,3,10:19.0,Offensive rebound by M. Harkless,,55,58
227,3,10:11.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,58,58
228,3,9:47.0,,R. Rondo makes 3-pt jump shot from 25 ft (assist by S. Curry),58,61
229,3,9:24.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by D. Lillard),,61,61
230,3,9:05.0,,S. Curry misses 3-pt jump shot from 25 ft,61,61
231,3,9:04.0,Defensive rebound by D. Lillard,,61,61
232,3,8:52.0,C. McCollum misses 3-pt jump shot from 23 ft,,61,61
233,3,8:52.0,,Defensive rebound by R. Rondo,61,61
234,3,8:42.0,,Personal foul by M. Plumlee,61,61
235,3,8:28.0,,J. Anderson misses 3-pt jump shot from 26 ft,61,61
236,3,8:28.0,,Offensive rebound by W. Cauley-Stein,61,61
237,3,8:20.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by J. Anderson),61,64
238,3,8:01.0,D. Lillard misses 2-pt jump shot from 5 ft (block by W. Cauley-Stein),,61,64
239,3,7:59.0,,Defensive rebound by S. Curry,61,64
240,3,7:51.0,,R. Rondo makes 3-pt jump shot from 25 ft (assist by D. Cousins),61,67
241,3,7:36.0,Turnover by M. Harkless (3 sec),,61,67
242,3,7:20.0,,Turnover by D. Cousins (lost ball),61,67
243,3,7:12.0,M. Plumlee makes 2-pt dunk at rim (assist by C. McCollum),,63,67
244,3,6:54.0,,R. Rondo misses 2-pt jump shot from 5 ft,63,67
245,3,6:53.0,Defensive rebound by M. Harkless,,63,67
246,3,6:41.0,C. McCollum misses 3-pt jump shot from 25 ft,,63,67
247,3,6:40.0,,Defensive rebound by D. Cousins,63,67
248,3,6:34.0,,J. Anderson misses 3-pt jump shot from 24 ft,63,67
249,3,6:34.0,Defensive rebound by M. Harkless,,63,67
250,3,6:24.0,M. Harkless misses 3-pt jump shot from 25 ft,,63,67
251,3,6:24.0,Offensive rebound by M. Plumlee,,63,67
252,3,6:19.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,66,67
253,3,6:17.0,,Sacramento full timeout,66,67
254,3,6:04.0,,D. Cousins makes 2-pt jump shot from 3 ft,66,69
255,3,5:51.0,Shooting foul by W. Cauley-Stein (drawn by M. Plumlee),,66,69
256,3,5:51.0,M. Plumlee makes free throw 1 of 2,,67,69
257,3,5:51.0,G. Henderson enters the game for M. Harkless,,67,69
258,3,5:51.0,A. Crabbe enters the game for C. McCollum,,67,69
259,3,5:51.0,M. Plumlee makes free throw 2 of 2,,68,69
260,3,5:37.0,,R. Rondo makes 2-pt layup from 4 ft,68,71
261,3,5:18.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by A. Crabbe),,71,71
262,3,4:59.0,,S. Curry misses 2-pt jump shot from 18 ft (block by D. Lillard),71,71
263,3,4:57.0,,Offensive rebound by S. Curry,71,71
264,3,4:52.0,,D. Cousins misses 2-pt jump shot from 19 ft,71,71
265,3,4:51.0,Defensive rebound by A. Aminu,,71,71
266,3,4:42.0,Personal foul by W. Cauley-Stein,,71,71
267,3,4:42.0,,B. McLemore enters the game for J. Anderson,71,71
268,3,4:34.0,Turnover by D. Lillard (lost ball; steal by B. McLemore),,71,71
269,3,4:26.0,,W. Cauley-Stein misses 2-pt jump shot from 4 ft,71,71
270,3,4:25.0,Defensive rebound by A. Aminu,,71,71
271,3,4:13.0,A. Crabbe misses 3-pt jump shot from 24 ft,,71,71
272,3,4:12.0,,Defensive rebound by R. Rondo,71,71
273,3,3:58.0,,D. Cousins makes 2-pt layup from 2 ft,71,73
274,3,3:43.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,74,73
275,3,3:31.0,,R. Rondo makes 2-pt layup from 3 ft,74,75
276,3,3:24.0,A. Aminu makes 2-pt dunk at rim (assist by D. Lillard),,76,75
277,3,3:04.0,,D. Cousins misses 3-pt jump shot from 24 ft,76,75
278,3,3:03.0,Defensive rebound by A. Crabbe,,76,75
279,3,2:49.0,A. Crabbe misses 2-pt dunk at rim (block by D. Cousins),,76,75
280,3,2:47.0,,Defensive rebound by D. Cousins,76,75
281,3,2:45.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by S. Curry),76,77
282,3,2:44.0,Portland full timeout,,76,77
283,3,2:44.0,E. Davis enters the game for M. Plumlee,,76,77
284,3,2:44.0,,Q. Acy enters the game for D. Cousins,76,77
285,3,2:18.0,G. Henderson misses 2-pt jump shot from 21 ft,,76,77
286,3,2:17.0,,Defensive rebound by S. Curry,76,77
287,3,2:06.0,,Shooting foul by A. Crabbe (drawn by S. Curry),76,77
288,3,2:06.0,,S. Curry makes free throw 1 of 2,76,78
289,3,2:06.0,C. McCollum enters the game for A. Aminu,,76,78
290,3,2:06.0,M. Harkless enters the game for D. Lillard,,76,78
291,3,2:06.0,,S. Curry makes free throw 2 of 2,76,79
292,3,1:44.0,C. McCollum misses 2-pt jump shot from 6 ft,,76,79
293,3,1:43.0,Offensive rebound by M. Harkless,,76,79
294,3,1:43.0,M. Harkless misses 2-pt layup from 1 ft,,76,79
295,3,1:42.0,,Defensive rebound by Team,76,79
296,3,1:27.0,,W. Cauley-Stein misses 2-pt dunk from 4 ft,76,79
297,3,1:26.0,Defensive rebound by M. Harkless,,76,79
298,3,1:20.0,M. Harkless misses 2-pt jump shot from 3 ft,,76,79
299,3,1:18.0,Offensive rebound by M. Harkless,,76,79
300,3,1:18.0,M. Harkless makes 2-pt layup from 2 ft,,78,79
301,3,0:55.0,,R. Rondo misses 2-pt layup from 3 ft,78,79
302,3,0:54.0,Defensive rebound by M. Harkless,,78,79
303,3,0:47.0,C. McCollum makes 2-pt jump shot from 9 ft,,80,79
304,3,0:38.0,,Q. Acy misses 2-pt dunk at rim,80,79
305,3,0:37.0,,Offensive rebound by W. Cauley-Stein,80,79
306,3,0:37.0,,Shooting foul by M. Harkless (drawn by W. Cauley-Stein),80,79
307,3,0:37.0,,W. Cauley-Stein misses free throw 1 of 2,80,79
308,3,0:37.0,,Offensive rebound by Team,80,79
309,3,0:37.0,,J. Anderson enters the game for S. Curry,80,79
