,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:38.0,E. Freedom makes 2-pt jump shot from 7 ft,,2,0
1,1,11:13.0,,A. Aminu misses 3-pt jump shot from 24 ft,2,0
2,1,11:13.0,,Offensive rebound by Team,2,0
3,1,11:05.0,,A. Aminu misses 3-pt jump shot from 25 ft,2,0
4,1,11:04.0,Defensive rebound by R. Foye,,2,0
5,1,10:45.0,A. Morrow makes 2-pt jump shot from 18 ft,,4,0
6,1,10:21.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Harkless),4,3
7,1,10:05.0,Turnover by S. Adams (bad pass),,4,3
8,1,9:57.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),4,5
9,1,9:57.0,,Shooting foul by S. Adams (drawn by A. Aminu),4,5
10,1,9:57.0,,A. Aminu makes free throw 1 of 1,4,6
11,1,9:47.0,D. Waiters makes 2-pt layup from 1 ft,,6,6
12,1,9:35.0,,D. Lillard misses 3-pt jump shot from 24 ft,6,6
13,1,9:34.0,Defensive rebound by S. Adams,,6,6
14,1,9:24.0,R. Foye misses 2-pt jump shot from 4 ft,,6,6
15,1,9:23.0,,Defensive rebound by M. Plumlee,6,6
16,1,9:18.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),6,9
17,1,9:05.0,Shooting foul by C. McCollum (drawn by D. Waiters),,6,9
18,1,9:05.0,D. Waiters misses free throw 1 of 2,,6,9
19,1,9:05.0,Offensive rebound by Team,,6,9
20,1,9:05.0,D. Waiters misses free throw 2 of 2,,6,9
21,1,9:05.0,Offensive rebound by E. Freedom,,6,9
22,1,8:56.0,Turnover by D. Waiters (bad pass),,6,9
23,1,8:37.0,,M. Harkless makes 3-pt jump shot from 22 ft (assist by M. Plumlee),6,12
24,1,8:21.0,Turnover by E. Freedom (lost ball),,6,12
25,1,8:10.0,,C. McCollum misses 3-pt jump shot from 25 ft,6,12
26,1,8:09.0,Defensive rebound by S. Adams,,6,12
27,1,7:58.0,R. Foye misses 2-pt jump shot from 18 ft,,6,12
28,1,7:56.0,,Defensive rebound by A. Aminu,6,12
29,1,7:47.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Plumlee),6,15
30,1,7:47.0,Oklahoma City full timeout,,6,15
31,1,7:38.0,Turnover by D. Waiters (bad pass; steal by A. Aminu),,6,15
32,1,7:33.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),6,17
33,1,7:12.0,A. Morrow misses 2-pt hook shot from 4 ft,,6,17
34,1,7:12.0,Offensive rebound by Team,,6,17
35,1,7:08.0,Turnover by R. Foye (bad pass),,6,17
36,1,6:56.0,,A. Aminu misses 3-pt jump shot from 23 ft,6,17
37,1,6:56.0,Defensive rebound by E. Freedom,,6,17
38,1,6:42.0,R. Foye makes 3-pt jump shot from 26 ft,,9,17
39,1,6:30.0,,M. Harkless makes 2-pt dunk at rim (assist by M. Plumlee),9,19
40,1,6:02.0,A. Morrow makes 2-pt jump shot from 19 ft (assist by S. Adams),,11,19
