,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:43.0,,D. Dedmon makes 2-pt jump shot from 10 ft (assist by M. Hezonja),0,2
1,1,11:17.0,G. Monroe misses 2-pt layup from 1 ft (block by D. Dedmon),,0,2
2,1,11:14.0,,Defensive rebound by D. Dedmon,0,2
3,1,11:06.0,,D. Dedmon makes 2-pt layup at rim (assist by M. Hezonja),0,4
4,1,10:49.0,R. Vaughn misses 3-pt jump shot from 25 ft,,0,4
5,1,10:48.0,,Defensive rebound by D. Dedmon,0,4
6,1,10:38.0,,E. Fournier misses 2-pt jump shot from 20 ft,0,4
7,1,10:36.0,,Offensive rebound by E. İlyasova,0,4
8,1,10:33.0,,D. Dedmon makes 2-pt jump shot from 8 ft (assist by E. İlyasova),0,6
9,1,10:18.0,Shooting foul by D. Dedmon (drawn by G. Monroe),,0,6
10,1,10:18.0,G. Monroe makes free throw 1 of 2,,1,6
11,1,10:18.0,G. Monroe makes free throw 2 of 2,,2,6
12,1,10:08.0,,E. Fournier makes 2-pt layup from 1 ft,2,8
13,1,9:52.0,J. Parker makes 2-pt jump shot from 17 ft (assist by K. Middleton),,4,8
14,1,9:43.0,,Turnover by E. Payton (bad pass; steal by G. Monroe),4,8
15,1,9:41.0,Personal take foul by E. İlyasova,,4,8
16,1,9:28.0,G. Monroe misses 2-pt hook shot from 4 ft,,4,8
17,1,9:27.0,Offensive rebound by G. Monroe,,4,8
18,1,9:25.0,G. Monroe makes 2-pt layup at rim,,6,8
19,1,9:18.0,,Turnover by E. Payton (step out of bounds),6,8
20,1,9:07.0,G. Monroe makes 2-pt layup from 1 ft (assist by J. Parker),,8,8
21,1,8:54.0,,E. Fournier makes 2-pt layup at rim,8,10
22,1,8:43.0,K. Middleton misses 2-pt jump shot from 5 ft,,8,10
23,1,8:43.0,,Defensive rebound by Team,8,10
24,1,8:18.0,,E. Payton makes 2-pt layup at rim,8,12
25,1,8:02.0,Turnover by G. Monroe (lost ball; steal by M. Hezonja),,8,12
26,1,7:55.0,,D. Dedmon makes 2-pt dunk at rim (assist by E. Fournier),8,14
27,1,7:33.0,G. Antetokounmpo misses 2-pt layup at rim (block by E. İlyasova),,8,14
28,1,7:30.0,Offensive rebound by G. Monroe,,8,14
29,1,7:28.0,G. Monroe makes 2-pt layup from 1 ft,,10,14
30,1,7:18.0,,E. Fournier misses 2-pt layup from 1 ft (block by G. Antetokounmpo),10,14
31,1,7:18.0,,Offensive rebound by Team,10,14
32,1,7:12.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by M. Hezonja),10,17
33,1,6:56.0,R. Vaughn misses 3-pt jump shot from 23 ft,,10,17
34,1,6:54.0,,Defensive rebound by D. Dedmon,10,17
35,1,6:43.0,,E. İlyasova makes 2-pt layup at rim (assist by E. Payton),10,19
36,1,6:43.0,Milwaukee full timeout,,10,19
37,1,6:43.0,T. Ennis enters the game for K. Middleton,,10,19
38,1,6:23.0,G. Monroe misses 2-pt layup at rim (block by D. Dedmon),,10,19
39,1,6:21.0,,Defensive rebound by D. Dedmon,10,19
40,1,6:18.0,,Shooting foul by G. Monroe (drawn by D. Dedmon),10,19
41,1,6:18.0,,D. Dedmon makes free throw 1 of 2,10,20
42,1,6:18.0,,D. Dedmon makes free throw 2 of 2,10,21
43,1,6:01.0,J. Parker misses 2-pt jump shot from 21 ft,,10,21
44,1,5:59.0,,Defensive rebound by E. Fournier,10,21
45,1,5:54.0,,M. Hezonja makes 2-pt dunk at rim (assist by E. Fournier),10,23
46,1,5:29.0,G. Monroe makes 2-pt dunk at rim (assist by T. Ennis),,12,23
47,1,5:10.0,,E. Payton misses 3-pt jump shot from 22 ft,12,23
48,1,5:08.0,Defensive rebound by J. Parker,,12,23
49,1,5:01.0,G. Antetokounmpo makes 2-pt dunk at rim,,14,23
50,1,4:41.0,,M. Hezonja misses 3-pt jump shot from 24 ft,14,23
51,1,4:40.0,Defensive rebound by G. Antetokounmpo,,14,23
52,1,4:35.0,G. Monroe makes 2-pt layup at rim (assist by G. Antetokounmpo),,16,23
53,1,4:16.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by E. Payton),16,25
54,1,3:58.0,Shooting foul by D. Dedmon (drawn by G. Monroe),,16,25
55,1,3:58.0,G. Monroe makes free throw 1 of 2,,17,25
56,1,3:58.0,,J. Smith enters the game for D. Dedmon,17,25
57,1,3:58.0,,C. Watson enters the game for E. Payton,17,25
58,1,3:58.0,G. Monroe misses free throw 2 of 2,,17,25
59,1,3:57.0,,Defensive rebound by C. Watson,17,25
60,1,3:38.0,,Turnover by E. Fournier (lost ball),17,25
61,1,3:28.0,J. Parker misses 2-pt layup from 1 ft (block by J. Smith),,17,25
62,1,3:26.0,Offensive rebound by G. Monroe,,17,25
63,1,3:26.0,G. Monroe misses 2-pt layup from 1 ft (block by E. İlyasova),,17,25
64,1,3:24.0,Offensive rebound by G. Monroe,,17,25
65,1,3:23.0,G. Monroe makes 2-pt layup from 1 ft,,19,25
