,QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
0,1,11:47.0,,Turnover by P. Millsap (bad pass; steal by J. Crowder),0,0
1,1,11:34.0,J. Crowder misses 3-pt jump shot from 26 ft,,0,0
2,1,11:32.0,,Defensive rebound by K. Korver,0,0
3,1,11:19.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Horford),0,3
4,1,11:00.0,Turnover by J. Crowder (bad pass; steal by K. Bazemore),,0,3
5,1,10:53.0,,K. Bazemore makes 3-pt jump shot from 25 ft,0,6
6,1,10:38.0,J. Sullinger makes 2-pt jump shot from 18 ft (assist by J. Crowder),,2,6
7,1,10:25.0,,A. Horford makes 2-pt dunk at rim (assist by J. Teague),2,8
8,1,10:10.0,M. Smart misses 3-pt jump shot from 25 ft,,2,8
9,1,10:08.0,,Defensive rebound by K. Korver,2,8
10,1,10:00.0,,K. Bazemore misses 2-pt layup from 2 ft (block by M. Smart),2,8
11,1,10:00.0,,Offensive rebound by Team,2,8
12,1,10:00.0,R. Hunter enters the game for M. Smart,,2,8
13,1,9:56.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),2,11
14,1,9:53.0,Boston full timeout,,2,11
15,1,9:53.0,M. Smart enters the game for R. Hunter,,2,11
16,1,9:35.0,Turnover by M. Smart (step out of bounds),,2,11
17,1,9:24.0,,K. Korver misses 3-pt jump shot from 24 ft,2,11
18,1,9:23.0,Defensive rebound by J. Sullinger,,2,11
19,1,9:15.0,I. Thomas misses 3-pt jump shot from 25 ft,,2,11
20,1,9:14.0,,Defensive rebound by K. Bazemore,2,11
21,1,9:04.0,,J. Teague makes 2-pt jump shot from 16 ft,2,13
22,1,8:45.0,Shooting foul by J. Teague (drawn by I. Thomas),,2,13
23,1,8:45.0,I. Thomas makes free throw 1 of 2,,3,13
24,1,8:45.0,E. Turner enters the game for A. Johnson,,3,13
25,1,8:45.0,I. Thomas misses free throw 2 of 2,,3,13
26,1,8:43.0,,Defensive rebound by P. Millsap,3,13
27,1,8:31.0,,K. Bazemore misses 2-pt layup from 1 ft,3,13
28,1,8:30.0,Defensive rebound by J. Sullinger,,3,13
29,1,8:16.0,M. Smart misses 3-pt jump shot from 25 ft,,3,13
30,1,8:14.0,,Defensive rebound by P. Millsap,3,13
31,1,8:10.0,,Turnover by J. Teague (bad pass),3,13
32,1,7:57.0,I. Thomas misses 2-pt jump shot from 16 ft,,3,13
33,1,7:56.0,,Defensive rebound by K. Bazemore,3,13
34,1,7:47.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),3,16
35,1,7:27.0,M. Smart misses 2-pt layup from 1 ft (block by P. Millsap),,3,16
36,1,7:25.0,,Defensive rebound by A. Horford,3,16
37,1,7:20.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by K. Bazemore),3,19
38,1,6:52.0,E. Turner misses 2-pt layup from 2 ft (block by A. Horford),,3,19
39,1,6:51.0,,Defensive rebound by K. Korver,3,19
40,1,6:47.0,,K. Bazemore misses 3-pt jump shot from 24 ft,3,19
41,1,6:45.0,Defensive rebound by M. Smart,,3,19
42,1,6:40.0,Turnover by I. Thomas (lost ball; steal by J. Teague),,3,19
43,1,6:38.0,,Personal foul by I. Thomas,3,19
44,1,6:38.0,T. Zeller enters the game for J. Sullinger,,3,19
45,1,6:32.0,,Turnover by A. Horford (bad pass; steal by J. Crowder),3,19
46,1,6:20.0,M. Smart misses 2-pt layup from 1 ft (block by A. Horford),,3,19
47,1,6:19.0,,Defensive rebound by K. Bazemore,3,19
48,1,6:13.0,,J. Teague makes 2-pt layup from 2 ft (assist by K. Bazemore),3,21
49,1,6:12.0,Boston full timeout,,3,21
50,1,6:12.0,,M. Muscala enters the game for A. Horford,3,21
51,1,5:52.0,I. Thomas misses 2-pt layup from 2 ft (block by J. Teague),,3,21
52,1,5:51.0,Offensive rebound by T. Zeller,,3,21
53,1,5:50.0,T. Zeller misses 2-pt layup from 1 ft,,3,21
54,1,5:49.0,,Defensive rebound by K. Bazemore,3,21
55,1,5:42.0,,Turnover by M. Muscala (lost ball; steal by M. Smart),3,21
56,1,5:38.0,M. Smart misses 2-pt layup from 1 ft (block by M. Muscala),,3,21
57,1,5:37.0,,Defensive rebound by K. Bazemore,3,21
58,1,5:37.0,,Personal foul by E. Turner,3,21
59,1,5:37.0,,T. Sefolosha enters the game for K. Bazemore,3,21
60,1,5:37.0,T. Rozier enters the game for M. Smart,,3,21
61,1,5:28.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Teague),3,24
62,1,5:19.0,Turnover by I. Thomas (lost ball; steal by J. Teague),,3,24
63,1,5:03.0,,Personal foul by T. Rozier,3,24
64,1,4:48.0,,P. Millsap misses 2-pt jump shot from 16 ft,3,24
65,1,4:47.0,Defensive rebound by E. Turner,,3,24
66,1,4:33.0,J. Crowder misses 2-pt layup from 3 ft,,3,24
67,1,4:31.0,Offensive rebound by T. Zeller,,3,24
68,1,4:29.0,Turnover by T. Zeller (bad pass; steal by K. Korver),,3,24
69,1,4:16.0,,M. Muscala misses 2-pt layup from 1 ft,3,24
70,1,4:13.0,Defensive rebound by T. Rozier,,3,24
71,1,4:07.0,I. Thomas makes 2-pt jump shot from 18 ft (assist by T. Zeller),,5,24
72,1,3:45.0,,J. Teague misses 2-pt layup at rim (block by E. Turner),5,24
73,1,3:44.0,Defensive rebound by T. Zeller,,5,24
74,1,3:39.0,I. Thomas misses 3-pt jump shot from 25 ft (block by T. Sefolosha),,5,24
75,1,3:39.0,Offensive rebound by Team,,5,24
76,1,3:39.0,,D. Schröder enters the game for K. Korver,5,24
77,1,3:39.0,,T. Hardaway enters the game for J. Teague,5,24
78,1,3:32.0,T. Zeller misses 2-pt layup from 1 ft,,5,24
79,1,3:31.0,Offensive rebound by J. Crowder,,5,24
80,1,3:29.0,J. Crowder makes 2-pt layup at rim,,7,24
81,1,3:10.0,,D. Schröder misses 2-pt layup from 1 ft (block by T. Rozier),7,24
82,1,3:07.0,Defensive rebound by Team,,7,24
83,1,2:48.0,I. Thomas misses 3-pt jump shot from 25 ft,,7,24
84,1,2:47.0,,Defensive rebound by M. Muscala,7,24
85,1,2:38.0,,M. Muscala misses 3-pt jump shot from 25 ft,7,24
86,1,2:36.0,Defensive rebound by T. Rozier,,7,24
87,1,2:22.0,E. Turner misses 2-pt jump shot from 9 ft,,7,24
88,1,2:21.0,,Defensive rebound by P. Millsap,7,24
89,1,2:12.0,,Atlanta full timeout,7,24
90,1,2:12.0,J. Jerebko enters the game for I. Thomas,,7,24
91,1,2:01.0,,P. Millsap misses 2-pt jump shot from 11 ft,7,24
92,1,2:01.0,Defensive rebound by Team,,7,24
