,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
0,1,11:48.0,Turnover by R. Westbrook (bad pass; steal by R. Felton),,0,0
1,1,11:25.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,0
2,1,11:24.0,Defensive rebound by A. Roberson,,0,0
3,1,11:04.0,A. Roberson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,3,0
4,1,10:50.0,,J. Barea misses 2-pt jump shot from 9 ft (block by A. Roberson),3,0
5,1,10:49.0,Defensive rebound by A. Roberson,,3,0
6,1,10:41.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,5,0
7,1,10:14.0,,R. Felton makes 2-pt jump shot from 19 ft (assist by Z. Pachulia),5,2
8,1,9:55.0,K. Durant misses 2-pt jump shot from 5 ft,,5,2
9,1,9:54.0,,Defensive rebound by J. Barea,5,2
10,1,9:46.0,,Turnover by J. Barea (bad pass; steal by R. Westbrook),5,2
11,1,9:34.0,K. Durant makes 2-pt jump shot from 18 ft,,7,2
12,1,9:17.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by R. Felton),7,4
13,1,9:02.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,9,4
14,1,8:35.0,,D. Nowitzki makes 2-pt layup from 2 ft,9,6
15,1,8:22.0,R. Westbrook misses 2-pt layup from 2 ft,,9,6
16,1,8:21.0,,Defensive rebound by W. Matthews,9,6
17,1,8:17.0,,Personal foul by S. Adams,9,6
18,1,8:09.0,,Personal foul by K. Durant,9,6
19,1,8:03.0,,R. Felton makes 2-pt layup from 2 ft,9,8
20,1,7:40.0,R. Westbrook misses 2-pt jump shot from 4 ft (block by D. Nowitzki),,9,8
21,1,7:38.0,,Defensive rebound by Z. Pachulia,9,8
22,1,7:34.0,,W. Matthews misses 3-pt jump shot from 24 ft,9,8
23,1,7:32.0,Defensive rebound by K. Durant,,9,8
24,1,7:25.0,K. Durant makes 3-pt jump shot from 27 ft,,12,8
25,1,7:08.0,,Personal foul by R. Westbrook,12,8
26,1,7:02.0,,J. Barea misses 2-pt jump shot from 5 ft,12,8
27,1,6:58.0,,Offensive rebound by W. Matthews,12,8
28,1,6:55.0,,J. Barea misses 3-pt jump shot from 23 ft,12,8
29,1,6:53.0,Defensive rebound by K. Durant,,12,8
30,1,6:46.0,Turnover by K. Durant (lost ball; steal by R. Felton),,12,8
31,1,6:39.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by R. Felton),12,10
32,1,6:38.0,Oklahoma City full timeout,,12,10
33,1,6:27.0,Personal foul by Z. Pachulia,,12,10
34,1,6:24.0,R. Westbrook makes 2-pt layup from 2 ft (assist by K. Durant),,14,10
35,1,6:06.0,,W. Matthews makes 2-pt jump shot from 19 ft (assist by R. Felton),14,12
36,1,5:43.0,K. Durant misses 3-pt jump shot from 24 ft,,14,12
37,1,5:42.0,,Defensive rebound by Team,14,12
38,1,5:40.0,,D. Lee enters the game for D. Nowitzki,14,12
39,1,5:40.0,,D. Harris enters the game for J. Barea,14,12
40,1,5:28.0,,D. Harris misses 3-pt jump shot from 23 ft,14,12
41,1,5:26.0,Defensive rebound by K. Durant,,14,12
42,1,5:19.0,S. Adams misses 2-pt jump shot from 6 ft,,14,12
43,1,5:18.0,,Defensive rebound by Z. Pachulia,14,12
44,1,4:57.0,,W. Matthews misses 3-pt jump shot from 24 ft,14,12
45,1,4:55.0,Defensive rebound by A. Roberson,,14,12
46,1,4:43.0,S. Ibaka misses 2-pt jump shot from 10 ft,,14,12
47,1,4:41.0,Offensive rebound by Team,,14,12
48,1,4:41.0,D. Waiters enters the game for K. Durant,,14,12
49,1,4:38.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,17,12
50,1,4:12.0,,D. Lee makes 2-pt hook shot from 7 ft,17,14
51,1,3:49.0,D. Waiters makes 2-pt layup from 1 ft (assist by R. Westbrook),,19,14
52,1,3:49.0,Shooting foul by Z. Pachulia (drawn by D. Waiters),,19,14
53,1,3:49.0,,Dallas full timeout,19,14
54,1,3:49.0,,S. Mejri enters the game for Z. Pachulia,19,14
55,1,3:49.0,D. Waiters makes free throw 1 of 1,,20,14
56,1,3:30.0,,S. Mejri misses 2-pt jump shot from 20 ft,20,14
57,1,3:29.0,Defensive rebound by S. Adams,,20,14
58,1,3:18.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,23,14
59,1,2:52.0,,Turnover by R. Felton (bad pass; steal by A. Roberson),23,14
60,1,2:46.0,Turnover by R. Westbrook (bad pass),,23,14
61,1,2:46.0,N. Collison enters the game for S. Ibaka,,23,14
62,1,2:46.0,E. Freedom enters the game for S. Adams,,23,14
63,1,2:46.0,R. Foye enters the game for A. Roberson,,23,14
64,1,2:46.0,K. Durant enters the game for R. Westbrook,,23,14
65,1,2:27.0,,W. Matthews misses 2-pt layup from 3 ft,23,14
66,1,2:26.0,,Offensive rebound by W. Matthews,23,14
67,1,2:26.0,,W. Matthews misses 2-pt layup from 3 ft,23,14
68,1,2:25.0,Defensive rebound by R. Foye,,23,14
69,1,2:12.0,K. Durant makes 2-pt jump shot from 14 ft (assist by R. Foye),,25,14
70,1,2:11.0,,Dallas full timeout,25,14
71,1,2:11.0,,J. Anderson enters the game for W. Matthews,25,14
72,1,2:11.0,,D. Nowitzki enters the game for R. Felton,25,14
73,1,2:11.0,,J. Barea enters the game for S. Mejri,25,14
74,1,1:51.0,,D. Lee makes 2-pt layup at rim (assist by J. Barea),25,16
75,1,1:34.0,R. Foye misses 3-pt jump shot from 25 ft,,25,16
76,1,1:33.0,,Defensive rebound by D. Lee,25,16
77,1,1:22.0,,J. Barea makes 2-pt layup at rim,25,18
78,1,1:05.0,K. Durant makes 2-pt dunk at rim,,27,18
79,1,0:49.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Anderson),27,20
80,1,0:49.0,,Shooting foul by N. Collison (drawn by D. Nowitzki),27,20
81,1,0:49.0,,D. Nowitzki makes free throw 1 of 1,27,21
82,1,0:34.0,D. Waiters misses 3-pt jump shot from 23 ft,,27,21
83,1,0:33.0,,Defensive rebound by D. Nowitzki,27,21
84,1,0:17.0,,J. Barea misses 2-pt jump shot from 3 ft,27,21
85,1,0:16.0,Defensive rebound by R. Foye,,27,21
86,1,0:06.0,Personal take foul by D. Harris,,27,21
87,1,0:06.0,Oklahoma City full timeout,,27,21
88,1,0:06.0,,S. Mejri enters the game for D. Nowitzki,27,21
89,1,0:06.0,,W. Matthews enters the game for J. Anderson,27,21
90,1,0:01.0,R. Foye misses 2-pt jump shot from 17 ft,,27,21
91,1,0:00.0,Offensive rebound by Team,,27,21
92,2,11:44.0,,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),27,23
93,2,11:21.0,E. Freedom makes 2-pt hook shot from 6 ft,,29,23
94,2,11:02.0,,J. Anderson misses 3-pt jump shot from 23 ft,29,23
95,2,11:01.0,Defensive rebound by E. Freedom,,29,23
96,2,10:52.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by K. Durant),,32,23
97,2,10:30.0,,J. Anderson misses 2-pt layup from 2 ft,32,23
98,2,10:29.0,Defensive rebound by D. Waiters,,32,23
99,2,10:25.0,Turnover by D. Waiters (bad pass),,32,23
100,2,10:25.0,,S. Mejri enters the game for D. Lee,32,23
101,2,10:08.0,,J. Barea misses 3-pt jump shot from 25 ft,32,23
102,2,10:07.0,,Offensive rebound by Team,32,23
103,2,9:56.0,,J. Barea makes 2-pt jump shot from 5 ft,32,25
104,2,9:39.0,Shooting block foul by J. Anderson (drawn by K. Durant),,32,25
105,2,9:39.0,K. Durant makes free throw 1 of 2,,33,25
106,2,9:39.0,K. Durant makes free throw 2 of 2,,34,25
107,2,9:27.0,,Personal block foul by D. Waiters,34,25
108,2,9:27.0,R. Westbrook enters the game for R. Foye,,34,25
109,2,9:20.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by D. Harris),34,28
110,2,9:06.0,K. Durant makes 3-pt jump shot from 26 ft,,37,28
111,2,8:52.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by J. Barea),37,31
112,2,8:32.0,K. Durant makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,39,31
113,2,8:32.0,,Dallas full timeout,39,31
114,2,8:32.0,,W. Matthews enters the game for D. Harris,39,31
115,2,8:32.0,,R. Felton enters the game for J. Anderson,39,31
116,2,8:32.0,A. Morrow enters the game for K. Durant,,39,31
117,2,8:32.0,S. Ibaka enters the game for N. Collison,,39,31
118,2,8:18.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,39,31
119,2,8:18.0,Defensive rebound by E. Freedom,,39,31
120,2,8:03.0,Shooting foul by S. Mejri (drawn by E. Freedom),,39,31
121,2,8:03.0,E. Freedom makes free throw 1 of 2,,40,31
122,2,8:03.0,E. Freedom misses free throw 2 of 2,,40,31
123,2,8:02.0,,Defensive rebound by R. Felton,40,31
124,2,7:56.0,,D. Nowitzki misses 2-pt layup from 1 ft (block by R. Westbrook),40,31
125,2,7:54.0,Defensive rebound by A. Morrow,,40,31
126,2,7:50.0,E. Freedom makes 2-pt dunk at rim (assist by R. Westbrook),,42,31
127,2,7:32.0,,D. Nowitzki misses 2-pt jump shot from 6 ft (block by S. Ibaka),42,31
128,2,7:32.0,,Offensive rebound by Team,42,31
129,2,7:32.0,,Inbound foul by A. Morrow,42,31
130,2,7:32.0,,W. Matthews misses free throw 1 of 2,42,31
131,2,7:32.0,,Offensive rebound by Team,42,31
132,2,7:32.0,,D. Lee enters the game for D. Nowitzki,42,31
133,2,7:32.0,,Z. Pachulia enters the game for S. Mejri,42,31
134,2,7:32.0,,D. Harris enters the game for J. Barea,42,31
135,2,7:32.0,,W. Matthews makes free throw 2 of 2,42,32
