,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:40.0,,M. Harkless misses 3-pt jump shot from 26 ft,0,0
1,1,11:39.0,Defensive rebound by C. Paul,,0,0
2,1,11:22.0,J. Redick misses 2-pt jump shot from 5 ft (block by C. McCollum),,0,0
3,1,11:21.0,,Defensive rebound by A. Aminu,0,0
4,1,11:14.0,,D. Lillard makes 3-pt jump shot from 25 ft,0,3
5,1,11:00.0,Personal foul by C. McCollum,,0,3
6,1,10:55.0,B. Griffin misses 2-pt jump shot from 19 ft,,0,3
7,1,10:54.0,,Defensive rebound by D. Lillard,0,3
8,1,10:46.0,,D. Lillard misses 3-pt jump shot from 25 ft,0,3
9,1,10:45.0,Defensive rebound by Team,,0,3
10,1,10:33.0,D. Jordan misses 2-pt hook shot from 2 ft,,0,3
11,1,10:31.0,Offensive rebound by D. Jordan,,0,3
12,1,10:31.0,D. Jordan makes 2-pt layup at rim,,2,3
13,1,10:16.0,,Personal foul by J. Redick,2,3
14,1,10:08.0,,A. Aminu makes 2-pt layup from 2 ft (assist by M. Harkless),2,5
15,1,9:53.0,C. Paul makes 2-pt jump shot from 17 ft,,4,5
16,1,9:47.0,,Shooting foul by B. Griffin (drawn by M. Plumlee),4,5
17,1,9:47.0,,M. Plumlee misses free throw 1 of 2,4,5
18,1,9:47.0,,Offensive rebound by Team,4,5
19,1,9:47.0,,M. Plumlee makes free throw 2 of 2,4,6
20,1,9:29.0,L. Mbah a Moute makes 2-pt dunk at rim (assist by C. Paul),,6,6
21,1,9:08.0,,M. Harkless misses 3-pt jump shot from 26 ft,6,6
22,1,9:08.0,Defensive rebound by J. Redick,,6,6
23,1,8:57.0,C. Paul misses 3-pt jump shot from 27 ft,,6,6
24,1,8:56.0,Offensive rebound by J. Redick,,6,6
25,1,8:48.0,J. Redick misses 2-pt jump shot from 15 ft,,6,6
26,1,8:47.0,,Defensive rebound by M. Plumlee,6,6
27,1,8:34.0,,M. Plumlee misses 2-pt layup from 1 ft,6,6
28,1,8:33.0,,Offensive rebound by A. Aminu,6,6
29,1,8:31.0,,A. Aminu misses 2-pt jump shot from 4 ft,6,6
30,1,8:30.0,Defensive rebound by B. Griffin,,6,6
31,1,8:22.0,J. Redick misses 3-pt jump shot from 26 ft,,6,6
32,1,8:22.0,,Defensive rebound by M. Plumlee,6,6
33,1,8:13.0,,C. McCollum misses 2-pt jump shot from 14 ft,6,6
34,1,8:12.0,Defensive rebound by D. Jordan,,6,6
35,1,8:07.0,Turnover by C. Paul (bad pass; steal by A. Aminu),,6,6
36,1,7:59.0,,D. Lillard makes 2-pt jump shot from 18 ft (assist by M. Plumlee),6,8
37,1,7:39.0,C. Paul misses 2-pt jump shot from 12 ft,,6,8
38,1,7:37.0,,Defensive rebound by M. Plumlee,6,8
39,1,7:23.0,,A. Aminu misses 3-pt jump shot from 26 ft,6,8
40,1,7:23.0,Defensive rebound by D. Jordan,,6,8
41,1,7:16.0,B. Griffin makes 2-pt dunk at rim,,8,8
42,1,7:09.0,,C. McCollum misses 2-pt layup from 2 ft (block by D. Jordan),8,8
43,1,7:07.0,Defensive rebound by L. Mbah a Moute,,8,8
44,1,6:55.0,Turnover by B. Griffin (lost ball; steal by M. Plumlee),,8,8
45,1,6:55.0,,Personal foul by L. Mbah a Moute,8,8
46,1,6:55.0,J. Crawford enters the game for J. Redick,,8,8
47,1,6:43.0,,D. Lillard misses 2-pt jump shot from 18 ft,8,8
48,1,6:42.0,Defensive rebound by B. Griffin,,8,8
49,1,6:33.0,J. Crawford misses 3-pt jump shot from 27 ft,,8,8
50,1,6:32.0,,Defensive rebound by C. McCollum,8,8
51,1,6:26.0,,D. Lillard makes 2-pt layup from 1 ft,8,10
52,1,6:04.0,B. Griffin misses 2-pt hook shot from 5 ft,,8,10
53,1,6:02.0,,Defensive rebound by M. Plumlee,8,10
54,1,5:54.0,,C. McCollum makes 2-pt jump shot from 11 ft,8,12
55,1,5:27.0,C. Paul misses 3-pt jump shot from 28 ft,,8,12
56,1,5:27.0,,Defensive rebound by Team,8,12
57,1,5:27.0,Loose ball foul by D. Jordan,,8,12
58,1,5:27.0,,Portland full timeout,8,12
59,1,5:27.0,W. Johnson enters the game for L. Mbah a Moute,,8,12
60,1,5:11.0,,Turnover by M. Harkless (lost ball; steal by C. Paul),8,12
61,1,4:55.0,B. Griffin misses 2-pt jump shot from 17 ft,,8,12
62,1,4:55.0,Offensive rebound by C. Paul,,8,12
63,1,4:50.0,C. Paul makes 2-pt jump shot from 16 ft,,10,12
64,1,4:34.0,,D. Lillard makes 3-pt jump shot from 28 ft,10,15
65,1,4:17.0,J. Crawford misses 2-pt jump shot from 12 ft,,10,15
66,1,4:17.0,,Defensive rebound by M. Plumlee,10,15
67,1,4:07.0,,D. Lillard makes 2-pt jump shot from 16 ft (assist by M. Plumlee),10,17
68,1,3:50.0,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),,12,17
69,1,3:38.0,,A. Aminu misses 3-pt jump shot from 25 ft,12,17
70,1,3:37.0,,Offensive rebound by M. Plumlee,12,17
71,1,3:27.0,,Turnover by M. Harkless (lost ball),12,17
72,1,3:27.0,J. Green enters the game for B. Griffin,,12,17
73,1,3:27.0,,A. Crabbe enters the game for C. McCollum,12,17
74,1,3:27.0,,G. Henderson enters the game for M. Harkless,12,17
75,1,3:17.0,W. Johnson misses 2-pt jump shot from 9 ft,,12,17
76,1,3:15.0,,Defensive rebound by M. Plumlee,12,17
77,1,3:06.0,,A. Crabbe misses 2-pt jump shot from 13 ft,12,17
78,1,3:05.0,Defensive rebound by J. Crawford,,12,17
79,1,2:58.0,J. Crawford makes 2-pt jump shot from 18 ft,,14,17
80,1,2:57.0,,Portland full timeout,14,17
81,1,2:57.0,LA Clippers full timeout,,14,17
