,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MEMPHIS_ACTION,MINNESOTA_SCORE,MEMPHIS_SCORE
0,1,11:45.0,Shooting foul by J. Ennis (drawn by A. Wiggins),,0,0
1,1,11:45.0,A. Wiggins makes free throw 1 of 2,,1,0
2,1,11:45.0,A. Wiggins makes free throw 2 of 2,,2,0
3,1,11:28.0,,Turnover by M. Gasol (lost ball; steal by Z. LaVine),2,0
4,1,11:15.0,K. Towns makes 2-pt jump shot from 13 ft (assist by Z. LaVine),,4,0
5,1,10:54.0,,J. Green misses 2-pt jump shot from 21 ft,4,0
6,1,10:52.0,Defensive rebound by K. Towns,,4,0
7,1,10:44.0,K. Towns makes 3-pt jump shot from 28 ft (assist by Z. LaVine),,7,0
8,1,10:31.0,,J. Green misses 2-pt jump shot from 4 ft,7,0
9,1,10:31.0,Defensive rebound by G. Dieng,,7,0
10,1,10:23.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,9,0
11,1,10:19.0,,Memphis full timeout,9,0
12,1,10:10.0,,Shooting foul by K. Towns (drawn by M. Conley),9,0
13,1,10:10.0,,M. Conley makes free throw 1 of 2,9,1
14,1,10:10.0,,M. Conley misses free throw 2 of 2,9,1
15,1,10:09.0,,Offensive rebound by Team,9,1
16,1,9:58.0,,M. Gasol misses 2-pt hook shot from 5 ft,9,1
17,1,9:56.0,Defensive rebound by A. Wiggins,,9,1
18,1,9:52.0,A. Wiggins misses 2-pt jump shot from 11 ft,,9,1
19,1,9:49.0,,Defensive rebound by A. Harrison,9,1
20,1,9:42.0,,Turnover by A. Harrison (bad pass; steal by G. Dieng),9,1
21,1,9:37.0,Z. LaVine misses 3-pt jump shot from 23 ft,,9,1
22,1,9:33.0,Offensive rebound by A. Wiggins,,9,1
23,1,9:24.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by G. Dieng),,12,1
24,1,9:12.0,,M. Conley misses 2-pt layup from 2 ft (block by A. Wiggins),12,1
25,1,9:08.0,Defensive rebound by Z. LaVine,,12,1
26,1,9:01.0,G. Dieng makes 2-pt jump shot from 22 ft (assist by R. Rubio),,14,1
27,1,8:48.0,,A. Harrison misses 3-pt jump shot from 23 ft,14,1
28,1,8:47.0,Defensive rebound by Z. LaVine,,14,1
29,1,8:40.0,K. Towns makes 2-pt jump shot from 5 ft (assist by Z. LaVine),,16,1
30,1,8:16.0,,J. Ennis makes 2-pt jump shot from 8 ft,16,3
31,1,7:54.0,G. Dieng makes 2-pt jump shot from 15 ft,,18,3
32,1,7:32.0,,Turnover by A. Harrison (lost ball; steal by G. Dieng),18,3
33,1,7:31.0,Personal take foul by A. Harrison (drawn by R. Rubio),,18,3
34,1,7:23.0,Personal foul by J. Green (drawn by K. Towns),,18,3
35,1,7:19.0,G. Dieng makes 2-pt jump shot from 16 ft (assist by K. Towns),,20,3
36,1,7:12.0,,Memphis full timeout,20,3
37,1,6:53.0,,M. Gasol makes 2-pt layup from 1 ft,20,5
38,1,6:52.0,,Violation by Team (jump ball),20,5
39,1,6:29.0,Z. LaVine misses 2-pt jump shot from 11 ft,,20,5
40,1,6:26.0,,Defensive rebound by J. Green,20,5
41,1,6:15.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by M. Gasol),20,8
42,1,5:54.0,K. Towns misses 2-pt jump shot from 7 ft,,20,8
43,1,5:54.0,,Defensive rebound by J. Green,20,8
44,1,5:35.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by A. Harrison),20,11
45,1,5:06.0,Turnover by Team (shot clock),,20,11
46,1,5:06.0,,W. Baldwin enters the game for M. Conley,20,11
47,1,5:06.0,B. Rush enters the game for Z. LaVine,,20,11
48,1,4:42.0,,W. Baldwin misses 3-pt jump shot from 24 ft,20,11
49,1,4:39.0,,Offensive rebound by J. Green,20,11
50,1,4:39.0,,J. Green misses 2-pt layup from 1 ft,20,11
51,1,4:36.0,Defensive rebound by G. Dieng,,20,11
52,1,4:33.0,R. Rubio misses 2-pt layup from 1 ft,,20,11
53,1,4:31.0,Offensive rebound by K. Towns,,20,11
54,1,4:31.0,K. Towns makes 2-pt layup at rim,,22,11
55,1,4:17.0,,M. Gasol misses 3-pt jump shot from 26 ft,22,11
56,1,4:16.0,,Offensive rebound by J. Green,22,11
57,1,4:16.0,,J. Green misses 2-pt dunk at rim,22,11
58,1,4:12.0,Defensive rebound by A. Wiggins,,22,11
59,1,4:11.0,Shooting foul by J. Green (drawn by A. Wiggins),,22,11
60,1,4:11.0,A. Wiggins makes free throw 1 of 2,,23,11
61,1,4:11.0,A. Wiggins misses free throw 2 of 2,,23,11
62,1,4:11.0,,D. Davis enters the game for J. Green,23,11
63,1,4:11.0,,Z. Randolph enters the game for M. Gasol,23,11
64,1,4:11.0,N. Bjelica enters the game for G. Dieng,,23,11
65,1,4:11.0,K. Dunn enters the game for R. Rubio,,23,11
66,1,4:10.0,,Defensive rebound by Z. Randolph,23,11
67,1,3:49.0,,A. Harrison misses 2-pt jump shot from 15 ft,23,11
68,1,3:48.0,Defensive rebound by Team,,23,11
69,1,3:36.0,A. Wiggins misses 2-pt jump shot from 12 ft,,23,11
70,1,3:33.0,,Defensive rebound by D. Davis,23,11
71,1,3:26.0,,W. Baldwin misses 2-pt layup from 2 ft (block by N. Bjelica),23,11
72,1,3:22.0,,Offensive rebound by W. Baldwin,23,11
73,1,3:19.0,,J. Ennis makes 3-pt jump shot from 26 ft (assist by A. Harrison),23,14
74,1,3:01.0,Turnover by A. Wiggins (bad pass; steal by W. Baldwin),,23,14
75,1,2:55.0,,J. Ennis makes 2-pt layup from 2 ft (assist by W. Baldwin),23,16
76,1,2:49.0,N. Bjelica misses 2-pt layup from 2 ft (block by D. Davis),,23,16
77,1,2:49.0,Offensive rebound by Team,,23,16
78,1,2:49.0,Minnesota full timeout,,23,16
79,1,2:49.0,,M. Conley enters the game for J. Ennis,23,16
80,1,2:49.0,,V. Carter enters the game for A. Harrison,23,16
81,1,2:49.0,S. Muhammad enters the game for A. Wiggins,,23,16
82,1,2:45.0,K. Towns makes 2-pt jump shot from 21 ft (assist by K. Dunn),,25,16
83,1,2:26.0,,M. Conley makes 2-pt jump shot from 12 ft,25,18
84,1,2:12.0,Def 3 sec tech foul by W. Baldwin,,25,18
85,1,2:12.0,K. Towns makes technical free throw,,26,18
86,1,2:07.0,K. Dunn makes 2-pt dunk at rim,,28,18
87,1,1:53.0,,Z. Randolph makes 2-pt jump shot from 21 ft (assist by W. Baldwin),28,20
88,1,1:39.0,B. Rush misses 2-pt jump shot from 20 ft,,28,20
89,1,1:37.0,,Defensive rebound by Z. Randolph,28,20
90,1,1:27.0,,Z. Randolph makes 3-pt jump shot from 27 ft (assist by V. Carter),28,23
91,1,1:11.0,K. Dunn makes 2-pt layup from 1 ft (assist by K. Towns),,30,23
92,1,0:52.0,,W. Baldwin makes 3-pt jump shot from 25 ft (assist by Z. Randolph),30,26
93,1,0:36.0,K. Towns makes 2-pt dunk at rim,,32,26
94,1,0:31.0,,Personal foul by B. Rush (drawn by M. Conley),32,26
95,1,0:31.0,R. Rubio enters the game for B. Rush,,32,26
96,1,0:23.0,,M. Conley makes 3-pt jump shot from 25 ft,32,29
97,1,0:10.0,Personal foul by W. Baldwin (drawn by R. Rubio),,32,29
98,1,0:10.0,R. Rubio misses free throw 1 of 2,,32,29
99,1,0:10.0,Offensive rebound by Team,,32,29
100,1,0:10.0,R. Rubio misses free throw 2 of 2,,32,29
101,1,0:10.0,,Defensive rebound by Z. Randolph,32,29
102,1,0:10.0,G. Dieng enters the game for N. Bjelica,,32,29
103,1,0:02.0,,M. Conley misses 2-pt jump shot from 13 ft,32,29
104,1,0:01.0,,Offensive rebound by W. Baldwin,32,29
