,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:41.0,S. Ibaka makes 2-pt layup from 1 ft (assist by E. Payton),,2,0
1,1,11:30.0,,K. Love makes 2-pt jump shot from 12 ft (assist by L. James),2,2
2,1,11:22.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Payton),,5,2
3,1,10:59.0,,K. Irving misses 2-pt jump shot from 13 ft,5,2
4,1,10:57.0,Defensive rebound by E. Fournier,,5,2
5,1,10:46.0,S. Ibaka misses 2-pt jump shot from 14 ft,,5,2
6,1,10:46.0,,Defensive rebound by T. Thompson,5,2
7,1,10:38.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),5,5
8,1,10:26.0,Turnover by N. Vučević (bad pass),,5,5
9,1,10:13.0,,J. Smith misses 3-pt jump shot from 25 ft,5,5
10,1,10:13.0,Defensive rebound by Team,,5,5
11,1,10:13.0,,Loose ball foul by T. Thompson (drawn by N. Vučević),5,5
12,1,10:01.0,S. Ibaka makes 2-pt dunk at rim (assist by E. Fournier),,7,5
13,1,9:45.0,,K. Love misses 3-pt jump shot from 24 ft,7,5
14,1,9:44.0,Defensive rebound by N. Vučević,,7,5
15,1,9:39.0,Shooting foul by K. Irving (drawn by E. Payton),,7,5
16,1,9:39.0,E. Payton misses free throw 1 of 2,,7,5
17,1,9:39.0,Offensive rebound by Team,,7,5
18,1,9:39.0,E. Payton misses free throw 2 of 2,,7,5
19,1,9:39.0,,Defensive rebound by J. Smith,7,5
20,1,9:23.0,,L. James makes 2-pt dunk at rim,7,7
21,1,9:23.0,,Shooting foul by N. Vučević (drawn by L. James),7,7
22,1,9:23.0,,L. James makes free throw 1 of 1,7,8
23,1,9:07.0,E. Payton misses 2-pt jump shot from 20 ft,,7,8
24,1,9:07.0,,Defensive rebound by T. Thompson,7,8
25,1,8:41.0,,K. Irving misses 2-pt jump shot from 9 ft,7,8
26,1,8:39.0,,Offensive rebound by K. Love,7,8
27,1,8:39.0,,K. Love misses 2-pt layup from 1 ft,7,8
28,1,8:38.0,,Offensive rebound by K. Love,7,8
29,1,8:38.0,,K. Love makes 2-pt layup from 1 ft,7,10
30,1,8:25.0,A. Gordon misses 2-pt jump shot from 16 ft,,7,10
31,1,8:24.0,,Defensive rebound by Team,7,10
32,1,8:05.0,,K. Love makes 2-pt jump shot from 8 ft (assist by L. James),7,12
33,1,8:05.0,,Shooting foul by A. Gordon (drawn by K. Love),7,12
34,1,8:05.0,,K. Love makes free throw 1 of 1,7,13
35,1,7:49.0,E. Fournier makes 2-pt layup from 1 ft (assist by N. Vučević),,9,13
36,1,7:30.0,,K. Love misses 2-pt jump shot from 16 ft,9,13
37,1,7:29.0,,Offensive rebound by J. Smith,9,13
38,1,7:13.0,,T. Thompson misses 2-pt hook shot from 9 ft,9,13
39,1,7:11.0,Defensive rebound by E. Payton,,9,13
40,1,6:57.0,Offensive foul by S. Ibaka (drawn by T. Thompson),,9,13
41,1,6:57.0,Turnover by S. Ibaka (offensive foul),,9,13
42,1,6:42.0,,K. Love misses 2-pt jump shot from 10 ft,9,13
43,1,6:41.0,,Offensive rebound by T. Thompson,9,13
44,1,6:39.0,,T. Thompson misses 2-pt layup from 2 ft (block by A. Gordon),9,13
45,1,6:37.0,Defensive rebound by A. Gordon,,9,13
46,1,6:32.0,N. Vučević misses 2-pt dunk at rim,,9,13
47,1,6:31.0,,Defensive rebound by K. Love,9,13
48,1,6:24.0,,J. Smith misses 3-pt jump shot from 26 ft,9,13
49,1,6:23.0,,Offensive rebound by T. Thompson,9,13
50,1,6:16.0,,K. Love misses 3-pt jump shot from 23 ft,9,13
51,1,6:12.0,,Offensive rebound by J. Smith,9,13
52,1,6:12.0,,J. Smith makes 2-pt dunk at rim,9,15
53,1,6:12.0,Orlando full timeout,,9,15
54,1,6:12.0,Violation by Team (jump ball),,9,15
55,1,5:53.0,E. Fournier makes 2-pt jump shot from 22 ft,,11,15
56,1,5:33.0,,K. Irving makes 2-pt jump shot from 17 ft (assist by T. Thompson),11,17
57,1,5:11.0,Shooting foul by J. Smith (drawn by S. Ibaka),,11,17
58,1,5:11.0,S. Ibaka makes 2-pt layup from 1 ft (assist by E. Fournier),,13,17
59,1,5:11.0,S. Ibaka misses free throw 1 of 1,,13,17
60,1,5:11.0,,Defensive rebound by K. Irving,13,17
61,1,4:57.0,,K. Irving makes 2-pt jump shot from 19 ft,13,19
62,1,4:42.0,E. Payton makes 2-pt jump shot from 6 ft,,15,19
63,1,4:25.0,,Turnover by L. James (lost ball; steal by A. Gordon),15,19
64,1,4:19.0,E. Fournier misses 2-pt layup from 2 ft,,15,19
65,1,4:18.0,Offensive rebound by S. Ibaka,,15,19
66,1,4:17.0,S. Ibaka misses 2-pt layup from 3 ft (block by K. Irving),,15,19
67,1,4:17.0,Offensive rebound by Team,,15,19
68,1,4:17.0,,I. Shumpert enters the game for K. Irving,15,19
