,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:42.0,M. Plumlee makes 2-pt jump shot from 10 ft (assist by A. Aminu),,2,0
1,1,11:24.0,,N. Jokić misses 2-pt jump shot from 7 ft,2,0
2,1,11:22.0,,Offensive rebound by J. Nurkić,2,0
3,1,11:22.0,,J. Nurkić misses 2-pt layup from 1 ft,2,0
4,1,11:19.0,,Offensive rebound by N. Jokić,2,0
5,1,11:19.0,,N. Jokić makes 2-pt layup from 2 ft,2,2
6,1,11:00.0,D. Lillard makes 2-pt jump shot from 15 ft,,4,2
7,1,10:45.0,,E. Mudiay misses 2-pt jump shot from 19 ft,4,2
8,1,10:43.0,Defensive rebound by D. Lillard,,4,2
9,1,10:36.0,A. Aminu misses 3-pt jump shot from 25 ft,,4,2
10,1,10:35.0,Offensive rebound by C. McCollum,,4,2
11,1,10:31.0,C. McCollum makes 2-pt jump shot from 13 ft,,6,2
12,1,10:19.0,,W. Barton misses 2-pt jump shot from 19 ft,6,2
13,1,10:17.0,Defensive rebound by A. Aminu,,6,2
14,1,10:07.0,D. Lillard misses 2-pt hook shot from 2 ft,,6,2
15,1,10:06.0,,Defensive rebound by E. Mudiay,6,2
16,1,10:00.0,,E. Mudiay makes 2-pt layup from 2 ft,6,4
17,1,9:47.0,C. McCollum misses 2-pt jump shot from 15 ft,,6,4
18,1,9:46.0,Offensive rebound by C. McCollum,,6,4
19,1,9:39.0,A. Aminu misses 3-pt jump shot from 26 ft,,6,4
20,1,9:38.0,,Defensive rebound by W. Barton,6,4
21,1,9:32.0,,D. Gallinari misses 3-pt jump shot from 25 ft,6,4
22,1,9:31.0,,Offensive rebound by J. Nurkić,6,4
23,1,9:26.0,,J. Nurkić makes 2-pt jump shot from 4 ft,6,6
24,1,9:10.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by D. Lillard),,9,6
25,1,8:57.0,,E. Mudiay misses 2-pt jump shot from 12 ft,9,6
26,1,8:56.0,Defensive rebound by M. Plumlee,,9,6
27,1,8:48.0,D. Lillard makes 2-pt layup from 3 ft,,11,6
28,1,8:48.0,,Denver full timeout,11,6
29,1,8:29.0,,J. Nurkić makes 2-pt layup from 1 ft,11,8
30,1,8:06.0,A. Aminu makes 3-pt jump shot from 27 ft (assist by D. Lillard),,14,8
31,1,7:56.0,,Turnover by E. Mudiay (lost ball; steal by D. Lillard),14,8
32,1,7:44.0,C. McCollum misses 2-pt jump shot from 14 ft,,14,8
33,1,7:43.0,Offensive rebound by A. Aminu,,14,8
34,1,7:41.0,,W. Chandler enters the game for N. Jokić,14,8
35,1,7:37.0,M. Plumlee misses 2-pt jump shot from 7 ft (block by J. Nurkić),,14,8
36,1,7:36.0,,Defensive rebound by E. Mudiay,14,8
37,1,7:30.0,,Turnover by E. Mudiay (lost ball; steal by D. Lillard),14,8
38,1,7:28.0,Shooting foul by W. Barton (drawn by A. Aminu),,14,8
39,1,7:28.0,A. Aminu misses free throw 1 of 2,,14,8
40,1,7:28.0,Offensive rebound by Team,,14,8
41,1,7:28.0,A. Aminu makes free throw 2 of 2,,15,8
42,1,7:11.0,,D. Gallinari makes 2-pt jump shot from 16 ft,15,10
43,1,6:49.0,D. Lillard misses 2-pt jump shot from 15 ft,,15,10
44,1,6:48.0,Offensive rebound by D. Lillard,,15,10
45,1,6:44.0,C. McCollum misses 3-pt jump shot from 27 ft,,15,10
