,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:47.0,Personal foul by J. Harden (drawn by W. Matthews),,0,0
1,1,11:32.0,D. Williams makes 3-pt jump shot from 27 ft,,3,0
2,1,11:03.0,,C. Capela misses 2-pt jump shot from 11 ft,3,0
3,1,11:02.0,Defensive rebound by H. Barnes,,3,0
4,1,10:51.0,S. Curry misses 3-pt jump shot from 24 ft,,3,0
5,1,10:50.0,,Defensive rebound by C. Capela,3,0
6,1,10:37.0,,C. Capela misses 2-pt jump shot from 7 ft,3,0
7,1,10:34.0,Defensive rebound by W. Matthews,,3,0
8,1,10:28.0,Turnover by Team (turnover),,3,0
9,1,10:23.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),3,3
10,1,9:58.0,H. Barnes misses 2-pt jump shot from 19 ft,,3,3
11,1,9:57.0,,Defensive rebound by T. Ariza,3,3
12,1,9:50.0,,J. Harden misses 3-pt jump shot from 25 ft,3,3
13,1,9:48.0,,Offensive rebound by C. Capela,3,3
14,1,9:45.0,,Shooting foul by H. Barnes (drawn by C. Capela),3,3
15,1,9:45.0,,C. Capela misses free throw 1 of 2,3,3
16,1,9:45.0,,Offensive rebound by Team,3,3
17,1,9:45.0,,C. Capela misses free throw 2 of 2,3,3
18,1,9:45.0,Defensive rebound by H. Barnes,,3,3
19,1,9:25.0,A. Bogut misses 2-pt jump shot from 7 ft,,3,3
20,1,9:23.0,,Defensive rebound by C. Capela,3,3
21,1,9:16.0,,E. Gordon misses 3-pt jump shot from 25 ft,3,3
22,1,9:15.0,Defensive rebound by A. Bogut,,3,3
23,1,8:56.0,D. Williams misses 2-pt layup from 3 ft,,3,3
24,1,8:55.0,Offensive rebound by A. Bogut,,3,3
25,1,8:52.0,A. Bogut makes 2-pt layup from 1 ft,,5,3
26,1,8:40.0,,E. Gordon makes 3-pt jump shot from 26 ft,5,6
27,1,8:23.0,H. Barnes makes 2-pt layup from 2 ft (assist by A. Bogut),,7,6
28,1,8:08.0,,Shooting foul by D. Williams (drawn by C. Capela),7,6
29,1,8:08.0,,C. Capela misses free throw 1 of 2,7,6
30,1,8:08.0,,Offensive rebound by Team,7,6
31,1,8:08.0,,C. Capela misses free throw 2 of 2,7,6
32,1,8:08.0,Defensive rebound by A. Bogut,,7,6
33,1,7:48.0,H. Barnes makes 2-pt hook shot from 8 ft,,9,6
34,1,7:31.0,,Shooting foul by W. Matthews (drawn by J. Harden),9,6
35,1,7:31.0,,J. Harden makes free throw 1 of 2,9,7
36,1,7:31.0,,J. Harden makes free throw 2 of 2,9,8
