,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:43.0,K. Durant misses 2-pt jump shot from 20 ft,,0,0
1,1,11:42.0,Offensive rebound by K. Durant,,0,0
2,1,11:37.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Durant),,3,0
3,1,11:24.0,,Turnover by E. Mudiay (bad pass; steal by Z. Pachulia),3,0
4,1,11:01.0,K. Thompson misses 2-pt jump shot from 20 ft,,3,0
5,1,11:01.0,,Defensive rebound by Team,3,0
6,1,10:47.0,,Shooting block foul by Z. Pachulia (drawn by D. Gallinari),3,0
7,1,10:47.0,,D. Gallinari makes free throw 1 of 2,3,1
8,1,10:47.0,,D. Gallinari makes free throw 2 of 2,3,2
9,1,10:35.0,Turnover by K. Thompson (bad pass; steal by E. Mudiay),,3,2
10,1,10:28.0,,G. Harris makes 2-pt layup from 1 ft (assist by E. Mudiay),3,4
11,1,10:22.0,K. Thompson misses 2-pt jump shot from 20 ft,,3,4
12,1,10:20.0,,Defensive rebound by N. Jokić,3,4
13,1,10:07.0,,E. Mudiay misses 2-pt jump shot from 16 ft,3,4
14,1,10:05.0,Defensive rebound by Z. Pachulia,,3,4
15,1,10:01.0,Turnover by S. Curry (lost ball),,3,4
16,1,9:43.0,,J. Nurkić makes 2-pt layup from 3 ft,3,6
17,1,9:27.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,5,6
18,1,9:08.0,,Turnover by J. Nurkić (lost ball; steal by Z. Pachulia),5,6
19,1,8:58.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),,7,6
20,1,8:45.0,,G. Harris misses 2-pt jump shot from 7 ft,7,6
21,1,8:44.0,Defensive rebound by Z. Pachulia,,7,6
22,1,8:36.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),,9,6
23,1,8:36.0,,Denver full timeout,9,6
24,1,8:10.0,,E. Mudiay makes 2-pt layup from 2 ft (assist by G. Harris),9,8
25,1,7:59.0,Turnover by S. Curry (bad pass),,9,8
26,1,7:42.0,,D. Gallinari misses 2-pt jump shot from 16 ft,9,8
27,1,7:42.0,,Offensive rebound by Team,9,8
28,1,7:42.0,,Personal foul by Z. Pachulia (drawn by J. Nurkić),9,8
29,1,7:42.0,J. McGee enters the game for Z. Pachulia,,9,8
30,1,7:31.0,,N. Jokić misses 3-pt jump shot from 27 ft,9,8
31,1,7:30.0,,Offensive rebound by J. Nurkić,9,8
32,1,7:27.0,,J. Nurkić misses 2-pt layup from 2 ft,9,8
33,1,7:26.0,Defensive rebound by K. Durant,,9,8
34,1,7:17.0,K. Durant makes 2-pt jump shot from 13 ft,,11,8
35,1,7:08.0,,Turnover by G. Harris (bad pass; steal by D. Green),11,8
36,1,6:48.0,S. Curry makes 2-pt layup from 3 ft,,13,8
37,1,6:40.0,,Turnover by E. Mudiay (bad pass; steal by D. Green),13,8
38,1,6:32.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,16,8
39,1,6:13.0,,E. Mudiay misses 3-pt jump shot from 26 ft,16,8
40,1,6:12.0,Defensive rebound by K. Durant,,16,8
41,1,6:09.0,Shooting foul by E. Mudiay (drawn by D. Green),,16,8
42,1,6:09.0,D. Green makes free throw 1 of 2,,17,8
43,1,6:09.0,D. Green makes free throw 2 of 2,,18,8
44,1,5:57.0,,N. Jokić misses 3-pt jump shot from 25 ft,18,8
45,1,5:56.0,,Offensive rebound by G. Harris,18,8
46,1,5:48.0,,D. Gallinari misses 3-pt jump shot from 25 ft,18,8
47,1,5:46.0,Defensive rebound by S. Curry,,18,8
48,1,5:41.0,J. McGee makes 2-pt layup from 1 ft (assist by S. Curry),,20,8
49,1,5:41.0,,Denver full timeout,20,8
50,1,5:41.0,A. Iguodala enters the game for K. Durant,,20,8
51,1,5:41.0,,J. Nelson enters the game for J. Nurkić,20,8
52,1,5:41.0,,K. Faried enters the game for G. Harris,20,8
53,1,5:30.0,,Shooting foul by A. Iguodala (drawn by D. Gallinari),20,8
54,1,5:30.0,,D. Gallinari makes free throw 1 of 2,20,9
55,1,5:30.0,,D. Gallinari misses free throw 2 of 2,20,9
56,1,5:28.0,Defensive rebound by D. Green,,20,9
57,1,5:21.0,S. Curry misses 3-pt jump shot from 27 ft,,20,9
58,1,5:20.0,Offensive rebound by J. McGee,,20,9
59,1,5:19.0,Turnover by S. Curry (lost ball),,20,9
60,1,5:04.0,,E. Mudiay misses 2-pt jump shot from 12 ft,20,9
61,1,5:03.0,Defensive rebound by D. Green,,20,9
62,1,5:00.0,Personal foul by J. Nelson (drawn by J. McGee),,20,9
63,1,4:57.0,D. Green misses 3-pt jump shot from 26 ft,,20,9
64,1,4:56.0,,Defensive rebound by K. Faried,20,9
65,1,4:49.0,,Shooting foul by D. Green (drawn by N. Jokić),20,9
66,1,4:49.0,,N. Jokić makes free throw 1 of 2,20,10
67,1,4:49.0,,J. Murray enters the game for E. Mudiay,20,10
68,1,4:49.0,,N. Jokić makes free throw 2 of 2,20,11
69,1,4:37.0,Turnover by K. Thompson (bad pass; steal by N. Jokić),,20,11
70,1,4:27.0,,N. Jokić misses 3-pt jump shot from 25 ft,20,11
71,1,4:27.0,,Offensive rebound by K. Faried,20,11
72,1,4:25.0,,K. Faried makes 2-pt layup from 1 ft,20,13
73,1,4:25.0,Golden State full timeout,,20,13
74,1,4:11.0,J. McGee makes 2-pt dunk at rim (assist by K. Thompson),,22,13
75,1,3:50.0,,J. Nelson misses 3-pt jump shot from 25 ft,22,13
76,1,3:49.0,Defensive rebound by A. Iguodala,,22,13
77,1,3:42.0,Shooting foul by N. Jokić (drawn by J. McGee),,22,13
78,1,3:42.0,J. McGee makes free throw 1 of 2,,23,13
79,1,3:42.0,P. McCaw enters the game for K. Thompson,,23,13
80,1,3:42.0,,J. Nurkić enters the game for N. Jokić,23,13
81,1,3:42.0,J. McGee makes free throw 2 of 2,,24,13
82,1,3:22.0,,J. Murray makes 2-pt jump shot from 15 ft (assist by K. Faried),24,15
83,1,3:06.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. McCaw),,27,15
84,1,2:52.0,,J. Nurkić makes 2-pt layup from 1 ft,27,17
85,1,2:41.0,P. McCaw misses 2-pt jump shot from 19 ft,,27,17
86,1,2:41.0,,Defensive rebound by K. Faried,27,17
87,1,2:29.0,,Turnover by J. Nurkić (bad pass; steal by D. Green),27,17
88,1,2:22.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,30,17
89,1,2:09.0,,J. Murray misses 2-pt jump shot from 18 ft,30,17
90,1,2:05.0,,Offensive rebound by K. Faried,30,17
91,1,2:05.0,,K. Faried makes 2-pt layup from 3 ft,30,19
92,1,1:58.0,Golden State full timeout,,30,19
93,1,1:58.0,K. Durant enters the game for J. McGee,,30,19
94,1,1:58.0,,J. Hernangómez enters the game for D. Gallinari,30,19
95,1,1:52.0,D. Green misses 2-pt layup from 2 ft (block by J. Nurkić),,30,19
96,1,1:51.0,Offensive rebound by Team,,30,19
97,1,1:47.0,Shooting foul by J. Murray (drawn by S. Curry),,30,19
98,1,1:47.0,S. Curry makes free throw 1 of 3,,31,19
99,1,1:47.0,S. Curry makes free throw 2 of 3,,32,19
100,1,1:47.0,D. West enters the game for D. Green,,32,19
101,1,1:47.0,S. Curry makes free throw 3 of 3,,33,19
102,1,1:25.0,,K. Faried misses 2-pt hook shot from 6 ft,33,19
103,1,1:23.0,Defensive rebound by P. McCaw,,33,19
104,1,1:17.0,D. West misses 2-pt layup from 3 ft (block by J. Murray),,33,19
105,1,1:16.0,,Defensive rebound by J. Hernangómez,33,19
106,1,1:16.0,,J. Murray misses 3-pt jump shot from 25 ft,33,19
107,1,1:16.0,Defensive rebound by K. Durant,,33,19
108,1,1:16.0,K. Durant misses 2-pt jump shot from 21 ft,,33,19
109,1,1:03.0,,Defensive rebound by J. Nurkić,33,19
110,1,0:55.0,,Turnover by J. Murray (lost ball; steal by D. West),33,19
111,1,0:37.0,S. Curry makes 3-pt jump shot from 25 ft (assist by P. McCaw),,36,19
112,1,0:19.0,,K. Faried misses 2-pt jump shot from 4 ft (block by K. Durant),36,19
113,1,0:18.0,,Offensive rebound by K. Faried,36,19
114,1,0:16.0,,Turnover by J. Hernangómez (lost ball; steal by A. Iguodala),36,19
115,1,0:13.0,A. Iguodala makes 2-pt layup from 3 ft,,38,19
116,1,0:00.0,,Turnover by J. Nelson (bad pass; steal by D. West),38,19
117,2,11:37.0,,J. Nelson misses 3-pt jump shot from 27 ft,38,19
118,2,11:36.0,,Offensive rebound by Team,38,19
119,2,11:36.0,,Turnover by Team (shot clock),38,19
120,2,11:18.0,Turnover by K. Thompson (bad pass; steal by J. Nurkić),,38,19
121,2,11:05.0,,J. Nurkić makes 2-pt dunk at rim (assist by J. Nelson),38,21
