,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,,T. Frazier misses 3-pt jump shot from 24 ft,0,0
1,1,11:48.0,,Offensive rebound by Ö. Aşık,0,0
2,1,11:39.0,,D. Cunningham misses 3-pt jump shot from 25 ft,0,0
3,1,11:39.0,Defensive rebound by E. Davis,,0,0
4,1,11:33.0,,Offensive charge foul by D. Lillard (drawn by T. Frazier),0,0
5,1,11:33.0,Turnover by D. Lillard (offensive foul),,0,0
6,1,11:25.0,,Personal foul by E. Davis (drawn by T. Frazier),0,0
7,1,11:17.0,,A. Davis misses 2-pt jump shot from 20 ft,0,0
8,1,11:16.0,Defensive rebound by M. Plumlee,,0,0
9,1,10:58.0,E. Davis misses 2-pt layup from 2 ft,,0,0
10,1,10:57.0,,Defensive rebound by A. Davis,0,0
11,1,10:45.0,,A. Davis misses 2-pt layup from 1 ft,0,0
12,1,10:45.0,Defensive rebound by M. Plumlee,,0,0
13,1,10:37.0,D. Lillard misses 3-pt jump shot from 26 ft,,0,0
14,1,10:36.0,,Defensive rebound by T. Frazier,0,0
15,1,10:24.0,,D. Cunningham makes 2-pt jump shot from 21 ft (assist by A. Davis),0,2
16,1,10:01.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by C. McCollum),,3,2
17,1,9:47.0,,E. Moore makes 2-pt jump shot from 14 ft (assist by A. Davis),3,4
18,1,9:32.0,Shooting foul by E. Moore (drawn by C. McCollum),,3,4
19,1,9:32.0,C. McCollum makes free throw 1 of 2,,4,4
20,1,9:32.0,C. McCollum makes free throw 2 of 2,,5,4
21,1,9:19.0,,Shooting foul by D. Lillard (drawn by T. Frazier),5,4
22,1,9:19.0,,T. Frazier makes 2-pt layup from 3 ft (assist by A. Davis),5,6
23,1,9:19.0,,T. Frazier makes free throw 1 of 1,5,7
24,1,9:00.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,8,7
25,1,8:47.0,,E. Moore makes 2-pt jump shot from 7 ft,8,9
26,1,8:35.0,E. Davis makes 2-pt dunk at rim (assist by C. McCollum),,10,9
27,1,8:19.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by A. Davis),10,12
28,1,8:06.0,D. Lillard misses 2-pt jump shot from 16 ft,,10,12
29,1,8:06.0,,Defensive rebound by Ö. Aşık,10,12
30,1,7:59.0,Violation by M. Plumlee (def goaltending),,10,12
31,1,7:59.0,,T. Frazier makes 2-pt layup from 2 ft,10,14
32,1,7:46.0,D. Lillard misses 2-pt jump shot from 4 ft (block by A. Davis),,10,14
33,1,7:46.0,Offensive rebound by Team,,10,14
34,1,7:40.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),,13,14
35,1,7:24.0,,A. Davis makes 2-pt jump shot from 10 ft (assist by T. Frazier),13,16
36,1,7:16.0,Shooting foul by Ö. Aşık (drawn by D. Lillard),,13,16
37,1,7:16.0,D. Lillard makes free throw 1 of 2,,14,16
38,1,7:16.0,D. Lillard makes free throw 2 of 2,,15,16
39,1,6:55.0,,A. Davis misses 2-pt jump shot from 7 ft,15,16
40,1,6:54.0,Defensive rebound by E. Davis,,15,16
41,1,6:47.0,,Violation by Ö. Aşık (kicked ball),15,16
42,1,6:41.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. McCollum),,18,16
43,1,6:22.0,,A. Davis misses 2-pt hook shot from 8 ft,18,16
44,1,6:20.0,Defensive rebound by C. McCollum,,18,16
45,1,6:16.0,C. McCollum misses 2-pt jump shot from 20 ft,,18,16
46,1,6:14.0,,Defensive rebound by D. Cunningham,18,16
47,1,6:05.0,,A. Davis misses 2-pt jump shot from 18 ft,18,16
48,1,6:05.0,Defensive rebound by M. Plumlee,,18,16
49,1,5:52.0,M. Plumlee misses 2-pt jump shot from 12 ft,,18,16
