,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,M. Gasol misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,Offensive rebound by T. Allen,,0,0
2,1,11:32.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by M. Gasol),,3,0
3,1,11:15.0,,M. Williams misses 2-pt hook shot from 6 ft,3,0
4,1,11:14.0,Defensive rebound by M. Gasol,,3,0
5,1,11:03.0,J. Ennis misses 3-pt jump shot from 26 ft,,3,0
6,1,11:02.0,,Defensive rebound by M. Williams,3,0
7,1,10:46.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,3,0
8,1,10:45.0,Defensive rebound by M. Gasol,,3,0
9,1,10:36.0,M. Conley misses 2-pt jump shot from 18 ft,,3,0
10,1,10:34.0,,Defensive rebound by M. Williams,3,0
11,1,10:25.0,,R. Hibbert makes 2-pt layup from 1 ft (assist by N. Batum),3,2
12,1,10:01.0,M. Conley makes 3-pt jump shot from 24 ft (assist by M. Gasol),,6,2
13,1,9:43.0,,M. Williams misses 3-pt jump shot from 24 ft,6,2
14,1,9:42.0,Defensive rebound by T. Allen,,6,2
15,1,9:36.0,Personal foul by R. Hibbert (drawn by M. Gasol),,6,2
16,1,9:23.0,J. Green makes 2-pt jump shot from 17 ft (assist by M. Gasol),,8,2
17,1,9:03.0,,K. Walker misses 3-pt jump shot from 23 ft,8,2
18,1,9:01.0,,Offensive rebound by M. Kidd-Gilchrist,8,2
19,1,8:51.0,,M. Williams misses 3-pt jump shot from 25 ft,8,2
20,1,8:49.0,,Offensive rebound by R. Hibbert,8,2
21,1,8:41.0,,K. Walker makes 2-pt layup at rim (assist by N. Batum),8,4
22,1,8:25.0,J. Ennis makes 2-pt layup at rim (assist by M. Gasol),,10,4
23,1,8:04.0,,Turnover by M. Kidd-Gilchrist (bad pass; steal by T. Allen),10,4
24,1,8:00.0,T. Allen makes 2-pt layup from 1 ft,,12,4
25,1,7:47.0,,Personal foul by M. Conley (drawn by K. Walker),12,4
26,1,7:38.0,,N. Batum misses 3-pt jump shot from 28 ft,12,4
27,1,7:37.0,Defensive rebound by M. Conley,,12,4
28,1,7:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Allen),,12,4
29,1,7:29.0,T. Allen makes free throw 1 of 2,,13,4
30,1,7:29.0,T. Allen misses free throw 2 of 2,,13,4
31,1,7:26.0,,Defensive rebound by M. Kidd-Gilchrist,13,4
32,1,7:15.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by T. Allen),13,4
33,1,7:13.0,Defensive rebound by T. Allen,,13,4
34,1,7:03.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by J. Ennis),,16,4
35,1,7:02.0,,Charlotte full timeout,16,4
36,1,6:45.0,,Turnover by N. Batum (bad pass; steal by M. Gasol),16,4
37,1,6:29.0,M. Gasol misses 2-pt jump shot from 10 ft,,16,4
38,1,6:28.0,Offensive rebound by M. Gasol,,16,4
39,1,6:26.0,V. Carter enters the game for T. Allen,,16,4
40,1,6:26.0,A. Harrison enters the game for M. Conley,,16,4
41,1,6:13.0,Turnover by J. Ennis (bad pass; steal by K. Walker),,16,4
