,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:39.0,R. Gobert misses 2-pt jump shot from 4 ft,,0,0
1,1,11:38.0,Offensive rebound by R. Gobert,,0,0
2,1,11:37.0,R. Gobert misses 2-pt layup at rim,,0,0
3,1,11:36.0,Offensive rebound by R. Gobert,,0,0
4,1,11:35.0,R. Gobert misses 2-pt layup from 1 ft (block by G. Dieng),,0,0
5,1,11:34.0,Offensive rebound by Team,,0,0
6,1,11:20.0,R. Hood misses 3-pt jump shot from 25 ft,,0,0
7,1,11:19.0,,Defensive rebound by G. Dieng,0,0
8,1,11:05.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by A. Wiggins),0,3
9,1,10:37.0,G. Hayward makes 2-pt jump shot from 19 ft,,2,3
10,1,10:17.0,,A. Wiggins misses 2-pt layup from 2 ft,2,3
11,1,10:16.0,Defensive rebound by Team,,2,3
12,1,9:56.0,Shooting foul by R. Rubio (drawn by G. Hill),,2,3
13,1,9:56.0,G. Hill makes free throw 1 of 3,,3,3
14,1,9:56.0,G. Hill makes free throw 2 of 3,,4,3
15,1,9:56.0,G. Hill makes free throw 3 of 3,,5,3
16,1,9:46.0,,K. Towns misses 3-pt jump shot from 24 ft,5,3
17,1,9:44.0,Defensive rebound by G. Hayward,,5,3
18,1,9:33.0,R. Hood misses 2-pt jump shot from 8 ft,,5,3
19,1,9:32.0,Offensive rebound by R. Gobert,,5,3
20,1,9:31.0,Personal foul by K. Towns (drawn by R. Gobert),,5,3
21,1,9:20.0,G. Hill misses 3-pt jump shot from 24 ft,,5,3
22,1,9:18.0,,Defensive rebound by Team,5,3
23,1,9:05.0,,A. Wiggins misses 2-pt jump shot from 19 ft,5,3
24,1,9:04.0,Defensive rebound by G. Hill,,5,3
25,1,8:56.0,G. Hill misses 2-pt layup from 1 ft,,5,3
26,1,8:55.0,,Defensive rebound by G. Dieng,5,3
27,1,8:49.0,,Z. LaVine misses 2-pt jump shot from 15 ft,5,3
28,1,8:47.0,Defensive rebound by G. Hill,,5,3
29,1,8:38.0,R. Hood misses 2-pt jump shot from 11 ft,,5,3
30,1,8:37.0,Offensive rebound by R. Gobert,,5,3
31,1,8:35.0,R. Gobert makes 2-pt layup from 2 ft,,7,3
32,1,8:11.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by Z. LaVine),7,6
33,1,7:45.0,G. Hill makes 2-pt layup from 1 ft (assist by R. Hood),,9,6
34,1,7:28.0,,A. Wiggins makes 3-pt jump shot from 25 ft,9,9
35,1,7:08.0,Personal foul by K. Towns (drawn by B. Diaw),,9,9
36,1,7:00.0,Turnover by R. Gobert (traveling),,9,9
37,1,7:00.0,,N. Bjelica enters the game for K. Towns,9,9
38,1,6:46.0,,Turnover by G. Dieng (bad pass),9,9
39,1,6:31.0,G. Hayward misses 3-pt jump shot from 24 ft,,9,9
40,1,6:31.0,,Defensive rebound by Z. LaVine,9,9
41,1,6:19.0,,Z. LaVine misses 2-pt layup from 1 ft,9,9
42,1,6:18.0,Defensive rebound by G. Hill,,9,9
43,1,6:08.0,Def 3 sec tech foul by G. Dieng,,9,9
44,1,6:08.0,G. Hayward makes technical free throw,,10,9
45,1,6:00.0,G. Hayward makes 2-pt jump shot from 14 ft,,12,9
46,1,5:39.0,,G. Dieng misses 2-pt jump shot from 18 ft,12,9
47,1,5:37.0,Defensive rebound by R. Hood,,12,9
48,1,5:25.0,R. Gobert misses 2-pt layup from 2 ft,,12,9
49,1,5:23.0,Offensive rebound by R. Gobert,,12,9
50,1,5:15.0,B. Diaw makes 2-pt hook shot from 4 ft,,14,9
51,1,4:55.0,,N. Bjelica misses 3-pt jump shot from 24 ft,14,9
52,1,4:54.0,Defensive rebound by B. Diaw,,14,9
53,1,4:43.0,G. Hill misses 2-pt jump shot from 5 ft,,14,9
54,1,4:42.0,Offensive rebound by R. Gobert,,14,9
55,1,4:42.0,R. Gobert makes 2-pt layup from 1 ft,,16,9
56,1,4:42.0,,Minnesota full timeout,16,9
57,1,4:42.0,J. Johnson enters the game for G. Hayward,,16,9
58,1,4:42.0,T. Lyles enters the game for B. Diaw,,16,9
59,1,4:22.0,,G. Dieng makes 2-pt jump shot from 10 ft (assist by Z. LaVine),16,11
60,1,4:00.0,Turnover by G. Hill (bad pass; steal by G. Dieng),,16,11
61,1,3:56.0,,R. Rubio makes 2-pt layup at rim (assist by A. Wiggins),16,13
62,1,3:29.0,G. Hill misses 2-pt jump shot from 15 ft,,16,13
63,1,3:28.0,,Defensive rebound by A. Wiggins,16,13
64,1,3:18.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by A. Wiggins),16,16
65,1,3:18.0,Utah full timeout,,16,16
66,1,2:59.0,R. Hood makes 2-pt jump shot from 14 ft,,18,16
67,1,2:35.0,,A. Wiggins makes 2-pt jump shot from 17 ft,18,18
68,1,2:11.0,Personal foul by R. Rubio (drawn by G. Hill),,18,18
69,1,2:11.0,J. Withey enters the game for R. Gobert,,18,18
70,1,2:11.0,S. Mack enters the game for G. Hill,,18,18
71,1,2:11.0,,K. Dunn enters the game for R. Rubio,18,18
72,1,2:04.0,R. Hood misses 2-pt jump shot from 14 ft,,18,18
73,1,2:03.0,,Defensive rebound by N. Bjelica,18,18
74,1,1:56.0,,G. Dieng makes 2-pt layup from 1 ft (assist by Z. LaVine),18,20
75,1,1:56.0,,Shooting block foul by S. Mack (drawn by G. Dieng),18,20
76,1,1:56.0,,G. Dieng makes free throw 1 of 1,18,21
77,1,1:31.0,Turnover by S. Mack (lost ball; steal by Z. LaVine),,18,21
78,1,1:29.0,,Personal foul by R. Hood (drawn by Z. LaVine),18,21
79,1,1:29.0,,Z. LaVine makes free throw 1 of 2,18,22
80,1,1:29.0,G. Hayward enters the game for R. Hood,,18,22
81,1,1:29.0,,Z. LaVine makes free throw 2 of 2,18,23
82,1,1:11.0,Turnover by T. Lyles (lost ball; steal by N. Bjelica),,18,23
83,1,1:07.0,,Z. LaVine makes 2-pt dunk at rim (assist by A. Wiggins),18,25
84,1,0:49.0,,S. Muhammad enters the game for Z. LaVine,18,25
85,1,0:44.0,S. Mack makes 2-pt jump shot from 10 ft,,20,25
86,1,0:32.0,,N. Bjelica misses 3-pt jump shot from 25 ft,20,25
87,1,0:31.0,Defensive rebound by G. Hayward,,20,25
88,1,0:11.0,Shooting foul by K. Dunn (drawn by G. Hayward),,20,25
89,1,0:11.0,G. Hayward makes free throw 1 of 2,,21,25
90,1,0:11.0,G. Hayward makes free throw 2 of 2,,22,25
91,1,0:04.0,,N. Bjelica misses 2-pt layup from 2 ft,22,25
92,1,0:03.0,,Offensive rebound by N. Bjelica,22,25
93,1,0:02.0,,N. Bjelica misses 2-pt jump shot from 10 ft,22,25
94,1,0:01.0,,Offensive rebound by G. Dieng,22,25
95,1,0:01.0,,G. Dieng makes 2-pt layup from 2 ft,22,27
96,2,11:44.0,,A. Wiggins makes 2-pt jump shot from 19 ft,22,29
97,2,11:29.0,Turnover by J. Johnson (bad pass; steal by K. Dunn),,22,29
98,2,11:27.0,,Personal foul by G. Hayward (drawn by K. Dunn),22,29
99,2,11:26.0,,Turnover by A. Wiggins (bad pass; steal by G. Hayward),22,29
100,2,11:14.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by G. Hayward),,25,29
101,2,10:59.0,,K. Dunn misses 2-pt jump shot from 17 ft,25,29
102,2,10:58.0,,Offensive rebound by C. Aldrich,25,29
103,2,10:55.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by C. Aldrich),25,31
104,2,10:55.0,,Shooting foul by S. Mack (drawn by N. Bjelica),25,31
105,2,10:55.0,,N. Bjelica makes free throw 1 of 1,25,32
106,2,10:36.0,G. Hayward misses 2-pt layup from 1 ft,,25,32
107,2,10:34.0,Offensive rebound by J. Withey,,25,32
