,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BROOKLYN_ACTION,LA CLIPPERS_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,B. Bogdanović misses 2-pt layup from 3 ft,0,0
1,1,11:42.0,Defensive rebound by J. Redick,,0,0
2,1,11:35.0,J. Redick makes 2-pt jump shot from 20 ft,,2,0
3,1,11:24.0,,B. Lopez misses 2-pt jump shot from 19 ft,2,0
4,1,11:23.0,Defensive rebound by D. Jordan,,2,0
5,1,11:12.0,P. Pierce makes 3-pt jump shot from 24 ft (assist by C. Paul),,5,0
6,1,10:57.0,,S. Kilpatrick misses 2-pt jump shot from 13 ft,5,0
7,1,10:56.0,Defensive rebound by D. Jordan,,5,0
8,1,10:32.0,C. Paul makes 2-pt jump shot from 7 ft,,7,0
9,1,10:14.0,,B. Lopez misses 2-pt hook shot from 8 ft,7,0
10,1,10:13.0,Defensive rebound by Team,,7,0
11,1,9:53.0,C. Paul misses 2-pt jump shot from 14 ft,,7,0
12,1,9:52.0,,Defensive rebound by B. Bogdanović,7,0
13,1,9:45.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,7,0
14,1,9:44.0,Defensive rebound by D. Jordan,,7,0
15,1,9:25.0,Personal foul by T. Booker (drawn by C. Paul),,7,0
16,1,9:17.0,J. Redick misses 3-pt jump shot from 24 ft,,7,0
17,1,9:16.0,,Defensive rebound by B. Lopez,7,0
18,1,9:10.0,Violation by P. Pierce (kicked ball),,7,0
19,1,9:02.0,,T. Booker misses 3-pt jump shot from 25 ft,7,0
20,1,9:00.0,Defensive rebound by P. Pierce,,7,0
21,1,8:49.0,P. Pierce misses 3-pt jump shot from 25 ft,,7,0
22,1,8:48.0,,Defensive rebound by B. Bogdanović,7,0
23,1,8:38.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),7,3
24,1,8:21.0,J. Redick misses 3-pt jump shot from 24 ft,,7,3
25,1,8:20.0,,Defensive rebound by B. Lopez,7,3
26,1,8:13.0,,I. Whitehead makes 3-pt jump shot from 25 ft (assist by T. Booker),7,6
27,1,7:41.0,C. Paul makes 2-pt jump shot from 19 ft,,9,6
28,1,7:21.0,,T. Booker makes 2-pt hook shot from 6 ft,9,8
29,1,7:10.0,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),,12,8
30,1,6:58.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by I. Whitehead),12,11
31,1,6:44.0,J. Redick misses 3-pt jump shot from 24 ft,,12,11
32,1,6:43.0,,Defensive rebound by Team,12,11
33,1,6:30.0,,S. Kilpatrick misses 2-pt jump shot from 22 ft,12,11
34,1,6:29.0,Defensive rebound by D. Jordan,,12,11
35,1,6:12.0,C. Paul misses 2-pt jump shot from 16 ft,,12,11
36,1,6:11.0,Offensive rebound by D. Jordan,,12,11
37,1,5:59.0,J. Redick misses 2-pt jump shot from 23 ft,,12,11
38,1,5:58.0,Offensive rebound by C. Paul,,12,11
39,1,5:56.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,14,11
40,1,5:55.0,,Brooklyn full timeout,14,11
41,1,5:55.0,,J. Hamilton enters the game for B. Lopez,14,11
42,1,5:55.0,,J. Harris enters the game for B. Bogdanović,14,11
43,1,5:44.0,,S. Kilpatrick misses 3-pt jump shot from 25 ft,14,11
44,1,5:43.0,,Offensive rebound by T. Booker,14,11
45,1,5:33.0,,T. Booker misses 2-pt layup from 3 ft,14,11
46,1,5:32.0,Defensive rebound by P. Pierce,,14,11
47,1,5:17.0,Shooting foul by I. Whitehead (drawn by L. Mbah a Moute),,14,11
48,1,5:17.0,L. Mbah a Moute misses free throw 1 of 2,,14,11
49,1,5:17.0,Offensive rebound by Team,,14,11
50,1,5:17.0,L. Mbah a Moute makes free throw 2 of 2,,15,11
51,1,5:04.0,,Turnover by S. Kilpatrick (bad pass; steal by L. Mbah a Moute),15,11
52,1,4:56.0,J. Redick makes 2-pt layup from 2 ft,,17,11
53,1,4:29.0,,J. Hamilton misses 2-pt jump shot from 14 ft,17,11
54,1,4:28.0,Defensive rebound by D. Jordan,,17,11
55,1,4:10.0,C. Paul misses 3-pt jump shot from 25 ft,,17,11
56,1,4:09.0,Offensive rebound by Team,,17,11
57,1,4:09.0,,Loose ball foul by J. Harris (drawn by D. Jordan),17,11
58,1,4:09.0,W. Johnson enters the game for P. Pierce,,17,11
59,1,4:09.0,,R. Foye enters the game for S. Kilpatrick,17,11
60,1,4:01.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,19,11
61,1,3:52.0,,I. Whitehead misses 2-pt layup from 2 ft (block by D. Jordan),19,11
62,1,3:51.0,,Offensive rebound by Team,19,11
63,1,3:51.0,J. Crawford enters the game for L. Mbah a Moute,,19,11
64,1,3:45.0,,T. Booker misses 3-pt jump shot from 24 ft,19,11
65,1,3:44.0,Defensive rebound by C. Paul,,19,11
66,1,3:38.0,Turnover by J. Redick (lost ball; steal by J. Harris),,19,11
67,1,3:38.0,,Personal foul by D. Jordan (drawn by J. Harris),19,11
68,1,3:27.0,,T. Booker makes 2-pt layup from 2 ft (assist by I. Whitehead),19,13
69,1,3:27.0,,Shooting foul by W. Johnson (drawn by T. Booker),19,13
70,1,3:27.0,,T. Booker makes free throw 1 of 1,19,14
71,1,3:07.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,22,14
72,1,2:49.0,,J. Harris misses 2-pt layup from 2 ft,22,14
73,1,2:48.0,Defensive rebound by D. Jordan,,22,14
74,1,2:45.0,Turnover by D. Jordan (bad pass; steal by T. Booker),,22,14
75,1,2:43.0,,T. Booker makes 2-pt layup from 1 ft,22,16
76,1,2:39.0,Turnover by D. Jordan (lost ball; steal by T. Booker),,22,16
77,1,2:38.0,Violation by D. Jordan (kicked ball),,22,16
78,1,2:38.0,LA Clippers full timeout,,22,16
79,1,2:38.0,A. Rivers enters the game for J. Redick,,22,16
80,1,2:38.0,,B. Lopez enters the game for T. Booker,22,16
81,1,2:38.0,,B. Bogdanović enters the game for I. Whitehead,22,16
