,QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
0,1,11:44.0,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),,2,0
1,1,11:24.0,,C. McCollum misses 2-pt layup from 1 ft,2,0
2,1,11:24.0,,Offensive rebound by E. Davis,2,0
3,1,11:24.0,,E. Davis misses 2-pt layup from 2 ft,2,0
4,1,11:21.0,,Offensive rebound by E. Davis,2,0
5,1,11:16.0,,D. Lillard misses 2-pt jump shot from 4 ft,2,0
6,1,11:16.0,Defensive rebound by M. Turner,,2,0
7,1,11:06.0,J. Teague misses 2-pt jump shot from 19 ft,,2,0
8,1,11:05.0,,Defensive rebound by M. Plumlee,2,0
9,1,10:57.0,,M. Plumlee misses 2-pt layup from 2 ft,2,0
10,1,10:56.0,Defensive rebound by M. Ellis,,2,0
11,1,10:48.0,T. Young misses 2-pt hook shot from 6 ft,,2,0
12,1,10:48.0,Offensive rebound by Team,,2,0
13,1,10:35.0,Turnover by J. Teague (bad pass; steal by D. Lillard),,2,0
14,1,10:29.0,,M. Plumlee misses 2-pt layup from 2 ft,2,0
15,1,10:28.0,,Offensive rebound by M. Plumlee,2,0
16,1,10:26.0,,M. Plumlee makes 2-pt layup from 2 ft,2,2
17,1,10:14.0,G. Robinson makes 3-pt jump shot from 24 ft (assist by M. Ellis),,5,2
18,1,9:47.0,,M. Harkless makes 2-pt layup from 3 ft,5,4
19,1,9:29.0,T. Young misses 2-pt jump shot from 5 ft,,5,4
20,1,9:29.0,,Defensive rebound by D. Lillard,5,4
21,1,9:24.0,,C. McCollum makes 2-pt layup from 1 ft (assist by D. Lillard),5,6
22,1,9:03.0,J. Teague misses 2-pt jump shot from 8 ft,,5,6
23,1,9:03.0,Offensive rebound by Team,,5,6
24,1,9:03.0,,Loose ball foul by M. Harkless (drawn by M. Turner),5,6
25,1,8:49.0,G. Robinson makes 2-pt jump shot from 17 ft (assist by J. Teague),,7,6
26,1,8:28.0,,M. Harkless misses 3-pt jump shot from 23 ft,7,6
27,1,8:28.0,Defensive rebound by M. Turner,,7,6
28,1,8:11.0,M. Turner misses 2-pt jump shot from 20 ft,,7,6
29,1,8:11.0,,Defensive rebound by D. Lillard,7,6
30,1,8:06.0,,M. Plumlee misses 2-pt layup from 2 ft,7,6
31,1,8:05.0,,Offensive rebound by M. Harkless,7,6
32,1,8:05.0,,M. Harkless makes 2-pt layup from 1 ft,7,8
33,1,7:51.0,J. Teague misses 2-pt layup at rim,,7,8
34,1,7:50.0,Offensive rebound by M. Turner,,7,8
35,1,7:49.0,M. Turner makes 2-pt layup from 1 ft,,9,8
36,1,7:29.0,,M. Harkless misses 2-pt layup from 1 ft,9,8
37,1,7:29.0,Defensive rebound by M. Turner,,9,8
38,1,7:17.0,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),,11,8
39,1,6:58.0,,M. Harkless misses 3-pt jump shot from 24 ft,11,8
40,1,6:57.0,,Offensive rebound by E. Davis,11,8
41,1,6:57.0,,E. Davis makes 2-pt layup at rim,11,10
42,1,6:40.0,T. Young misses 2-pt layup from 2 ft (block by M. Plumlee),,11,10
43,1,6:39.0,,Defensive rebound by M. Plumlee,11,10
44,1,6:31.0,,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),11,12
45,1,6:04.0,J. Teague misses 2-pt layup from 1 ft,,11,12
46,1,6:04.0,Offensive rebound by Team,,11,12
47,1,6:04.0,Turnover by Team (shot clock),,11,12
48,1,6:04.0,,Portland full timeout,11,12
49,1,5:46.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by C. McCollum),11,15
50,1,5:32.0,Shooting foul by D. Lillard (drawn by M. Turner),,11,15
51,1,5:32.0,M. Turner makes free throw 1 of 2,,12,15
52,1,5:32.0,L. Allen enters the game for T. Young,,12,15
53,1,5:32.0,R. Stuckey enters the game for G. Robinson,,12,15
54,1,5:32.0,,M. Leonard enters the game for M. Plumlee,12,15
55,1,5:32.0,M. Turner makes free throw 2 of 2,,13,15
56,1,5:18.0,,D. Lillard makes 2-pt layup from 2 ft,13,17
57,1,5:09.0,Turnover by M. Turner (bad pass),,13,17
58,1,5:09.0,,E. Turner enters the game for C. McCollum,13,17
59,1,5:09.0,,A. Crabbe enters the game for M. Harkless,13,17
