,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
0,1,11:39.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by A. Gordon),,2,0
1,1,11:14.0,,M. Gasol makes 2-pt jump shot from 7 ft (assist by J. Green),2,2
2,1,10:55.0,Turnover by E. Fournier (bad pass),,2,2
3,1,10:44.0,,T. Allen misses 2-pt layup from 3 ft (block by A. Gordon),2,2
4,1,10:43.0,Defensive rebound by B. Biyombo,,2,2
5,1,10:38.0,D. Augustin misses 2-pt layup from 2 ft (block by T. Williams),,2,2
6,1,10:35.0,Offensive rebound by S. Ibaka,,2,2
7,1,10:35.0,S. Ibaka makes 2-pt layup from 1 ft,,4,2
8,1,10:18.0,,A. Harrison makes 2-pt jump shot from 19 ft,4,4
9,1,10:04.0,Offensive foul by D. Augustin (drawn by A. Harrison),,4,4
10,1,10:04.0,Turnover by D. Augustin (offensive foul),,4,4
11,1,9:55.0,,A. Harrison makes 2-pt layup from 4 ft (assist by J. Green),4,6
12,1,9:40.0,E. Fournier makes 2-pt layup from 4 ft (assist by A. Gordon),,6,6
13,1,9:40.0,Shooting foul by T. Allen (drawn by E. Fournier),,6,6
14,1,9:40.0,E. Fournier misses free throw 1 of 1,,6,6
15,1,9:39.0,,Defensive rebound by J. Green,6,6
16,1,9:21.0,,J. Green makes 2-pt dunk at rim (assist by M. Gasol),6,8
17,1,9:01.0,B. Biyombo makes 2-pt hook shot from 9 ft (assist by E. Fournier),,8,8
18,1,8:44.0,,J. Green misses 2-pt jump shot from 15 ft (block by S. Ibaka),8,8
19,1,8:44.0,,Offensive rebound by Team,8,8
20,1,8:33.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by A. Harrison),8,11
21,1,8:09.0,A. Gordon misses 3-pt jump shot from 24 ft,,8,11
22,1,8:09.0,Offensive rebound by B. Biyombo,,8,11
23,1,8:05.0,Turnover by B. Biyombo (bad pass; steal by T. Williams),,8,11
24,1,7:57.0,,T. Allen misses 2-pt layup from 3 ft,8,11
25,1,7:55.0,Defensive rebound by A. Gordon,,8,11
26,1,7:37.0,E. Fournier makes 2-pt jump shot from 6 ft,,10,11
27,1,7:18.0,,T. Williams misses 2-pt jump shot from 8 ft,10,11
28,1,7:15.0,Defensive rebound by S. Ibaka,,10,11
29,1,6:55.0,A. Gordon misses 3-pt jump shot from 24 ft,,10,11
30,1,6:54.0,,Defensive rebound by A. Harrison,10,11
