,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHARLOTTE_ACTION,MINNESOTA_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,F. Kaminsky makes 2-pt layup from 2 ft (assist by K. Walker),0,2
1,1,11:45.0,,Shooting foul by K. Towns (drawn by F. Kaminsky),0,2
2,1,11:45.0,,F. Kaminsky misses free throw 1 of 1,0,2
3,1,11:44.0,Defensive rebound by K. Towns,,0,2
4,1,11:30.0,G. Dieng misses 2-pt jump shot from 18 ft,,0,2
5,1,11:29.0,,Defensive rebound by N. Batum,0,2
6,1,11:20.0,,K. Walker misses 2-pt jump shot from 6 ft,0,2
7,1,11:19.0,Defensive rebound by G. Dieng,,0,2
8,1,11:14.0,Z. LaVine misses 2-pt jump shot from 11 ft,,0,2
9,1,11:14.0,,Defensive rebound by Team,0,2
10,1,10:56.0,,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by N. Batum),0,5
11,1,10:39.0,G. Dieng misses 2-pt jump shot from 15 ft,,0,5
12,1,10:38.0,,Defensive rebound by K. Walker,0,5
13,1,10:26.0,,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),0,7
14,1,10:05.0,R. Rubio misses 3-pt jump shot from 24 ft,,0,7
15,1,10:05.0,Offensive rebound by Team,,0,7
16,1,10:00.0,R. Rubio misses 2-pt jump shot from 17 ft,,0,7
17,1,9:59.0,,Defensive rebound by C. Zeller,0,7
18,1,9:47.0,,N. Batum misses 2-pt jump shot from 10 ft,0,7
19,1,9:46.0,Defensive rebound by R. Rubio,,0,7
20,1,9:25.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,2,7
21,1,9:06.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by K. Walker),2,9
22,1,9:06.0,,Shooting foul by R. Rubio (drawn by F. Kaminsky),2,9
23,1,9:06.0,,F. Kaminsky makes free throw 1 of 1,2,10
24,1,8:58.0,Personal foul by F. Kaminsky (drawn by G. Dieng),,2,10
25,1,8:48.0,G. Dieng makes 2-pt dunk at rim (assist by Z. LaVine),,4,10
26,1,8:28.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by R. Rubio),4,10
