,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
0,1,11:35.0,,H. Barnes misses 2-pt jump shot from 11 ft,0,0
1,1,11:35.0,Defensive rebound by F. Kaminsky,,0,0
2,1,11:15.0,F. Kaminsky makes 2-pt layup at rim (assist by N. Batum),,2,0
3,1,11:01.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by D. Williams),2,2
4,1,10:44.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,2,2
5,1,10:43.0,,Defensive rebound by A. Bogut,2,2
6,1,10:37.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Williams),2,5
7,1,10:19.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,2,5
8,1,10:17.0,Offensive rebound by M. Kidd-Gilchrist,,2,5
9,1,10:16.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft (block by A. Bogut),,2,5
10,1,10:15.0,Offensive rebound by M. Kidd-Gilchrist,,2,5
11,1,10:12.0,C. Zeller makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),,4,5
12,1,9:58.0,,D. Williams misses 3-pt jump shot from 24 ft (block by K. Walker),4,5
13,1,9:56.0,Defensive rebound by N. Batum,,4,5
14,1,9:52.0,K. Walker makes 2-pt layup at rim (assist by N. Batum),,6,5
15,1,9:34.0,,W. Matthews misses 2-pt jump shot from 24 ft,6,5
16,1,9:34.0,,Offensive rebound by H. Barnes,6,5
17,1,9:15.0,,H. Barnes misses 2-pt jump shot from 17 ft,6,5
18,1,9:15.0,Defensive rebound by N. Batum,,6,5
19,1,9:04.0,K. Walker makes 2-pt layup from 1 ft,,8,5
20,1,8:41.0,,D. Finney-Smith misses 2-pt jump shot from 4 ft,8,5
21,1,8:39.0,Defensive rebound by C. Zeller,,8,5
22,1,8:31.0,F. Kaminsky misses 2-pt jump shot from 10 ft,,8,5
23,1,8:30.0,,Defensive rebound by W. Matthews,8,5
24,1,8:11.0,,W. Matthews misses 3-pt jump shot from 25 ft,8,5
25,1,8:11.0,,Offensive rebound by A. Bogut,8,5
26,1,7:59.0,,W. Matthews makes 2-pt jump shot from 12 ft,8,7
27,1,7:43.0,K. Walker misses 3-pt jump shot from 25 ft,,8,7
28,1,7:42.0,,Defensive rebound by Team,8,7
29,1,7:30.0,,H. Barnes misses 2-pt jump shot from 18 ft,8,7
30,1,7:30.0,Defensive rebound by N. Batum,,8,7
31,1,7:23.0,K. Walker misses 2-pt jump shot from 17 ft,,8,7
32,1,7:22.0,,Defensive rebound by A. Bogut,8,7
33,1,7:02.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,8,7
34,1,7:00.0,Defensive rebound by M. Kidd-Gilchrist,,8,7
35,1,6:50.0,N. Batum misses 3-pt jump shot from 25 ft,,8,7
36,1,6:49.0,,Defensive rebound by W. Matthews,8,7
37,1,6:34.0,,Shooting block foul by C. Zeller (drawn by H. Barnes),8,7
38,1,6:34.0,,H. Barnes makes free throw 1 of 2,8,8
39,1,6:34.0,,D. Powell enters the game for A. Bogut,8,8
40,1,6:34.0,,H. Barnes makes free throw 2 of 2,8,9
41,1,6:20.0,Def 3 sec tech foul by D. Finney-Smith,,8,9
42,1,6:20.0,N. Batum makes technical free throw,,9,9
43,1,6:12.0,Turnover by C. Zeller (bad pass; steal by H. Barnes),,9,9
44,1,6:04.0,,Turnover by D. Williams (bad pass; steal by K. Walker),9,9
45,1,5:59.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,11,9
46,1,5:59.0,,Dallas full timeout,11,9
47,1,5:59.0,,A. Bogut enters the game for H. Barnes,11,9
48,1,5:42.0,,D. Williams misses 3-pt jump shot from 24 ft,11,9
49,1,5:41.0,Defensive rebound by M. Kidd-Gilchrist,,11,9
50,1,5:33.0,N. Batum misses 2-pt jump shot from 18 ft,,11,9
51,1,5:32.0,,Defensive rebound by D. Powell,11,9
52,1,5:19.0,,D. Powell makes 2-pt dunk at rim (assist by D. Williams),11,11
53,1,5:19.0,,Shooting foul by C. Zeller (drawn by D. Powell),11,11
54,1,5:19.0,,D. Powell misses free throw 1 of 1,11,11
55,1,5:19.0,R. Hibbert enters the game for C. Zeller,,11,11
56,1,5:18.0,Defensive rebound by F. Kaminsky,,11,11
57,1,5:01.0,F. Kaminsky makes 2-pt jump shot from 5 ft,,13,11
58,1,4:43.0,,Shooting foul by R. Hibbert (drawn by D. Finney-Smith),13,11
59,1,4:43.0,,D. Finney-Smith makes free throw 1 of 2,13,12
60,1,4:43.0,,D. Finney-Smith misses free throw 2 of 2,13,12
61,1,4:43.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,13,12
62,1,4:42.0,Defensive rebound by K. Walker,,13,12
63,1,4:25.0,F. Kaminsky misses 2-pt jump shot from 21 ft,,13,12
64,1,4:25.0,,Defensive rebound by A. Bogut,13,12
65,1,4:01.0,,D. Williams makes 2-pt jump shot from 18 ft,13,14
66,1,3:48.0,K. Walker misses 3-pt jump shot from 24 ft,,13,14
67,1,3:46.0,,Defensive rebound by A. Bogut,13,14
68,1,3:36.0,,D. Williams misses 3-pt jump shot from 25 ft,13,14
69,1,3:35.0,Defensive rebound by N. Batum,,13,14
70,1,3:32.0,Charlotte full timeout,,13,14
71,1,3:32.0,,D. Harris enters the game for D. Finney-Smith,13,14
72,1,3:32.0,,J. Anderson enters the game for W. Matthews,13,14
73,1,3:32.0,,H. Barnes enters the game for D. Williams,13,14
74,1,3:32.0,,J. Gibson enters the game for D. Powell,13,14
75,1,3:32.0,R. Sessions enters the game for K. Walker,,13,14
76,1,3:27.0,N. Batum makes 2-pt jump shot from 18 ft (assist by R. Sessions),,15,14
77,1,3:07.0,,D. Harris makes 3-pt jump shot from 25 ft (assist by J. Gibson),15,17
78,1,2:50.0,Shooting foul by A. Bogut (drawn by N. Batum),,15,17
79,1,2:50.0,N. Batum makes free throw 1 of 2,,16,17
80,1,2:50.0,N. Batum makes free throw 2 of 2,,17,17
81,1,2:34.0,,Turnover by J. Gibson (traveling),17,17
82,1,2:24.0,F. Kaminsky misses 2-pt layup from 2 ft,,17,17
83,1,2:23.0,,Defensive rebound by A. Bogut,17,17
84,1,2:04.0,,A. Bogut misses 2-pt hook shot from 7 ft,17,17
85,1,2:03.0,Defensive rebound by N. Batum,,17,17
86,1,1:57.0,Shooting foul by J. Gibson (drawn by R. Sessions),,17,17
87,1,1:57.0,R. Sessions makes free throw 1 of 2,,18,17
88,1,1:57.0,S. Hawes enters the game for F. Kaminsky,,18,17
89,1,1:57.0,R. Sessions makes free throw 2 of 2,,19,17
90,1,1:45.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by D. Harris),19,19
