,QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,Turnover by J. Teague (lost ball; steal by D. Green),,0,0
1,1,11:20.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),0,2
2,1,11:00.0,T. Young misses 2-pt jump shot from 5 ft,,0,2
3,1,10:59.0,,Defensive rebound by K. Durant,0,2
4,1,10:57.0,,Turnover by K. Durant (bad pass; steal by P. George),0,2
5,1,10:50.0,P. George misses 2-pt jump shot from 7 ft,,0,2
6,1,10:49.0,,Defensive rebound by K. Durant,0,2
7,1,10:38.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),0,5
8,1,10:12.0,Shooting foul by S. Curry (drawn by J. Teague),,0,5
9,1,10:12.0,J. Teague misses free throw 1 of 2,,0,5
10,1,10:12.0,Offensive rebound by Team,,0,5
11,1,10:12.0,J. Teague makes free throw 2 of 2,,1,5
12,1,10:12.0,,Golden State full timeout,1,5
13,1,10:05.0,,D. Green misses 2-pt layup from 3 ft,1,5
14,1,10:05.0,Defensive rebound by M. Turner,,1,5
15,1,9:59.0,J. Teague makes 2-pt jump shot from 5 ft (assist by M. Ellis),,3,5
16,1,9:45.0,,Shooting foul by P. George (drawn by Z. Pachulia),3,5
17,1,9:45.0,,Z. Pachulia misses free throw 1 of 2,3,5
18,1,9:45.0,,Offensive rebound by Team,3,5
19,1,9:45.0,,Z. Pachulia makes free throw 2 of 2,3,6
20,1,9:25.0,M. Turner misses 2-pt jump shot from 20 ft,,3,6
21,1,9:24.0,,Defensive rebound by K. Durant,3,6
22,1,9:10.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),3,8
23,1,8:51.0,P. George makes 2-pt jump shot from 19 ft (assist by J. Teague),,5,8
24,1,8:43.0,,K. Durant misses 3-pt jump shot from 26 ft,5,8
25,1,8:41.0,Defensive rebound by T. Young,,5,8
26,1,8:34.0,Shooting foul by Z. Pachulia (drawn by J. Teague),,5,8
27,1,8:34.0,J. Teague makes free throw 1 of 2,,6,8
28,1,8:34.0,J. Teague makes free throw 2 of 2,,7,8
29,1,8:18.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),7,10
30,1,8:01.0,P. George makes 2-pt jump shot from 12 ft,,9,10
31,1,7:49.0,,K. Durant misses 2-pt jump shot from 10 ft,9,10
32,1,7:49.0,Defensive rebound by P. George,,9,10
33,1,7:37.0,P. George makes 2-pt jump shot from 18 ft (assist by J. Teague),,11,10
34,1,7:25.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),11,13
35,1,7:13.0,T. Young makes 2-pt jump shot from 7 ft (assist by J. Teague),,13,13
