,QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
0,1,11:39.0,,W. Matthews misses 2-pt jump shot from 15 ft,0,0
1,1,11:38.0,Defensive rebound by P. George,,0,0
2,1,11:25.0,Turnover by P. George (bad pass),,0,0
3,1,11:05.0,,H. Barnes misses 2-pt jump shot from 18 ft,0,0
4,1,11:04.0,Defensive rebound by M. Turner,,0,0
5,1,11:02.0,Turnover by M. Turner (bad pass; steal by S. Mejri),,0,0
6,1,10:40.0,,D. Williams misses 2-pt jump shot from 8 ft,0,0
7,1,10:39.0,Defensive rebound by P. George,,0,0
8,1,10:19.0,M. Turner makes 2-pt jump shot from 7 ft (assist by J. Teague),,2,0
9,1,10:01.0,,Def 3 sec tech foul by M. Turner,2,0
10,1,10:01.0,,D. Williams makes technical free throw,2,1
11,1,9:50.0,,D. Finney-Smith misses 2-pt layup from 3 ft (block by M. Turner),2,1
12,1,9:49.0,Defensive rebound by M. Ellis,,2,1
13,1,9:43.0,Turnover by T. Young (lost ball; steal by S. Mejri),,2,1
14,1,9:35.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,2,1
15,1,9:34.0,Defensive rebound by J. Teague,,2,1
16,1,9:18.0,J. Teague misses 2-pt jump shot from 11 ft,,2,1
17,1,9:17.0,,Defensive rebound by W. Matthews,2,1
18,1,9:10.0,,Shooting foul by M. Turner (drawn by W. Matthews),2,1
19,1,9:10.0,,W. Matthews makes 2-pt layup from 1 ft,2,3
20,1,9:10.0,,W. Matthews misses free throw 1 of 1,2,3
21,1,9:09.0,Defensive rebound by T. Young,,2,3
22,1,8:59.0,Turnover by J. Teague (lost ball),,2,3
23,1,8:52.0,,D. Williams misses 2-pt jump shot from 4 ft,2,3
24,1,8:51.0,Defensive rebound by M. Turner,,2,3
25,1,8:45.0,,Violation by S. Mejri (def goaltending),2,3
26,1,8:45.0,T. Young makes 2-pt layup from 1 ft (assist by M. Ellis),,4,3
27,1,8:29.0,,Turnover by W. Matthews (bad pass; steal by P. George),4,3
28,1,8:22.0,P. George makes 3-pt jump shot from 25 ft,,7,3
29,1,7:58.0,,H. Barnes makes 2-pt jump shot from 12 ft,7,5
30,1,7:45.0,T. Young makes 3-pt jump shot from 25 ft (assist by M. Turner),,10,5
31,1,7:32.0,,D. Williams makes 2-pt jump shot from 15 ft,10,7
32,1,7:17.0,T. Young misses 3-pt jump shot from 25 ft,,10,7
33,1,7:16.0,,Defensive rebound by W. Matthews,10,7
34,1,7:05.0,,D. Williams misses 2-pt jump shot from 3 ft,10,7
35,1,7:04.0,,Offensive rebound by D. Finney-Smith,10,7
36,1,7:03.0,,D. Finney-Smith makes 2-pt layup from 1 ft,10,9
37,1,6:45.0,M. Turner misses 3-pt jump shot from 23 ft,,10,9
38,1,6:44.0,,Defensive rebound by S. Mejri,10,9
39,1,6:28.0,,Turnover by D. Finney-Smith (lost ball; steal by J. Teague),10,9
40,1,6:26.0,Personal foul by W. Matthews (drawn by J. Teague),,10,9
41,1,6:26.0,,D. Powell enters the game for S. Mejri,10,9
42,1,6:17.0,M. Turner misses 2-pt jump shot from 18 ft,,10,9
43,1,6:16.0,,Defensive rebound by D. Williams,10,9
44,1,6:03.0,,H. Barnes misses 2-pt jump shot from 12 ft,10,9
45,1,6:02.0,Defensive rebound by M. Turner,,10,9
46,1,5:45.0,M. Turner misses 2-pt jump shot from 5 ft,,10,9
47,1,5:44.0,,Defensive rebound by D. Finney-Smith,10,9
48,1,5:36.0,,D. Williams misses 3-pt jump shot from 24 ft,10,9
49,1,5:35.0,Defensive rebound by T. Young,,10,9
50,1,5:25.0,P. George misses 2-pt jump shot from 12 ft,,10,9
51,1,5:25.0,,Defensive rebound by D. Finney-Smith,10,9
52,1,5:25.0,,Dallas full timeout,10,9
53,1,5:25.0,,D. Harris enters the game for H. Barnes,10,9
54,1,5:25.0,,S. Curry enters the game for D. Williams,10,9
55,1,5:10.0,,W. Matthews makes 3-pt jump shot from 25 ft,10,12
56,1,4:53.0,M. Turner makes 2-pt layup from 1 ft (assist by M. Ellis),,12,12
57,1,4:33.0,,D. Finney-Smith makes 2-pt jump shot from 4 ft (assist by D. Harris),12,14
58,1,4:19.0,P. George makes 3-pt jump shot from 23 ft (assist by J. Teague),,15,14
59,1,3:59.0,,W. Matthews misses 3-pt jump shot from 25 ft,15,14
60,1,3:58.0,Defensive rebound by M. Turner,,15,14
61,1,3:47.0,Turnover by T. Young (bad pass; steal by S. Curry),,15,14
62,1,3:32.0,,S. Curry makes 2-pt layup from 3 ft,15,16
63,1,3:25.0,Indiana full timeout,,15,16
64,1,3:25.0,C. Miles enters the game for T. Young,,15,16
65,1,3:25.0,A. Jefferson enters the game for M. Turner,,15,16
