,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
0,1,11:47.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,2,0
1,1,11:29.0,,E. Fournier makes 2-pt jump shot from 6 ft (assist by A. Gordon),2,2
2,1,11:13.0,Def 3 sec tech foul by S. Ibaka,,2,2
3,1,11:13.0,J. Redick makes technical free throw,,3,2
4,1,11:06.0,B. Griffin makes 2-pt jump shot from 21 ft (assist by C. Paul),,5,2
5,1,10:47.0,,B. Biyombo makes 2-pt dunk at rim (assist by S. Ibaka),5,4
6,1,10:30.0,J. Redick misses 2-pt layup from 2 ft,,5,4
7,1,10:29.0,,Defensive rebound by S. Ibaka,5,4
8,1,10:26.0,,Shooting foul by A. Rivers (drawn by E. Fournier),5,4
9,1,10:26.0,,E. Fournier makes free throw 1 of 2,5,5
10,1,10:26.0,,E. Fournier makes free throw 2 of 2,5,6
11,1,10:16.0,J. Redick misses 2-pt jump shot from 21 ft,,5,6
12,1,10:15.0,,Defensive rebound by S. Ibaka,5,6
13,1,9:56.0,,A. Gordon makes 2-pt layup from 1 ft (assist by E. Fournier),5,8
14,1,9:53.0,Shooting foul by E. Fournier (drawn by B. Griffin),,5,8
15,1,9:53.0,B. Griffin makes free throw 1 of 2,,6,8
16,1,9:53.0,B. Griffin makes free throw 2 of 2,,7,8
17,1,9:40.0,,S. Ibaka misses 3-pt jump shot from 26 ft,7,8
18,1,9:39.0,,Offensive rebound by A. Gordon,7,8
19,1,9:32.0,,Shooting foul by D. Jordan (drawn by A. Gordon),7,8
20,1,9:32.0,,A. Gordon makes free throw 1 of 2,7,9
21,1,9:32.0,,A. Gordon misses free throw 2 of 2,7,9
22,1,9:31.0,Defensive rebound by B. Griffin,,7,9
23,1,9:22.0,C. Paul misses 2-pt jump shot from 17 ft,,7,9
24,1,9:21.0,,Defensive rebound by B. Biyombo,7,9
25,1,9:09.0,,D. Augustin misses 3-pt jump shot from 27 ft,7,9
26,1,9:08.0,Defensive rebound by J. Redick,,7,9
27,1,8:58.0,B. Griffin misses 2-pt hook shot from 6 ft,,7,9
28,1,8:57.0,,Defensive rebound by S. Ibaka,7,9
29,1,8:40.0,,S. Ibaka makes 3-pt jump shot from 27 ft (assist by D. Augustin),7,12
30,1,8:25.0,A. Rivers makes 3-pt jump shot from 27 ft (assist by C. Paul),,10,12
31,1,8:01.0,,D. Augustin makes 3-pt jump shot from 23 ft,10,15
32,1,7:38.0,A. Rivers makes 2-pt jump shot from 9 ft (assist by C. Paul),,12,15
33,1,7:22.0,,Shooting foul by B. Griffin (drawn by E. Fournier),12,15
34,1,7:22.0,,E. Fournier makes free throw 1 of 2,12,16
35,1,7:22.0,,E. Fournier makes free throw 2 of 2,12,17
36,1,7:13.0,J. Redick misses 2-pt jump shot from 19 ft,,12,17
37,1,7:12.0,,Defensive rebound by Team,12,17
38,1,6:59.0,,D. Augustin misses 3-pt jump shot from 24 ft,12,17
39,1,6:57.0,Defensive rebound by J. Redick,,12,17
40,1,6:49.0,J. Redick makes 3-pt jump shot from 24 ft (assist by A. Rivers),,15,17
41,1,6:34.0,,E. Fournier misses 2-pt jump shot from 20 ft,15,17
42,1,6:33.0,Defensive rebound by B. Griffin,,15,17
43,1,6:13.0,D. Jordan makes 2-pt hook shot from 5 ft,,17,17
44,1,5:47.0,,D. Augustin misses 2-pt jump shot from 20 ft,17,17
45,1,5:45.0,Defensive rebound by D. Jordan,,17,17
46,1,5:28.0,C. Paul makes 2-pt jump shot from 18 ft,,19,17
47,1,5:27.0,,Orlando full timeout,19,17
48,1,5:27.0,A. Anderson enters the game for A. Rivers,,19,17
49,1,5:09.0,,E. Fournier misses 2-pt jump shot from 23 ft,19,17
50,1,5:08.0,,Offensive rebound by S. Ibaka,19,17
51,1,5:04.0,,Personal foul by A. Anderson (drawn by B. Biyombo),19,17
52,1,4:55.0,,A. Gordon misses 3-pt jump shot from 25 ft,19,17
53,1,4:54.0,Defensive rebound by D. Jordan,,19,17
54,1,4:40.0,J. Redick misses 3-pt jump shot from 25 ft,,19,17
55,1,4:40.0,,Defensive rebound by Team,19,17
56,1,4:40.0,,Personal foul by D. Jordan (drawn by B. Biyombo),19,17
57,1,4:40.0,,B. Biyombo misses free throw 1 of 2,19,17
58,1,4:40.0,,Offensive rebound by Team,19,17
59,1,4:40.0,,B. Biyombo misses free throw 2 of 2,19,17
