,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:48.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker),0,2
1,1,11:35.0,B. Hield makes 3-pt jump shot from 25 ft (assist by A. Davis),,3,2
2,1,11:18.0,,L. Aldridge misses 2-pt jump shot from 14 ft,3,2
3,1,11:17.0,Defensive rebound by B. Hield,,3,2
4,1,11:10.0,Turnover by B. Hield (bad pass; steal by D. Green),,3,2
5,1,10:55.0,,T. Parker makes 2-pt jump shot from 8 ft (assist by P. Gasol),3,4
6,1,10:43.0,A. Ajinça misses 2-pt jump shot from 14 ft,,3,4
7,1,10:42.0,,Defensive rebound by T. Parker,3,4
8,1,10:33.0,,T. Parker misses 2-pt layup from 2 ft (block by J. Holiday),3,4
9,1,10:33.0,Defensive rebound by Team,,3,4
10,1,10:33.0,,J. Simmons enters the game for D. Green,3,4
11,1,10:20.0,J. Holiday makes 3-pt jump shot from 26 ft,,6,4
12,1,10:05.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),6,7
13,1,9:53.0,A. Ajinça makes 2-pt jump shot from 19 ft (assist by J. Holiday),,8,7
14,1,9:37.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by L. Aldridge),8,9
15,1,9:28.0,,D. Green enters the game for J. Simmons,8,9
16,1,9:19.0,B. Hield misses 2-pt jump shot from 14 ft,,8,9
17,1,9:18.0,,Defensive rebound by L. Aldridge,8,9
18,1,9:07.0,,P. Gasol misses 2-pt jump shot from 6 ft (block by A. Davis),8,9
19,1,9:05.0,Defensive rebound by A. Davis,,8,9
20,1,9:00.0,E. Moore misses 2-pt layup from 1 ft,,8,9
21,1,8:59.0,,Defensive rebound by P. Gasol,8,9
22,1,8:51.0,,T. Parker misses 2-pt jump shot from 11 ft,8,9
23,1,8:50.0,,Offensive rebound by P. Gasol,8,9
24,1,8:45.0,,P. Gasol makes 2-pt jump shot from 20 ft,8,11
25,1,8:34.0,Shooting foul by L. Aldridge (drawn by A. Davis),,8,11
26,1,8:34.0,A. Davis makes free throw 1 of 2,,9,11
27,1,8:34.0,A. Davis misses free throw 2 of 2,,9,11
28,1,8:33.0,,Defensive rebound by P. Gasol,9,11
29,1,8:18.0,,T. Parker misses 2-pt jump shot from 16 ft,9,11
30,1,8:17.0,,Offensive rebound by T. Parker,9,11
31,1,8:05.0,,L. Aldridge makes 2-pt hook shot from 4 ft,9,13
32,1,7:53.0,New Orleans full timeout,,9,13
33,1,7:41.0,A. Davis misses 2-pt jump shot from 14 ft,,9,13
34,1,7:40.0,,Defensive rebound by D. Green,9,13
35,1,7:30.0,,D. Green misses 3-pt jump shot from 25 ft,9,13
36,1,7:29.0,Defensive rebound by Team,,9,13
37,1,7:15.0,A. Ajinça makes 2-pt layup from 2 ft (assist by E. Moore),,11,13
38,1,7:07.0,,Shooting foul by E. Moore (drawn by K. Leonard),11,13
39,1,7:07.0,,K. Leonard makes free throw 1 of 2,11,14
40,1,7:07.0,,K. Leonard makes free throw 2 of 2,11,15
41,1,6:56.0,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),,13,15
42,1,6:36.0,,T. Parker makes 2-pt jump shot from 19 ft (assist by L. Aldridge),13,17
43,1,6:20.0,A. Davis makes 2-pt layup from 2 ft,,15,17
44,1,6:12.0,,Shooting foul by B. Hield (drawn by P. Gasol),15,17
45,1,6:12.0,,P. Gasol misses free throw 1 of 2,15,17
46,1,6:12.0,,Offensive rebound by Team,15,17
47,1,6:12.0,,P. Gasol makes free throw 2 of 2,15,18
48,1,5:59.0,,M. Ginóbili enters the game for D. Green,15,18
49,1,5:54.0,Turnover by J. Holiday (bad pass),,15,18
50,1,5:54.0,,P. Mills enters the game for T. Parker,15,18
51,1,5:44.0,,K. Leonard misses 2-pt layup from 1 ft,15,18
52,1,5:43.0,Defensive rebound by A. Ajinça,,15,18
53,1,5:36.0,J. Holiday makes 2-pt jump shot from 9 ft (assist by E. Moore),,17,18
54,1,5:21.0,,K. Leonard misses 2-pt jump shot from 13 ft,17,18
55,1,5:20.0,Defensive rebound by A. Ajinça,,17,18
56,1,5:11.0,A. Davis makes 2-pt jump shot from 21 ft (assist by B. Hield),,19,18
57,1,5:11.0,,San Antonio full timeout,19,18
58,1,5:11.0,,D. Lee enters the game for P. Gasol,19,18
59,1,5:11.0,D. Cunningham enters the game for A. Ajinça,,19,18
60,1,5:11.0,T. Jones enters the game for B. Hield,,19,18
61,1,4:57.0,,L. Aldridge misses 2-pt jump shot from 13 ft,19,18
62,1,4:55.0,Defensive rebound by D. Cunningham,,19,18
63,1,4:41.0,Turnover by J. Holiday (lost ball; steal by L. Aldridge),,19,18
64,1,4:32.0,,L. Aldridge misses 3-pt jump shot from 26 ft,19,18
65,1,4:30.0,,Offensive rebound by D. Lee,19,18
66,1,4:21.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Lee),19,21
67,1,4:00.0,J. Holiday misses 3-pt jump shot from 26 ft,,19,21
68,1,3:59.0,,Defensive rebound by K. Leonard,19,21
69,1,3:51.0,,Offensive foul by L. Aldridge (drawn by D. Cunningham),19,21
70,1,3:51.0,,Turnover by L. Aldridge (offensive foul),19,21
71,1,3:51.0,,K. Anderson enters the game for K. Leonard,19,21
72,1,3:51.0,,D. Dedmon enters the game for L. Aldridge,19,21
73,1,3:33.0,D. Cunningham misses 2-pt jump shot from 16 ft,,19,21
74,1,3:32.0,,Defensive rebound by M. Ginóbili,19,21
75,1,3:19.0,,M. Ginóbili makes 2-pt layup at rim,19,23
76,1,3:11.0,J. Holiday misses 2-pt jump shot from 5 ft,,19,23
77,1,3:11.0,,Defensive rebound by D. Dedmon,19,23
78,1,3:05.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by D. Dedmon),19,26
79,1,2:58.0,New Orleans full timeout,,19,26
80,1,2:58.0,T. Frazier enters the game for J. Holiday,,19,26
81,1,2:40.0,A. Davis makes 2-pt layup from 3 ft,,21,26
82,1,2:40.0,Shooting foul by K. Anderson (drawn by A. Davis),,21,26
83,1,2:40.0,T. Evans enters the game for E. Moore,,21,26
84,1,2:40.0,A. Davis makes free throw 1 of 1,,22,26
85,1,2:26.0,,K. Anderson misses 2-pt jump shot from 7 ft,22,26
86,1,2:25.0,Defensive rebound by T. Evans,,22,26
87,1,2:22.0,T. Evans makes 2-pt layup from 2 ft,,24,26
88,1,2:09.0,,D. Lee misses 2-pt jump shot from 4 ft (block by T. Jones),24,26
89,1,2:08.0,,Offensive rebound by D. Lee,24,26
90,1,2:07.0,,Turnover by D. Lee (lost ball; steal by T. Jones),24,26
91,1,2:02.0,T. Jones makes 2-pt dunk at rim (assist by T. Frazier),,26,26
92,1,1:56.0,,San Antonio full timeout,26,26
93,1,1:56.0,,P. Gasol enters the game for D. Lee,26,26
94,1,1:56.0,,K. Leonard enters the game for K. Anderson,26,26
95,1,1:56.0,,T. Parker enters the game for P. Mills,26,26
96,1,1:56.0,,D. Green enters the game for M. Ginóbili,26,26
97,1,1:37.0,,P. Gasol makes 2-pt jump shot from 8 ft (assist by T. Parker),26,28
98,1,1:17.0,Turnover by A. Davis (bad pass),,26,28
99,1,1:01.0,,T. Parker misses 2-pt jump shot from 20 ft,26,28
100,1,1:01.0,Defensive rebound by T. Evans,,26,28
101,1,0:55.0,D. Cunningham misses 3-pt jump shot from 24 ft,,26,28
102,1,0:53.0,,Defensive rebound by D. Dedmon,26,28
103,1,0:39.0,,K. Leonard makes 2-pt layup from 1 ft (assist by P. Gasol),26,30
104,1,0:31.0,T. Evans misses 3-pt jump shot from 24 ft,,26,30
105,1,0:29.0,Offensive rebound by T. Jones,,26,30
106,1,0:29.0,T. Jones misses 2-pt dunk at rim,,26,30
107,1,0:28.0,,Defensive rebound by T. Parker,26,30
108,1,0:17.0,,D. Dedmon misses 2-pt layup at rim,26,30
109,1,0:15.0,Defensive rebound by A. Davis,,26,30
