,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:40.0,S. Ibaka misses 2-pt jump shot from 20 ft,,0,0
1,1,11:39.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:24.0,,J. Richardson misses 2-pt jump shot from 13 ft,0,0
3,1,11:23.0,Defensive rebound by A. Gordon,,0,0
4,1,11:11.0,A. Gordon misses 2-pt layup from 1 ft (block by H. Whiteside),,0,0
5,1,11:10.0,,Defensive rebound by J. Winslow,0,0
6,1,10:46.0,,J. McRoberts makes 2-pt jump shot from 15 ft,0,2
7,1,10:29.0,A. Gordon misses 3-pt jump shot from 23 ft,,0,2
8,1,10:28.0,,Defensive rebound by H. Whiteside,0,2
9,1,10:19.0,,Turnover by G. Dragić (lost ball; steal by S. Ibaka),0,2
10,1,10:10.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by E. Fournier),,3,2
11,1,9:53.0,,H. Whiteside makes 2-pt jump shot from 13 ft,3,4
12,1,9:27.0,A. Gordon makes 2-pt jump shot from 13 ft,,5,4
13,1,9:14.0,Offensive charge foul by J. McRoberts (drawn by D. Augustin),,5,4
14,1,9:14.0,,Turnover by J. McRoberts (offensive foul),5,4
15,1,8:56.0,D. Augustin misses 2-pt jump shot from 9 ft,,5,4
16,1,8:55.0,,Defensive rebound by H. Whiteside,5,4
17,1,8:51.0,,G. Dragić makes 2-pt layup at rim,5,6
18,1,8:35.0,E. Fournier makes 2-pt jump shot from 14 ft,,7,6
19,1,8:21.0,,J. McRoberts misses 2-pt layup from 2 ft,7,6
20,1,8:20.0,Defensive rebound by S. Ibaka,,7,6
21,1,8:10.0,E. Fournier makes 2-pt layup from 2 ft,,9,6
22,1,7:50.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Richardson),9,9
23,1,7:33.0,Personal foul by J. Richardson (drawn by E. Fournier),,9,9
24,1,7:23.0,E. Fournier makes 2-pt jump shot from 20 ft (assist by B. Biyombo),,11,9
25,1,7:05.0,,Shooting foul by E. Fournier (drawn by J. Richardson),11,9
26,1,7:05.0,,J. Richardson makes free throw 1 of 2,11,10
