,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:42.0,,D. DeRozan misses 3-pt jump shot from 23 ft,0,0
1,1,11:42.0,Defensive rebound by J. Lin,,0,0
2,1,11:24.0,L. Scola misses 2-pt jump shot from 20 ft,,0,0
3,1,11:24.0,,Defensive rebound by D. Carroll,0,0
4,1,11:18.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),0,2
5,1,11:00.0,L. Scola misses 2-pt hook shot from 8 ft,,0,2
6,1,10:59.0,,Defensive rebound by P. Siakam,0,2
7,1,10:53.0,,Turnover by P. Siakam (step out of bounds),0,2
8,1,10:41.0,T. Booker misses 3-pt jump shot from 23 ft,,0,2
9,1,10:41.0,,Defensive rebound by K. Lowry,0,2
10,1,10:27.0,,D. DeRozan misses 2-pt jump shot from 6 ft,0,2
11,1,10:27.0,,Offensive rebound by J. Valančiūnas,0,2
12,1,10:26.0,,J. Valančiūnas misses 2-pt layup from 3 ft,0,2
13,1,10:25.0,,Offensive rebound by J. Valančiūnas,0,2
14,1,10:25.0,,J. Valančiūnas makes 2-pt layup from 1 ft,0,4
15,1,10:13.0,J. Lin makes 3-pt jump shot from 25 ft,,3,4
16,1,9:55.0,,D. DeRozan misses 2-pt jump shot from 8 ft,3,4
17,1,9:55.0,,Offensive rebound by Team,3,4
18,1,9:48.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Siakam),3,7
19,1,9:31.0,Personal foul by D. DeRozan (drawn by B. Bogdanović),,3,7
20,1,9:31.0,,Violation by Team (jump ball),3,7
21,1,9:25.0,T. Booker makes 2-pt layup from 2 ft (assist by B. Bogdanović),,5,7
22,1,9:01.0,,D. Carroll makes 2-pt jump shot from 11 ft,5,9
23,1,8:50.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,5,9
24,1,8:50.0,,Defensive rebound by Team,5,9
25,1,8:39.0,,D. Carroll misses 2-pt jump shot from 15 ft,5,9
26,1,8:39.0,Defensive rebound by T. Booker,,5,9
27,1,8:27.0,T. Booker makes 2-pt hook shot from 3 ft,,7,9
28,1,8:07.0,,D. DeRozan makes 2-pt dunk at rim (assist by P. Siakam),7,11
29,1,7:50.0,Turnover by T. Booker (bad pass; steal by D. Carroll),,7,11
30,1,7:44.0,,D. Carroll makes 2-pt jump shot from 6 ft,7,13
31,1,7:18.0,Turnover by Team (shot clock),,7,13
32,1,7:18.0,J. Harris enters the game for S. Kilpatrick,,7,13
33,1,7:03.0,,Shooting foul by B. Bogdanović (drawn by D. DeRozan),7,13
34,1,7:03.0,,D. DeRozan makes free throw 1 of 2,7,14
35,1,7:03.0,,D. DeRozan makes free throw 2 of 2,7,15
36,1,6:44.0,L. Scola misses 2-pt layup from 5 ft (block by P. Siakam),,7,15
37,1,6:43.0,,Defensive rebound by K. Lowry,7,15
38,1,6:39.0,,Turnover by K. Lowry (bad pass; steal by T. Booker),7,15
39,1,6:35.0,Turnover by T. Booker (bad pass),,7,15
40,1,6:16.0,,Turnover by D. Carroll (traveling),7,15
41,1,6:04.0,L. Scola misses 3-pt jump shot from 25 ft,,7,15
42,1,6:03.0,Offensive rebound by T. Booker,,7,15
43,1,5:58.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Booker),,10,15
44,1,5:39.0,,D. DeRozan misses 2-pt jump shot from 8 ft,10,15
45,1,5:36.0,Defensive rebound by J. Lin,,10,15
46,1,5:31.0,J. Lin makes 2-pt jump shot from 23 ft,,12,15
47,1,5:30.0,,Toronto full timeout,12,15
48,1,5:30.0,J. Hamilton enters the game for L. Scola,,12,15
49,1,5:18.0,,D. DeRozan makes 2-pt jump shot from 6 ft,12,17
50,1,5:10.0,Shooting foul by P. Siakam (drawn by B. Bogdanović),,12,17
51,1,5:10.0,B. Bogdanović makes free throw 1 of 2,,13,17
52,1,5:10.0,B. Bogdanović makes free throw 2 of 2,,14,17
53,1,5:00.0,,D. DeRozan misses 2-pt jump shot from 7 ft,14,17
54,1,4:59.0,Defensive rebound by J. Hamilton,,14,17
55,1,4:52.0,J. Harris makes 3-pt jump shot from 23 ft (assist by J. Lin),,17,17
56,1,4:31.0,,K. Lowry misses 2-pt jump shot from 9 ft,17,17
57,1,4:31.0,Defensive rebound by T. Booker,,17,17
58,1,4:23.0,J. Harris misses 3-pt jump shot from 26 ft,,17,17
59,1,4:23.0,,Defensive rebound by J. Valančiūnas,17,17
60,1,4:04.0,,D. Carroll makes 3-pt jump shot from 26 ft (assist by D. DeRozan),17,20
61,1,3:47.0,T. Booker makes 2-pt jump shot from 6 ft,,19,20
62,1,3:33.0,,Personal foul by J. Harris (drawn by D. DeRozan),19,20
63,1,3:33.0,R. Hollis-Jefferson enters the game for T. Booker,,19,20
64,1,3:33.0,S. Dinwiddie enters the game for J. Lin,,19,20
65,1,3:33.0,,C. Joseph enters the game for K. Lowry,19,20
66,1,3:33.0,,N. Powell enters the game for P. Siakam,19,20
67,1,3:33.0,,L. Nogueira enters the game for D. Carroll,19,20
68,1,3:23.0,,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by C. Joseph),19,22
69,1,3:12.0,J. Hamilton misses 2-pt jump shot from 15 ft,,19,22
70,1,3:12.0,Offensive rebound by R. Hollis-Jefferson,,19,22
71,1,3:08.0,R. Hollis-Jefferson misses 2-pt layup from 4 ft,,19,22
72,1,3:07.0,,Defensive rebound by J. Valančiūnas,19,22
73,1,2:49.0,,Shooting foul by R. Hollis-Jefferson (drawn by N. Powell),19,22
74,1,2:49.0,Brooklyn full timeout,,19,22
75,1,2:49.0,,N. Powell makes free throw 1 of 2,19,23
76,1,2:49.0,,T. Ross enters the game for J. Valančiūnas,19,22
77,1,2:49.0,C. LeVert enters the game for B. Bogdanović,,19,22
78,1,2:49.0,,N. Powell makes free throw 2 of 2,19,24
79,1,2:32.0,Turnover by C. LeVert (bad pass; steal by N. Powell),,19,24
80,1,2:16.0,,D. DeRozan misses 2-pt jump shot from 8 ft,19,24
81,1,2:16.0,Defensive rebound by R. Hollis-Jefferson,,19,24
82,1,2:08.0,R. Hollis-Jefferson misses 2-pt jump shot from 4 ft (block by L. Nogueira),,19,24
83,1,2:07.0,,Defensive rebound by C. Joseph,19,24
84,1,2:03.0,,Turnover by C. Joseph (bad pass; steal by C. LeVert),19,24
85,1,1:54.0,R. Hollis-Jefferson misses 2-pt jump shot from 7 ft,,19,24
86,1,1:54.0,,Defensive rebound by L. Nogueira,19,24
87,1,1:43.0,,Shooting foul by S. Dinwiddie (drawn by D. DeRozan),19,24
88,1,1:43.0,,D. DeRozan makes free throw 1 of 2,19,25
89,1,1:43.0,,D. DeRozan misses free throw 2 of 2,19,25
90,1,1:41.0,Defensive rebound by J. Hamilton,,19,25
91,1,1:26.0,J. Harris misses 2-pt layup from 3 ft (block by L. Nogueira),,19,25
92,1,1:26.0,Offensive rebound by Team,,19,25
93,1,1:22.0,S. Dinwiddie makes 2-pt jump shot from 9 ft (assist by J. Harris),,21,25
94,1,1:00.0,,D. DeRozan makes 2-pt layup from 2 ft,21,27
95,1,0:49.0,Turnover by S. Dinwiddie (bad pass; steal by N. Powell),,21,27
96,1,0:47.0,,N. Powell makes 2-pt dunk at rim,21,29
97,1,0:27.0,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft,,23,29
98,1,0:02.0,,D. DeRozan misses 2-pt jump shot from 14 ft,23,29
99,1,0:02.0,Defensive rebound by S. Dinwiddie,,23,29
100,2,11:34.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,23,29
101,2,11:34.0,,Defensive rebound by N. Powell,23,29
102,2,11:13.0,,K. Lowry misses 3-pt jump shot from 27 ft,23,29
103,2,11:13.0,Defensive rebound by J. Hamilton,,23,29
104,2,11:05.0,C. LeVert makes 3-pt jump shot from 24 ft,,26,29
105,2,10:52.0,,Personal foul by S. Kilpatrick (drawn by L. Nogueira),26,29
106,2,10:43.0,,C. Joseph misses 2-pt jump shot from 17 ft,26,29
107,2,10:43.0,Defensive rebound by A. Bennett,,26,29
108,2,10:33.0,J. Hamilton misses 3-pt jump shot from 28 ft,,26,29
109,2,10:33.0,Offensive rebound by A. Bennett,,26,29
110,2,10:29.0,A. Bennett misses 2-pt layup from 1 ft,,26,29
111,2,10:28.0,Offensive rebound by A. Bennett,,26,29
112,2,10:28.0,Shooting foul by T. Ross (drawn by A. Bennett),,26,29
113,2,10:28.0,A. Bennett makes free throw 1 of 2,,27,29
114,2,10:28.0,A. Bennett makes free throw 2 of 2,,28,29
115,2,10:12.0,,C. Joseph makes 2-pt layup from 1 ft,28,31
116,2,10:04.0,A. Bennett misses 3-pt jump shot from 26 ft,,28,31
117,2,10:04.0,,Defensive rebound by C. Joseph,28,31
118,2,9:56.0,,K. Lowry misses 3-pt jump shot from 26 ft,28,31
119,2,9:56.0,Defensive rebound by J. Hamilton,,28,31
120,2,9:40.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,28,31
121,2,9:39.0,Offensive rebound by A. Bennett,,28,31
122,2,9:36.0,C. LeVert misses 3-pt jump shot from 25 ft,,28,31
123,2,9:35.0,,Defensive rebound by C. Joseph,28,31
124,2,9:30.0,,T. Ross makes 2-pt dunk at rim (assist by K. Lowry),28,33
125,2,9:04.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,28,33
126,2,9:04.0,Offensive rebound by Team,,28,33
127,2,9:04.0,,Loose ball foul by N. Powell (drawn by A. Bennett),28,33
128,2,9:04.0,L. Scola enters the game for J. Hamilton,,28,33
129,2,8:55.0,L. Scola makes 3-pt jump shot from 26 ft (assist by A. Bennett),,31,33
130,2,8:50.0,,N. Powell misses 2-pt layup from 2 ft,31,33
131,2,8:50.0,Defensive rebound by A. Bennett,,31,33
132,2,8:43.0,Turnover by A. Bennett (bad pass; steal by N. Powell),,31,33
133,2,8:32.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by T. Ross),31,36
134,2,8:09.0,Shooting foul by T. Ross (drawn by S. Dinwiddie),,31,36
135,2,8:09.0,Official timeout,,31,36
136,2,8:09.0,S. Dinwiddie misses free throw 1 of 2,,31,36
137,2,8:09.0,Offensive rebound by Team,,31,36
138,2,8:09.0,R. Hollis-Jefferson enters the game for C. LeVert,,31,36
139,2,8:09.0,S. Dinwiddie makes free throw 2 of 2,,32,36
140,2,7:57.0,,T. Ross makes 2-pt jump shot from 9 ft (assist by K. Lowry),32,38
141,2,7:41.0,J. Lin enters the game for S. Dinwiddie,,32,38
142,2,7:29.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,32,38
143,2,7:28.0,Offensive rebound by L. Scola,,32,38
144,2,7:26.0,L. Scola makes 2-pt layup from 2 ft,,34,38
145,2,7:15.0,,C. Joseph makes 2-pt layup from 3 ft,34,40
146,2,7:08.0,Turnover by S. Kilpatrick (lost ball; steal by K. Lowry),,34,40
147,2,7:03.0,,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),34,42
148,2,6:51.0,Shooting foul by L. Nogueira (drawn by A. Bennett),,34,42
149,2,6:51.0,A. Bennett makes free throw 1 of 2,,35,42
150,2,6:51.0,A. Bennett misses free throw 2 of 2,,35,42
151,2,6:50.0,,Defensive rebound by T. Ross,35,42
152,2,6:39.0,,Personal foul by R. Hollis-Jefferson (drawn by T. Ross),35,42
153,2,6:39.0,J. Harris enters the game for L. Scola,,35,42
154,2,6:30.0,,N. Powell misses 2-pt jump shot from 3 ft,35,42
155,2,6:29.0,Defensive rebound by R. Hollis-Jefferson,,35,42
156,2,6:21.0,R. Hollis-Jefferson makes 2-pt jump shot from 5 ft,,37,42
157,2,6:11.0,,C. Joseph misses 2-pt layup from 4 ft (block by J. Lin),37,42
158,2,6:10.0,Defensive rebound by J. Harris,,37,42
159,2,6:04.0,J. Harris misses 2-pt layup from 2 ft,,37,42
160,2,6:04.0,,Defensive rebound by N. Powell,37,42
161,2,5:57.0,,N. Powell misses 2-pt layup from 2 ft,37,42
162,2,5:57.0,,Offensive rebound by L. Nogueira,37,42
163,2,5:50.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by C. Joseph),37,45
164,2,5:34.0,A. Bennett makes 2-pt layup from 2 ft (assist by J. Harris),,39,45
165,2,5:23.0,,L. Nogueira makes 2-pt dunk at rim (assist by C. Joseph),39,47
166,2,5:05.0,Shooting foul by N. Powell (drawn by J. Lin),,39,47
167,2,5:05.0,,Toronto full timeout,39,47
168,2,5:05.0,J. Lin misses free throw 1 of 2,,39,47
169,2,5:05.0,Offensive rebound by Team,,39,47
170,2,5:05.0,T. Booker enters the game for A. Bennett,,39,47
171,2,5:05.0,,D. DeRozan enters the game for N. Powell,39,47
172,2,5:05.0,,J. Valančiūnas enters the game for L. Nogueira,39,47
173,2,5:05.0,,P. Siakam enters the game for T. Ross,39,47
174,2,5:05.0,J. Lin makes free throw 2 of 2,,40,47
175,2,4:42.0,,C. Joseph misses 2-pt jump shot from 7 ft,40,47
176,2,4:41.0,Defensive rebound by R. Hollis-Jefferson,,40,47
177,2,4:34.0,J. Lin makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),,43,47
178,2,4:15.0,,Personal foul by T. Booker (drawn by J. Valančiūnas),43,47
179,2,4:15.0,,D. Carroll enters the game for C. Joseph,43,47
180,2,4:04.0,,Shooting block foul by J. Harris (drawn by P. Siakam),43,47
181,2,4:04.0,,P. Siakam makes free throw 1 of 2,43,48
182,2,4:04.0,,P. Siakam makes free throw 2 of 2,43,49
183,2,3:57.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,43,49
184,2,3:57.0,,Defensive rebound by P. Siakam,43,49
185,2,3:42.0,,D. DeRozan makes 2-pt jump shot from 11 ft,43,51
186,2,3:34.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,43,51
187,2,3:33.0,,Defensive rebound by J. Valančiūnas,43,51
188,2,3:23.0,,D. DeRozan makes 2-pt hook shot from 5 ft,43,53
189,2,3:12.0,J. Lin misses 3-pt jump shot from 25 ft,,43,53
190,2,3:11.0,Offensive rebound by T. Booker,,43,53
191,2,2:55.0,S. Kilpatrick misses 2-pt layup from 3 ft,,43,53
192,2,2:55.0,,Defensive rebound by J. Valančiūnas,43,53
193,2,2:49.0,,Turnover by P. Siakam (bad pass; steal by S. Kilpatrick),43,53
194,2,2:43.0,Turnover by S. Kilpatrick (lost ball; steal by D. DeRozan),,43,53
195,2,2:36.0,,K. Lowry makes 2-pt layup from 2 ft (assist by D. DeRozan),43,55
196,2,2:35.0,Brooklyn full timeout,,43,55
197,2,2:35.0,B. Bogdanović enters the game for S. Kilpatrick,,43,55
198,2,2:35.0,A. Bennett enters the game for R. Hollis-Jefferson,,43,55
199,2,2:20.0,T. Booker makes 3-pt jump shot from 26 ft (assist by J. Lin),,46,55
200,2,2:03.0,,D. DeRozan makes 2-pt jump shot from 12 ft,46,57
201,2,1:53.0,Turnover by J. Lin (lost ball; steal by K. Lowry),,46,57
202,2,1:51.0,,Personal foul by J. Lin (drawn by K. Lowry),46,57
203,2,1:51.0,,K. Lowry makes free throw 1 of 2,46,58
204,2,1:51.0,,K. Lowry makes free throw 2 of 2,46,59
205,2,1:39.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,46,59
206,2,1:39.0,,Defensive rebound by D. DeRozan,46,59
207,2,1:32.0,,D. Carroll misses 3-pt jump shot from 26 ft,46,59
208,2,1:31.0,Defensive rebound by T. Booker,,46,59
209,2,1:28.0,Turnover by T. Booker (lost ball; steal by K. Lowry),,46,59
210,2,1:27.0,,C. Joseph enters the game for K. Lowry,46,59
211,2,1:15.0,,Offensive foul by D. DeRozan (drawn by J. Lin),46,59
212,2,1:15.0,,Turnover by D. DeRozan (offensive foul),46,59
213,2,1:01.0,T. Booker misses 2-pt jump shot from 4 ft (block by P. Siakam),,46,59
214,2,1:00.0,,Defensive rebound by J. Valančiūnas,46,59
215,2,0:56.0,,D. Carroll makes 3-pt jump shot from 27 ft (assist by C. Joseph),46,62
216,2,0:46.0,A. Bennett misses 3-pt jump shot from 25 ft,,46,62
217,2,0:45.0,,Defensive rebound by J. Valančiūnas,46,62
218,2,0:34.0,,Turnover by C. Joseph (lost ball; steal by J. Lin),46,62
219,2,0:27.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,46,62
220,2,0:26.0,,Defensive rebound by J. Valančiūnas,46,62
221,2,0:02.0,,D. DeRozan misses 2-pt jump shot from 19 ft,46,62
222,2,0:01.0,,Offensive rebound by Team,46,62
223,2,0:01.0,,Personal foul by B. Bogdanović (drawn by J. Valančiūnas),46,62
224,2,0:01.0,,J. Valančiūnas makes free throw 1 of 2,46,63
225,2,0:01.0,,J. Valančiūnas makes free throw 2 of 2,46,64
226,3,11:39.0,S. Kilpatrick makes 2-pt jump shot from 13 ft (assist by T. Booker),,48,64
227,3,11:25.0,,Turnover by K. Lowry (bad pass; steal by S. Kilpatrick),48,64
228,3,11:22.0,Shooting foul by K. Lowry (drawn by S. Kilpatrick),,48,64
229,3,11:22.0,S. Kilpatrick makes free throw 1 of 2,,49,64
230,3,11:22.0,S. Kilpatrick makes free throw 2 of 2,,50,64
231,3,11:07.0,,D. DeRozan misses 2-pt jump shot from 16 ft,50,64
232,3,11:07.0,Defensive rebound by L. Scola,,50,64
233,3,10:59.0,S. Kilpatrick makes 2-pt layup from 2 ft (assist by J. Lin),,52,64
234,3,10:41.0,,J. Valančiūnas misses 2-pt layup from 1 ft,52,64
