,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:45.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by D. Schröder),,2,0
1,1,11:26.0,,J. Meeks misses 3-pt jump shot from 26 ft,2,0
2,1,11:24.0,Defensive rebound by P. Millsap,,2,0
3,1,11:06.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by P. Millsap),,4,0
4,1,10:45.0,,E. Payton misses 2-pt layup from 2 ft (block by D. Howard),4,0
5,1,10:42.0,Defensive rebound by D. Howard,,4,0
6,1,10:19.0,Turnover by Team (shot clock),,4,0
7,1,10:10.0,,B. Biyombo misses 2-pt jump shot from 11 ft,4,0
8,1,10:08.0,Defensive rebound by D. Schröder,,4,0
9,1,10:01.0,Turnover by D. Schröder (bad pass; steal by J. Meeks),,4,0
10,1,9:54.0,,S. Ibaka misses 2-pt layup from 1 ft,4,0
11,1,9:52.0,Defensive rebound by P. Millsap,,4,0
12,1,9:47.0,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),,6,0
13,1,9:47.0,,Orlando full timeout,6,0
14,1,9:32.0,,E. Payton misses 2-pt jump shot from 5 ft,6,0
15,1,9:30.0,Defensive rebound by T. Sefolosha,,6,0
16,1,9:18.0,P. Millsap misses 3-pt jump shot from 25 ft,,6,0
17,1,9:17.0,,Defensive rebound by J. Meeks,6,0
18,1,9:08.0,,Turnover by S. Ibaka (lost ball; steal by P. Millsap),6,0
19,1,9:02.0,P. Millsap misses 2-pt layup from 1 ft (block by S. Ibaka),,6,0
20,1,9:00.0,,Defensive rebound by A. Gordon,6,0
21,1,8:58.0,,Personal foul by K. Bazemore (drawn by J. Meeks),6,0
22,1,8:54.0,,Turnover by B. Biyombo (bad pass; steal by K. Bazemore),6,0
23,1,8:50.0,K. Bazemore makes 2-pt layup from 1 ft,,8,0
24,1,8:34.0,,J. Meeks makes 2-pt jump shot from 9 ft,8,2
25,1,8:20.0,P. Millsap misses 2-pt jump shot from 9 ft,,8,2
26,1,8:19.0,,Defensive rebound by E. Payton,8,2
27,1,8:11.0,,J. Meeks makes 2-pt jump shot from 21 ft,8,4
