,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SAN ANTONIO_ACTION,MILWAUKEE_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,M. Brogdon misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,,Defensive rebound by P. Gasol,0,0
2,1,11:21.0,,K. Leonard misses 2-pt jump shot from 15 ft,0,0
3,1,11:20.0,,Offensive rebound by D. Lee,0,0
4,1,11:15.0,,K. Leonard makes 2-pt jump shot from 18 ft (assist by D. Lee),0,2
5,1,11:01.0,J. Parker makes 2-pt jump shot from 20 ft (assist by J. Henson),,2,2
6,1,10:37.0,,D. Green misses 2-pt layup from 3 ft,2,2
7,1,10:34.0,,Offensive rebound by D. Lee,2,2
8,1,10:31.0,,D. Lee makes 2-pt layup from 2 ft,2,4
9,1,10:14.0,J. Parker makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,5,4
10,1,9:59.0,,P. Gasol misses 2-pt layup from 1 ft (block by G. Antetokounmpo),5,4
11,1,9:57.0,Defensive rebound by G. Antetokounmpo,,5,4
12,1,9:54.0,,Offensive charge foul by G. Antetokounmpo (drawn by D. Green),5,4
13,1,9:54.0,Turnover by G. Antetokounmpo (offensive foul),,5,4
14,1,9:29.0,,D. Green makes 3-pt jump shot from 25 ft (assist by P. Gasol),5,7
15,1,9:11.0,J. Parker makes 2-pt jump shot from 9 ft,,7,7
16,1,8:56.0,,D. Lee makes 2-pt jump shot from 7 ft (assist by T. Parker),7,9
17,1,8:40.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,7,9
18,1,8:39.0,,Defensive rebound by D. Lee,7,9
19,1,8:30.0,,P. Gasol misses 2-pt jump shot from 16 ft,7,9
20,1,8:29.0,Defensive rebound by G. Antetokounmpo,,7,9
21,1,8:22.0,T. Snell misses 3-pt jump shot from 26 ft,,7,9
22,1,8:21.0,,Defensive rebound by P. Gasol,7,9
23,1,8:10.0,,K. Leonard misses 2-pt jump shot from 20 ft,7,9
24,1,8:09.0,Defensive rebound by J. Henson,,7,9
25,1,7:58.0,J. Parker misses 2-pt layup from 2 ft,,7,9
26,1,7:52.0,Offensive rebound by J. Henson,,7,9
27,1,7:52.0,J. Henson misses 2-pt layup from 1 ft,,7,9
28,1,7:49.0,,Defensive rebound by T. Parker,7,9
29,1,7:46.0,,Shooting foul by J. Parker (drawn by K. Leonard),7,9
30,1,7:46.0,,K. Leonard makes free throw 1 of 2,7,10
31,1,7:46.0,M. Beasley enters the game for G. Antetokounmpo,,7,10
32,1,7:46.0,,K. Leonard makes free throw 2 of 2,7,11
33,1,7:39.0,M. Brogdon misses 2-pt jump shot from 7 ft,,7,11
34,1,7:37.0,,Defensive rebound by D. Lee,7,11
35,1,7:26.0,,P. Gasol makes 2-pt hook shot from 4 ft (assist by T. Parker),7,13
36,1,7:14.0,Turnover by J. Henson (traveling),,7,13
37,1,6:58.0,,Turnover by Team (3 sec),7,13
38,1,6:58.0,G. Monroe enters the game for J. Henson,,7,13
39,1,6:51.0,Turnover by M. Brogdon (lost ball; steal by K. Leonard),,7,13
40,1,6:51.0,,Personal foul by M. Brogdon (drawn by K. Leonard),7,13
41,1,6:33.0,Milwaukee full timeout,,7,13
42,1,6:33.0,,T. Parker makes 2-pt layup from 2 ft (assist by P. Gasol),7,15
43,1,6:33.0,M. Dellavedova enters the game for M. Brogdon,,7,15
44,1,6:33.0,J. Parker makes 2-pt jump shot from 15 ft (assist by M. Dellavedova),,9,15
45,1,6:11.0,,Personal foul by G. Monroe (drawn by P. Gasol),9,15
46,1,6:05.0,,T. Parker misses 2-pt jump shot from 4 ft (block by M. Beasley),9,15
47,1,6:05.0,,Offensive rebound by Team,9,15
48,1,6:00.0,,Turnover by D. Lee (bad pass; steal by T. Snell),9,15
49,1,5:52.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by T. Snell),,12,15
50,1,5:38.0,,Turnover by T. Parker (bad pass; steal by M. Beasley),12,15
51,1,5:34.0,Turnover by M. Beasley (bad pass),,12,15
52,1,5:34.0,,M. Ginóbili enters the game for D. Green,12,15
53,1,5:21.0,,P. Mills enters the game for T. Parker,12,15
54,1,5:21.0,,D. Bertāns enters the game for D. Lee,12,15
55,1,5:16.0,,Turnover by M. Ginóbili (bad pass; steal by M. Beasley),12,15
56,1,5:16.0,M. Beasley misses 2-pt layup from 2 ft,,12,15
57,1,5:06.0,,Defensive rebound by P. Mills,12,15
58,1,4:51.0,,M. Ginóbili misses 3-pt jump shot from 26 ft,12,15
59,1,4:48.0,Defensive rebound by J. Parker,,12,15
60,1,4:39.0,G. Monroe makes 2-pt jump shot from 7 ft (assist by M. Beasley),,14,15
61,1,4:21.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,14,15
62,1,4:19.0,,Offensive rebound by P. Gasol,14,15
63,1,4:11.0,,Personal foul by G. Monroe (drawn by P. Gasol),14,15
64,1,4:11.0,,J. Simmons enters the game for K. Leonard,14,15
65,1,4:11.0,J. Terry enters the game for T. Snell,,14,15
66,1,3:55.0,,Turnover by P. Mills (step out of bounds),14,15
67,1,3:55.0,M. Beasley misses 2-pt jump shot from 4 ft,,14,15
68,1,3:52.0,Offensive rebound by G. Monroe,,14,15
69,1,3:52.0,Turnover by M. Beasley (offensive goaltending),,14,15
70,1,3:52.0,,San Antonio full timeout,14,15
71,1,3:52.0,,D. Dedmon enters the game for P. Gasol,14,15
72,1,3:36.0,,P. Mills misses 2-pt jump shot from 7 ft,14,15
73,1,3:35.0,Defensive rebound by J. Parker,,14,15
74,1,3:24.0,Shooting foul by J. Simmons (drawn by J. Parker),,14,15
75,1,3:24.0,J. Parker makes free throw 1 of 2,,15,15
76,1,3:24.0,J. Parker makes free throw 2 of 2,,16,15
77,1,3:09.0,,J. Simmons makes 3-pt jump shot from 24 ft (assist by D. Bertāns),16,18
78,1,2:57.0,Turnover by M. Dellavedova (bad pass),,16,18
79,1,2:43.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by P. Mills),16,21
80,1,2:23.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,16,21
81,1,2:21.0,,Defensive rebound by P. Mills,16,21
82,1,2:13.0,,P. Mills misses 2-pt layup from 3 ft,16,21
83,1,2:07.0,,Offensive rebound by D. Dedmon,16,21
84,1,2:07.0,,D. Dedmon misses 2-pt layup at rim,16,21
85,1,2:05.0,Defensive rebound by G. Monroe,,16,21
86,1,2:01.0,M. Beasley misses 2-pt jump shot from 9 ft,,16,21
87,1,1:57.0,Offensive rebound by M. Beasley,,16,21
88,1,1:55.0,G. Monroe misses 2-pt jump shot from 4 ft (block by D. Bertāns),,16,21
89,1,1:51.0,Offensive rebound by G. Monroe,,16,21
90,1,1:47.0,G. Monroe makes 2-pt layup from 1 ft,,18,21
91,1,1:46.0,,Turnover by P. Mills (traveling),18,21
92,1,1:46.0,M. Teletović enters the game for J. Parker,,18,21
93,1,1:27.0,G. Monroe misses 2-pt jump shot from 7 ft,,18,21
94,1,1:25.0,Offensive rebound by M. Dellavedova,,18,21
95,1,1:18.0,Shooting foul by D. Bertāns (drawn by M. Beasley),,18,21
96,1,1:18.0,M. Beasley misses free throw 1 of 2,,18,21
97,1,1:18.0,Offensive rebound by Team,,18,21
98,1,1:18.0,M. Beasley makes free throw 2 of 2,,19,21
99,1,1:04.0,,J. Simmons makes 2-pt layup from 1 ft,19,23
100,1,0:54.0,M. Dellavedova makes 2-pt layup from 2 ft (assist by G. Monroe),,21,23
101,1,0:30.0,,D. Dedmon misses 2-pt layup from 2 ft,21,23
102,1,0:28.0,Defensive rebound by G. Monroe,,21,23
103,1,0:10.0,M. Beasley makes 2-pt dunk at rim (assist by G. Monroe),,23,23
104,1,0:01.0,,M. Ginóbili misses 3-pt jump shot from 23 ft,23,23
105,1,0:00.0,Defensive rebound by G. Monroe,,23,23
106,2,11:44.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Mills),23,26
107,2,11:21.0,G. Monroe makes 2-pt jump shot from 17 ft (assist by J. Terry),,25,26
108,2,11:11.0,,J. Simmons misses 2-pt layup from 2 ft (block by J. Terry),25,26
109,2,11:11.0,,Offensive rebound by Team,25,26
110,2,11:04.0,,K. Leonard makes 3-pt jump shot from 24 ft,25,29
111,2,11:04.0,,Shooting foul by M. Teletović (drawn by K. Leonard),25,29
112,2,11:04.0,,K. Leonard makes free throw 1 of 1,25,30
113,2,10:56.0,Turnover by M. Dellavedova (bad pass; steal by D. Dedmon),,25,30
114,2,10:51.0,,D. Bertāns makes 2-pt dunk at rim,25,32
115,2,10:31.0,M. Teletović misses 2-pt jump shot from 15 ft,,25,32
116,2,10:29.0,Offensive rebound by G. Monroe,,25,32
117,2,10:26.0,Turnover by G. Monroe (lost ball; steal by K. Leonard),,25,32
118,2,10:17.0,,P. Mills misses 3-pt jump shot from 25 ft,25,32
119,2,10:16.0,Defensive rebound by G. Monroe,,25,32
120,2,10:01.0,G. Monroe misses 2-pt jump shot from 12 ft,,25,32
121,2,10:00.0,,Defensive rebound by K. Leonard,25,32
122,2,9:52.0,,K. Leonard makes 2-pt jump shot from 20 ft,25,34
123,2,9:34.0,G. Antetokounmpo misses 3-pt jump shot from 23 ft,,25,34
124,2,9:33.0,,Defensive rebound by D. Dedmon,25,34
125,2,9:23.0,,D. Bertāns misses 3-pt jump shot from 24 ft,25,34
126,2,9:22.0,,Offensive rebound by D. Dedmon,25,34
127,2,9:15.0,,K. Leonard misses 2-pt jump shot from 17 ft,25,34
128,2,9:14.0,Defensive rebound by G. Monroe,,25,34
129,2,9:01.0,M. Dellavedova misses 2-pt layup from 2 ft,,25,34
130,2,8:59.0,,Defensive rebound by K. Leonard,25,34
131,2,8:54.0,,K. Leonard makes 2-pt jump shot from 16 ft,25,36
132,2,8:54.0,Milwaukee full timeout,,25,36
133,2,8:54.0,,T. Parker enters the game for P. Mills,25,36
134,2,8:54.0,,P. Gasol enters the game for D. Dedmon,25,36
135,2,8:54.0,T. Maker enters the game for G. Monroe,,25,36
136,2,8:54.0,M. Brogdon enters the game for M. Dellavedova,,25,36
137,2,8:54.0,J. Henson enters the game for M. Teletović,,25,36
138,2,8:34.0,J. Henson makes 2-pt hook shot from 6 ft (assist by G. Antetokounmpo),,27,36
139,2,8:15.0,,J. Simmons makes 3-pt jump shot from 24 ft (assist by P. Gasol),27,39
140,2,7:51.0,M. Brogdon makes 3-pt jump shot from 25 ft,,30,39
141,2,7:38.0,,P. Gasol makes 2-pt hook shot from 5 ft,30,41
142,2,7:18.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft,,30,41
143,2,7:17.0,,Defensive rebound by K. Leonard,30,41
144,2,7:12.0,,Personal foul by T. Maker (drawn by T. Parker),30,41
145,2,7:12.0,,D. Lee enters the game for D. Bertāns,30,41
146,2,7:04.0,,Turnover by P. Gasol (bad pass),30,41
147,2,7:04.0,J. Parker enters the game for G. Antetokounmpo,,30,41
148,2,6:54.0,J. Parker misses 2-pt jump shot from 8 ft,,30,41
149,2,6:53.0,,Defensive rebound by T. Parker,30,41
150,2,6:44.0,,P. Gasol misses 3-pt jump shot from 24 ft,30,41
151,2,6:42.0,,Offensive rebound by D. Lee,30,41
152,2,6:25.0,,P. Gasol misses 2-pt layup from 3 ft,30,41
153,2,6:24.0,Defensive rebound by M. Brogdon,,30,41
154,2,6:17.0,J. Parker makes 3-pt jump shot from 24 ft (assist by M. Brogdon),,33,41
155,2,6:15.0,,San Antonio full timeout,33,41
156,2,6:15.0,T. Snell enters the game for J. Terry,,33,41
157,2,6:15.0,,D. Green enters the game for J. Simmons,33,41
158,2,6:14.0,,Violation by Team (delay of game),33,41
159,2,5:51.0,,D. Green makes 2-pt layup from 3 ft (assist by T. Parker),33,43
160,2,5:30.0,T. Maker makes 3-pt jump shot from 23 ft (assist by T. Snell),,36,43
161,2,5:16.0,,Personal foul by M. Brogdon (drawn by K. Leonard),36,43
162,2,5:06.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),36,46
163,2,4:45.0,T. Snell makes 2-pt dunk at rim (assist by J. Henson),,38,46
164,2,4:30.0,,D. Lee makes 2-pt jump shot from 7 ft (assist by T. Parker),38,48
165,2,4:18.0,M. Brogdon misses 2-pt jump shot from 3 ft,,38,48
166,2,4:16.0,Offensive rebound by J. Henson,,38,48
167,2,4:16.0,J. Henson makes 2-pt layup from 2 ft,,40,48
168,2,3:59.0,,Def 3 sec tech foul by J. Henson,40,48
169,2,3:59.0,,K. Leonard makes technical free throw,40,49
170,2,3:51.0,,Turnover by T. Parker (bad pass; steal by J. Parker),40,49
171,2,3:45.0,T. Maker makes 2-pt dunk at rim (assist by J. Parker),,42,49
172,2,3:30.0,,T. Parker misses 2-pt jump shot from 5 ft,42,49
173,2,3:28.0,,Offensive rebound by D. Lee,42,49
174,2,3:28.0,,D. Lee makes 2-pt layup from 1 ft,42,51
175,2,3:15.0,J. Henson misses 2-pt jump shot from 6 ft,,42,51
176,2,3:13.0,,Defensive rebound by D. Lee,42,51
177,2,3:04.0,,T. Parker makes 2-pt layup from 1 ft,42,53
178,2,2:52.0,J. Henson misses 2-pt layup from 2 ft,,42,53
179,2,2:51.0,,Defensive rebound by P. Gasol,42,53
180,2,2:43.0,,T. Parker makes 2-pt jump shot from 16 ft,42,55
181,2,2:43.0,Milwaukee full timeout,,42,55
182,2,2:43.0,Official timeout,,42,55
183,2,2:43.0,M. Plumlee enters the game for J. Henson,,42,55
184,2,2:43.0,M. Beasley enters the game for T. Maker,,42,55
185,2,2:43.0,,M. Ginóbili enters the game for K. Leonard,42,55
186,2,2:43.0,,D. Dedmon enters the game for P. Gasol,42,55
187,2,2:27.0,M. Brogdon makes 2-pt jump shot from 5 ft (assist by T. Snell),,44,55
188,2,2:15.0,,T. Parker makes 2-pt jump shot from 5 ft,44,57
189,2,2:00.0,M. Brogdon makes 2-pt jump shot from 18 ft,,46,57
190,2,1:46.0,,T. Parker makes 2-pt layup from 3 ft,46,59
191,2,1:33.0,M. Plumlee makes 2-pt dunk at rim (assist by M. Brogdon),,48,59
192,2,1:13.0,,D. Lee misses 2-pt layup from 2 ft (block by M. Brogdon),48,59
193,2,1:13.0,,Offensive rebound by Team,48,59
194,2,1:13.0,,K. Leonard enters the game for D. Green,48,59
195,2,1:08.0,,M. Ginóbili misses 2-pt jump shot from 10 ft,48,59
196,2,1:06.0,Defensive rebound by M. Brogdon,,48,59
197,2,1:01.0,M. Brogdon misses 2-pt layup from 1 ft,,48,59
198,2,1:00.0,,Defensive rebound by D. Dedmon,48,59
199,2,0:52.0,,T. Parker misses 2-pt layup from 1 ft,48,59
200,2,0:50.0,Defensive rebound by T. Snell,,48,59
201,2,0:45.0,J. Parker makes 2-pt layup from 1 ft (assist by M. Brogdon),,50,59
202,2,0:26.0,,D. Dedmon misses 2-pt jump shot from 10 ft,50,59
203,2,0:25.0,,Offensive rebound by D. Dedmon,50,59
204,2,0:04.0,,T. Parker misses 2-pt jump shot from 6 ft,50,59
205,2,0:03.0,Defensive rebound by M. Brogdon,,50,59
206,2,0:01.0,Shooting foul by K. Leonard (drawn by M. Brogdon),,50,59
207,2,0:01.0,M. Brogdon makes free throw 1 of 3,,51,59
208,2,0:01.0,M. Brogdon makes free throw 2 of 3,,52,59
209,2,0:01.0,M. Brogdon makes free throw 3 of 3,,53,59
210,3,12:00.0,Violation by Team (delay of game),,53,59
211,3,11:46.0,,Shooting foul by M. Beasley (drawn by K. Leonard),53,59
212,3,11:46.0,,K. Leonard misses free throw 1 of 2,53,59
213,3,11:46.0,,Offensive rebound by Team,53,59
214,3,11:46.0,,K. Leonard misses free throw 2 of 2,53,59
215,3,11:45.0,Defensive rebound by M. Beasley,,53,59
216,3,11:30.0,M. Beasley misses 2-pt jump shot from 7 ft (block by K. Leonard),,53,59
217,3,11:26.0,,Defensive rebound by K. Leonard,53,59
218,3,11:24.0,,Turnover by D. Green (step out of bounds),53,59
219,3,11:10.0,J. Parker misses 2-pt jump shot from 20 ft,,53,59
220,3,11:08.0,,Defensive rebound by D. Green,53,59
221,3,10:57.0,,K. Leonard misses 2-pt jump shot from 6 ft,53,59
222,3,10:55.0,Defensive rebound by J. Henson,,53,59
223,3,10:42.0,Turnover by M. Beasley (bad pass; steal by K. Leonard),,53,59
224,3,10:30.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),53,62
225,3,10:14.0,J. Parker misses 2-pt jump shot from 17 ft,,53,62
226,3,10:12.0,,Defensive rebound by P. Gasol,53,62
227,3,10:06.0,,Personal foul by M. Brogdon (drawn by T. Parker),53,62
228,3,9:50.0,,D. Green misses 3-pt jump shot from 22 ft,53,62
229,3,9:49.0,Defensive rebound by J. Henson,,53,62
230,3,9:42.0,M. Beasley makes 2-pt layup from 1 ft (assist by M. Brogdon),,55,62
231,3,9:26.0,,T. Parker misses 2-pt jump shot from 5 ft,55,62
232,3,9:25.0,Defensive rebound by M. Brogdon,,55,62
233,3,9:19.0,T. Snell makes 3-pt jump shot from 24 ft (assist by J. Parker),,58,62
234,3,8:58.0,,K. Leonard makes 2-pt dunk at rim (assist by P. Gasol),58,64
235,3,8:41.0,J. Parker misses 2-pt jump shot from 3 ft (block by D. Green),,58,64
236,3,8:41.0,Offensive rebound by Team,,58,64
237,3,8:37.0,T. Snell misses 3-pt jump shot from 24 ft,,58,64
238,3,8:36.0,Offensive rebound by M. Brogdon,,58,64
