,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
0,1,11:39.0,D. Sabonis misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,Offensive rebound by V. Oladipo,,0,0
2,1,11:30.0,S. Adams misses 2-pt jump shot from 7 ft,,0,0
3,1,11:29.0,,Defensive rebound by K. Towns,0,0
4,1,11:11.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by G. Dieng),0,2
5,1,11:05.0,Offensive foul by S. Adams (drawn by K. Towns),,0,2
6,1,11:05.0,Turnover by S. Adams (offensive foul),,0,2
7,1,10:47.0,,A. Wiggins misses 2-pt jump shot from 4 ft,0,2
8,1,10:46.0,Defensive rebound by D. Sabonis,,0,2
9,1,10:40.0,V. Oladipo misses 2-pt jump shot from 19 ft,,0,2
10,1,10:38.0,,Defensive rebound by K. Towns,0,2
11,1,10:32.0,,A. Wiggins misses 2-pt layup from 1 ft,0,2
12,1,10:31.0,,Offensive rebound by Team,0,2
13,1,10:17.0,,G. Dieng misses 2-pt jump shot from 7 ft,0,2
14,1,10:16.0,Defensive rebound by R. Westbrook,,0,2
15,1,10:08.0,D. Sabonis makes 2-pt layup from 3 ft (assist by R. Westbrook),,2,2
16,1,10:08.0,Shooting foul by G. Dieng (drawn by D. Sabonis),,2,2
17,1,10:08.0,D. Sabonis misses free throw 1 of 1,,2,2
18,1,10:08.0,,Defensive rebound by K. Towns,2,2
19,1,9:54.0,,K. Towns makes 2-pt layup from 1 ft,2,4
20,1,9:48.0,Personal foul by K. Towns (drawn by S. Adams),,2,4
21,1,9:36.0,R. Westbrook makes 2-pt layup from 3 ft,,4,4
22,1,9:21.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by K. Towns),4,6
23,1,9:21.0,,Shooting foul by R. Westbrook (drawn by A. Wiggins),4,6
24,1,9:21.0,,A. Wiggins makes free throw 1 of 1,4,7
25,1,9:10.0,V. Oladipo makes 2-pt jump shot from 19 ft,,6,7
26,1,8:56.0,,B. Rush makes 3-pt jump shot from 23 ft (assist by R. Rubio),6,10
27,1,8:43.0,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),,8,10
28,1,8:29.0,,K. Towns makes 2-pt jump shot from 4 ft (assist by R. Rubio),8,12
29,1,8:17.0,D. Sabonis misses 2-pt jump shot from 4 ft (block by K. Towns),,8,12
30,1,8:15.0,,Defensive rebound by K. Towns,8,12
31,1,8:08.0,,Turnover by A. Wiggins (bad pass; steal by S. Adams),8,12
32,1,8:03.0,Oklahoma City full timeout,,8,12
33,1,7:56.0,D. Sabonis makes 2-pt layup from 1 ft (assist by R. Westbrook),,10,12
34,1,7:41.0,,Turnover by B. Rush (bad pass; steal by A. Roberson),10,12
35,1,7:35.0,V. Oladipo misses 2-pt layup from 1 ft,,10,12
36,1,7:34.0,Offensive rebound by R. Westbrook,,10,12
37,1,7:31.0,A. Roberson misses 2-pt layup from 1 ft,,10,12
38,1,7:29.0,,Defensive rebound by K. Towns,10,12
39,1,7:16.0,,Turnover by A. Wiggins (bad pass; steal by A. Roberson),10,12
40,1,7:12.0,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),,12,12
41,1,6:54.0,,Turnover by K. Towns (bad pass),12,12
42,1,6:42.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,14,12
43,1,6:22.0,,A. Wiggins misses 2-pt jump shot from 4 ft,14,12
44,1,6:21.0,Defensive rebound by R. Westbrook,,14,12
